,Li-Li,Li-Si,Li-Te,Si-Si,Si-Te,Te-Te,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,3.203929540404023e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,2.7338246106403214e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.6578050055603952e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,7.848334101247711e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00030227456126413483,1.8735781741462967e-06,0.0,0.0,0.0,0.0,0.9
10,0.0009754772573831342,1.656234660379378e-05,3.342370940298023e-07,0.0,0.0,0.0,1.0
11,0.002701383053003972,0.00010327702783372848,4.279360379344553e-06,2.699820958977571e-05,0.0,0.0,1.1
12,0.006576844539365832,0.0005020902619433052,3.315391796295433e-05,0.00023940174011009797,0.0,0.0,1.2000000000000002
13,0.014403074108063052,0.0019970715266872984,0.00019419384112509351,0.0014279767509134131,1.4733716798048435e-06,0.0,1.3
14,0.02892097624525118,0.006665582514017078,0.0009057649576324304,0.006593633467756778,1.430624556767468e-05,0.0,1.4000000000000001
15,0.053964330806166506,0.01911611212591511,0.0035218570182348045,0.024530506120471675,9.048491610518509e-05,1.2282739334478934e-06,1.5
16,0.09418019143791113,0.04797797457899263,0.011624491678713813,0.07486740112093304,0.00044378090182495126,8.0093521502301e-06,1.6
17,0.15389530160692835,0.10674112507784135,0.03291223190192876,0.19031868174859723,0.0017443441011884345,4.899173489337012e-05,1.7000000000000002
18,0.2352564272749846,0.21206415420021893,0.08060326906728563,0.40943561638956444,0.005680152214657382,0.0002179886002102609,1.8
19,0.33682155778284034,0.37775176709719976,0.1721485450572441,0.7570702316551592,0.01550994203006636,0.0007959807041599595,1.9000000000000001
20,0.45376440907156373,0.6055115203133656,0.3235042532438981,1.2203071887840204,0.03592450553538565,0.002416650603302003,2.0
21,0.579294620752898,0.8779897293314521,0.5400745574425823,1.7345930727130492,0.071355272904322,0.006181943783633843,2.1
22,0.7058852973546813,1.160225851979813,0.808880556395764,2.1942215941518812,0.12294225261671088,0.013386809347175338,2.2
23,0.8259482415124607,1.4103522093224925,1.0976182444877423,2.492314329485989,0.1863617013995017,0.02457909008920511,2.3000000000000003
24,0.9326754902769366,1.5939517312369782,1.3634655105166453,2.5736604508356193,0.25290929849121724,0.038449747587105586,2.4000000000000004
25,1.021015012520611,1.6945479070306118,1.5681078299593922,2.4610474290692683,0.31329078365419527,0.052100465925257446,2.5
26,1.0880863829886194,1.7157828854459491,1.689951486244864,2.2294877070071326,0.3611916259916168,0.06346733811637054,2.6
27,1.133102449607193,1.6758703037944027,1.727023526073015,1.9545391168856736,0.3949380351030317,0.07396205127568756,2.7
28,1.1573135211673933,1.5984334590577425,1.6924579480989752,1.6836303545772446,0.4171834879763889,0.08848154536269379,2.8000000000000003
29,1.1638539108456694,1.5041423686690758,1.6079623419655529,1.4411719962154408,0.432913268223014,0.11292031618150138,2.9000000000000004
30,1.1570783548741348,1.406161317923021,1.4971939948420703,1.240977825786932,0.44742337750018796,0.15216515411735,3.0
31,1.141441374147838,1.3104945396109888,1.3795334913005346,1.0887559929634962,0.46546983680954085,0.2102794036201974,3.1
32,1.1204790526428003,1.2196006588415107,1.2668146788813726,0.9810320614666249,0.4899640067924418,0.29093536185578434,3.2
33,1.0964867577190986,1.1358765539948945,1.1646027239599257,0.9091771984588934,0.5199985094708377,0.3952253839299394,3.3000000000000003
34,1.070920933813344,1.062577033393221,1.0756131990847972,0.8654750177488983,0.5517132207805868,0.5178068228015072,3.4000000000000004
35,1.045015540861884,1.0024409477945675,1.0017628327276165,0.8443275598981901,0.582675315917001,0.6467876621403026,3.5
36,1.0201680449210213,0.9563202728883856,0.9439599778937624,0.8398183371436502,0.6148895242392727,0.7702926344717098,3.6
37,0.9980152565282621,0.9234899080852165,0.901338180448838,0.8456823670250656,0.6528990039636361,0.883587311094267,3.7
38,0.9801751711441911,0.9027279868818627,0.8716089188058147,0.8582299788796852,0.699633713024546,0.9880931496027345,3.8000000000000003
39,0.9677142437726208,0.8925235419291401,0.852316503672836,0.8768706492510976,0.754097951812198,1.084711005218388,3.9000000000000004
40,0.9607509165346338,0.8907728483556129,0.841841862419734,0.9017662130078978,0.8118710269059045,1.1715019927172354,4.0
41,0.9586152681360398,0.8952448667622946,0.8396798571764846,0.932848589260077,0.867451137817498,1.2465659488870389,4.1000000000000005
42,0.9603740442730154,0.9044679721531952,0.8459082814992959,0.9696247215785796,0.9170847258763444,1.3084119488433885,4.2
43,0.965094517264108,0.9178203629420941,0.859933165166878,1.0087687044936933,0.9600860844287616,1.3533061344147126,4.3
44,0.9716658799327375,0.9348694690665444,0.8794580362157269,1.0427051932824498,0.9976155301356993,1.3763075093524866,4.4
45,0.9787001085500777,0.9546252211143864,0.9008279749649878,1.0635940985212666,1.0303878179321333,1.3765769849344285,4.5
46,0.9849402025738846,0.975114377560189,0.920558411260699,1.0687987277546234,1.0577729530715545,1.360429231768922,4.6000000000000005
47,0.9898491659095974,0.9936842542794947,0.9369165855347437,1.0614728971873406,1.0789184981295492,1.3386178943320433,4.7
48,0.9937902708097335,1.00801246939406,0.9504642053672806,1.0476672170477823,1.0946941285147163,1.32042916879446,4.800000000000001
49,0.9976765700470781,1.0169764666720433,0.963124007651106,1.034537733149668,1.108260259280277,1.308443826179582,4.9
50,1.0023221697789315,1.0208201650389404,0.9764246298185146,1.0284978220640943,1.1227958460444707,1.2971711790235354,5.0
51,1.007814627509792,1.0208323475525811,0.9901767836330273,1.0308845758815444,1.1379287205737367,1.2776264598590936,5.1000000000000005
52,1.0133026137978547,1.0187254889190567,1.0024712579105062,1.035457092688351,1.148630318789628,1.2451218340129377,5.2
53,1.017374650964249,1.015860947946936,1.0111202289371188,1.0332710236942992,1.1488305288390561,1.2030210172828593,5.300000000000001
54,1.0187520387481785,1.0129659124043284,1.0154055650125822,1.0211489109597418,1.1369381307283937,1.1590359071832468,5.4
55,1.0168938323637142,1.010523125301592,1.016425878449347,1.0038569673368316,1.1172579553894926,1.1190107315194586,5.5
56,1.012282715630768,1.0090109772385258,1.0158281628755361,0.9876520374185128,1.0957021486596776,1.0846156204680242,5.6000000000000005
57,1.0062282242942209,1.008497347804863,1.0144741817874086,0.9736340460675866,1.0752818324025515,1.0545732129776786,5.7
58,1.0002708512248761,1.008281935334286,1.012284556487526,0.9584870399775755,1.05624935407239,1.0260036785676636,5.800000000000001
59,0.9956270294791963,1.0074015276330222,1.009126302625353,0.9402013927714457,1.0390058065061851,0.9958462455961984,5.9
