,Cu-Cu,Cu-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,5.567071804843519e-08,0.0,0.8
9,0.0,7.575295150913425e-07,0.0,0.9
10,1.0556817644740304e-06,7.451179840983822e-06,4.3986740186417936e-07,1.0
11,1.2884627232828995e-05,5.5938432021313755e-05,7.053006581556054e-06,1.1
12,9.760428280375261e-05,0.00032214729366754347,6.202031102949675e-05,1.2000000000000002
13,0.0005398319057459968,0.0015070879118378212,0.00037610028761169773,1.3
14,0.0023888914800929764,0.005905321287558938,0.0017918922130146266,1.4000000000000001
15,0.00875135460947864,0.019615093369030744,0.006999113882276609,1.5
16,0.026928496759639094,0.05550364245350274,0.02282439165987327,1.6
17,0.07027235813730455,0.1343143622382593,0.06273238966230042,1.7000000000000002
18,0.1569148204906727,0.2794161476789574,0.14643757541935462,1.8
19,0.3027286165681885,0.5031968445402293,0.2927061101278436,1.9000000000000001
20,0.510197574933262,0.7915381994270831,0.5056629037627858,2.0
21,0.7604217231716168,1.0996733244177395,0.7633025136372116,2.1
22,1.0156554113550187,1.367357227963052,1.0199926877328487,2.2
23,1.2326020388552223,1.545293822237084,1.2251755771841892,2.3000000000000003
24,1.3787763355321792,1.614662769582882,1.3458501813995727,2.4000000000000004
25,1.4426158721398035,1.588425348805495,1.377501966825671,2.5
26,1.4330713489187004,1.4981932690024837,1.3392443394580968,2.6
27,1.3714970705583327,1.3782887999305382,1.2602786572932272,2.7
28,1.2821528972070646,1.2553515515059994,1.1672176317532938,2.8000000000000003
29,1.1856695608533667,1.14508863229006,1.0780018555732185,2.9000000000000004
30,1.0959416240346567,1.0540843976597452,1.002413551868574,3.0
31,1.0196502337071254,0.9837311082605523,0.9449853343718803,3.1
32,0.9581687111724536,0.9333367254394778,0.9067450124621108,3.2
33,0.9106765848600351,0.9010751518521417,0.8857638221899355,3.3000000000000003
34,0.876395233365853,0.8840601131702602,0.8780510063322076,3.4000000000000004
35,0.8552550081989704,0.8791412319501775,0.8793677338695278,3.5
36,0.8476023694326488,0.8839389412184734,0.8870733744499502,3.6
37,0.8532551160792065,0.8968510894678944,0.900499050951986,3.7
38,0.8704606314750876,0.9162737805760369,0.9194282320510196,3.8000000000000003
39,0.8958936716243993,0.9401572523634365,0.9424648572359339,3.9000000000000004
40,0.9258470097842622,0.9662137229498222,0.9669963806048975,4.0
41,0.9571952603891344,0.9922492965490651,0.9902202262472294,4.1000000000000005
42,0.9871716151648177,1.0162918528443994,1.0097539570879641,4.2
43,1.0128337471619253,1.0365462616364087,1.0238082357726725,4.3
44,1.0314541120748704,1.0514024006657678,1.031612694949685,4.4
45,1.0416200258768629,1.0597690541175602,1.0338300303947046,4.5
46,1.0438403395719338,1.0616149395764811,1.032203095345656,4.6000000000000005
47,1.0400731158630534,1.0580927064476016,1.0284965169337084,4.7
48,1.0326177997358488,1.0508884349496603,1.023572074064846,4.800000000000001
49,1.0232107510633182,1.0413360864239622,1.0173185849364417,4.9
50,1.0128839092312896,1.0301459247629956,1.009446765267078,5.0
51,1.0024289301375655,1.0178852187690595,1.0003342375676612,5.1000000000000005
52,0.9927380533952701,1.0055254980268775,0.9910322319893125,5.2
53,0.9845914300757215,0.9944792221250726,0.982621686860554,5.300000000000001
54,0.9783044070734987,0.986237881570337,0.9758744060931005,5.4
55,0.9738674217560152,0.981912390160695,0.9715172090610746,5.5
56,0.9714165721275111,0.9817094572507635,0.9703604623063515,5.6000000000000005
57,0.9713051012093141,0.9846805826797906,0.9727820530480695,5.7
58,0.9737165243934155,0.98927152308552,0.9781423800313219,5.800000000000001
59,0.9782953033442623,0.9942575859953799,0.9850084212648611,5.9
60,0.9839320540902562,0.9990404668276428,0.9919701369884828,6.0
61,0.9889102575100065,1.0031478296418774,0.9980830542415781,6.1000000000000005
62,0.9918750475926614,1.0058895342445846,1.0027505804710126,6.2
63,0.992975159950682,1.006787082945278,1.0056703133374314,6.300000000000001
64,0.9936726732759767,1.0061698976749263,1.0069679622248813,6.4
65,0.9952612354949101,1.0050657355704622,1.0070450326748461,6.5
66,0.9978850088631382,1.0044504521120978,1.0061267550346464,6.6000000000000005
67,1.0008974877330006,1.0046014343458554,1.0041292271496116,6.7
68,1.0035904020966997,1.0050619411491593,1.0010823090705336,6.800000000000001
69,1.005464167444588,1.0051486362978281,0.9975527178692378,6.9
70,1.0062254445845793,1.0045554805575028,0.9945225877013076,7.0
71,1.005881016179704,1.003560704723742,0.9928324724331935,7.1000000000000005
72,1.0048278780785125,1.0027073919933853,0.9927069826261116,7.2
73,1.0036730464864123,1.0023532188202304,0.9937354877556355,7.300000000000001
74,1.0027998013492172,1.0025515078275935,0.9952099237668299,7.4
75,1.0019956146824387,1.0032105646443432,0.9964388118628152,7.5
76,1.0005537142267575,1.0041643732126002,0.9968758862283077,7.6000000000000005
77,0.9979272796622713,1.0051046203815102,0.996269602555239,7.7
78,0.9943506117055897,1.0056406554225397,0.9949041582256355,7.800000000000001
79,0.9906880604201442,1.0055442893552498,0.9935553903722117,7.9
80,0.9877116165025309,1.0049131126247852,0.9929351591134817,8.0
81,0.9857160333736601,1.0040400119362716,0.9931444262132739,8.1
82,0.9846752093276981,1.0031326634991724,0.9937538738437144,8.200000000000001
