,Si-Si,Si-Hg,Hg-Hg,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,4.1245580738248044e-07,0.0,0.0,1.0
11,1.0278279556163495e-05,9.254548586698314e-08,0.0,1.1
12,0.00010707612544461973,1.939829189660902e-06,0.0,1.2000000000000002
13,0.0007174080760359293,2.0339389037602212e-05,1.5151437822213572e-07,1.3
14,0.0036392357397150377,0.00013863422956152956,2.3685317552588443e-06,1.4000000000000001
15,0.01494887874233402,0.000725777041520652,2.1977191200194284e-05,1.5
16,0.050846476447763335,0.0030812306235735187,0.00014389969800821797,1.6
17,0.1444936674836011,0.010895609046931317,0.0007261392648219325,1.7000000000000002
18,0.34547103127929574,0.03247352079854574,0.0030006197005327585,1.8
19,0.6999773535854085,0.08216956528331613,0.010378024885665768,1.9000000000000001
20,1.2120020658811033,0.17767043644074756,0.030301779901878035,2.0
21,1.8110992392841883,0.33057538581105445,0.07514583909718793,2.1
22,2.362477566829699,0.5337000005468154,0.1594559316122366,2.2
23,2.725929464176766,0.7556452368599248,0.2923718727202556,2.3000000000000003
24,2.825473236115829,0.9512970494055442,0.4691157462424889,2.4000000000000004
25,2.680333590741995,1.0835578417628646,0.6686981302322569,2.5
26,2.381055933309578,1.1402554508478762,0.86089814756659,2.6
27,2.0360235824571595,1.1345730025927834,1.017967468427304,2.7
28,1.7265521168217657,1.0919777610540977,1.1242988407797017,2.8000000000000003
29,1.490736740810887,1.0357221540610164,1.1804085090458734,2.9000000000000004
30,1.331658622252145,0.9801827258931383,1.2000553651018453,3.0
31,1.2345852180768468,0.9322269363391137,1.2013934049304091,3.1
32,1.18082953459399,0.8945859089877141,1.1971881456320534,3.2
33,1.1543520370431914,0.8669835695634436,1.190804088412978,3.3000000000000003
34,1.143375343756491,0.846352537479408,1.1800408343234705,3.4000000000000004
35,1.1402286340288883,0.8288754096812396,1.1639373466377443,3.5
36,1.1406996865831003,0.8130485655939188,1.1455317191112724,3.6
37,1.1430308657247192,0.8007964453579858,1.1286130359017594,3.7
38,1.1470814438307189,0.7956629453516623,1.1134126550912362,3.8000000000000003
39,1.1535937915003183,0.7999243242025094,1.096715017090941,3.9000000000000004
40,1.162765530124915,0.8129365330717214,1.0760644305061557,4.0
41,1.1725147304076742,0.8315060196796057,1.053273422448494,4.1000000000000005
42,1.1785300373407936,0.8515495630037727,1.0337342724314764,4.2
43,1.1769003827670685,0.869808249452613,1.0221617679785093,4.3
44,1.1668844205872986,0.8845971323998578,1.0187473314488489,4.4
45,1.1509804839760045,0.8955022072270772,1.0196041671216256,4.5
46,1.132686753820934,0.9028507728347538,1.0209710621785277,4.6000000000000005
47,1.1147189905243957,0.907571196289381,1.0225523218852448,4.7
48,1.0988755723817138,0.9113284774623319,1.0267294716770736,4.800000000000001
49,1.0862605959937575,0.9164128183886285,1.035015026793653,4.9
50,1.0768252622126169,0.924726634195861,1.0457729602204116,5.0
51,1.0691260359557682,0.9362039099851597,1.0553857276593153,5.1000000000000005
52,1.0614235477751393,0.9484269408342937,1.0609263075931719,5.2
53,1.053405988464464,0.9583279805520435,1.061300814711421,5.300000000000001
54,1.0465643830724911,0.9642306367919491,1.0568050613629605,5.4
55,1.0424963371238134,0.9662994015506429,1.0488117279998284,5.5
56,1.0407826655237773,0.9656798154630896,1.03977188295823,5.6000000000000005
57,1.0387372607768386,0.9636541142706634,1.032492809298693,5.7
58,1.0334658349582113,0.9613806577534386,1.0288385270190519,5.800000000000001
59,1.0242370239235876,0.959986435786847,1.0289324701896254,5.9
60,1.012847575343543,0.9605207528069176,1.0313620794943703,6.0
61,1.0019518264499963,0.9635239682115426,1.034165149131537,6.1000000000000005
62,0.9933120578563107,0.9686699312834083,1.036045866247537,6.2
63,0.9872289024417076,0.9750109249756049,1.0369003934687417,6.300000000000001
64,0.9828231353444434,0.9816210662828395,1.0369969966482404,6.4
65,0.9785646504386744,0.9881329049334405,1.035655184297842,6.5
66,0.9728663192895284,0.9948505478191477,1.0313229475371037,6.6000000000000005
67,0.9646969197372567,1.002226205925643,1.0234109305624939,6.7
68,0.9542053350950238,1.0100578049021156,1.0136128520527268,6.800000000000001
69,0.9429677655597314,1.0173457476389234,1.0046331283577035,6.9
70,0.9331871265477736,1.0230105393360676,0.9976073965965385,7.0
71,0.9261693039733577,1.0265609586265163,0.9914537191242723,7.1000000000000005
72,0.9216511902713896,1.0280518835614123,0.9848529560755888,7.2
73,0.9186948300489712,1.0277461480531875,0.9780677402325927,7.300000000000001
74,0.9167773406793183,1.0260873635589565,0.9723909344879208,7.4
75,0.915718028600922,1.0239158994944766,0.9685205638722325,7.5
76,0.9149723577208052,1.0223811566553456,0.9664278628966658,7.6000000000000005
77,0.9135261884685785,1.0223380493312848,0.9665076340318088,7.7
78,0.9106039589217659,1.023783103408144,0.9696409611624489,7.800000000000001
79,0.9065232043946545,1.0260133057624965,0.975783904158751,7.9
80,0.9028093136867679,1.0283276710351703,0.9831862216108518,8.0
81,0.901186962074707,1.0304788213843719,0.9892428507145722,8.1
82,0.9023229662520066,1.032589155984615,0.9918366453319667,8.200000000000001
83,0.9055606357154921,1.0349437436489426,0.9901831002954123,8.3
84,0.9096678197765008,1.037904340694469,0.9850849242110371,8.4
