,Li-Li,Li-Tl,Li-Si,Tl-Tl,Tl-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.379484930704832e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.5007260380384845e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.0001356667814531689,0.0,8.77028961255579e-07,0.0,0.0,0.0,0.9
10,0.0005758394039463098,7.822881784038961e-07,9.630388111658117e-06,0.0,0.0,2.3468645352116885e-06,1.0
11,0.0019587940552970463,7.031959619814897e-06,6.47295903251347e-05,0.0,0.0,2.302667876791525e-05,1.1
12,0.005410472607128197,4.467434443941838e-05,0.00033169355092855905,0.0,0.0,0.00018954344978930123,1.2000000000000002
13,0.012461708483436652,0.0002236401510514696,0.001382135878379265,0.0,1.0057990865192952e-06,0.0010857793352160169,1.3
14,0.024868031170957823,0.0009129596622500964,0.004798811175545216,0.0,1.428292152737942e-05,0.005005612120774156,1.4000000000000001
15,0.045111954973008316,0.003145926134153998,0.014154240947665776,9.582660484040162e-07,0.00010260192814214055,0.019182591034607722,1.5
16,0.07744591957832407,0.009346774181827723,0.036137143898160654,1.0979078399582148e-05,0.0005495516360928035,0.06185226364381455,1.6
17,0.12730244636143775,0.02431007579667344,0.08112025989942669,7.61650178405378e-05,0.002355285269343063,0.16895724931378875,1.7000000000000002
18,0.19740368880801631,0.05589974007252556,0.16203228252630042,0.000402803773491698,0.008313305093839025,0.3931719121623605,1.8
19,0.28362234878596543,0.11438089403286567,0.2902974466081868,0.001711413790780168,0.024555497828856337,0.7846706150573102,1.9000000000000001
20,0.37646894274632253,0.20942297316895053,0.4690421120167424,0.006042511607461323,0.06156690238495353,1.3534169694701428,2.0
21,0.46860269306134894,0.34525780895936714,0.6873124902657934,0.018017998794792326,0.1328356680650747,2.0339972008182765,2.1
22,0.560341940784417,0.5162910387923588,0.920448819782347,0.04592262014083118,0.249992093804416,2.686612633691646,2.2
23,0.655579692783391,0.7062632095595177,1.1375632141267185,0.10112243538829332,0.4157321874458365,3.1506998019343846,2.3000000000000003
24,0.7517808777775629,0.8926840040695841,1.3115968042667474,0.19440892163390536,0.6186405302996915,3.3232306121579267,2.4000000000000004
25,0.8363933350395432,1.0546834272717105,1.4273432964043444,0.32998837784764856,0.834337242778702,3.204657504863397,2.5
26,0.8956624734076322,1.1793934557261996,1.4845830652392598,0.50071225914989,1.0337116258528611,2.8817373625584244,2.6
27,0.9266662580835079,1.2634281194331447,1.4939984302523892,0.6885015807546506,1.1933574760865737,2.4712464207769727,2.7
28,0.9389582972402923,1.3106301936989813,1.4682241120921695,0.8707003267523975,1.3014722751274506,2.0689509016819017,2.8000000000000003
29,0.9450473636551738,1.3288305022924676,1.416323845128107,1.0289936822393246,1.357068193884686,1.7267967131513193,2.9000000000000004
30,0.951456272694163,1.3264671884294406,1.3461171981656395,1.1550735624749315,1.3663065026870282,1.4569191844763425,3.0
31,0.9583343725722466,1.3096447033740868,1.2685624291742512,1.2486848765528709,1.3400847628614376,1.2499687558806343,3.1
32,0.9636744250176807,1.2816001300986424,1.1964042575694807,1.3106971988372462,1.29245071784212,1.092934985348787,3.2
33,0.9655490482854437,1.244999245648213,1.1378629773476368,1.3396134126993686,1.2372977113222645,0.9773050571770714,3.3000000000000003
34,0.9619367791176805,1.203875185407141,1.0927934994160682,1.335152899514832,1.184099152354275,0.8983305867322233,3.4000000000000004
35,0.9513235782929911,1.1627798493541628,1.0556169837566636,1.3027251157529722,1.1362158610454887,0.8513158355719816,3.5
36,0.9347550433542416,1.1249344830130157,1.021732552822337,1.2524064771127517,1.0929219673492232,0.8295002465528101,3.6
37,0.9164511021629128,1.0915791048547716,0.9910265873462706,1.1944383281456503,1.0526806099542572,0.8249969222107894,3.7
38,0.9014262934109756,1.062345385382376,0.9663417442377731,1.1366186612264326,1.015321644969311,0.8310999370623668,3.8000000000000003
39,0.892519988922931,1.0363380272829887,0.950042728926487,1.0844132845047254,0.9825563802131931,0.8434075123555544,3.9000000000000004
40,0.889929153390318,1.0134908095456927,0.9419948067954117,1.0413555436633894,0.9571398375343342,0.8593568155290991,4.0
41,0.8929103175926364,0.9947563871077333,0.9399868277435607,1.008857663914642,0.9413161302791858,0.8773375939241924,4.1000000000000005
42,0.9012273701822773,0.9808648603255468,0.9419334850623622,0.9861273352460338,0.9355389311607875,0.8957569860659157,4.2
43,0.9144716464266177,0.9714567748315799,0.947863663575107,0.9705855504530535,0.9381407831809927,0.9123161120047283,4.3
44,0.9304899346162752,0.9655437577818694,0.9594882875305483,0.9588959119249664,0.9461096222522549,0.9240720625752776,4.4
45,0.9459317639423473,0.9621552423166758,0.9774470000711617,0.9483962943049556,0.9564759707002748,0.9282367918682994,4.5
46,0.958955174096228,0.9605309854070813,0.9991344758175112,0.9378574716356858,0.9672782824145704,0.9233705182183221,4.6000000000000005
47,0.9702113499410253,0.9605179072503122,1.0196078069922054,0.9270060819134472,0.9773319945206015,0.9107971290833698,4.7
48,0.9805457231486147,0.9628888209146166,1.034611045644017,0.9160999812698185,0.9855084884656028,0.8951768094047604,4.800000000000001
49,0.9892204370225204,0.9684461470656359,1.042487629498702,0.9064607205974612,0.9909905981410987,0.8826282637764435,4.9
50,0.9951217388018202,0.9765779398840558,1.0435991150598805,0.9005823631178889,0.9943147358058964,0.8772264185350376,5.0
51,0.9982435161040323,0.9853326604863828,1.039150753622542,0.9006640797022171,0.9974449688728232,0.879104498736248,5.1000000000000005
52,0.9990993980102889,0.9930255278040843,1.0310464537418986,0.9072493099259038,1.0023417086721227,0.885586705096797,5.2
53,0.9979192747375458,0.9991796631170891,1.0218485707087666,0.9196160019600006,1.0093250849234128,0.8934395030114571,5.300000000000001
54,0.9953012464329677,1.0038731568797137,1.0138552297653636,0.9367937625841795,1.0166432612974197,0.9000329179964001,5.4
55,0.9926614310271538,1.0069200031417425,1.008140053430765,0.9575077576313484,1.0217226305855422,0.903526132396681,5.5
56,0.9912514220665253,1.008104865677456,1.0045793378812202,0.9795402701500229,1.0232772235321868,0.9033203920323214,5.6000000000000005
57,0.9910328508957836,1.0078358498284958,1.0024713939333931,0.9999553552108759,1.0223128043560017,0.9004809094289137,5.7
58,0.9907820606517648,1.0070760371616252,1.0010282283172858,1.0162010920333093,1.0208703800053915,0.8972182878135567,5.800000000000001
59,0.9891036149350221,1.006774114996953,0.9996281103966894,1.0268257607125852,1.0199910336586346,0.8955687197124685,5.9
