,Li-Li,Li-Zr,Zr-Zr,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.597930577952828e-07,0.0,0.0,0.5
6,2.3660792544280994e-06,0.0,0.0,0.6000000000000001
7,1.669279304724416e-05,0.0,0.0,0.7000000000000001
8,8.928890545313482e-05,0.0,0.0,0.8
9,0.0003866412225659745,7.59602539228422e-08,0.0,0.9
10,0.001412881066624341,9.696057727266496e-07,0.0,1.0
11,0.004412843587080811,7.554098979937795e-06,2.432411455257772e-07,1.1
12,0.011898146344073535,4.2514945431709944e-05,2.464232047943543e-06,1.2000000000000002
13,0.02795234991129196,0.0001944571882891514,1.8161522117863522e-05,1.3
14,0.05789953630575524,0.0007398301122923116,0.00010637434599286853,1.4000000000000001
15,0.10730390249293424,0.0023954461836628994,0.0005049102238361405,1.5
16,0.18072970105781105,0.006703730186502708,0.0020227843551805296,1.6
17,0.28059098769674634,0.016457952639281688,0.0069747291015254086,1.7000000000000002
18,0.4061783751171295,0.035936557782979696,0.020835348297812004,1.8
19,0.5532098123749069,0.0706347499884867,0.05410943927601171,1.9000000000000001
20,0.7141065275119308,0.12625438193174957,0.1227008482027841,2.0
21,0.8785758931212999,0.20698807166866703,0.24471731038168074,2.1
22,1.0343629433463093,0.31358062575470763,0.43363711772729757,2.2
23,1.1690695397398714,0.4420359090551738,0.6910286627617257,2.3000000000000003
24,1.2733378955568109,0.5836823433955421,1.0031509727347934,2.4000000000000004
25,1.3435775633591207,0.7266507477854881,1.3434494866539397,2.5
26,1.3819465303770964,0.8581872286987949,1.6788170924080554,2.6
27,1.393615021095125,0.967194152818007,1.975247030073222,2.7
28,1.383754957652506,1.04642697177856,2.2013874960231,2.8000000000000003
29,1.3565283315519023,1.093690927791632,2.333183044715091,2.9000000000000004
30,1.3161308423766462,1.1116053172802853,2.361177328553497,3.0
31,1.267906727037823,1.1060663616453419,2.2950241775037115,3.1
32,1.2177612072749926,1.0841865132100776,2.1592422239782594,3.2
33,1.1701832786721256,1.0526390529013465,1.9825845343924373,3.3000000000000003
34,1.1269273340171038,1.016707790271907,1.7892320472612127,3.4000000000000004
35,1.0878735908099484,0.9799159162121284,1.5966188243492487,3.5
36,1.0531675773527713,0.9443165034776324,1.417394798284343,3.6
37,1.0241782736158394,0.9114157735260011,1.2605774086675845,3.7
38,1.0022899954900386,0.8829548456271467,1.1309281596999847,3.8000000000000003
39,0.9873324064132558,0.8606677260972154,1.029110564737102,3.9000000000000004
40,0.9776198949699625,0.8453260071383417,0.9533343405487037,4.0
41,0.9713191112363287,0.8364188098942225,0.9005869473379999,4.1000000000000005
42,0.9676005504016931,0.8330133544759962,0.8667392430246782,4.2
43,0.9666674815341394,0.8348750540924909,0.8469426545088387,4.3
44,0.9688935478798254,0.84260803971602,0.8368655562163448,4.4
45,0.9740559081011377,0.8566875977951615,0.8338765564570737,4.5
46,0.9812770267115547,0.8764107483872845,0.8375534053880228,4.6000000000000005
47,0.9892566277151055,0.8998148596760659,0.8492724572706865,4.7
48,0.9965935109218528,0.9245432784827932,0.8709007981575091,4.800000000000001
49,1.0024339306335828,0.9487642660728492,0.9030013273699677,4.9
50,1.0068843306617257,0.9714784040314605,0.9433975660987773,5.0
51,1.010436885861203,0.9922334326121414,0.9870902681091348,5.1000000000000005
52,1.0131228612670167,1.010665634203093,1.0278711292694056,5.2
53,1.014544973299488,1.02630561386535,1.0606815373903553,5.300000000000001
54,1.0145006090374091,1.0387241091357873,1.0831706095330234,5.4
55,1.0132152270176111,1.0477391157110216,1.0956242070394602,5.5
56,1.0110666804210031,1.0535154226568433,1.0995541772295694,5.6000000000000005
57,1.0082595984472222,1.0565315587994488,1.096236762679809,5.7
58,1.0047729260286054,1.0573239452489878,1.086562510443362,5.800000000000001
59,1.000568289947834,1.0562667805537145,1.071964371242914,5.9
60,0.99578819717959,1.0537086263094562,1.054692789012193,6.0
61,0.990751550458535,1.0500738608613183,1.0367657144543636,6.1000000000000005
62,0.9858458801241224,1.0455656767845067,1.0188105814539903,6.2
63,0.9813976046839125,1.0400586612043556,1.000054895339464,6.300000000000001
64,0.9775065018693478,1.0336378297600317,0.9794525542520321,6.4
65,0.9740409256710433,1.027075381746474,0.9569257741148596,6.5
66,0.9709446264216801,1.0215230022193873,0.9336613105155586,6.6000000000000005
67,0.9685017994567964,1.017766590624133,0.9114388011021417,6.7
68,0.9671307248114636,1.0158439757342648,0.8920343691060898,6.800000000000001
69,0.9669167230676531,1.0153200372727753,0.8771200888629489,6.9
70,0.9674906720318514,1.0158586817540363,0.8678857617019824,7.0
71,0.9684067221899952,1.0174782591836968,0.8642343837526199,7.1000000000000005
72,0.9694954029706797,1.0202604481685074,0.8647434968273835,7.2
73,0.9707474580919001,1.023994244366528,0.8677594990261753,7.300000000000001
74,0.9720304275942598,1.0283096548472894,0.8722329246914123,7.4
75,0.9731750980202727,1.0330328848121302,0.8775779096687237,7.5
76,0.9742710678621865,1.0381217456179013,0.8835248210740858,7.6000000000000005
77,0.9755104895596496,1.0433082403071265,0.8904187631547897,7.7
78,0.9767256286176055,1.0480727967939416,0.8990974105801859,7.800000000000001
79,0.97749379901375,1.0519477852124381,0.9099542990777653,7.9
80,0.9777893882212491,1.0547152587624535,0.9221053820965562,8.0
81,0.9781440552719871,1.0563765712269015,0.9335724745548144,8.1
82,0.9789861672845105,1.0570807772598922,0.9422501172273571,8.200000000000001
