,Li-Li,Li-Si,Li-Ag,Si-Si,Si-Ag,Ag-Ag,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.751192686072472e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.2776110764540515e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00013335185809259392,8.032245082607777e-07,1.3387075137679629e-06,0.0,0.0,0.0,0.9
10,0.000601783196151847,9.775239112927772e-06,1.4461120981625367e-05,4.77637619109804e-07,1.19409404777451e-07,0.0,1.0
11,0.002187721212706993,6.679763955306278e-05,9.263838489800059e-05,9.116151511751266e-06,1.9575255747697227e-06,0.0,1.1
12,0.006517676634869764,0.0003487338740748531,0.00045925041389479124,8.058352107794603e-05,1.705796011240183e-05,0.0,1.2000000000000002
13,0.016155738366286025,0.0014662220135331803,0.0018446037784393193,0.0004909902927650123,0.00011184268228803006,1.0527523033440584e-06,1.3
14,0.03394217598411328,0.005111110481798372,0.006138340241722855,0.0023410904557445195,0.0005707498640872096,1.357936594453302e-05,1.4000000000000001
15,0.06177128838949469,0.015046385530300282,0.01727958090779142,0.009128222504157362,0.002398684017745586,0.00010000233854474249,1.5
16,0.09999556740640345,0.0380136008363382,0.04198941980940194,0.02966782896698565,0.00850414789178812,0.0005411386806445373,1.6
17,0.14850419947103569,0.08370591917486353,0.08980940578824832,0.08119704272646724,0.025683991825977092,0.0023499976225594397,1.7000000000000002
18,0.2087129011597617,0.16292892611601362,0.17171381677743108,0.18872504186045405,0.06645258533408951,0.008435177084844682,1.8
19,0.284110271562757,0.28386052123087463,0.29650843755577233,0.37564828304991327,0.1480852043740852,0.02541672004208314,1.9000000000000001
20,0.377653780296541,0.44750126335535,0.46514998171573957,0.6460960219443751,0.2861645358604265,0.06510716426740874,2.0
21,0.48705027237088305,0.6444336583869795,0.6661150302721747,0.9700099957155981,0.48376935793021986,0.14357541339319516,2.1
22,0.6018626870660599,0.8549799188579515,0.876458469876165,1.2863000867460985,0.7231033213888838,0.2760116282154464,2.2
23,0.7069806987739621,1.053562180518799,1.069499660688962,1.527665575365386,0.9673611991663614,0.46827933269557254,2.3000000000000003
24,0.7917363331878763,1.215995423324784,1.22418890583598,1.651420696433015,1.174048567280363,0.7090894334025476,2.4000000000000004
25,0.8564005445250102,1.3266700750295775,1.3302654519735166,1.654899255007115,1.3121897153794044,0.9681038946524249,2.5
26,0.9087160712312831,1.3822954450752494,1.3878211584521638,1.5679981951692845,1.3728762268034438,1.203472799264809,2.6
27,0.9540639590069742,1.390462313994271,1.4038424289924645,1.4330614680165485,1.367850612552222,1.377106074052823,2.7
28,0.989935573284095,1.364487311066173,1.3885965495818768,1.2871342139550466,1.3193827473991315,1.4693297551924511,2.8000000000000003
29,1.0098952589094552,1.3181988140160157,1.3527698083127546,1.1541981235075358,1.2493316756229615,1.4835113463270797,2.9000000000000004
30,1.011556350558716,1.2629518622482019,1.3050844562059247,1.0458240683128255,1.173299030413028,1.4391252322158399,3.0
31,0.9999377416415232,1.2064510457639628,1.2512060686289501,0.9649528461410608,1.1005535171289431,1.3602594217216861,3.1
32,0.9836955228106717,1.15278617822228,1.194907034848466,0.9093688216197137,1.036502304266879,1.2673164437655118,3.2
33,0.9689169831652511,1.1037051314140376,1.1398341158543719,0.874476014682432,0.984394896935939,1.1745304571841493,3.3000000000000003
34,0.9564739097365211,1.0602694073567789,1.0895900161577194,0.8555443881759417,0.9456860995563497,1.0914479591456492,3.4000000000000004
35,0.9443402004583517,1.0236901361370796,1.0468199299940943,0.8488114802380219,0.9204106336830745,1.0247647333764869,3.5
36,0.9315349379986095,0.9952314767281337,1.0128170284013,0.8513156088913271,0.9079452612714072,0.9780414696054324,3.6
37,0.9199187599295372,0.9756616992097629,0.9875041639988867,0.8603422528382189,0.9069740570752279,0.9505746642970649,3.7
38,0.9127187275543622,0.964563106531974,0.9693944234475617,0.8733620786889699,0.9145124366489796,0.9385817452502324,3.8000000000000003
39,0.9116153383918895,0.9601778655195363,0.9561247452604172,0.8883724205045175,0.9259288152927098,0.9382428590332548,3.9000000000000004
40,0.9153843773284592,0.9604782790165259,0.9456537622194237,0.904139149577281,0.9371097277451135,0.9466985416567125,4.0
41,0.9210370116196662,0.964614070723357,0.9374052241980989,0.9202176492983667,0.9468880138278847,0.9600553937928392,4.1000000000000005
42,0.9259308606003219,0.9728884809008856,0.9325437446258642,0.9366031687720541,0.957137020504631,0.9721626125431224,4.2
43,0.9294290513809049,0.9850136568304666,0.9327810147248019,0.9529616807135328,0.9702850377340213,0.9771364776826204,4.3
44,0.9330914823668546,0.9987540164998122,0.938388734751465,0.9681984558886135,0.9864864342033872,0.9736193303840901,4.4
45,0.9390394443695511,1.0107225270476823,0.9475380404614263,0.9810923561647786,1.0029914493963037,0.9662086758150842,4.5
46,0.947883345185975,1.018728470402279,0.9578544846621481,0.9911474979515393,1.0162587928626956,0.9618245188467259,4.6000000000000005
47,0.9581322503164896,1.0233133368473737,0.9681203906902385,0.9983863906672217,1.024700317603495,0.9641747359617295,4.7
48,0.9672507463524013,1.0267442407799914,0.9781107193518879,1.0026208030931787,1.0294236352704953,0.9719804669428108,4.800000000000001
