,Li-Li,Li-Si,Li-B,Si-Si,Si-B,B-B,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,9.661746004012527e-06,0.5
6,1.2816601842057432e-06,0.0,1.602075230257179e-07,0.0,0.0,0.00013605712857846515,0.6000000000000001
7,1.1427762409543046e-05,0.0,2.3007112598884572e-06,0.0,8.373513203477526e-07,0.0010106910550332635,0.7000000000000001
8,6.761522325363981e-05,1.2265888481656527e-07,1.7666071366178402e-05,0.0,1.1102525201719286e-05,0.0053795713511532745,0.8
9,0.00031291022350311186,1.777712078266928e-06,0.00010367894862809543,0.0,8.853402239544623e-05,0.02280274222240632,0.9
10,0.0011675083601271799,1.557498490862925e-05,0.000481289539278034,7.753252966182891e-07,0.0005240409853779273,0.07894850823665207,1.0
11,0.003593446384333092,9.272814945202402e-05,0.001870504176565522,9.404879912437106e-06,0.0024500131827336967,0.22534754264135007,1.1
12,0.009306185442436372,0.00044303354659733365,0.0061699715076260495,7.318950930867585e-05,0.00946287373791904,0.5339069956001999,1.2000000000000002
13,0.02076939300482429,0.0017485154507012367,0.017530445338045902,0.00042216685742487537,0.030750282409585668,1.0576797651329866,1.3
14,0.04102086055582357,0.0058203520823144885,0.04337626000517058,0.0019356784670546334,0.08463170312615632,1.76724791015174,1.4000000000000001
15,0.07357132364056741,0.01658247553638206,0.09431822717455393,0.00735792248455782,0.19809239180115967,2.5171788814002873,1.5
16,0.12231279174107773,0.04100637332994761,0.18164697626251453,0.023566540052505813,0.3959652661467865,3.096215382572959,1.6
17,0.19082455337152296,0.08918833175161253,0.31199082701602354,0.06406153274449086,0.6798938842323844,3.34039025980377,1.7000000000000002
18,0.2807374975395223,0.17260623304675335,0.4812593613501722,0.14855036710510136,1.0113380097317404,3.219176354872246,1.8
19,0.39000598886079985,0.30007444208991524,0.6725150826652089,0.2955362546941955,1.3184189490849891,2.8302162692942185,1.9000000000000001
20,0.512464143377335,0.47236607662638436,0.8609373412275967,0.508347146009877,1.5287379336369156,2.325029332390784,2.0
21,0.6390225063027914,0.678381909858854,1.0228599616852418,0.763966492750574,1.605006962119803,1.8338091476526874,2.1
22,0.7599709425276949,0.896034028491525,1.1423018634081235,1.0166240919078133,1.5575551911108092,1.4317496869604143,2.2
23,0.8677241339665541,1.0983129191171888,1.21260073263087,1.2169967461542197,1.4295455434317446,1.1436098262174468,2.3000000000000003
24,0.9584527319257821,1.261322847235267,1.2358872208015286,1.3335936062281584,1.2711362137538489,0.9633566134096531,2.4000000000000004
25,1.0308885126306708,1.3703404336293965,1.2220691171823512,1.3622857811041396,1.120610195825022,0.8716627598805555,2.5
26,1.0838547688222466,1.4222202251915153,1.185794826939992,1.32167839506067,0.9990893315752725,0.8461862218800361,2.6
27,1.1161378481033923,1.4242105730439838,1.1411364757636977,1.2412375107141798,0.9140218472462407,0.8664734228398746,2.7
28,1.128579102926565,1.3897602605636425,1.0973577448490892,1.1493789366858604,0.86406405513376,0.9156145216832319,2.8000000000000003
29,1.1246679213143662,1.3332774054636616,1.0587348616882848,1.0656779738734956,0.8428627546424249,0.9793320766474308,2.9000000000000004
30,1.1087088180712514,1.2668686453211095,1.026926455346146,0.9988904266743768,0.8426817345729841,1.0437951541965977,3.0
31,1.0845185408702724,1.1997410567866187,1.0026730550129412,0.949928462831851,0.8570634656232274,1.0951303145106486,3.1
32,1.0559693422879268,1.1382905724632493,0.9860904243374652,0.9166200190678286,0.8807012396641772,1.1222371160194538,3.2
33,1.027339997853385,1.0857631331697088,0.9767006308073517,0.8969805918397766,0.9079062138605934,1.1209223872850471,3.3000000000000003
34,1.0021681228668669,1.04264675072661,0.9736281462557673,0.889793957804094,0.9328231702114863,1.0955894556176133,3.4000000000000004
35,0.9819800125393424,1.0085484741177317,0.9756635389895866,0.8934889762855867,0.9514862242633654,1.0566654470135264,3.5
36,0.9664782706291688,0.983874038348121,0.981405798254746,0.9051933674416112,0.9628468662820067,1.015453004809676,3.6
37,0.9548508243066698,0.9693274500860005,0.9896412956990174,0.9209347152477779,0.9678906787674448,0.9798798012585814,3.7
38,0.9467553091317802,0.9641258918569922,0.9994297773206914,0.9364310208777719,0.9685184880815223,0.9533693794232642,3.8000000000000003
39,0.9421240471665835,0.9654928650360026,1.009651008833531,0.9480797744767923,0.9669673642687013,0.9360994308383437,3.9000000000000004
40,0.9404736741720559,0.970019621138776,1.0187875991398456,0.9543394364397016,0.9652162079345372,0.9266400848415366,4.0
41,0.941101729037436,0.9753040315775706,1.0255117739306547,0.9566682816895387,0.9644893590933774,0.9229000372593804,4.1000000000000005
42,0.9440200209339504,0.9805377991982432,1.0293035560593653,0.9584021463358426,0.965448607803761,0.9227353493042724,4.2
43,0.9499047772525828,0.9859316905803374,1.0303044798399963,0.9619657744267004,0.96866007556595,0.9246805025319256,4.3
44,0.9587204027730801,0.9916065011348696,1.0288710228447557,0.967175971513232,0.9744667117944428,0.9283243294407032,4.4
45,0.9689234440148421,0.9970267297287089,1.0255299173541923,0.9723628921222444,0.9823468115774733,0.9337353078218723,4.5
46,0.9783341584138499,1.0016059781628226,1.0211596282893374,0.976617546561089,0.9908207212999487,0.9403822744377092,4.6000000000000005
47,0.9853901837783001,1.005513856792506,1.0169025516299846,0.9803986010359854,0.9984612876599801,0.9466251443172665,4.7
48,0.9896584268530707,1.0093604548367159,1.0136399346053009,0.9843066110900345,1.0049940509472013,0.950322276881437,4.800000000000001
49,0.9918733182689832,1.0131283603678272,1.0114498850111509,0.9882674055606853,1.0111282133473032,0.9501671036472953,4.9
50,0.9934714536872702,1.0159501205580628,1.0098344771579078,0.9920908231877757,1.0174110018971958,0.9465637960116232,5.0
51,0.9953513901983589,1.0170431364373669,1.0086127275543142,0.9958898407118637,1.0234907360517924,0.9412225913237118,5.1000000000000005
52,0.9971332476242287,1.0164094538131438,1.0082556884511253,0.9996750584702189,1.0282431701922023,0.935882487540849,5.2
53,0.9981499030433475,1.0144937659035806,1.0090736862593783,1.0031488240142452,1.030408050171298,0.931254126731581,5.300000000000001
54,0.9986241365662795,1.0116111965677834,1.010413260404072,1.0059484068142954,1.0294320654276155,0.9269530274536587,5.4
55,0.9990289319169025,1.0079520375576272,1.0110754524248111,1.0075846341743382,1.0260025365609282,0.9224696027404471,5.5
56,0.9988778119234537,1.0038619784285685,1.0103862642720653,1.0072034249738813,1.021715177951947,0.9182530943215573,5.6000000000000005
57,0.9971930196441304,0.9999064249913246,1.0085826773139466,1.0040540122096309,1.0181176757501487,0.9155746717179957,5.7
58,0.99389506609106,0.9967728232329778,1.0063655246758894,0.9984554608684091,1.016010532701621,0.915158203159325,5.800000000000001
