,Na-Na,Na-Li,Na-Si,Li-Li,Li-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,1.1153862202943134e-06,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,8.244857121526496e-06,0.0,0.0,0.7000000000000001
8,0.0,6.404756811846254e-07,0.0,4.4980246970934676e-05,0.0,0.0,0.8
9,7.564557064971814e-07,5.878451407593815e-06,0.0,0.00019809895443886828,3.782278532485907e-07,0.0,0.9
10,7.631670083716872e-06,3.6356679902512744e-05,0.0,0.0007033419973584784,6.008739431758057e-06,1.0121097184152104e-06,1.0
11,4.688888326357897e-05,0.00017664036627157743,1.5139591355795388e-07,0.0020879922835768325,4.940145985046526e-05,1.75002901798865e-05,1.1
12,0.0002232007214758328,0.0006974731329156727,2.353573487729085e-06,0.005382025492487994,0.0002868795223748021,0.00015105253331889845,1.2000000000000002
13,0.00086396940691827,0.0023023884039698544,1.8013002521596906e-05,0.012496243133492652,0.001328305576590901,0.0009008160703112791,1.3
14,0.002753411395344052,0.0065004899525892505,0.00010292391555979937,0.026769457341356245,0.005062751139318196,0.004217914368633637,1.4000000000000001
15,0.0074043816283495805,0.01599699837753372,0.00047078475349633046,0.053153992012006344,0.016191772411213657,0.016176776971762067,1.5
16,0.017217502002033938,0.03483256231010328,0.001787080788961241,0.09719633154004356,0.04402245071091725,0.05164202460465283,1.6
17,0.03552661721932304,0.06784712009436164,0.005750754317894887,0.1628920085731254,0.10291428587510654,0.13858952984753645,1.7000000000000002
18,0.06647582770867015,0.11923558192351111,0.01593481512639975,0.2505414532885364,0.2091834228669286,0.315174027523823,1.8
19,0.11433692131815165,0.19073711331635884,0.03853447105712682,0.35596818442289796,0.3737726930904526,0.6124501221997017,1.9000000000000001
20,0.18202811595147864,0.2806012982667132,0.0822539758728336,0.47189734679051987,0.5938471746634206,1.0260776122373323,2.0
21,0.26967202511624844,0.384056606737148,0.15651060677881884,0.5911564672002987,0.849449530335163,1.4970661487272388,2.1
22,0.3743336244522702,0.49489216404771236,0.2678071073605636,0.7093608530972083,1.109078703566761,1.9246899183623098,2.2
23,0.4906849902061987,0.607103404516449,0.41553579258813084,0.8244801964352847,1.3408576800202796,2.211388177722382,2.3000000000000003
24,0.6117737035098182,0.7156950403498681,0.5895689208706754,0.9336925151728616,1.5215095205117746,2.308705447686352,2.4000000000000004
25,0.7299158245793183,0.8164544552360602,0.7717011810588218,1.0309187180422892,1.6388767734548009,2.230972753325357,2.5
26,0.8381466620084598,0.9055465784678834,0.9408568788961378,1.1081909261840237,1.6904191013119163,2.033970069888377,2.6
27,0.9320615060518839,0.9799217965690782,1.079391338126099,1.1603184199630543,1.6818898682326582,1.7825904008169842,2.7
28,1.0108794168168735,1.0382043694434835,1.1770992948644332,1.1882362400408621,1.6266325337191063,1.5287613950726635,2.8000000000000003
29,1.076206644366873,1.0806192534676786,1.2318778371135788,1.1975056096175403,1.5427716810209726,1.3038320036048434,2.9000000000000004
30,1.1291769571358417,1.1077880441993229,1.2487245587825377,1.1937804660492082,1.4476482071417707,1.1204975899149623,3.0
31,1.1693072728107985,1.1203658271548829,1.23812816357823,1.1800592409982202,1.3529496730452428,0.9794849335971589,3.1
32,1.196124558895816,1.12025271013426,1.2126019030434996,1.1578100151373534,1.2639879350588181,0.877019130965303,3.2
33,1.2104513664742926,1.1112655518927657,1.1815048268311703,1.12961786202613,1.1826648844238774,0.8088851362679685,3.3000000000000003
34,1.213625226645059,1.0977846246700633,1.1482949412046142,1.100100755056841,1.1107743529668725,0.7701448620477355,3.4000000000000004
35,1.2068339959333323,1.0827338900917396,1.1129714889807856,1.0740596096429842,1.051022679766928,0.7543695355045087,3.5
36,1.1914834984669789,1.0666990783340584,1.0762787140413574,1.053419956994823,1.005903051110362,0.7550272791017645,3.6
37,1.168869627614217,1.0486717575048043,1.0409033912742374,1.0363439116280526,0.9761498659996076,0.7670854465483178,3.7
38,1.139584654691092,1.0278678906425456,1.0098802035872922,1.019966122496571,0.9601200440892819,0.7867668126968292,3.8000000000000003
39,1.1050013448253277,1.0053159246988161,0.9852705192663042,1.0036580574055,0.9543862459166361,0.810793337401171,3.9000000000000004
40,1.069455283850631,0.9838767526507182,0.9680105109514948,0.9892533434296424,0.9551680916184333,0.8363878650956098,4.0
41,1.03893938823804,0.9667166030257354,0.95789326503094,0.9788538473849384,0.9596536915326673,0.861460110463904,4.1000000000000005
42,1.0165126086738847,0.9556657247453484,0.9534591257946831,0.973170258648733,0.9661779278051553,0.8846214424375058,4.2
43,0.9998610237069351,0.9504966945150716,0.9525447786915453,0.9717894240575895,0.973307411028399,0.9051697180775422,4.3
44,0.9843960082366592,0.9492404330132962,0.9534394477599893,0.9743426511089915,0.9793206007384968,0.9227588221615605,4.4
45,0.9684466384686877,0.9495077033986231,0.9557556578238796,0.9808454544706334,0.9831174353527926,0.9371316921535588,4.5
46,0.9545782849123492,0.9502627686507851,0.9603067439336198,0.9906274545902982,0.9853946221076082,0.9484757338852818,4.6000000000000005
47,0.9461973510547246,0.9523933118888631,0.9679701141342881,1.0012893998723504,0.9881289038553109,0.9574633805295182,4.7
