,Li-Li,Li-Co,Co-Co,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,9.118339198854652e-07,0.0,0.0,0.5
6,8.566651210045912e-06,0.0,0.0,0.6000000000000001
7,5.6417058347570806e-05,1.1414809811899526e-07,0.0,0.7000000000000001
8,0.0002812111533883969,1.94824482311244e-06,2.5081369215599547e-07,0.8
9,0.00113914642151736,1.6651651213624994e-05,4.07942544994028e-06,0.9
10,0.003848829038037587,0.0001015909422763449,3.724233473975461e-05,1.0
11,0.011021298575784877,0.0004903136609231188,0.00023988861304192414,1.1
12,0.027151994424255015,0.0019546374773424546,0.0012016145292302089,1.2000000000000002
13,0.05838840179541241,0.00656929537867736,0.004940688394833242,1.3
14,0.11130487798395818,0.01887646320796438,0.017032800912121802,1.4000000000000001
15,0.1911358408645772,0.046890570317376264,0.04973624876346046,1.5
16,0.30025643817831815,0.10172248896298877,0.123855583587822,1.6
17,0.43723394358807904,0.19459007226192496,0.26480307313309626,1.7000000000000002
18,0.5963019820444136,0.33140756208288596,0.4897675752474353,1.8
19,0.7673629814208645,0.5074781005911906,0.7906561559676641,1.9000000000000001
20,0.936882299334326,0.7059691739495294,1.1257236407542413,2.0
21,1.0900823293482667,0.902045346844728,1.4305897829617402,2.1
22,1.2142782467481847,1.0708671747178238,1.64475695325772,2.2
23,1.3018241053966355,1.1951596956839925,1.7365551544670945,2.3000000000000003
24,1.3505212710212515,1.2686579806961904,1.7113392793769266,2.4000000000000004
25,1.3617040057822496,1.294672208933417,1.6016427563447941,2.5
26,1.339323617944657,1.2819904863299845,1.4492832568332048,2.6
27,1.291295062123202,1.241166156668373,1.290310453649723,2.7
28,1.2293182785296601,1.1827045132831484,1.1479300235805512,2.8000000000000003
29,1.164804006465733,1.1165662774241547,1.03263657535563,2.9000000000000004
30,1.104916628536848,1.0515139582005122,0.945989560713955,3.0
31,1.052601855079985,0.9939431395610566,0.8849362775291316,3.1
32,1.0087550586128327,0.947403745321118,0.84522168494241,3.2
33,0.9733983243659013,0.9134331830987158,0.8233748699994315,3.3000000000000003
34,0.9460252044240958,0.8925526428055394,0.8171733263674216,3.4000000000000004
35,0.9262957849634654,0.884413672333658,0.8250709372155414,3.5
36,0.9145388987814782,0.8875812661867757,0.8453331738974803,3.6
37,0.91115684230922,0.89965297085433,0.8754155830424984,3.7
38,0.9154087494282034,0.9177177856602625,0.911781339584123,3.8000000000000003
39,0.9252187655496235,0.9389925639631425,0.9501789197787492,3.9000000000000004
40,0.9383866065442714,0.9614248803238267,0.9863195637471975,4.0
41,0.9535398697888535,0.9838303522160833,1.0168593685969414,4.1000000000000005
42,0.9697284398349741,1.0053838143528786,1.0400875058046761,4.2
43,0.9856112654067077,1.0249218557471182,1.0556222499520178,4.3
44,0.999468312270025,1.0408084229284498,1.063495906171867,4.4
45,1.0098353400151734,1.0516068062141226,1.0638467968852983,4.5
46,1.0160129246122902,1.0568817719729315,1.057419939157705,4.6000000000000005
47,1.0181346910078275,1.0572849266972666,1.0458781639958108,4.7
48,1.0169155190793215,1.0538615008519463,1.0314321865119498,4.800000000000001
49,1.0132344375938742,1.0473877157879947,1.0162686472315847,4.9
50,1.0076370762010392,1.038475184598814,1.0021703455724233,5.0
51,1.000063333523082,1.028117826583603,0.9902944982088335,5.1000000000000005
52,0.9903908641601609,1.0177237270195179,0.9810674764467432,5.2
53,0.9794891394888103,1.0085321268777128,0.9742639581548233,5.300000000000001
54,0.9694076564259032,1.001246837313458,0.9693482566695097,5.4
55,0.962259412618338,0.9962115832010169,0.9659948800676611,5.5
56,0.9589976124383587,0.9936162701553265,0.9643137264748907,5.6000000000000005
57,0.9592134831423531,0.9934257819174648,0.9644437484922719,5.7
58,0.9617218844962059,0.9952811608926787,0.966067631318555,5.800000000000001
59,0.9651224657018316,0.9986246862051125,0.9686088812169575,5.9
60,0.9681993219326485,1.0029127199457282,0.9718069212612819,6.0
61,0.9703230235844454,1.0076640329762894,0.975857311899978,6.1000000000000005
62,0.9715846091210953,1.0123923663186454,0.9809648912071198,6.2
63,0.972447415951189,1.016705631777231,0.9868073273445149,6.300000000000001
64,0.9733677863639006,1.0205019908695545,0.9924039761506943,6.4
65,0.9746918439341673,1.0238524608470387,0.9965900972536139,6.5
66,0.9765733850335053,1.0265911739055538,0.9987852188427379,6.6000000000000005
67,0.9787959952076385,1.028215091889845,0.9993377670579533,6.7
68,0.9807429968714346,1.0283487856661673,0.99909975198041,6.800000000000001
69,0.9816722605440998,1.027190354089115,0.9987243561648208,6.9
70,0.9811339789526279,1.0253452509598346,0.998350090689911,7.0
71,0.9791886004332401,1.0233063032063106,0.9977286464587668,7.1000000000000005
72,0.9762105637088239,1.0212077878559012,0.9964752460463019,7.2
73,0.9725295117775694,1.0189448992312549,0.9943058139544306,7.300000000000001
74,0.9685136785434125,1.016378487588719,0.9912144884613046,7.4
75,0.96497400913541,1.0135368548275925,0.9874888132594651,7.5
76,0.9630034392137165,1.0108048266295044,0.9835744494192421,7.6000000000000005
77,0.9631385311377821,1.0088703374325123,0.9799454595002522,7.7
78,0.9648515218772459,1.008271300756318,0.9770322433799912,7.800000000000001
79,0.9668974431996692,1.0089129278321822,0.9751615826253558,7.9
80,0.9680607312734794,1.010150228200495,0.9745002306853885,8.0
81,0.9678056249168374,1.011401334751215,0.9750203584756253,8.1
82,0.9665897522247549,1.0126209298259266,0.9764499999444358,8.200000000000001
