,Li-Li,Li-Si,Li-Ge,Si-Si,Si-Ge,Ge-Ge,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,8.161183595347666e-07,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,5.3217602033067515e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,2.9567673392075465e-05,6.353862660737801e-07,0.0,0.0,0.0,0.0,0.9
10,0.0001319645996221252,5.5601110645791425e-06,2.833744303940161e-07,1.4168721519700806e-07,1.4168721519700806e-07,0.0,1.0
11,0.0004856308746342348,3.6384202717939314e-05,3.373816486158552e-06,4.484543893839037e-06,2.0684040136374253e-06,5.086610274108656e-07,1.1
12,0.0015403012442223299,0.0001895672746575992,3.1729529581391713e-05,5.602806989701629e-05,2.650086145165645e-05,7.907552325690594e-06,1.2000000000000002
13,0.0043734065617888574,0.0008124024562815734,0.00019970159745937515,0.0004087190182719169,0.00019945009022000255,8.009039441048267e-05,1.3
14,0.011358193194268817,0.002962601098334006,0.000982537176602489,0.0021578298508260997,0.001100637190775689,0.0005003550784886876,1.4000000000000001
15,0.026862980750826194,0.009380023625148908,0.003977051385216895,0.0091566516366947,0.0048619188633379825,0.002432894941188458,1.5
16,0.057068457627030264,0.026035205448934694,0.013458165062096988,0.03190903308388013,0.017712197024443998,0.009629036544661991,1.6
17,0.10796951000216337,0.06345926199621019,0.03837859894662537,0.09213573679841014,0.05372805081479229,0.031525775850364306,1.7000000000000002
18,0.1824083971422165,0.1358027524473325,0.09291368540884165,0.2219946481211046,0.13651586905019564,0.08607729014555762,1.8
19,0.2784294974766785,0.25555348714496506,0.19274565496979937,0.4500592652994476,0.2925210479257692,0.19763391255018203,1.9000000000000001
20,0.38988802771088865,0.42512112675616315,0.3466190326663746,0.7757886070864252,0.5331504161758578,0.38548631508364967,2.0
21,0.5079450697382206,0.6309571651359338,0.5477495364763446,1.1515369660055301,0.8355850786424377,0.6466498626380563,2.1
22,0.6227395358091559,0.845913130707342,0.7722100571985571,1.4938313093118947,1.1417047140276164,0.9464599113171334,2.2
23,0.7264113986274052,1.0392776914104636,0.9869756050645094,1.7222019498331431,1.383327558608756,1.2290203945936267,2.3000000000000003
24,0.816341375421962,1.187966311276627,1.162511349358811,1.798019342998489,1.5163593489438834,1.4434258287045698,2.4000000000000004
25,0.8946110061718151,1.2826213415943741,1.2818141975505912,1.7364520063189306,1.5370470650215475,1.5663170611923851,2.5
26,0.9630021293134119,1.3270375796057023,1.3421918014434162,1.5885148288178637,1.4726456214247776,1.6042754993985862,2.6
27,1.0189823177077495,1.3330672003166215,1.3518131132744151,1.4114225213898328,1.361001005459696,1.5787116773504621,2.7
28,1.0574500445239736,1.3144475044292863,1.3244845459291346,1.2472412603887888,1.2350095116107442,1.5104604400256403,2.8000000000000003
29,1.0755905666615166,1.2823765548466388,1.2746966281736687,1.116702257636233,1.1164397960459496,1.415726289395669,2.9000000000000004
30,1.0748573293947115,1.2440177531585528,1.2141290877511992,1.0234029616315128,1.0163595696844654,1.3090991055804753,3.0
31,1.0590987376272951,1.20351530696136,1.1506260079267465,0.9616599336960246,0.938488775612855,1.2042432411099937,3.1
32,1.0327885437075048,1.1637681851129182,1.0897312147929794,0.9236358017089422,0.8826953450135454,1.1113221902229453,3.2
33,1.0010250973144574,1.12712950566697,1.0366571185242777,0.902989382591082,0.8471815197612595,1.0359772086988381,3.3000000000000003
34,0.9694555046893557,1.0950218570870227,0.995932236513031,0.8946925626998754,0.8292597432354658,0.9804924900747781,3.4000000000000004
35,0.9433540264914241,1.0677173696269815,0.9691241454256405,0.893861186211444,0.825291193472324,0.9441398537131995,3.5
36,0.9265166459221393,1.044740076592435,0.9537734298790937,0.8962026413601818,0.8307751999285172,0.9227002171702977,3.6
37,0.9198013086603927,1.0255540741933178,0.9451840448790837,0.8993568539092439,0.8413989935809414,0.9103697993352385,3.7
38,0.9201430673503592,1.0103023159857154,0.9397313015689164,0.9029060025972168,0.8545694070602751,0.9040161994326353,3.8000000000000003
39,0.9222190856007262,0.9999665413663654,0.9370394867087188,0.9069984726105571,0.8697422289322227,0.9050378873305861,3.9000000000000004
40,0.922133725350987,0.9953166206288349,0.9392527711964975,0.9115672159900245,0.8871206504549461,0.916183324148167,4.0
41,0.9196564320483728,0.9955087476725183,0.9480868536099872,0.916746340293141,0.9064622986075919,0.9368187083976778,4.1000000000000005
42,0.9169474828549717,0.9981491970102783,0.9625991803684119,0.9231978191686226,0.9271579139124232,0.9615034915475905,4.2
43,0.9156522955707843,1.0010990772100055,0.9795525872036539,0.9316699567207529,0.9484578668716344,0.9825946414288063,4.3
44,0.9155177400652846,1.0042056670706685,0.9951508435256089,0.9424540986870135,0.9689344817347673,0.9943520347765624,4.4
45,0.9154447430176232,1.0088912103182208,1.0064992236038237,0.9550226373924185,0.9862753915926102,0.9959790183029525,4.5
46,0.9152619586379369,1.0159071164088969,1.0127881875108007,0.9677972005004173,0.9984600294509526,0.9918088905125284,4.6000000000000005
47,0.9163096275093969,1.0239899120457656,1.0157113362702235,0.97856264215639,1.005264656363578,0.9878162318353473,4.7
48,0.920534017066282,1.0309053889980508,1.0178142173259943,0.9855234878848896,1.0084296894642253,0.9867147148100135,4.800000000000001
49,0.9289587811110336,1.0352531719741687,1.0200281769917796,0.988137977329526,1.0103564311444848,0.9860554677558379,4.9
50,0.940922026268337,1.0370541262049005,1.021451547012515,0.9871851862671696,1.0125168696819977,0.9811771807288973,5.0
51,0.9548082353760744,1.0372491440791045,1.02139866926654,0.9841307199627284,1.0147972915857808,0.9699097096838747,5.1000000000000005
52,0.9690390621621892,1.0369332461765446,1.0205764456540403,0.9802030087940843,1.0161922934054655,0.9543878296214434,5.2
53,0.9818827408785081,1.0365667382657429,1.0201404306053605,0.9759578744484173,1.01601756944419,0.9392041684752506,5.300000000000001
54,0.991042189121088,1.0355911260107538,1.020500439794411,0.971656722915098,1.014466418704871,0.9289039396680446,5.4
55,0.9947246675457141,1.0330469638816178,1.0212633204725998,0.9677242930594819,1.0122590495563666,0.9266016269625569,5.5
56,0.9931862079612994,1.0286202296606186,1.0217301414404008,0.9646646219242121,1.0101478362383856,0.933021113171674,5.6000000000000005
57,0.9885640194401245,1.022804298807351,1.021239706679373,0.9628155805215705,1.0087049971796858,0.9461917544703145,5.7
58,0.9832764584252462,1.0161336973936668,1.0192975108718294,0.9623815931583517,1.008056743593342,0.962975320221067,5.800000000000001
