,Li-Li,Li-Si,Li-P,Si-Si,Si-P,P-P,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.29192267400591e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,1.0140997212425225e-05,1.4305026148162325e-07,0.0,0.0,1.4305026148162325e-07,0.0,0.9
10,6.010093226278565e-05,1.953583289328681e-06,4.083113636364357e-06,6.379865056819309e-07,3.739945505238088e-06,7.655838068183168e-06,1.0
11,0.00027377975856451067,1.746301688400388e-05,3.8306230534073374e-05,8.511934138256924e-06,4.6633039372723234e-05,8.565240721637047e-05,1.1
12,0.0010182340919004805,0.00011196167426426147,0.0002456972104354378,7.689287852483075e-05,0.0003450074031585485,0.0005460476709710304,1.2000000000000002
13,0.0031613066077645353,0.0005566732760369354,0.0012089144374376561,0.00047929403885713285,0.0018443939298453513,0.0026558760700819833,1.3
14,0.008398360410119887,0.002287743499541347,0.004818798965682562,0.00232576335447575,0.007908358902240951,0.01036775508251249,1.4000000000000001
15,0.01963842388812703,0.007896854944178579,0.01595717453621646,0.009265169599485892,0.02788309169805907,0.03303160990709823,1.5
16,0.04153100274800991,0.023125034638042573,0.04463930784302931,0.03080635652334783,0.08150733636854526,0.08692176486692603,1.6
17,0.08101401414189575,0.057878519896951836,0.10682070612665678,0.08604735183894363,0.19876860319553716,0.19117120759851147,1.7000000000000002
18,0.14677597898627776,0.12487517331986045,0.22097481151887924,0.20290319426615236,0.4074056644603279,0.356156932196951,1.8
19,0.2458864889078801,0.2346650027722682,0.3988850185795629,0.4064218667707703,0.7086987125534155,0.57047823429182,1.9000000000000001
20,0.37783407171281735,0.3886454431052251,0.6344739253426221,0.6971865930109252,1.0593487554777268,0.798201011754304,2.0
21,0.5307928436709158,0.5745890372760134,0.8995597177855275,1.0350038909856456,1.3814081345461837,0.991835465708428,2.1
22,0.6854565874454,0.768636932478834,1.1527339100151637,1.3468928710308385,1.5992441871270988,1.1135791914406554,2.2
23,0.8244313308933052,0.9435051272979406,1.3563794203635455,1.5601235720118722,1.6759012972543976,1.1506885131350935,2.3000000000000003
24,0.9387709202350618,1.0783263635838372,1.4893844515086434,1.6372317700731962,1.6234840250720721,1.116407024854024,2.4000000000000004
25,1.0271686131965188,1.164849850346757,1.5487261152479967,1.5883541363896387,1.4874245875185115,1.0393753153923344,2.5
26,1.0914976333353874,1.207397549516892,1.5439830904386667,1.4573619950300736,1.3218535890552554,0.9506876897673411,2.6
27,1.133570916244994,1.217587347066189,1.4916884898462384,1.2969701934190214,1.1707678777196358,0.8746214246237939,2.7
28,1.1543161973797118,1.2076897573541328,1.411169298756212,1.1486955433447716,1.059220079636804,0.8240180328116322,2.8000000000000003
29,1.1547232173192632,1.186774682190222,1.3204613059222035,1.034104346848599,0.9927718828083184,0.8002078901504216,2.9000000000000004
30,1.1376384264506245,1.160657085389712,1.2326764955248002,0.9562319039581695,0.9629564757965317,0.796949409720204,3.0
31,1.1087628119210717,1.1333121891222706,1.1544222760313627,0.90708650372826,0.9560458764864463,0.8059428197474903,3.1
32,1.0754141928977745,1.1074516587709728,1.0868741819018697,0.8764950435315022,0.9603406360355236,0.8207847230584903,3.2
33,1.0435455179581483,1.08422196616272,1.0288879053945619,0.8579590312645549,0.9683142966139254,0.8379333283772495,3.3000000000000003
34,1.015731626713346,1.06327561523149,0.980280898567285,0.8493351205407172,0.975358590982189,0.8554126096845067,3.4000000000000004
35,0.9918537230702756,1.0436795586425764,0.9430258502637947,0.8498710185164804,0.979107275365296,0.8713538761615065,3.5
36,0.9707937041819171,1.0250774720123244,0.9198513895125827,0.857528526119291,0.9797157649321914,0.8842487521770106,3.6
37,0.9515456993394859,1.008279005000251,0.911820357827096,0.86919795900634,0.9790685666946294,0.8941951664114474,3.7
38,0.9342385483129653,0.9949511391403856,0.9167794816897326,0.8826105882662147,0.9790473329606808,0.9028437689247634,3.8000000000000003
39,0.9208670129770565,0.9868819149143596,0.9297604205394931,0.8970333416073255,0.9807510903872453,0.9117916126031245,3.9000000000000004
40,0.9142475410283926,0.9852724601223863,0.9455697878749831,0.9119840686321901,0.9846727820646105,0.9214003294906794,4.0
41,0.9157347660705673,0.9900421720021826,0.9614697767084033,0.9258860403698285,0.9904536060662312,0.9310309917687841,4.1000000000000005
42,0.9240978307750094,0.9993561749157027,0.9768788894779725,0.9365110407553253,0.9966377234838191,0.9397911209844442,4.2
43,0.9363858945279457,1.010191536945499,0.9910264547505933,0.9428963437602501,1.0016403655390251,0.9468943303367665,4.3
44,0.9494961466796157,1.019909748926076,1.0025163102170858,0.946386506298185,1.004978332881712,0.9519001948935161,4.4
45,0.9610155045947013,1.027374262958433,1.0110355220364329,0.9492970597697785,1.0068974291485775,0.9551094441211798,4.5
46,0.9693583555447294,1.0325782612129866,1.017672467949737,0.9528244776534859,1.006968841828898,0.9574634759103904,4.6000000000000005
47,0.9739142625136927,1.0354637649947416,1.023252446874419,0.956727831602254,1.004058307013234,0.9596557833528098,4.7
48,0.975164984639479,1.0354347790350968,1.0275148946342583,0.960634478026217,0.9980814714710835,0.9614548650763416,4.800000000000001
49,0.9744545649419418,1.0322255471754498,1.0299865226284506,0.9648967133899903,0.9911959416965331,0.9622509768725067,4.9
50,0.9739046900799081,1.026944567169624,1.0306019949791774,0.9702224921606837,0.9866665202354294,0.9620370173129817,5.0
51,0.9761678272717027,1.0216646320279683,1.0292962198781437,0.9769875184331259,0.9865789002953388,0.961273090965578,5.1000000000000005
52,0.9826383082544514,1.0178686636291312,1.0256690199526122,0.984911903336996,0.9906231186330148,0.9600227157957677,5.2
53,0.9912974405334912,1.0155710044217772,1.0193836428724912,0.9930185495281003,0.9966593879297246,0.9578836033982349,5.300000000000001
54,0.9978574152651986,1.0138105599808176,1.0108607281871267,0.9999681014011095,1.002249970068778,0.9546870923504155,5.4
55,1.000004716157945,1.0115720308667684,1.0016078683494376,1.00486622153666,1.0060377050318332,0.9507364597845434,5.5
56,0.9992252020909081,1.0083685409631926,0.9937045434415913,1.007843441816933,1.0081245319924783,0.9463633805444419,5.6000000000000005
57,0.9979287650643193,1.0044469117907247,0.9886896755415511,1.009722467250881,1.0093563195679365,0.9417864596581188,5.7
58,0.9964828094085272,1.0005620292771298,0.9868861295526465,1.011186771166056,1.010236850859382,0.9377028269021375,5.800000000000001
59,0.9938802345436182,0.9974754157420437,0.9877758348234282,1.0121927422664836,1.0103641715237015,0.9356676122878201,5.9
