,Li-Li,Li-Au,Au-Au,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,3.520000652666932e-07,0.0,0.0,0.6000000000000001
7,2.704170313236038e-06,0.0,0.0,0.7000000000000001
8,1.5131123244651284e-05,0.0,0.0,0.8
9,6.738080910509582e-05,1.9893890655211038e-07,0.0,0.9
10,0.00024253112698136193,5.5560108473677435e-06,0.0,1.0
11,0.0007313630364189876,4.916990069573467e-05,0.0,1.1
12,0.0019116425199477054,0.0002959368011513181,0.0,1.2000000000000002
13,0.0045172207990890325,0.0014004133722762034,3.259259863580494e-07,1.3
14,0.010012704501659196,0.0054017270782987,5.095001923984526e-06,1.4000000000000001
15,0.021188737913415252,0.017357035113790047,4.6460507205151704e-05,1.5
16,0.04263528430597375,0.047140247322944466,0.00029599588295293084,1.6
17,0.08039397849261702,0.10969878131707067,0.0014705154423988826,1.7000000000000002
18,0.14024816892443398,0.22164539867955238,0.0059779714388008475,1.8
19,0.2251828796243654,0.39383878598988115,0.020325831769633634,1.9000000000000001
20,0.33359527457886523,0.6230960783894098,0.05829586570818853,2.0
21,0.4594212104910529,0.8884860251738115,0.14169758127897286,2.1
22,0.5938044851497002,1.155603907425814,0.29324152517633817,2.2
23,0.7271915143000605,1.387259620115602,0.5196100823600214,2.3000000000000003
24,0.8509922427996606,1.555414145075254,0.7944436791983052,2.4000000000000004
25,0.9583449102779337,1.6488250686054127,1.0593876484245948,2.5
26,1.044301579536423,1.672889443106967,1.250464246608061,2.6
27,1.1063303828413573,1.6428630412035736,1.3321491067337268,2.7
28,1.1450830038884006,1.5759147794545423,1.3117609467640223,2.8000000000000003
29,1.1640452011658138,1.4865930936585476,1.2258725490443942,2.9000000000000004
30,1.1674893241373656,1.3860611098044253,1.1153006336997935,3.0
31,1.1585659368765087,1.2832658355648037,1.009149198464054,3.1
32,1.1396634890525486,1.1861344965216256,0.9232133138047546,3.2
33,1.1141637265091915,1.1013732633799602,0.8643929757174854,3.3000000000000003
34,1.086630590757042,1.0328912817073177,0.8332033335350296,3.4000000000000004
35,1.0607434166597807,0.9808179877821679,0.8245757640055064,3.5
36,1.0376175562582506,0.942769352391329,0.8299044768639005,3.6
37,1.0166383986671843,0.9162510715520109,0.8399822899350541,3.7
38,0.9976186524608794,0.8996971445393361,0.8473239928014437,3.8000000000000003
39,0.9817063978543518,0.8917841157205652,0.8482383583986276,3.9000000000000004
40,0.9702943234982497,0.8907915425194628,0.8441849593966869,4.0
41,0.9636357368078988,0.8949919328714646,0.8403251475872834,4.1000000000000005
42,0.960959608298616,0.9031262952438983,0.8419844742122955,4.2
43,0.9615861233146942,0.914172514506363,0.8526210677519339,4.3
44,0.9653246243216187,0.9269719304191364,0.8741108125143969,4.4
45,0.9718154170771792,0.9404286460511777,0.9064901726336603,4.5
46,0.9799664951360497,0.9538622966355379,0.9462908533716852,4.6000000000000005
47,0.9881806875927134,0.9669471932516605,0.9865082066504319,4.7
48,0.9949587190911794,0.9794414140541627,1.0199574419023962,4.800000000000001
49,0.9993881211490777,0.9911308112019688,1.0431470452244722,4.9
50,1.0014958840008372,1.0019007245642726,1.0570406718635559,5.0
51,1.0023216290492025,1.01168134268259,1.0649703115834006,5.1000000000000005
52,1.0032371528363806,1.0202430921478722,1.0701928986347968,5.2
53,1.004678128517037,1.0269715407212188,1.0740772950937152,5.300000000000001
54,1.0055843542761698,1.030904022978295,1.0751170196398803,5.4
55,1.0045168418032395,1.031230258759192,1.070075091476397,5.5
56,1.0013803800798335,1.027955601484736,1.0570872449115185,5.6000000000000005
57,0.9977339934148098,1.0219829438123977,1.0377382185543178,5.7
58,0.9953705836626476,1.0144653479684356,1.0161739446753746,5.800000000000001
59,0.9948685278490298,1.006314976340265,0.9968814330233129,5.9
60,0.9955012429839988,0.998352835938805,0.9832354980601841,6.0
61,0.996171447027055,0.9914268762716143,0.976898008551328,6.1000000000000005
62,0.9962685718156398,0.9860794098258985,0.9776397555514466,6.2
63,0.9958202218800862,0.9824113372392309,0.9838115363051658,6.300000000000001
64,0.9951220307441991,0.9804885134209359,0.9930544007502485,6.4
65,0.9944238503608309,0.9806483799057236,1.002236311695618,6.5
66,0.993888296922662,0.9831251297985207,1.0072535099021709,6.6000000000000005
67,0.993576692988168,0.9874334100404482,1.0045885614383152,6.7
68,0.9933573404004786,0.9924447188012488,0.9944052145843084,6.800000000000001
69,0.9929897093130632,0.9972543993380469,0.9817976033034929,6.9
70,0.9924256192555795,1.001754624133384,0.9736069086058096,7.0
71,0.9919231427602906,1.0061026633669177,0.9732593958358827,7.1000000000000005
72,0.991792475787627,1.009892578097127,0.9788575319981809,7.2
73,0.9921716686144392,1.0122841253860737,0.9859108229047508,7.300000000000001
74,0.9930945913209939,1.0128273812841893,0.9908295034017043,7.4
75,0.9945584608169816,1.011662607456186,0.9919240502717884,7.5
76,0.9963551539739793,1.0089508716973314,0.9889549861342495,7.6000000000000005
77,0.9980125875054425,1.004705727634783,0.9832144828562812,7.7
78,0.9990831067142243,0.9993910856248981,0.9772964005343144,7.800000000000001
79,0.9994153303817241,0.9942890376263414,0.9733118159569714,7.9
80,0.9991493180855863,0.9909627261797286,0.9713261363776747,8.0
81,0.9986428168949888,0.9903289028509521,0.970188606411415,8.1
82,0.9983735424145757,0.9921501334732766,0.9694704253921593,8.200000000000001
