,Li-Li,Li-Pt,Pt-Pt,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,3.522440749632597e-07,0.0,0.0,0.6000000000000001
7,3.831138536661171e-06,2.30132795642663e-07,0.0,0.7000000000000001
8,2.46356395379557e-05,3.051353835930737e-06,0.0,0.8
9,0.00012010786011128019,2.4959270806108762e-05,0.0,0.9
10,0.00047473501701923124,0.0001491789774741558,0.0,1.0
11,0.0015445003284202984,0.0007095957223630193,0.0,1.1
12,0.004217558301242984,0.002794175853311393,0.0,1.2000000000000002
13,0.009893179720709348,0.009296137708179131,5.479352277206263e-07,1.3
14,0.020533981163369224,0.026385772059359335,7.816654280513112e-06,1.4000000000000001
15,0.03894998527892492,0.0643821985100921,7.961942649094751e-05,1.5
16,0.06931690003673147,0.13614750599977116,0.0005282428812549342,1.6
17,0.11708080219116042,0.2520542977490314,0.0026501461663623986,1.7000000000000002
18,0.1871525752417526,0.4137783628342064,0.010833886633987592,1.8
19,0.28070335129197377,0.611553795054668,0.036685042114997506,1.9000000000000001
20,0.3929800887915684,0.8270957863022561,0.10345191000222773,2.0
21,0.5146347168238523,1.0391877660636917,0.24415729478393156,2.1
22,0.6356906067462917,1.2277185733660767,0.4856795379681409,2.2
23,0.748216943877257,1.3758580415241792,0.8224671689184223,2.3000000000000003
24,0.8457604492714994,1.47257793367801,1.2013275442216738,2.4000000000000004
25,0.9224245757924598,1.515303723805486,1.5377036469891994,2.5
26,0.9744646356914546,1.5099340526376166,1.7559952614698744,2.6
27,1.0025119221423378,1.4674458006371456,1.8232138124459334,2.7
28,1.0110549735460945,1.3999061265112511,1.754572410135974,2.8000000000000003
29,1.0056678665693162,1.3184894111348746,1.5955151161596175,2.9000000000000004
30,0.9913369895815841,1.2328850306247947,1.3975845230222728,3.0
31,0.9728624382114702,1.1505268554238206,1.201566996159102,3.1
32,0.9551121659304729,1.0759802481208773,1.0321580169680191,3.2
33,0.9417508196362494,1.011522224966631,0.9007783709767679,3.3000000000000003
34,0.9339830352716151,0.9584301923707105,0.8101286878725859,3.4000000000000004
35,0.9308659973489889,0.9177406821487647,0.7569655075729258,3.5
36,0.9307709273083451,0.8900232403874645,0.7342038133454971,3.6
37,0.9327138624693693,0.8747458134692077,0.7338307369845553,3.7
38,0.9369358111937703,0.8701669860861053,0.7495366696433847,3.8000000000000003
39,0.9444796661717939,0.8741474902179972,0.7772795290621314,3.9000000000000004
40,0.9557908104739619,0.8851613351453995,0.814056261715466,4.0
41,0.9696385891746299,0.9025046821145895,0.856665930588127,4.1000000000000005
42,0.9837751501157719,0.925612645604024,0.9014145154955823,4.2
43,0.9966399299244841,0.9531973678915407,0.9444973616049066,4.3
44,1.0079032453665167,0.9828468125683968,0.9827540498104885,4.4
45,1.0174664568234293,1.011345003067656,1.0145987157475798,4.5
46,1.0247045670279626,1.0355268736161554,1.0403012553369044,4.6000000000000005
47,1.028766767171333,1.0530923366493885,1.060905685212861,4.7
48,1.0291725424100078,1.0629852109012128,1.0765521444692376,4.800000000000001
49,1.0261972483898212,1.065429976359618,1.0859862146834838,4.9
50,1.0210127990880626,1.061814729256314,1.0878976349269232,5.0
51,1.015260849140024,1.0542477239423014,1.0826437169446614,5.1000000000000005
52,1.0101764334072585,1.0446700087265115,1.072483338039511,5.2
53,1.0059304787321142,1.0341404495294926,1.0600865806013278,5.300000000000001
54,1.001786954171661,1.0229740507917149,1.046858508353219,5.4
55,0.9970689365094967,1.0114163142670782,1.0327068416050682,5.5
56,0.9920486933453927,1.0000631450667117,1.0172742301459505,5.6000000000000005
57,0.9876822189982991,0.9897843551114056,1.0011177626763221,5.7
58,0.9844446569445109,0.981375083241468,0.9856453082555973,5.800000000000001
59,0.9818242481798043,0.975338004781968,0.9722865580259262,5.9
60,0.9792190298522572,0.9719645922370898,0.9620602049312365,6.0
61,0.9770279169882439,0.971370199127207,0.9557181953362036,6.1000000000000005
62,0.9764022860790018,0.9731961797508327,0.953707405233504,6.2
63,0.9780537742025803,0.9764803048486455,0.9558013933508643,6.300000000000001
64,0.9817351566529452,0.9802103598442328,0.9611062422034226,6.4
65,0.9867153423736816,0.984087964952056,0.9685961547182812,6.5
66,0.9922607008767909,0.9885344600035267,0.9774750372602056,6.6000000000000005
67,0.9977044634231907,0.9937783740455276,0.9870319783154382,6.7
68,1.0024320561092979,0.9990987424553551,0.9964638973711534,6.800000000000001
69,1.0058611131872066,1.003255084436661,1.0050428311816593,6.9
70,1.007500759179587,1.0056161180751415,1.0123263817478327,7.0
71,1.0073251381445156,1.006587552717678,1.0180513835951661,7.1000000000000005
72,1.0059383374509439,1.0070014945893937,1.0219626578397603,7.2
73,1.0039426321592124,1.0074114782439043,1.0239939730072132,7.300000000000001
74,1.001239625857251,1.0079767539906415,1.0245585578678276,7.4
75,0.997422680775888,1.0086595834362928,1.0243584882605197,7.5
76,0.9927975939053543,1.0093060781918457,1.0237856069154525,7.6000000000000005
77,0.9885963540053136,1.0096261601942111,1.0225639841206915,7.7
78,0.9861341029977428,1.0092614311188197,1.0200247909762588,7.800000000000001
79,0.9859226133813312,1.0080016862916406,1.015746260056694,7.9
80,0.9875695167186496,1.0059915641041022,1.0099580651283155,8.0
81,0.9902380078189439,1.0036915722225566,1.003323310883748,8.1
82,0.9930358994530697,1.0015659345256973,0.9964231576663579,8.200000000000001
