,Zn-Zn,r
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,0.0,0.8
9,0.0,0.9
10,6.334338652492697e-08,1.0
11,1.891180095876279e-06,1.1
12,2.0304718765183596e-05,1.2000000000000002
13,0.00014706811407350954,1.3
14,0.0007927171830950968,1.4000000000000001
15,0.0034458196457027236,1.5
16,0.012440333303191891,1.6
17,0.03772411454019787,1.7000000000000002
18,0.09669647746801398,1.8
19,0.2107572229711909,1.9000000000000001
20,0.39347747649659626,2.0
21,0.635361234519392,2.1
22,0.8987277900783301,2.2
23,1.132168350267794,2.3000000000000003
24,1.2963036456205477,2.4000000000000004
25,1.3803311239780585,2.5
26,1.3980723276791809,2.6
27,1.3719916109165242,2.7
28,1.320785449102297,2.8000000000000003
29,1.25664988414645,2.9000000000000004
30,1.187904601238472,3.0
31,1.1212089094279647,3.1
32,1.0614677467659097,3.2
33,1.0109167751882628,3.3000000000000003
34,0.9694845853872506,3.4000000000000004
35,0.9365674005322262,3.5
36,0.9123494226660783,3.6
37,0.8974224230135017,3.7
38,0.8916987741181749,3.8000000000000003
39,0.8941613240924802,3.9000000000000004
40,0.9034167093709763,4.0
41,0.9179752495779008,4.1000000000000005
42,0.9360535759696642,4.2
43,0.9556746310709527,4.3
44,0.9751708610306269,4.4
45,0.9932880913202314,4.5
46,1.0088138090318648,4.6000000000000005
47,1.0205569811695574,4.7
48,1.0278870059151826,4.800000000000001
49,1.0311138421344765,4.9
50,1.0312441086027362,5.0
51,1.0293540486939547,5.1000000000000005
52,1.0260996204215818,5.2
53,1.0217644641744694,5.300000000000001
54,1.0166758690458262,5.4
55,1.011307377183432,5.5
56,1.005913850976912,5.6000000000000005
57,1.0004137476770227,5.7
58,0.9948787038271824,5.800000000000001
59,0.989951921878824,5.9
60,0.986579746899096,6.0
61,0.9853904446495407,6.1000000000000005
62,0.9863330157949447,6.2
63,0.9887443050970062,6.300000000000001
64,0.9916753149417847,6.4
65,0.9942720912543844,6.5
66,0.9960474751365436,6.6000000000000005
67,0.9969896566856457,6.7
68,0.99752145158762,6.800000000000001
69,0.9982324566756191,6.9
70,0.9994050646313756,7.0
71,1.0007214705226792,7.1000000000000005
72,1.0015306314369787,7.2
73,1.0014465615553758,7.300000000000001
74,1.0006907063133756,7.4
75,0.9998915088182184,7.5
76,0.9995291178408563,7.6000000000000005
77,0.9995119273565329,7.7
78,0.9993318818846665,7.800000000000001
79,0.9986961496906318,7.9
80,0.9978803195984187,8.0
81,0.9973601591988707,8.1
82,0.9972826527635572,8.200000000000001
83,0.9974605595670404,8.3
84,0.997662205030999,8.4
85,0.9977065962475404,8.5
86,0.9975048159531558,8.6
87,0.9972378232706647,8.700000000000001
88,0.997351230594926,8.8
89,0.9981601352571907,8.9
90,0.9995033196522674,9.0
91,1.0008884360234938,9.1
92,1.0018686266442898,9.200000000000001
93,1.0021567520655479,9.3
94,1.001523444163424,9.4
95,0.9998868078348893,9.5
96,0.9975653053050406,9.600000000000001
97,0.9952412864814046,9.700000000000001
98,0.9935338697858723,9.8
99,0.9926252459181651,9.9
100,0.9923012122724253,10.0
