,Li-Li,Li-As,As-As,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,6.567875933498627e-07,0.0,0.0,0.7000000000000001
8,5.8862784320381965e-06,0.0,0.0,0.8
9,3.5103448152012915e-05,9.942718757458999e-08,0.0,0.9
10,0.00016597347053518168,3.3976311918687365e-06,1.8624185228092178e-06,1.0
11,0.0006374201749115203,3.4194447100368316e-05,2.217369544473015e-05,1.1
12,0.0020464502983047715,0.00022264764486628082,0.00015623891168382617,1.2000000000000002
13,0.005639718864859339,0.0011167668723699718,0.0008145798626526872,1.3
14,0.013704584621842854,0.004558260639639859,0.0033971248591010863,1.4000000000000001
15,0.03002694113331164,0.01548681450230467,0.011660158616214208,1.5
16,0.060151372018106955,0.04444017329607285,0.03329752825183678,1.6
17,0.1107730871869814,0.1090423018819581,0.07979985195922891,1.7000000000000002
18,0.1877377547058209,0.23147636218046266,0.16197522313671217,1.8
19,0.2930755452174769,0.42984553351012517,0.2815822213814948,1.9000000000000001
20,0.4226411794131875,0.7054648884582522,0.4253265368421998,2.0
21,0.5661000930917593,1.0332061932610712,0.5684365297693903,2.1
22,0.7097625732417782,1.363490883478711,0.6865153899134869,2.2
23,0.8408391200167824,1.6388770607561982,0.7656700843343891,2.3000000000000003
24,0.9507530478161217,1.817164205956558,0.8039350125200336,2.4000000000000004
25,1.0360611584806967,1.885924896864543,0.8067881545702636,2.5
26,1.0971816697954013,1.8597013885746057,0.7827187613726299,2.6
27,1.1363380071154217,1.7661018166028637,0.74108149002716,2.7
28,1.1562395392732352,1.6337528030102917,0.6916353510319394,2.8000000000000003
29,1.1599233438012269,1.4872801709354477,0.6443852913830483,2.9000000000000004
30,1.15101812239174,1.3456088699782227,0.6079966738492997,3.0
31,1.1336623731338242,1.220441029313549,0.5871181775728438,3.1
32,1.111881797991389,1.1159884785571572,0.5815832199895249,3.2
33,1.088655950508646,1.0311991178327253,0.5881624406835081,3.3000000000000003
34,1.0654301201349734,0.9633272338056901,0.602123005365775,3.4000000000000004
35,1.0427719466069418,0.9105440041535284,0.6181525072737649,3.5
36,1.021571054729109,0.872193748373711,0.6327476141124839,3.6
37,1.0032930729873208,0.8474402569643144,0.6469531702225048,3.7
38,0.9891781351604501,0.8345406414590413,0.6661077270955365,3.8000000000000003
39,0.9797236495741651,0.8315906792664575,0.6966532730898084,3.9000000000000004
40,0.9749147318622939,0.8371034251701136,0.7425095259444398,4.0
41,0.9744354452111028,0.8493196174769719,0.802442877346167,4.1000000000000005
42,0.9774762186913811,0.8656734833405878,0.8694361855773287,4.2
43,0.9825969298141363,0.8838214108747794,0.9335590407720578,4.3
44,0.9880487459382089,0.9029836488493816,0.9873120254377253,4.4
45,0.9924540124266298,0.9235522927864388,1.0288991859240626,4.5
46,0.9953020890722237,0.9452719438408934,1.0599451743796904,4.6000000000000005
47,0.9967997524252615,0.9662881465361157,1.0807083499868313,4.7
48,0.9973419240161778,0.9842325519771384,1.0893438794620636,4.800000000000001
49,0.9972704084707567,0.9979995702843119,1.085999443446436,4.9
50,0.9969883968208912,1.0083130986113789,1.075617268185513,5.0
51,0.99696381782981,1.0167826703267056,1.0652219893995978,5.1000000000000005
52,0.9974676004024924,1.0244904565764252,1.058684464302117,5.2
53,0.9983951277877398,1.0311695437987956,1.0544658837925023,5.300000000000001
54,0.999399191360113,1.0354443749380566,1.0480007918550112,5.4
55,1.0000835842606621,1.0358670285029448,1.0358072472887698,5.5
56,1.0000263571096337,1.0319438461741044,1.0178468043767777,5.6000000000000005
57,0.9989515546600547,1.024528535068133,0.9972131965104107,5.7
58,0.9971437255643758,1.0155575858107844,0.9782794273294871,5.800000000000001
59,0.9954425539764803,1.007304557388207,0.9647668851865038,5.9
60,0.994524211176075,1.0012854618241072,0.9584221493406201,6.0
61,0.9943680217255415,0.9975294313490479,0.9586464656892623,6.1000000000000005
62,0.9946193861466003,0.9950695302730042,0.9631602806397228,6.2
63,0.9951933773682253,0.9932332135025989,0.9691122563527018,6.300000000000001
64,0.9962068729663367,0.9922409210475759,0.9739428331171119,6.4
65,0.9974741236232034,0.9926003638200085,0.976245334875186,6.5
66,0.9983816560719669,0.9942755967128866,0.9765605207151098,6.6000000000000005
67,0.9983154121505893,0.9966371263124196,0.9769916534864846,6.7
68,0.99716039781659,0.9990258765673041,0.9794735336313898,6.800000000000001
69,0.995432195550718,1.0011182036650932,0.9842254855837236,6.9
70,0.9938985143634117,1.0027470062612125,0.9898930589002333,7.0
71,0.9929843404156132,1.0036306524932954,0.9951037067782065,7.1000000000000005
72,0.9925620770377017,1.0035460116516668,0.9997196046920618,7.2
73,0.9923175090603327,1.002747923589569,1.0045036070777522,7.300000000000001
74,0.9921778113186623,1.001947654287177,1.0098241654798372,7.4
75,0.9923499203598024,1.0017242744768358,1.0151137733531104,7.5
76,0.993102422010281,1.0020737364397578,1.0195870904052207,7.6000000000000005
77,0.9945783784550708,1.0026512422376366,1.0231333134622438,7.7
78,0.9966775121428794,1.0033134324833353,1.0263150854372807,7.800000000000001
79,0.9989821959030243,1.004190307560395,1.0294677569171227,7.9
80,1.0008268624109147,1.0052472115060938,1.0320352458078876,8.0
81,1.0016157186921049,1.006038756350771,1.0332092978795313,8.1
82,1.001205745667162,1.0060432443820067,1.0328574304228668,8.200000000000001
