,Li-Li,Li-Ti,Li-Si,Ti-Ti,Ti-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,2.2041975202651437e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,2.007484753295788e-06,1.900558065942904e-07,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.234173612053411e-05,1.5704389872807524e-06,0.0,0.0,0.0,0.0,0.7000000000000001
8,5.95885748183183e-05,9.90806874076957e-06,0.0,0.0,0.0,0.0,0.8
9,0.00023516782591200436,4.753734042299536e-05,9.022718569113027e-07,6.18700701882036e-06,0.0,0.0,0.9
10,0.0007855345130464405,0.0001878061962127855,8.527908292724526e-06,8.817271862418766e-05,6.89832186897795e-07,4.5988812459853005e-07,1.0
11,0.0022778205617112563,0.0006197907114636593,6.064016560399331e-05,0.0006121115418193871,6.355658409058224e-06,8.364633372518698e-06,1.1
12,0.0059147980118468375,0.0017535832204757555,0.0003236902836862503,0.00309378369957342,4.5944819272765486e-05,7.666688971533935e-05,1.2000000000000002
13,0.014096000976897465,0.004318467825502932,0.0014041774526671264,0.012487900761529619,0.00025916189094770824,0.000472556962304138,1.3
14,0.031211190813028915,0.009387986117198526,0.005106030889455387,0.04082310155661862,0.0011974973221358255,0.002272374468069656,1.4000000000000001
15,0.06413771662191392,0.018278102876594877,0.01581149477709768,0.10872066133461268,0.004677539070440683,0.008910111244400484,1.5
16,0.12133220193300975,0.032450915154225594,0.04205181657556852,0.23745300061622307,0.015739653985681355,0.02905403355661995,1.6
17,0.20980766203992843,0.05371961819142977,0.09670084381437938,0.42939543462288016,0.04589292746789497,0.07945104343180323,1.7000000000000002
18,0.33117182330327843,0.08473735307279617,0.19370166203035674,0.6526829415500939,0.11613890117561718,0.1835457208661425,1.8
19,0.47945448566562743,0.12901565078217503,0.3411649362118216,0.8546049314654486,0.2556008982491971,0.3610733321994576,1.9000000000000001
20,0.6425174786073624,0.18972783564370865,0.5344625192068473,1.001833246292888,0.491249455409104,0.6106514898853489,2.0
21,0.8059588074740129,0.26781040667804246,0.7544984738798215,1.1090369382436607,0.8301078720799835,0.8983965690444612,2.1
22,0.9568163206087876,0.3606381921676488,0.9731406062780685,1.2258819185097396,1.2441358740533,1.16657114746971,2.2
23,1.0857026684686355,0.4616857914876555,1.1625708109798134,1.399171489834685,1.6705241727094418,1.3596789106053577,2.3000000000000003
24,1.1878020523107025,0.5611781172392177,1.3031843085537178,1.6469931239817581,2.0313765631224103,1.4483056573940234,2.4000000000000004
25,1.2627334483721897,0.6484122530125972,1.3867643271854204,1.956605387413342,2.2633562100097606,1.435300379124891,2.5
26,1.3124994658915732,0.7156189109803202,1.4153381767890054,2.292856782853663,2.3402953409074168,1.3466929353105705,2.6
27,1.338936593644272,0.7608087133962551,1.3978950921503124,2.6066853412195536,2.2761469270985133,1.2178815091665967,2.7
28,1.3435256503067623,0.7871970574235647,1.3468208448739067,2.8456368036280315,2.1097332838412206,1.0815373694169315,2.8000000000000003
29,1.329210230892867,0.8001378419815446,1.275205418380754,2.968908863353175,1.8847822554798108,0.9601703801913541,2.9000000000000004
30,1.301031924746202,0.8042881280510734,1.1955074426689825,2.960840829396312,1.638150085922339,0.8647867929769868,3.0
31,1.2646779330972584,0.8024138839019271,1.1186618127697858,2.8338303770855577,1.3981638984920983,0.797791082845989,3.1
32,1.2250994024849944,0.7959212428891181,1.052412442986018,2.6196010813393396,1.1860997313223354,0.7569263530886075,3.2
33,1.1862464526760264,0.786459805389724,0.9997893342102838,2.3567354068799267,1.0153475426812413,0.7388138222594244,3.3000000000000003
34,1.1507554532374236,0.7769462131348631,0.9598975217613717,2.0811622756078654,0.8899688076030352,0.7412817080897081,3.4000000000000004
35,1.1193850141526307,0.7706297888388367,0.9306837836962703,1.8202434445918934,0.8064179760627975,0.7629791442889228,3.5
36,1.091588966170418,0.7690939923800878,0.9107192586812561,1.5902185316700232,0.7579796974987216,0.800610614037851,3.6
37,1.0670752130458088,0.7715352067542811,0.8986404752055396,1.3979433484498847,0.7381726439625094,0.8467463168589002,3.7
38,1.046522703008128,0.7762700910519941,0.8924020136743425,1.2453707900740887,0.7411550775982063,0.8910539187213097,3.8000000000000003
39,1.0308209304621967,0.7829314820644113,0.8902870687989993,1.1329570840602854,0.7611262890258853,0.9251040391154572,3.9000000000000004
40,1.0199740551773337,0.7930135635989841,0.8923138998593456,1.0600287227761593,0.7929272558100272,0.9471358718740202,4.0
41,1.0128754160495992,0.8081335828996389,0.8997060755038545,1.0234787281772886,0.8330384132159003,0.9617726842289984,4.1000000000000005
42,1.0079866901846697,0.827955019631432,0.9129175635332955,1.0172855976405675,0.8791038305044566,0.9744305591856651,4.2
43,1.0041962888607197,0.8501241765188196,0.9306437921471065,1.0337877423224677,0.9283155989226927,0.9867382517416481,4.3
44,1.0012815937180284,0.8721023877528836,0.95059125769561,1.0654495578358227,0.976539074562768,0.9976884899823347,4.4
45,0.999844087091998,0.8927206498564715,0.9704303329006332,1.105299937340934,1.0192482158633451,1.0071935848137834,4.5
46,1.000601354826463,0.9121674452218682,0.9879671061089255,1.1461748223412251,1.053631965719833,1.016229749672284,4.6000000000000005
47,1.0033692230798124,0.9309448482353804,1.00140442108248,1.1809409220239944,1.0798346686363318,1.0241784927962703,4.7
48,1.006709241087366,0.9488165455613736,1.0101352975922153,1.2045347230200671,1.0999081989374246,1.0284153419256516,4.800000000000001
49,1.0088440032647503,0.9645204434926661,1.0149262228689546,1.215506636333229,1.1153821657626826,1.02695249160171,4.9
50,1.0090605149555496,0.9765342199949799,1.0170679493604948,1.2151840331888102,1.1256672030847181,1.0202485666015304,5.0
51,1.0080294937019885,0.9842570351458699,1.0176428040903789,1.2058778113891662,1.1285825414915998,1.010279919910371,5.1000000000000005
52,1.006712205251693,0.9884795308643374,1.0174067628255787,1.1900264831005096,1.1225027700977745,0.998793381643537,5.2
53,1.005300333160549,0.9907819381747821,1.016583634065512,1.1700404747005937,1.1082148851261824,0.9864971703811501,5.300000000000001
54,1.0033898477957257,0.9925886119837951,1.014716255323596,1.1479518149995485,1.0885633292282897,0.9730626054837949,5.4
55,1.0008444333064295,0.9946840304246601,1.0114293675504216,1.124655325509106,1.0663022434095295,0.9578792080171369,5.5
56,0.9981860753870272,0.9972821190841079,1.0076411830494323,1.0993379321809305,1.0429053511409998,0.9412817124675907,5.6000000000000005
57,0.9961040257778031,1.0003288136191144,1.0054537519703284,1.0704948219721757,1.0195685170825088,0.9252146964122143,5.7
58,0.9946165377636474,1.0036835485577413,1.006281252168109,1.0385117227718785,0.9982258496605709,0.9124986238850299,5.800000000000001
