,Li-Li,Li-Si,Li-N,Si-Si,Si-N,N-N,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,1.3706837065641877e-06,0.2
3,0.0,0.0,0.0,0.0,0.0,8.370254633428079e-05,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0007480382135449851,0.4
5,0.0,0.0,0.0,0.0,0.0,0.004182244396091873,0.5
6,1.748321054291055e-07,0.0,3.496642108582109e-06,0.0,1.0839590536604537e-05,0.018311081052183986,0.6000000000000001
7,2.510732242493869e-06,0.0,4.762557562636721e-05,0.0,0.000193435350059944,0.0639913384177927,0.7000000000000001
8,1.7806308816403935e-05,0.0,0.00033576307263285724,0.0,0.0014999329841809293,0.17898738438075965,0.8
9,9.41748310750787e-05,2.371425097861916e-07,0.001748385800493398,0.0,0.008146557183902102,0.4014787765692945,0.9
10,0.000400364862901953,3.9789039406815825e-06,0.00728791849453248,0.0,0.034941273773389556,0.723643896022266,1.0
11,0.0014067694041311157,3.206843528393756e-05,0.02486979650118673,5.6953616616240484e-06,0.12163012464886822,1.0504298235544602,1.1
12,0.004158889338934379,0.00019109888345736776,0.07036579824872997,6.249607179175061e-05,0.3462091970458072,1.2310912092953101,1.2000000000000002
13,0.010563886129530797,0.0008946468460244127,0.16696543402968744,0.00043725490048635387,0.8099626814597916,1.1685853378340356,1.3
14,0.023601424129624782,0.0034639221203900273,0.33634990437812945,0.002234761423488637,1.5659816572173282,0.9023439550005485,1.4000000000000001
15,0.047437491802793455,0.011282763517876567,0.5830298251152253,0.009193383863057392,2.5180348986400323,0.5708903166048009,1.5
16,0.08722977379910793,0.03130832205599292,0.8821514909194013,0.031099721395328506,3.3936549587009086,0.3004990355277555,1.6
17,0.1479534500781627,0.07476921324369808,1.1826427239569668,0.08737721892131738,3.8719866932842133,0.13739056366973637,1.7000000000000002
18,0.2319188519242243,0.1552381265630977,1.427291457931178,0.2054633599798825,3.7899735585366074,0.06298907971509002,1.8
19,0.33649581684889074,0.2832920203190963,1.5778519338809336,0.4077262198679179,3.240981624936166,0.04133777068076332,1.9000000000000001
20,0.45461759902855414,0.4598860799866935,1.628551483944884,0.6898543395543401,2.4826500353977754,0.04800318508730838,2.0
21,0.5781960269436878,0.6727544165680346,1.6004006568439277,1.0080340110714674,1.761790882813726,0.07416610738855171,2.1
22,0.7009445181502368,0.898764488346139,1.5242313542210686,1.2917811879119414,1.2085803833251179,0.12097110147044365,2.2
23,0.8178660950916206,1.1108787767796309,1.4267045296133665,1.4770840687203146,0.8407047813365487,0.19372397003241054,2.3000000000000003
24,0.9231747812893611,1.2854321062956493,1.3254548966847448,1.5356004327698134,0.6196118673592896,0.29694759852531366,2.4000000000000004
25,1.0101291992034656,1.4069125059955698,1.2298695956820762,1.4817683382002207,0.49854104446459285,0.4291021940633556,2.5
26,1.0731802610417827,1.4705694682932007,1.1434658554959294,1.3586487747015914,0.4433215035225719,0.5793399083317762,2.6
27,1.1102986081169177,1.4829834481173856,1.0668922588768641,1.2148429113088515,0.4332172051158105,0.729678865342017,2.7
28,1.1240141515504132,1.4589844067757949,1.0006724858928964,1.085790621272374,0.45423814970755133,0.8618721211197814,2.8000000000000003
29,1.120761332046833,1.4151634909622022,0.9464413255247065,0.9874649480530623,0.4941046664213078,0.9639652207218022,2.9000000000000004
30,1.108259464648721,1.3637961343599452,0.9065433758649832,0.9209606273420262,0.542184542674696,1.0326029950953466,3.0
31,1.091955872179395,1.3107501488354345,0.882587413616193,0.8800245064199159,0.592027535406287,1.0710330534083554,3.1
32,1.073331698087127,1.257509903762694,0.8740250564723293,0.8558513678659778,0.6421392457274901,1.0854582388785483,3.2
33,1.0518591559620512,1.204636207959998,0.8780315854443418,0.83968776327258,0.6935910925976252,1.0827020415731474,3.3000000000000003
34,1.0285005800013027,1.153684836803595,0.8907562005810534,0.8248668042276548,0.7467351140612635,1.0695710730697612,3.4000000000000004
35,1.0065365781744335,1.1067830288415974,0.9087020470690312,0.8078283231299854,0.7999229167937398,1.0518348884074127,3.5
36,0.9889044362043776,1.0655938962574574,0.9292447401342034,0.7878963002584947,0.8507321681687809,1.0328671062502748,3.6
37,0.9760034352463621,1.0310928571758313,0.9504561661740625,0.7669902063425954,0.8972930562182995,1.0140891260369937,3.7
38,0.9668427138393825,1.0036884808874602,0.9709397030431896,0.7493665433487332,0.9378980161038457,0.9967116284142862,3.8000000000000003
39,0.961248546611339,0.9831411757715489,0.9897165570016813,0.7401354851637459,0.9702511391186711,0.9820426858146918,3.9000000000000004
40,0.9597467332797118,0.9687701033923568,1.0058022409188019,0.7425172344468353,0.9922651478345049,0.9704078056267148,4.0
41,0.9617783065712306,0.959887469325685,1.0179171503729252,0.755923343522504,1.003569190780721,0.9611847338787216,4.1000000000000005
42,0.9652839212419267,0.9556629591929122,1.0250793925472095,0.776780129520555,1.0060088073409625,0.9541629939985539,4.2
43,0.9683841458160013,0.9547405666609455,1.0274225931954728,0.8012341743810906,1.0031295142493275,0.9498993011575768,4.3
44,0.9709170815056376,0.9557276703726794,1.0261291369801457,0.8269569653185234,0.999122133354282,0.9486291172337228,4.4
45,0.973984921355965,0.9581886434088821,1.022631815763069,0.8526489311844705,0.9971520589752983,0.9497368323040608,4.5
46,0.9782942094978643,0.962693778046549,1.0179945740729799,0.8765365614756643,0.9978873488423394,0.9525193159894867,4.6000000000000005
