,Al-Al,Al-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,1.0
11,8.324163813132494e-07,1.6648327626264986e-06,6.243122859849369e-06,1.1
12,7.306176115681458e-06,2.1373654288579784e-05,6.813111103601087e-05,1.2000000000000002
13,5.139684180386279e-05,0.00015523019783114428,0.00044381080025760817,1.3
14,0.00028028468503953405,0.0008406114883918547,0.0021990896075400244,1.4000000000000001
15,0.001241131535568449,0.003641459286867856,0.00876943027209403,1.5
16,0.004646240466595681,0.013039341613436412,0.028740072937324973,1.6
17,0.014924419596604085,0.03917562678361129,0.07848727674954974,1.7000000000000002
18,0.041343327342626766,0.09987220349756258,0.18083864896015964,1.8
19,0.09901297478146852,0.2181150421786721,0.3559508052036689,1.9000000000000001
20,0.20576888482440775,0.4118620257731499,0.606022714451716,2.0
21,0.37360995654298107,0.6788879561596257,0.9032735958573789,2.1
22,0.5984463075002101,0.9872630608742482,1.1925109049685896,2.2
23,0.8554894097087522,1.2824644121071698,1.4112638252109455,2.3000000000000003
24,1.1051294202332336,1.51011279468915,1.5172863228287132,2.4000000000000004
25,1.3073839092960415,1.6388451484189601,1.506189568373524,2.5
26,1.437194790904682,1.6675426877691482,1.4082598492773748,2.6
27,1.4914444891920131,1.6163397612753028,1.2685326088269602,2.7
28,1.4838194543040455,1.5133420481545485,1.125246449162359,2.8000000000000003
29,1.4329746824134422,1.3860470933470008,0.9996363402671059,2.9000000000000004
30,1.3541322634415476,1.2571143016643036,0.8983651312130229,3.0
31,1.2587898379440623,1.1414698156221788,0.8212100046879859,3.1
32,1.1580320959819288,1.0452124178040303,0.7668458951312307,3.2
33,1.0628690349455205,0.9683096731554416,0.734175423991501,3.3000000000000003
34,0.9812427989213439,0.9095630763582535,0.7206646922898906,3.4000000000000004
35,0.9162025045909618,0.8690332029564872,0.7216226295416261,3.5
36,0.867525330115832,0.8462718835357407,0.7326459341134752,3.6
37,0.8342679200153161,0.8382425429761715,0.7524435458066214,3.7
38,0.8153814721975032,0.8404341815174656,0.7819884479605724,3.8000000000000003
39,0.8092594342949516,0.8494295254499893,0.8206816090847407,3.9000000000000004
40,0.814057901151964,0.8634023391620903,0.8641219641590824,4.0
41,0.8280175789807511,0.8806447950441139,0.9062011352828826,4.1000000000000005
42,0.8488290805708146,0.8989970434152054,0.9430978530012166,4.2
43,0.8733388698555498,0.9169930672672684,0.9744454462448465,4.3
44,0.8986881177591053,0.9346611452796886,1.0008247861631983,4.4
45,0.9235242045778397,0.9526123693708033,1.0213326820761504,4.5
46,0.9475887987620215,0.9705818937686187,1.0338879999652608,4.6000000000000005
47,0.9704116396361399,0.9870897976822417,1.0370764892955844,4.7
48,0.9910254671407822,1.0003712465040813,1.031590198621113,4.800000000000001
49,1.0087046194812432,1.0093983669781135,1.020499088042001,4.9
50,1.0230745673276909,1.0141486965758502,1.007982305974683,5.0
51,1.0332527323540779,1.0154709020027985,0.9971745615109456,5.1000000000000005
52,1.0375276321177591,1.0150910211836965,0.9890592015944276,5.2
53,1.0343822655125043,1.0153127813092948,0.9833056048186792,5.300000000000001
54,1.0239225150696998,1.0178288141129566,0.9794491846425142,5.4
55,1.0082514874142667,1.0224756960798544,0.9767483460978653,5.5
56,0.9903245698858169,1.0273245455982423,0.9736002470015486,5.6000000000000005
57,0.9727839541468796,1.0300959588564549,0.9683282093357154,5.7
58,0.9582063429474705,1.0294995031738678,0.9608452264116236,5.800000000000001
59,0.9493096437623826,1.0255567379323027,0.9530183999915752,5.9
60,0.9472896477054401,1.019242685713578,0.9472014492849702,6.0
61,0.9502970095865635,1.0121538264706376,0.9446666531998258,6.1000000000000005
62,0.9547815930250673,1.006350927765162,0.9453964136380324,6.2
63,0.9582379950700887,1.003792839962034,0.948851902882395,6.300000000000001
64,0.9602784531128612,1.005072694511264,0.954419474785295,6.4
65,0.9619378442723261,1.008621962940035,0.9611878036360035,6.5
66,0.9645936489758362,1.0118139621717779,0.9679348284867654,6.6000000000000005
67,0.96894579356532,1.013124638660631,0.9735999458838032,6.7
68,0.9744698017156325,1.0129166774383742,0.977528733074398,6.800000000000001
69,0.9800691072898774,1.0122330921314928,0.9792424674293926,6.9
70,0.9851445879185521,1.0115473909158068,0.9784432042189284,7.0
71,0.9895039554322915,1.0108323759884936,0.9755557369744813,7.1000000000000005
72,0.9925597153467078,1.0100053276859258,0.9720651073941791,7.2
73,0.993582236516679,1.0088802054937374,0.9698901753973231,7.300000000000001
74,0.9927944977911581,1.0072854617477573,0.9701235322398861,7.4
75,0.9914130682216578,1.005593529965853,0.9724399278950917,7.5
76,0.9903037547090552,1.0047006083708674,0.9757550137002527,7.6000000000000005
77,0.989042307592544,1.0052516155682294,0.9789769898169671,7.7
78,0.9865387292392014,1.0071789875314412,0.9809443434422171,7.800000000000001
79,0.9821730513414024,1.0100572115531945,0.9808447277002449,7.9
80,0.9760827573902925,1.0134922715330084,0.9796163897511715,8.0
81,0.9687917568118776,1.01696865812192,0.9799638276937744,8.1
82,0.9610552549529966,1.0196601591297734,0.9837513323575452,8.200000000000001
83,0.9540920096226363,1.0208022698940307,0.9896049840748827,8.3
84,0.9495332762953803,1.0202589321398443,0.9938167247116708,8.4
85,0.9485176630483857,1.0185220882179729,0.9936718916336814,8.5
86,0.9505091047374229,1.0162003268567643,0.9896139818144358,8.6
87,0.9533336575846921,1.0136443847896028,0.9841530579255298,8.700000000000001
88,0.9548415054145433,1.0109334100354104,0.9791928234598755,8.8
89,0.9546755534473409,1.0079820785302176,0.9749393448362645,8.9
90,0.9542838495175794,1.0047049305770919,0.9709561761840789,9.0
91,0.955194967201628,1.0013620346571634,0.967216912370256,9.1
92,0.9574997099389275,0.9986460033497906,0.9638748007953614,9.200000000000001
93,0.9601325566066549,0.9970408409195431,0.9608604033552863,9.3
94,0.9622821701327376,0.9961673689167345,0.9583253501883278,9.4
95,0.9640741314148374,0.9952205878920577,0.9570691690366452,9.5
96,0.9660003263280461,0.9940251412731113,0.9578529337345302,9.600000000000001
97,0.9681507710059661,0.9932483369265278,0.960355462426978,9.700000000000001
98,0.9701634720791704,0.9935199087123167,0.963248462536785,9.8
99,0.9716373709005107,0.9946141835225482,0.9653359572317985,9.9
100,0.9723879867234612,0.9955821560019874,0.9662920425604842,10.0
