,Li-Li,Li-In,Li-Si,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.0150452647456319e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,1.6246320178323906e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.1926452831731194e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,6.52503475869218e-05,0.0,7.445427506163706e-08,0.0,0.0,0.0,0.8
9,0.00028598852934289936,0.0,1.4747914979094256e-06,0.0,0.0,0.0,0.9
10,0.0010344170930080849,0.0,1.2269759175356571e-05,0.0,0.0,5.229161705289188e-07,1.0
11,0.003154225383106855,3.8014991632578787e-06,7.736639175787937e-05,0.0,0.0,1.1622957239289207e-05,1.1
12,0.008256913277341543,2.9935167921951264e-05,0.00038646227100839093,0.0,0.0,9.755725794018171e-05,1.2000000000000002
13,0.018922183696295124,0.00017578371583709435,0.0015953161745171853,0.0,4.322062225800247e-06,0.0005824742044753867,1.3
14,0.03870468929377476,0.0008095865465191631,0.005591221085264985,0.0,4.629854185096215e-05,0.0027257666832161843,1.4000000000000001
15,0.07189733081464818,0.0030328984942000438,0.01685716213713375,1.2971088827373291e-05,0.00029151857256403627,0.010432381221351521,1.5
16,0.1229326228085849,0.009492131063646141,0.04406456803368483,0.0001084074920567599,0.0014189208282129678,0.03329485006267248,1.6
17,0.19521996508020703,0.02545732300629403,0.10046457354667229,0.0005849043842467278,0.005556059762248771,0.08964830558555871,1.7000000000000002
18,0.28956172032890615,0.059718870255030726,0.20105004270078763,0.002558918373975051,0.017875406327686166,0.2055415112348361,1.8
19,0.4031330054307285,0.12430945732640947,0.3559937285190941,0.008863805432506129,0.04800245240738908,0.4045767575734066,1.9000000000000001
20,0.5299949179273524,0.23136771534368025,0.5632281019104973,0.024877296310424644,0.10935908080880041,0.6890888848744422,2.0
21,0.662488544393144,0.3866954276853899,0.8050027636841471,0.057765888114712075,0.21495731799181372,1.0242793057790454,2.1
22,0.7920826991261304,0.5834314323742682,1.05129924919184,0.11414058144588125,0.3706341310784974,1.3421881230742287,2.2
23,0.9099356727798077,0.8014057674365592,1.2688004956005725,0.19799730684210687,0.56902780993568,1.5699746672655577,2.3000000000000003
24,1.0085008543932816,1.013805504701266,1.4310439277564135,0.30894200517369536,0.7880897434283314,1.664688420351184,2.4000000000000004
25,1.083540926084864,1.19643287568728,1.5252155011766093,0.43794061796458933,0.996392580866803,1.6293911989035186,2.5
26,1.134554251277757,1.3334619687529152,1.5533099788744873,0.5645253741023982,1.1635518150541853,1.5024711513096634,2.6
27,1.1634278734069066,1.4176202860287839,1.5281589886072457,0.6652458950830604,1.270306121191304,1.3334490019260228,2.7
28,1.1730317717172303,1.4481131914668701,1.46690291191344,0.729602502928362,1.3131983307026793,1.1629452111980627,2.8000000000000003
29,1.1668028998583138,1.430622588388851,1.3854617830085965,0.7659488463113764,1.3025149024644773,1.014503928404266,2.9000000000000004
30,1.1487286073697947,1.378394684731504,1.2963701296993433,0.793709592515683,1.254977270121688,0.896486606034372,3.0
31,1.1229579304758717,1.3091992095245035,1.2090662088402557,0.8337530627018029,1.1858162366509974,0.8086519853407939,3.1
32,1.0932821832920383,1.2378797481797026,1.1301371970981915,0.8993226860868816,1.106313642651983,0.748127924885513,3.2
33,1.062975586709921,1.1713084542681422,1.0629723893343068,0.9827358662062045,1.0268398663700546,0.7119641236786717,3.3000000000000003
34,1.0346804506591871,1.1102403692725014,1.0081999300332318,1.0510335954841452,0.958047198796427,0.6968005119296676,3.4000000000000004
35,1.0100255734987473,1.0544718113220657,0.9652106959859982,1.0687113829428554,0.906624371714843,0.6981246141501531,3.5
36,0.989531864636681,1.0054941815192187,0.9334734738125466,1.030170738662287,0.8715729722378407,0.710984777583527,3.6
37,0.9731869373963448,0.9655635925847595,0.9126771240256933,0.9633152101810596,0.8471209337592946,0.7314960798901364,3.7
38,0.9610840848552673,0.935783220741154,0.90212924508837,0.9024594314752831,0.8295354728777681,0.7573052333360615,3.8000000000000003
39,0.953535013194835,0.9155916084405997,0.9005318878130238,0.8662731067427467,0.8203722088865422,0.7870683347618282,3.9000000000000004
40,0.95084727895257,0.9038635669374228,0.906459315022142,0.8592780639703901,0.8234365353803234,0.8201252661461752,4.0
41,0.9529941359673447,0.9000638330930674,0.9186067929944831,0.8812828868882294,0.8396315424645433,0.856037470950069,4.1000000000000005
42,0.9592089956954074,0.9041533496841844,0.9352802279234348,0.9280121737616531,0.8652701414096706,0.8933957433718577,4.2
43,0.9678663590229061,0.9156447579568505,0.9541087045975667,0.9855405032256719,0.8949902763824676,0.9293483442402662,4.3
44,0.9770745697729786,0.9331203804894834,0.9727410610904993,1.0314195361104495,0.925360271099436,0.9609618279459796,4.4
45,0.9855541177158555,0.9545215686504968,0.9896279829474605,1.0451039548464707,0.9554393585945855,0.9867503173686561,4.5
46,0.9929256535867909,0.9774096228253757,1.0039685751304943,1.0162464633342325,0.9849996392122786,1.0066526514263814,4.6000000000000005
47,0.9992696863183718,0.9986655346263987,1.015182543597415,0.9459775661034966,1.0134559675090833,1.0211104751849236,4.7
48,1.0045056268416697,1.0146138290488629,1.0227602209836317,0.848467821672729,1.040085790316527,1.030400931577703,4.800000000000001
49,1.008161056637199,1.022671124218485,1.0266523560881435,0.7502529261098889,1.06375724390189,1.034448941396869,4.9
50,1.0097769763729922,1.0234594424603758,1.0276126231101692,0.6770688818941988,1.0821814348399075,1.0333450199736403,5.0
51,1.009610751655924,1.020724229156526,1.0268064003776205,0.6366312738849381,1.0929017192612416,1.0283005657212214,5.1000000000000005
52,1.008796151497663,1.0184460948661587,1.0249009319272349,0.6174863548564532,1.0959452768207818,1.0216593622035726,5.2
53,1.008536658443605,1.017914346220003,1.0217026103858724,0.6037092049118558,1.0948583804001168,1.0154857526971557,5.300000000000001
54,1.0090610770924566,1.0174367166243492,1.0169136186382481,0.5866422174181368,1.0944496915188295,1.0103018049135732,5.4
55,1.0094572969334787,1.01451017138014,1.0110818783880282,0.5648646512977734,1.09726315026684,1.0053094537874083,5.5
56,1.0085191653708987,1.0083233954092243,1.0055073394639904,0.5394595675999679,1.1016773269872597,0.9993756903013687,5.6000000000000005
57,1.005711571529247,1.0005359063688315,1.0012783779478671,0.5134059368352187,1.1033697494095254,0.9917429723517266,5.7
58,1.0015193087475973,0.9937025780817934,0.9986515433802531,0.49408581070641994,1.0994560487117926,0.9825818559159656,5.800000000000001
59,0.9970890866839799,0.9890041632629812,0.9973034663696465,0.4917766357582947,1.091523575896449,0.9733527997644154,5.9
