,Li-Li,Li-Mg,Mg-Mg,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.6112882569976566e-07,0.0,0.0,0.5
6,2.3782448325014693e-06,0.0,0.0,0.6000000000000001
7,1.468649626905311e-05,0.0,0.0,0.7000000000000001
8,7.234186981282422e-05,2.585787395112914e-07,0.0,0.8
9,0.00029045274394340554,2.373302531085194e-06,0.0,0.9
10,0.000983239217017894,1.5291180965287114e-05,0.0,1.0
11,0.0028811805040036527,7.723703676874975e-05,0.0,1.1
12,0.0074469123668941175,0.0003205933781822786,7.447067697925191e-07,1.2000000000000002
13,0.017218874478299482,0.0011282716322541316,8.233453108547772e-06,1.3
14,0.03593623088356907,0.003447499207406932,5.6531784335777585e-05,1.4000000000000001
15,0.06818311861459447,0.009315705981917655,0.00028767047536889785,1.5
16,0.11848892143074283,0.02253224768717338,0.0011973980891180173,1.6
17,0.1900961416723398,0.049137070663380814,0.004124355606637539,1.7000000000000002
18,0.28374809251681216,0.09699549790539148,0.012032604696986754,1.8
19,0.3970948328937408,0.1739060920343595,0.030234701808825627,1.9000000000000001
20,0.5251230535757698,0.28442942326254783,0.06675293925642439,2.0
21,0.6611818345916833,0.42695431279949986,0.13169852247763264,2.1
22,0.7977218551212716,0.5929584432109908,0.23492675344212144,2.2
23,0.9265518145583467,0.7689724728293641,0.3809359125778238,2.3000000000000003
24,1.0392487021663324,0.9398065509705834,0.5623706401170786,2.4000000000000004
25,1.1284688751773444,1.0914223541331518,0.7577406138001264,2.5
26,1.1900465420329758,1.2130994473440422,0.9387841577208305,2.6
27,1.22438130547153,1.2988083126977241,1.0835794642458083,2.7
28,1.2357002197040108,1.3475087181125325,1.183515632247525,2.8000000000000003
29,1.2297579419822497,1.3625773510147667,1.2397598428255765,2.9000000000000004
30,1.2118075673237758,1.3505899152825824,1.2575857041031173,3.0
31,1.1858599301538446,1.3194620868551377,1.2448549340148611,3.1
32,1.1548992405730212,1.2764854999373925,1.2110773066242138,3.2
33,1.121347740080335,1.2272447163445404,1.1647390518026217,3.3000000000000003
34,1.087343227747225,1.1758219360695226,1.1122558127437705,3.4000000000000004
35,1.0547178445636904,1.1257513616159107,1.058991992432645,3.5
36,1.0248220888484416,1.0805635651563532,1.0091646664575593,3.6
37,0.9985493996132572,1.0430636145399284,0.9645293364642233,3.7
38,0.9765172062548193,1.0138291995162279,0.9245444771036233,3.8000000000000003
39,0.9590611151795069,0.9909212898427754,0.8881849244109218,3.9000000000000004
40,0.9461077487542809,0.9718229031264839,0.8557599617000342,4.0
41,0.9372502895486162,0.9557039824647345,0.8290732991674481,4.1000000000000005
42,0.9319880447564786,0.9435778896780448,0.8098449584657306,4.2
43,0.9299294953138822,0.9366939803268564,0.7983199798908986,4.3
44,0.9309244964316095,0.9354772161203755,0.793883066745709,4.4
45,0.9350515360017965,0.9396925034390389,0.7963935472683341,4.5
46,0.9423654221090348,0.9486297321626155,0.8058978833018715,4.6000000000000005
47,0.9524468918619067,0.9608395797649928,0.8215710731248386,4.7
48,0.9640419713510943,0.9742217301811066,0.8416667775317412,4.800000000000001
49,0.9753287070556895,0.9868691145286304,0.864058302549553,4.9
50,0.9849283828529838,0.9978779971760935,0.886411516253552,5.0
51,0.9927177057120277,1.007319515281985,0.9068042483292882,5.1000000000000005
52,0.9994003428757974,1.0155855424313773,0.9249584283482943,5.2
53,1.0052797660075439,1.0228425794404081,0.9421893883656584,5.300000000000001
54,1.0097270346298401,1.0288977920742073,0.9592613083225026,5.4
55,1.0119484513901134,1.0334110886941092,0.9746317447981956,5.5
56,1.0120419098554512,1.0362534883688197,0.9855158268913686,5.6000000000000005
57,1.0110831704595122,1.0376332484873567,0.9906010225452899,5.7
58,1.010212145877242,1.0378032530336088,0.9912457499838699,5.800000000000001
59,1.0097718972994294,1.0366963380059548,0.989985246992341,5.9
60,1.0093246818654726,1.0339910799588283,0.9882556042493525,6.0
61,1.0082636828454588,1.0296102130410159,0.9856561930146462,6.1000000000000005
62,1.0062709074460063,1.0241506521411166,0.9811595407317988,6.2
63,1.0034079498401212,1.0187073771609154,0.9750304963834855,6.300000000000001
64,1.0001094759466047,1.014145845137708,0.9696305963190761,6.4
65,0.9970685013666448,1.010511909335986,0.9678356073043145,6.5
66,0.9948214239037428,1.0071551314284897,0.969992997204022,6.6000000000000005
67,0.9933475098914974,1.0034503520489078,0.9730320043724721,6.7
68,0.9922051307110417,0.9995020078341701,0.9734733911611066,6.800000000000001
69,0.9910659391531064,0.9961703078696941,0.9708161866817367,6.9
70,0.990011082925495,0.9942746657761493,0.9672048616567333,7.0
71,0.9893331779243577,0.993765580705009,0.9644998154087985,7.1000000000000005
72,0.9891469835273968,0.9938483924734746,0.9628386582526803,7.2
73,0.9892733320507465,0.9939589019544639,0.9618990500150234,7.300000000000001
74,0.9895397861681141,0.9944350120672543,0.962305905996064,7.4
75,0.9900872480667476,0.9960073860283869,0.9651669033022985,7.5
76,0.9912212480977229,0.9986187589122315,0.9708169090278079,7.6000000000000005
77,0.9929881602212238,1.0010053263536214,0.9784311028955236,7.7
78,0.9950036606257849,1.0017310449648862,0.9865787709957782,7.800000000000001
79,0.996689085287269,1.0006343926491992,0.9940281858651303,7.9
80,0.9976762734507048,0.9990566753258127,1.0002923709757,8.0
81,0.9980561072983306,0.9986139542912716,1.0052759118927044,8.1
82,0.9982543111565801,0.9998822685568656,1.0083353838261535,8.200000000000001
83,0.9986471433014723,1.0022333970338897,1.008514517559611,8.3
84,0.9993320540754792,1.0046182475865455,1.0062445293612874,8.4
85,1.0002122203772983,1.0062532129726938,1.0038434247368153,8.5
86,1.0011114255425713,1.0067341092799529,1.003466976260421,8.6
87,1.0017720964601056,1.0060016011742345,1.0050343424102521,8.700000000000001
88,1.0019302467164202,1.0044420448177211,1.006716344125283,8.8
89,1.0014686843876484,1.0027827193025645,1.0069345170992932,8.9
90,1.000441873448137,1.0016390362449163,1.0052043428394672,9.0
91,0.9989991579600387,1.0011725315452042,1.001296080465925,9.1
92,0.9973755797004429,1.0012175778412364,0.9944246109108169,9.200000000000001
93,0.9958990039472381,1.0016107326688524,0.9839834075769183,9.3
94,0.9948819615874921,1.0022460442930585,0.9713020274894701,9.4
95,0.9944599600529375,1.0029262976065152,0.9600526277038967,9.5
96,0.9945155335433644,1.0034465774000103,0.9539648068874097,9.600000000000001
97,0.9947797838096857,1.0038584032292683,0.953827834179199,9.700000000000001
98,0.9950477295102014,1.0044154175940092,0.9571143012297987,9.8
99,0.9952648047952882,1.005162561516747,0.9605123101839093,9.9
100,0.995403335822279,1.0057426099876394,0.9623107985132415,10.0
