,Li-Li,Li-Al,Al-Al,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,2.4634253350760355e-07,0.0,0.0,0.4
5,1.921207098135951e-06,0.0,0.0,0.5
6,1.0934782650606186e-05,0.0,0.0,0.6000000000000001
7,4.985540582542636e-05,0.0,0.0,0.7000000000000001
8,0.00018655566032638838,0.0,0.0,0.8
9,0.0005909677610047582,3.0686267149736074e-07,0.0,0.9
10,0.0016475706512805537,4.2591358661019335e-06,0.0,1.0
11,0.004179698246225591,3.250228230091182e-05,0.0,1.1
12,0.00982199212089668,0.00018120216188364407,3.325624202352648e-06,1.2000000000000002
13,0.021389110237804352,0.0008102783204500137,3.626524995046943e-05,1.3
14,0.04286957722311427,0.0030014793078308555,0.00023566152915023095,1.4000000000000001
15,0.0788105273468816,0.00937784817973043,0.0011767361133610882,1.5
16,0.13330801331838193,0.025080820610116673,0.004733299714010356,1.6
17,0.2090106136611097,0.05825992304423455,0.015715090874785415,1.7000000000000002
18,0.30627916971860325,0.11924336027514822,0.043777452988068885,1.8
19,0.42261403463637753,0.21800812719743232,0.10382671694123367,1.9000000000000001
20,0.5526586747302754,0.3603206420167383,0.21261774305651546,2.0
21,0.688835273319361,0.5437313759425884,0.3809059907722204,2.1
22,0.8223276346196362,0.75521892876955,0.604227639893266,2.2
23,0.9442753434420674,0.9724346689924316,0.8584627002377466,2.3000000000000003
24,1.0471401184084286,1.1691716985095286,1.1050777822095543,2.4000000000000004
25,1.12578440380017,1.323198313336318,1.304651803896771,2.5
26,1.177911013701624,1.4226252135703872,1.4311289907566878,2.6
27,1.2041091295079873,1.4675774443250493,1.479062821528238,2.7
28,1.2075917226165669,1.4669183590765276,1.4610362213884502,2.8000000000000003
29,1.1934883875352325,1.4327453164719581,1.3982092634372179,2.9000000000000004
30,1.167864000443323,1.376184810127095,1.310531088370901,3.0
31,1.1366256105222565,1.306360828932643,1.2122295352152122,3.1
32,1.10432709348243,1.2314042267886856,1.1130038858322266,3.2
33,1.073351400605058,1.1586815019511498,1.0206702430898587,3.3000000000000003
34,1.0441233675234116,1.0933438981869648,0.9414968185735604,3.4000000000000004
35,1.0163909867961032,1.0373555503989107,0.8788124027838886,3.5
36,0.9906675502609926,0.990640411043263,0.8327051743517156,3.6
37,0.9686592894411592,0.9529926919496364,0.8014459951407064,3.7
38,0.952299971425843,0.9247677844342465,0.7829372038907864,3.8000000000000003
39,0.9423322478814913,0.9063852285031222,0.7752162628997648,3.9000000000000004
40,0.9378120503815854,0.8977215838307717,0.7766451370662629,4.0
41,0.9369212149256604,0.8979363397925489,0.7861065975681175,4.1000000000000005
42,0.9383157920559211,0.9056454483385076,0.8028238638206731,4.2
43,0.9418483922280592,0.9192657641280106,0.8258412993424775,4.3
44,0.9480208096893871,0.9371237222077013,0.853704088916696,4.4
45,0.9567769736879809,0.957198776343727,0.8846854800617996,4.5
46,0.9670062706695257,0.9770419531434867,0.9171406615553381,4.6000000000000005
47,0.9772506511188431,0.9943718776092011,0.9493520385156379,4.7
48,0.9866324255871575,1.0079492818297306,0.9793487541977777,4.800000000000001
49,0.994975830999716,1.017892338431269,1.005473592263426,4.9
50,1.00228257971244,1.0252002831991607,1.026963579354276,5.0
51,1.0084203204153026,1.030952724282583,1.0435129886766328,5.1000000000000005
52,1.013286859426451,1.035662955949766,1.0547142229170574,5.2
53,1.0169678512128306,1.0389886454982367,1.0603670517870813,5.300000000000001
54,1.0194871632452693,1.0399635088342678,1.060531174555009,5.4
55,1.0204716833002283,1.0377335748282175,1.0547129641599071,5.5
56,1.019307621705629,1.0323687031248272,1.0422265539302535,5.6000000000000005
57,1.015824951373212,1.0250971200023244,1.0243571125093291,5.7
58,1.0107518079689164,1.017709001073371,1.00524043645402,5.800000000000001
59,1.0053511140215567,1.0116483412031574,0.9894528933242281,5.9
60,1.0006914012914807,1.0074700236591743,0.9789249117970907,6.0
61,0.997276622055593,1.0048762157132867,0.9725295565850015,6.1000000000000005
62,0.9950789264339289,1.0031219254304198,0.968118459827606,6.2
63,0.9937005841161327,1.0014513068782047,0.9645017012457525,6.300000000000001
64,0.9926342785220114,0.9993287599386322,0.9618596584904546,6.4
65,0.9915641277831408,0.9965561474083565,0.9608134481302429,6.5
66,0.9904787345529477,0.9933430561746156,0.9613441284221036,6.6000000000000005
67,0.9895909880270104,0.9902105104608889,0.9625542308474798,6.7
68,0.9892607333210759,0.9877623837304481,0.9633566481507388,6.800000000000001
69,0.9898365088562676,0.9865188444027778,0.9633908479061244,6.9
70,0.9912866019693236,0.9868684663307533,0.9633683292843966,7.0
71,0.9930678261342337,0.9889904045767179,0.9645614933571462,7.1000000000000005
72,0.9945643990117288,0.9926437770572003,0.9678499749655344,7.2
73,0.9955424643962432,0.9970995646393428,0.9730597269928101,7.300000000000001
74,0.996063893954809,1.0015273036664496,0.9789953854872885,7.4
75,0.9962396380733725,1.0055091306245476,0.9840206488072931,7.5
76,0.9962774780977297,1.0090063444564736,0.9869810770448378,7.6000000000000005
77,0.9965296950185208,1.0118926007273832,0.9881208837992501,7.7
78,0.9972034650748018,1.013833997757893,0.9890421058268486,7.800000000000001
79,0.9980748645116128,1.0146995445435625,0.9912688038887097,7.9
80,0.9986491321159986,1.0148166676565828,0.9948300487131576,8.0
81,0.9985736200302089,1.0146982883124163,0.998440619478205,8.1
82,0.9978488952780485,1.0146772274959248,1.0007050937865174,8.200000000000001
83,0.9967156907331327,1.0148718982242038,1.0007413819073574,8.3
84,0.995435831366759,1.0152424173440435,0.998081491668605,8.4
85,0.9942262683641517,1.015448282154443,0.9926677629909416,8.5
86,0.9933324657685941,1.0148770203683022,0.9850512683330979,8.6
87,0.9929995987866548,1.0131998987560094,0.9763246602610798,8.700000000000001
88,0.9932661006183723,1.0108255336275924,0.9677837764388568,8.8
89,0.9938279708869748,1.008482134795801,0.9607286955815774,8.9
90,0.994228093801701,1.006394600214714,0.9563267484166134,9.0
91,0.9942549859471136,1.004159087211997,0.9551361113984271,9.1
92,0.994102945424183,1.0014080589582888,0.9567164846432115,9.200000000000001
93,0.9940892342872207,0.9983371216029001,0.9600596106820434,9.3
94,0.9942884240733382,0.9955416590491162,0.9643688015101144,9.4
95,0.9944797356489242,0.9935843927409714,0.969085329452286,9.5
96,0.9943702397874176,0.9928252273532489,0.9733702614408392,9.600000000000001
97,0.9938507816200258,0.9934109131395926,0.9762476377833249,9.700000000000001
98,0.9930961894424745,0.9951122405013442,0.9774052551721016,9.8
99,0.9924224354945193,0.9971797967415287,0.9774332805376555,9.9
100,0.9920522728068717,0.9985843442660515,0.9771918810853563,10.0
