,Si-Si,Si-Rh,Rh-Rh,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,6.879935920955063e-08,0.0,0.9
10,0.0,1.000934143987879e-06,4.0911553110206036e-08,1.0
11,3.304656201367335e-07,1.392113927449291e-05,3.034952400008472e-07,1.1
12,4.540868311786577e-06,0.00010980991843640339,2.3232825073780944e-06,1.2000000000000002
13,4.0839355586989785e-05,0.0006366535143978391,1.6949012198935235e-05,1.3
14,0.00024906162133295397,0.002957887533601635,0.00010557926981141574,1.4000000000000001
15,0.0011806643198761149,0.011338210717821066,0.0005476332948221022,1.5
16,0.004607841022663531,0.03646796898850845,0.002394946511278066,1.6
17,0.014967122897775874,0.09927270196493868,0.008907798639467173,1.7000000000000002
18,0.04079163469743082,0.23028859229775137,0.028212270853557524,1.8
19,0.0940767271119756,0.4581517119576427,0.07617931967025207,1.9000000000000001
20,0.1856403819542715,0.7868657154936789,0.17598020265609493,2.0
21,0.31787639181579713,1.175789023213156,0.3498112016314073,2.1
22,0.4800364154556009,1.5442613237325729,0.603090621005538,2.2
23,0.6502116634957616,1.8069562906052865,0.9108523206824279,2.3000000000000003
24,0.8030484409785957,1.9160345082323513,1.219834845367575,2.4000000000000004
25,0.91839232630679,1.8777196866177992,1.4694051030497517,2.5
26,0.9865727111806016,1.7362625510675938,1.6180487434338282,2.6
27,1.0094335250339825,1.5455529830014048,1.65746776604214,2.7
28,0.9986453063145383,1.3492851640955446,1.608003660429569,2.8000000000000003
29,0.9716347116134249,1.1744427050035295,1.503219842833487,2.9000000000000004
30,0.945190079757107,1.0328587504208606,1.375279919792557,3.0
31,0.929958296073209,0.9260406039999112,1.2473736408830671,3.1
32,0.9291395480874957,0.850582922495348,1.1327112406538755,3.2
33,0.9403288239194469,0.8017996198577912,1.0364981043527552,3.3000000000000003
34,0.9582138771617987,0.7746990007519058,0.958501566677654,3.4000000000000004
35,0.9773831954273456,0.7639411572391094,0.8961942994985868,3.5
36,0.9945612078376446,0.764809849357263,0.8481076173617793,3.6
37,1.0088222082992717,0.7747722325565852,0.8152350157101927,3.7
38,1.0197622872463927,0.7936323435697719,0.7994151925200337,3.8000000000000003
39,1.0260654736466948,0.8217311317711629,0.8008228820325357,3.9000000000000004
40,1.0266587973925088,0.8579657336940326,0.817161637131048,4.0
41,1.0228945338861142,0.8995390468473108,0.8446433464048975,4.1000000000000005
42,1.0179334224282919,0.9431528656201404,0.8792210123376262,4.2
43,1.0132106626136264,0.9858067259480129,0.9171922252792114,4.3
44,1.0070108248394491,1.0246236812971508,0.955350057119939,4.4
45,0.9977044286638274,1.0569216634070318,0.9909951338827456,4.5
46,0.9869811900036946,1.0810517020418666,1.0219436948632667,4.6000000000000005
47,0.9780293939635147,1.0969246500938696,1.0466533372818094,4.7
48,0.9711117930440547,1.1055399895289793,1.0644467715900923,4.800000000000001
49,0.9627253937506057,1.1081960768434265,1.075497817065008,4.9
50,0.9497773602711602,1.1061044520897092,1.0804433719657596,5.0
51,0.9338078035170854,1.1000943687952645,1.0799375067676928,5.1000000000000005
52,0.9202397689214464,1.0901167744625129,1.074414829309566,5.2
53,0.9135910831247893,1.0753745569423658,1.064135053465341,5.300000000000001
54,0.9144294147321832,1.0556770017347916,1.0495318887389473,5.4
55,0.9210366174752125,1.0327624130693869,1.0316083597928765,5.5
56,0.932266894793537,1.0099000771546036,1.0118786503123225,5.6000000000000005
57,0.9473881038287851,0.9901451250239887,0.9919306204206854,5.7
58,0.9642515799526513,0.9751752373106229,0.9732419891088901,5.800000000000001
59,0.9796547301992101,0.9654724898358711,0.9573627940426847,5.9
60,0.9917430679670437,0.9608778808394929,0.9458452197679591,6.0
61,1.0009020247935405,0.9607222139054393,0.9397634134948196,6.1000000000000005
62,1.0080273741879457,0.963837224028482,0.9393585592335147,6.2
63,1.0128681254319924,0.9689554313090211,0.9440791924183024,6.300000000000001
64,1.0146929796638622,0.9752561145463964,0.9527549474689244,6.4
65,1.0139983666328756,0.9823499483276973,0.9638068594036353,6.5
66,1.0124930317162735,0.9896998761594515,0.9756333132771657,6.6000000000000005
67,1.0110387208468021,0.9964102919927289,0.9870738020000136,6.7
68,1.008341648395991,1.001838140445626,0.9976558799063499,6.800000000000001
69,1.0024803992461164,1.0062311615560033,1.0075020130325196,6.9
70,0.9935248386419904,1.0105309046406818,1.016880668121647,7.0
71,0.984095074346874,1.0154795527508944,1.0255587551221401,7.1000000000000005
72,0.9774803936505246,1.0208400543544178,1.0324877855936203,7.2
73,0.9755984083465549,1.025405761322457,1.036267829750633,7.300000000000001
74,0.978278018415422,1.0278077117664288,1.0360732858512691,7.4
75,0.9834542645542591,1.0274365637369562,1.0322101109350421,7.5
76,0.9880050622934421,1.0247499860454563,1.0258468861339254,7.6000000000000005
77,0.9894275370889086,1.020834263744442,1.018280670000896,7.7
78,0.9874408095289968,1.0166404594041636,1.0104284985397307,7.800000000000001
79,0.9840472741340308,1.0124523744841276,1.0028056966415064,7.9
80,0.9820026652472262,1.0079450632550495,0.9956862784979741,8.0
81,0.9830318642535938,1.002775570148166,0.9891651341166094,8.1
82,0.9869720599801532,0.9971712248967259,0.9832291535799323,8.200000000000001
83,0.9921661424566836,0.9919359865922948,0.9780415053114923,8.3
