,Li-Li,Li-Si,Li-Cl,Si-Si,Si-Cl,Cl-Cl,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,7.783598274967267e-07,0.0,0.0,0.0,0.7000000000000001
8,4.5607021142386323e-07,0.0,6.899824491332957e-06,0.0,0.0,0.0,0.8
9,2.973951354865724e-06,0.0,4.615539568456107e-05,0.0,0.0,0.0,0.9
10,1.726508180813294e-05,9.008794299730632e-07,0.000244164428739674,1.081055315967676e-06,5.225100693843769e-06,0.0,1.0
11,8.030050631233686e-05,1.0725744975148678e-05,0.0010703158834374645,1.7722167133246645e-05,4.99194288427561e-05,0.0,1.1
12,0.0003068185919648284,7.781286066095816e-05,0.004013659285735244,0.00018274454779739911,0.0003166503230915562,0.0,1.2000000000000002
13,0.001011791780887019,0.00041501461748681375,0.013110769094797603,0.0011815538713461835,0.0015275388981439164,0.0,1.3
14,0.0029595452888343194,0.001780052372387593,0.037733910006249934,0.005835523760709255,0.005945392672545785,0.0,1.4000000000000001
15,0.007748790804804755,0.00631647677022409,0.09586946610686378,0.02341133570123439,0.01906295546123316,6.621208362448523e-07,1.5
16,0.01811825057511236,0.018813942217153743,0.21470116327670483,0.07758471410592528,0.05099957208921158,6.141851054649849e-06,1.6
17,0.03779849939247424,0.04759303887473694,0.42323959753609175,0.21363634242469712,0.1151650937392119,4.036045871395101e-05,1.7000000000000002
18,0.07091181028733494,0.10349742223218246,0.7349184255338814,0.49161092415922686,0.22204413896153796,0.00020099351084437232,1.8
19,0.12143462197337444,0.19605150475913305,1.1282700170629167,0.9523467796305048,0.37010609057972904,0.0008162734122233804,1.9000000000000001
20,0.19254195960868442,0.3280565243682983,1.5421486593352878,1.5679317161730026,0.5408825850089963,0.002774422064435385,2.0
21,0.28465689221235124,0.49168957422415205,1.89554880606325,2.2199590157836853,0.7042717580822105,0.008029833207941869,2.1
22,0.3928182182081708,0.6685888601262,2.1225616381892274,2.7408036000495635,0.8314810683331754,0.02012502570224668,2.2
23,0.5068293696912347,0.8345103174502312,2.1994802645267306,2.997006033600173,0.9063891323643116,0.044367895266833574,2.3000000000000003
24,0.6156594930920909,0.9672888390479676,2.1470774977842515,2.9526072731721156,0.9289459817504049,0.08727401120599093,2.4000000000000004
25,0.7119661641805778,1.0545398137475266,2.0105692697720907,2.6722071103247367,0.9115312833899433,0.15495105125047978,2.5
26,0.7925435961696519,1.0965541695808878,1.8352060104625048,2.27455879385235,0.8724887655008998,0.25034463497613624,2.6
27,0.8563996898109858,1.103146203366423,1.6531820153596404,1.8741614241637163,0.8300767673671336,0.37033183062310143,2.7
28,0.904210947545239,1.0879822340274026,1.4831492522356662,1.5427664897670612,0.7983570771998036,0.505274573708674,2.8000000000000003
29,0.9385436455587081,1.0641737681397916,1.3346608385386636,1.302441267563552,0.7853424976458779,0.6428670385881964,2.9000000000000004
30,0.9626219707043673,1.0417102353664027,1.2116402802639565,1.1416805675384412,0.7929265682331842,0.7736677429295434,3.0
31,0.978765249467116,1.025793736219114,1.1138261010662434,1.0372579299372962,0.817779921210851,0.8931376865420009,3.1
32,0.9887197764365591,1.0161565024379466,1.0379083873369896,0.9691897476449038,0.8529864423341309,0.999072039579813,3.2
33,0.9947620716169484,1.0085187521442627,0.9796340077970709,0.9256874498976688,0.890604841467147,1.0884822229411366,3.3000000000000003
34,0.9993935157080505,0.9984897840545085,0.9358319708220174,0.9013192083447517,0.9244197009159156,1.1572706877645813,3.4000000000000004
35,1.004456410077981,0.9853020031720344,0.9044515665042072,0.8929182596399149,0.951260687476191,1.20218277236433,3.5
36,1.011215246408946,0.9718707281270618,0.8831956336045161,0.8962839566465485,0.970489947016254,1.2233687306675425,3.6
37,1.0205072930078134,0.961572720850603,0.8691633112796077,0.905133633055527,0.9831429658723672,1.2257730436914633,3.7
38,1.0319194722355938,0.9556244897061628,0.8600821412827774,0.9128431410487267,0.9914977972910647,1.2172076015614426,3.8000000000000003
39,1.043222460990739,0.953244220577869,0.8554076576521072,0.9153124130654641,0.9983770321985517,1.2036526476598899,3.9000000000000004
40,1.0511995127611655,0.9533764384823759,0.8558761223512911,0.9120334565996306,1.0059859943934126,1.1864115204075028,4.0
41,1.053206181626333,0.9559947718122115,0.8617872058032634,0.9047826970426447,1.0151032761968646,1.1641842748492235,4.1000000000000005
42,1.0486362008370418,0.9619303337119185,0.871732020471398,0.8959239705216316,1.0249536528973626,1.1372731839801222,4.2
43,1.0394955804718558,0.9715292020032961,0.8832219433725504,0.8876581366567207,1.0336469855612793,1.1089821185154418,4.3
44,1.0290112867250825,0.9837473490817332,0.8946166323661382,0.8817038470151556,1.0392048241330352,1.0830718951997094,4.4
45,1.0190482462232429,0.9964880568939152,0.9061352094762067,0.8788209366635662,1.040795998856336,1.060681532952105,4.5
46,1.0090879677400124,1.0074382203836452,0.9187882816592854,0.8785363746547242,1.0392300923546685,1.0404510530691937,4.6000000000000005
47,0.9977597736642142,1.014862802133467,0.9325033632594569,0.8797164088799825,1.036210096850335,1.0213820182516768,4.7
48,0.9850037352557339,1.018472032221987,0.9457375125313383,0.8816860653203193,1.033098374664837,1.004670865648612,4.800000000000001
