,Li-Li,Li-Si,Li-Cl,Si-Si,Si-Cl,Cl-Cl,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,2.9420081893726025e-07,0.0,0.0,0.0,0.7000000000000001
8,1.0342997540763053e-06,0.0,3.2113050179382456e-06,0.0,0.0,0.0,0.8
9,6.744481612533505e-06,0.0,2.4586569355041278e-05,0.0,1.1452454024374313e-06,0.0,0.9
10,3.670297730814499e-05,2.0430612426198623e-06,0.00015095291926414981,0.0,2.217797906454718e-05,0.0,1.0
11,0.0001587881002896588,1.4422629783205932e-05,0.0007454005469338861,1.1001969683249345e-05,0.00020389270902249374,3.667323227749781e-07,1.1
12,0.0005595215173112698,8.442938357365485e-05,0.0031005189067203577,0.00014323265327357887,0.0012330590481948555,3.0533469850029868e-06,1.2000000000000002
13,0.0016681066544166723,0.0003843226155436459,0.011036932798879559,0.0010034317999099113,0.005775207148291922,1.7511692059066096e-05,1.3
14,0.004389706596229499,0.0014249269084057254,0.03388924817869841,0.005190377446287567,0.022032453975078126,7.803572893626394e-05,1.4000000000000001
15,0.010518513764836281,0.004450146095048025,0.08990969238529775,0.021424777129373282,0.06931156383971279,0.00027997307985340106,1.5
16,0.023135740261729754,0.011994553831999419,0.20629493634147733,0.07233178612986228,0.18106964642878629,0.0008213747806801813,1.6
17,0.04628341098736307,0.028363565065460034,0.4104785310963121,0.2016713962350672,0.3955958889865418,0.0020110803985074234,1.7000000000000002
18,0.0834671829045555,0.05945694533254873,0.7119467128012312,0.46808665267991606,0.7293555261960355,0.0042322276207180385,1.8
19,0.13602800660774136,0.11125012246653244,1.0849767522475828,0.9122955995841321,1.1480675420532818,0.007975560814166501,1.9000000000000001
20,0.20305019907502417,0.18741267862538877,1.4688593414210687,1.5082506540870835,1.5656471065486077,0.01415990730426438,2.0
21,0.28232101143478605,0.28754386413312066,1.791115451132586,2.1415980209993495,1.8822163704689132,0.024771961568017763,2.1
22,0.3702026469737751,0.40645099680955044,1.9982999689455596,2.6518865473345494,2.03336318208087,0.04356373136297136,2.2
23,0.4607558141773059,0.5339541452114958,2.073097946230474,2.915271937044931,2.012815403423866,0.07623769693630052,2.3000000000000003
24,0.5470091020561055,0.6563400664435723,2.031760222897739,2.8999300279308673,1.8605861059705322,0.1295679563240664,2.4000000000000004
25,0.624624653870229,0.7605410123608565,1.9105280912749583,2.658328752217356,1.636467998263598,0.2089687947306961,2.5
26,0.694150590698974,0.8384029057473317,1.749954691791543,2.283385570691719,1.3978814829720765,0.31493135760128904,2.6
27,0.7596290571514557,0.8879424694163314,1.582285492268756,1.8696748550174453,1.1876911039454143,0.4406626778121312,2.7
28,0.8248486866221529,0.9124527031782811,1.4264001089862477,1.4920443876962022,1.0300824296460314,0.5739198448634713,2.8000000000000003
29,0.8892448478665644,0.9190558756161075,1.2908346466071199,1.195567221673737,0.9312165605501851,0.7028154097880612,2.9000000000000004
30,0.9461930218272286,0.9162485943331915,1.1790840111714833,0.9938083858833742,0.8830552491031707,0.8208367283174466,3.0
31,0.9870315190898821,0.9106207610469828,1.0917681513162125,0.8756992146140513,0.8702000530172923,0.9269252646253171,3.1
32,1.008906625469901,0.9050203552515727,1.0264882801936168,0.8172456070397458,0.8772747431432881,1.0216044527095949,3.2
33,1.0178024220004496,0.8995967751984404,0.9785744973906985,0.7920356458967234,0.8926189960534127,1.1033070337418083,3.3000000000000003
34,1.0228884840326733,0.8943912109584644,0.9431148571832164,0.7786788862051087,0.9083402246229063,1.1677716280097323,3.4000000000000004
35,1.029742801498398,0.8908733388011373,0.9166096033760138,0.765920513641217,0.9201366706354284,1.2104365335519784,3.5
36,1.0402009790538504,0.8912632506231046,0.89715648677039,0.7537559731151576,0.9278476137360218,1.2296584039493748,3.6
37,1.0551997485779807,0.8967044104748969,0.8835033709379996,0.7483450480837353,0.9344972182967094,1.2284376353769217,3.7
38,1.0738156089213127,0.9061668257976531,0.8740357770949011,0.7537392194454139,0.9431403910889927,1.213846321364978,3.8000000000000003
39,1.0909124898603955,0.916962314362915,0.8668394561762501,0.7677337786293535,0.9539703515120275,1.1944845867344256,3.9000000000000004
40,1.099824930821484,0.9264648960686699,0.8608067453170406,0.7847243734364957,0.9643391814137954,1.1767393149480716,4.0
41,1.097966479193657,0.9339659993451742,0.8566288757693458,0.8006600390280675,0.9714514841467696,1.1617310582896767,4.1000000000000005
42,1.0879331811841901,0.9413093955243019,0.8565621338450227,0.8142724796374146,0.9749087960883827,1.1456126547302767,4.2
43,1.0737611101722817,0.9512238978136734,0.8627645578737336,0.825236694942017,0.9766169839216263,1.1234540403393733,4.3
44,1.0582058947042197,0.9642272052549404,0.8753801403498797,0.8335641433409063,0.9787123346991248,1.0936738606523626,4.4
45,1.0429939783472773,0.9771521197060119,0.8923299289168445,0.8403059029690985,0.9821570804963113,1.0595880870745575,4.5
46,1.0290652552419675,0.9854300118415535,0.9110973951918367,0.8464912458861078,0.9870127206037274,1.0271574059016104,4.6000000000000005
47,1.016309717675728,0.987068746759103,0.9302847775051626,0.8515180171342127,0.9930163478601644,1.0012329869257102,4.7
