,Li-Li,Li-Ga,Li-Si,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.5973286840365162e-06,3.9933217100912906e-07,0.0,0.0,0.0,0.0,0.8
9,1.3245760926831572e-05,2.603972856079263e-06,1.7686684390715747e-07,0.0,0.0,0.0,0.9
10,7.892184962725393e-05,1.5117195616804543e-05,2.4154035589631842e-06,0.0,1.577608576826189e-07,3.155217153652378e-07,1.0
11,0.0003670257322561878,6.776196532488751e-05,1.9042566790615308e-05,0.0,3.4357848762632155e-06,5.738838054151506e-06,1.1
12,0.0013833061048056168,0.00025739616676850153,0.0001145259427395428,4.600306610025169e-06,3.344334833495249e-05,6.972326173077153e-05,1.2000000000000002
13,0.004336150602538322,0.0008583065725193303,0.0005544024545192536,5.596069702351557e-05,0.00022688949038944894,0.0004941726395717958,1.3
14,0.011554826594603544,0.002624264527534164,0.0022308741118060114,0.0003769796592977605,0.0011770380951011598,0.0025757454779149432,1.4000000000000001
15,0.026699176641682146,0.007528056708953697,0.007640564062635782,0.0019112719147137843,0.004957953416814178,0.010824617231851769,1.5
16,0.054444172375970316,0.02029647966977245,0.02251818200539011,0.007768635330648502,0.017435214476206735,0.0374060524573198,1.6
17,0.09945889276448235,0.05041958052079398,0.05736590207241839,0.025868487802281275,0.05168083567128518,0.10705253212250654,1.7000000000000002
18,0.16487310438052194,0.11286631415252694,0.12675108910589966,0.07148000815363724,0.12984360017959184,0.2553101203654749,1.8
19,0.2509125609601477,0.22425893138858788,0.24404311682929808,0.16565128431579748,0.27797645151834643,0.511473621621381,1.9000000000000001
20,0.35400704715753933,0.39326886934068866,0.4127164190571198,0.32557230503002843,0.5105078786444439,0.8697274047676559,2.0
21,0.46653721541024634,0.6104862442848971,0.620395533204119,0.5492996150369421,0.8115827070345688,1.2715855384071415,2.1
22,0.5782052220800252,0.8470525047667482,0.841541099530094,0.8065474851642082,1.1301825685006401,1.6227641942632767,2.2
23,0.6795692733390414,1.065043380569151,1.0471156585308472,1.0476253677775733,1.3990592537829851,1.8382139950892393,2.3000000000000003
24,0.7651952903178337,1.2323604683261844,1.213827059595125,1.2277776102486557,1.5663476020932854,1.8822459170108004,2.4000000000000004
25,0.8334133573329722,1.3333389198519447,1.3287980848139902,1.32747011906501,1.6168653811360099,1.777678399159877,2.5
26,0.8843657215522773,1.3715942011432543,1.3906068458916723,1.3524774365528427,1.570513079806865,1.585155936827311,2.6
27,0.9195419949445709,1.3648185078072896,1.4073202905186961,1.319842356618288,1.4642497041845306,1.3711381249930084,2.7
28,0.9422608528216795,1.3340800900155565,1.3914104804581502,1.2478941003229376,1.3332634540672748,1.1830815474759038,2.8000000000000003
29,0.9570325306206864,1.2942488350555856,1.3546702511409563,1.1559571723314497,1.2020510727717146,1.0413217260175993,2.9000000000000004
30,0.9682204869335672,1.2513555169841224,1.3068174163241024,1.064567237377354,1.0850891881783122,0.9455370131574752,3.0
31,0.9789390509292802,1.2063686570016938,1.2561189865268985,0.9900226995893442,0.9903085819305575,0.8861331170986108,3.1
32,0.9901331738510322,1.1600751855313114,1.2083945991551654,0.9383691966006512,0.9207420061454016,0.8525204365778946,3.2
33,1.0004536533085773,1.1148588122854919,1.1655729810177033,0.9058144734860786,0.8750432086628498,0.836580551480201,3.3000000000000003
34,1.0073566147201498,1.07362767828252,1.1267047222364357,0.8847308522002207,0.8490226277300711,0.8330784576755056,3.4000000000000004
35,1.008357516196573,1.0383134520102961,1.0904432503565578,0.8692870476879225,0.8378518722915583,0.8388833019850135,3.5
36,1.0022483931735156,1.0094446933497212,1.056362569302901,0.8575305401227503,0.8373232396928065,0.8518823027739082,3.6
37,0.9909792175960619,0.9866927998110421,1.0250355424939654,0.8507213250058201,0.8441310037746451,0.869893618551096,3.7
38,0.9802432392109662,0.9697018663303595,0.9981808383371077,0.8511637405210065,0.856119109441925,0.8901178473336675,3.8000000000000003
39,0.9764070627185816,0.9584206438757956,0.9784470003051012,0.8594784846897872,0.8722564850439547,0.9096520321139526,3.9000000000000004
40,0.9819545594663108,0.952741608988614,0.9677951068007243,0.8735321696833024,0.8918538292086697,0.9263794099066224,4.0
41,0.9938051649776696,0.9519841936784654,0.9657822693229368,0.8901750974755621,0.9139046895576273,0.9393499747683943,4.1000000000000005
42,1.0055601085864505,0.9547414529332047,0.9699245392335739,0.9073598616860061,0.9372001107223425,0.9488050039346322,4.2
43,1.0111246334036972,0.9594004508470154,0.9776380747760095,0.9243163412929694,0.9604068883891544,0.9559447747164154,4.3
44,1.0074937831083088,0.9652202319761283,0.9872312103734716,0.9406445044282676,0.9817738487104749,0.9619863466335407,4.4
45,0.9960257743416322,0.9726419339058094,0.9973716118535655,0.9556814196342441,0.9994104525701644,0.9672231779182399,4.5
46,0.9822841754166173,0.9818973164596833,1.0067803713657306,0.9680759290849587,1.0120542008262468,0.9713507791972141,4.6000000000000005
47,0.9740805172548559,0.9915912422160476,1.0147396527704509,0.9761266087049109,1.0192044245061782,0.9745113850803684,4.7
48,0.977481595219476,0.9993506462744047,1.0212056584957983,0.9794415748532078,1.0208617859506266,0.9774710836898411,4.800000000000001
49,0.9926828377146498,1.0037870576110755,1.0261613655125192,0.9795494211253228,1.0179818627296089,0.9808898639502415,4.9
50,1.013399307428278,1.005428915173823,1.0291999375622989,0.9775325965003199,1.0130310576087151,0.9847668706669801,5.0
51,1.0310645033747035,1.0059384758379626,1.029791621987355,0.9722002151708075,1.0091616654958981,0.9884157599573952,5.1000000000000005
52,1.0401058491391677,1.006647927715937,1.0275588406394138,0.9627294763948736,1.008402590947712,0.9908792944471603,5.2
53,1.0397878569823793,1.0077595973483717,1.0223394127135947,0.9523764866473231,1.0107386862515535,0.9916873646969829,5.300000000000001
54,1.0327915043070084,1.0088272047915443,1.0145618024276184,0.947250897633016,1.0146420468240525,0.9913667751950073,5.4
55,1.0232595334515027,1.0096479435316343,1.0057305850241038,0.9511823930309348,1.0181741517516034,0.9911088240934545,5.5
56,1.0150167185169887,1.0101808576521385,0.9980171710354622,0.9627999082110692,1.0200800334737294,0.9918957141802803,5.6000000000000005
57,1.0097050347236056,1.009922900995117,0.9930050690380968,0.9770813047036782,1.0205488401458278,0.9936810301143516,5.7
58,1.0063998696470082,1.0082888903529181,0.9909279214355685,0.9885600978559985,1.0208459759028028,0.9950299348483513,5.800000000000001
