,Li-Li,Li-Rh,Rh-Rh,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,4.73808235289441e-07,0.0,0.0,0.5
6,4.110964633768668e-06,0.0,0.0,0.6000000000000001
7,2.620578697419583e-05,1.7794131503092342e-07,0.0,0.7000000000000001
8,0.0001290996717948186,2.0204886658767657e-06,0.0,0.8
9,0.0005194583415479068,1.4064500025552528e-05,0.0,0.9
10,0.001758303358034217,8.042728959866111e-05,0.0,1.0
11,0.0051081732055296035,0.00037430299985179974,0.0,1.1
12,0.012945378173875968,0.0014782748530081699,2.1019317838027826e-06,1.2000000000000002
13,0.028985288139342244,0.005059957372628082,2.351124656919551e-05,1.3
14,0.05800605841573965,0.015162789064593339,0.00017076688713246215,1.4000000000000001
15,0.1049629131097164,0.03989961165290735,0.0009153828639845801,1.5
16,0.1738354973444715,0.09231194237142538,0.003933322137987928,1.6
17,0.26658780555850403,0.18828706548117496,0.013986602367685091,1.7000000000000002
18,0.3822428294873623,0.34038377256700075,0.04169471543870033,1.8
19,0.5159311764438801,0.5495821579725613,0.10496942567597084,1.9000000000000001
20,0.658477277965177,0.7999014835199225,0.22463475440720268,2.0
21,0.7976915455456799,1.0604694222401465,0.4117112940742694,2.1
22,0.9216492098596524,1.2951898163770377,0.6526449588323453,2.2
23,1.0222099872851005,1.4746653257202489,0.9065006345775598,2.3000000000000003
24,1.096365298937709,1.5836862137033527,1.1214330963959769,2.4000000000000004
25,1.1449984135416607,1.6219080954964138,1.2594100962266477,2.5
26,1.1708927025643834,1.6000995255044386,1.3101023584122102,2.6
27,1.1775016396946407,1.5349660248020573,1.2870978290678874,2.7
28,1.168394736754303,1.444197750245107,1.2150885594956662,2.8000000000000003
29,1.1470388749443912,1.342944256453128,1.1187723357126333,2.9000000000000004
30,1.1170432908977714,1.2423452639281498,1.0173313418107905,3.0
31,1.0824422394729067,1.149683567367901,0.9233010667092418,3.1
32,1.0472411614523025,1.069332354478012,0.8436262768885492,3.2
33,1.014514624374434,1.0036209945779933,0.7815360348915111,3.3000000000000003
34,0.9862362164701439,0.9532401583761885,0.7384651428106523,3.4000000000000004
35,0.9639559543671034,0.9175492157024805,0.7149995050154873,3.5
36,0.9490752501382741,0.8950829044462535,0.7106446779507996,3.6
37,0.9420436126441739,0.8840804185893312,0.7234108119838064,3.7
38,0.9417175772826955,0.8827678836613397,0.7498880292857116,3.8000000000000003
39,0.9460764795549463,0.8892936036725635,0.7858147148999692,3.9000000000000004
40,0.953432251538586,0.9014713279794647,0.8271843435268356,4.0
41,0.9626780161785727,0.9168347467756629,0.8714228734813505,4.1000000000000005
42,0.9728013455657728,0.9332626338749554,0.9173848963398318,4.2
43,0.9827827750246835,0.9495929481199681,0.9639460701248722,4.3
44,0.9920248949464097,0.9654898116802154,1.0087867417718719,4.4
45,1.0005685129192783,0.9807417560207229,1.0486400303166823,4.5
46,1.0086487018041255,0.9947290453234415,1.0803682673120385,4.6000000000000005
47,1.015977158186943,1.0064556210833713,1.1017106624782882,4.7
48,1.0215459027357545,1.0149980067039077,1.1115997338102803,4.800000000000001
49,1.0242111442505963,1.0199831151379117,1.1106366840353903,4.9
50,1.0234733148467534,1.021830581179284,1.1012753580976067,5.0
51,1.0197801259808243,1.0215137066343212,1.0868289702150744,5.1000000000000005
52,1.0143017375485783,1.0198102510845035,1.0700277976317596,5.2
53,1.0085165096984015,1.0167245651926478,1.0525405577937526,5.300000000000001
54,1.0037515288361212,1.0119260202428517,1.0354401509399977,5.4
55,1.0006768489652649,1.0058300592480223,1.019479363905554,5.5
56,0.9991123017618504,0.9999600205274847,1.004878011681152,5.6000000000000005
57,0.9984177307919634,0.996078341030444,0.9912005644232944,5.7
58,0.9980028235144025,0.9950030690248572,0.9776786572150188,5.800000000000001
59,0.9974002755214969,0.9961794585790488,0.963898216189912,5.9
60,0.9961750873817361,0.9981981264857637,0.9505323438831392,6.0
61,0.9941509146845964,0.9997768808763843,0.9395913172933827,6.1000000000000005
62,0.9916957202267966,1.0005311622859985,0.9336521331563067,6.2
63,0.9895867659736591,1.000984190958978,0.9342760484440185,6.300000000000001
64,0.9885262842216466,1.0018886779799998,0.9410033011641794,6.4
65,0.9887396070425976,1.0035240947005832,0.9519223685770004,6.5
66,0.989898093177607,1.0055361249878016,0.9646633467257255,6.6000000000000005
67,0.9913623896588518,1.0072925489839748,0.9767279276914571,6.7
68,0.992591111162586,1.008299618878608,0.9860341610354015,6.800000000000001
69,0.9934503616780427,1.0083393844120412,0.9920475432731688,6.9
70,0.9942243565119666,1.0074701284725307,0.9959016317706819,7.0
71,0.9953537734660491,1.0060592096352832,0.9988580046027529,7.1000000000000005
72,0.9970862129193969,1.0046518140206773,1.0009035753907718,7.2
73,0.9992390290410575,1.0035878544693895,1.000980802535164,7.300000000000001
74,1.0012760983180469,1.002771067900469,0.9983866524389986,7.4
75,1.0027106531343453,1.0019347478236196,0.9938487623475368,7.5
76,1.0034210247587667,1.0011055375486961,0.9892352704013,7.6000000000000005
77,1.0035295655195515,1.0006419370792308,0.9862110806962956,7.7
78,1.0031478509268696,1.0007501062722886,0.9851937954928058,7.800000000000001
79,1.0023987641329009,1.0010808913779516,0.9855281420790813,7.9
80,1.0014694608327783,1.0009976961965645,0.9864357891835697,8.0
81,1.0004513630465404,1.000249051510925,0.9875485581972906,8.1
82,0.9993352688578486,0.9991996158134799,0.9885088440073933,8.200000000000001
