,Li-Li,Li-V,Li-Si,V-V,V-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,8.054133758011741e-07,0.0,0.0,0.0,0.0,0.0,0.4
5,5.9382243259919605e-06,1.715673463245105e-07,0.0,0.0,0.0,0.0,0.5
6,3.2921863310877103e-05,3.7815548747818647e-06,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.00014752216156778037,3.026164019252564e-05,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0005380601065321682,0.00017050659402395005,4.530450238881604e-07,3.397837679161203e-07,0.0,0.0,0.8
9,0.0016597297162035043,0.0007571620202585204,5.562760708638246e-06,3.620264827642587e-06,1.0032830978838153e-07,0.0,0.9
10,0.004507977367843837,0.002743872218960602,3.845588951034292e-05,3.025515295346064e-05,1.728107261846713e-06,0.0,1.0
11,0.011130679611701331,0.008226523889759927,0.00021006414661507114,0.00018355962986215716,1.634889126412345e-05,2.2489104786913664e-06,1.1
12,0.0253957145629034,0.020696744737940153,0.0009242779180001678,0.0008798254295782811,0.00010726473165652777,2.3943100538590935e-05,1.2000000000000002
13,0.05347056438811385,0.04441232380803226,0.0033966034248750767,0.0035056257144710124,0.0005528909390996333,0.0001646943176995938,1.3
14,0.10314902554378229,0.08293333410757646,0.010656312740579151,0.011770660920963657,0.002352061318166789,0.000864605329232034,1.4000000000000001
15,0.1817579892873732,0.1379303297531234,0.02890131131063454,0.03352710649900952,0.00842557440670446,0.0036524574228605626,1.5
16,0.2933087102443144,0.20932952817492595,0.06825717315149898,0.08138488039995571,0.025815229822323815,0.012817683779386147,1.6
17,0.4359449666169622,0.2962517479567335,0.14108344785292273,0.16945917478109004,0.06826388733946846,0.037965877238331454,1.7000000000000002
18,0.6006950234712727,0.39720412251319653,0.25665755130518536,0.30552990709340533,0.15687734119939264,0.09570981631179158,1.8
19,0.7722543817569169,0.5092703502296514,0.4144381992318509,0.48314960246258143,0.3151977678194426,0.20654863000367787,1.9000000000000001
20,0.9321772161970308,0.6276208714493987,0.6010685175788003,0.6813828787605899,0.5570565644814298,0.3834245741820082,2.0
21,1.064282939575616,0.7461782693935806,0.793989826221398,0.8749031084355876,0.872347841596564,0.6158308090619713,2.1
22,1.1597260688225628,0.8586775387743193,0.969194262752489,1.0468567901679062,1.2217760749618416,0.8631711337859488,2.2
23,1.2175821979502892,0.9591861766750854,1.1086901290460227,1.1931014428118416,1.5477192866890532,1.069235834341757,2.3000000000000003
24,1.2413747002574054,1.0422885690971444,1.2048135901269457,1.3154890664402625,1.795708061856209,1.191103529834377,2.4000000000000004
25,1.2369875752199657,1.1035097807396403,1.2597204817831849,1.4133492729455168,1.9328711674896206,1.2197361503077981,2.5
26,1.2130138932188985,1.1399834730765093,1.2808401973810322,1.4818268887966835,1.9536904447780168,1.177071973217486,2.6
27,1.1791402094162566,1.1511551594110097,1.2765560740936273,1.515788569508558,1.873729815608921,1.096871016256926,2.7
28,1.1421612351325008,1.139518932980589,1.2549523972117413,1.51305080190386,1.7193330858354003,1.007627343729724,2.8000000000000003
29,1.1043139455671336,1.1109224245476736,1.2234586917740033,1.474725015096326,1.5204845163359473,0.926609797583427,2.9000000000000004
30,1.0655817068445983,1.0732638385231998,1.1874181482297768,1.4049615346540594,1.3073954607293112,0.8610487199443984,3.0
31,1.0268015763313323,1.0336928139775075,1.149715653318151,1.3113998859536944,1.107385837857045,0.8113936007398883,3.1
32,0.9905881514164594,0.9967342724536867,1.1126407477008957,1.204908823957251,0.9408944045002188,0.7756857266406246,3.2
33,0.9600532509657511,0.9648106538850942,1.079183544518943,1.0976264250585752,0.8186477977062845,0.7530952090110992,3.3000000000000003
34,0.9371164349858556,0.9395770047718246,1.0519517660600215,1.000234307295842,0.7418489917466878,0.7441462038472015,3.4000000000000004
35,0.9217339206285472,0.9223066880804474,1.0317202573092452,0.9199846963365683,0.7049491038753234,0.7490697846828508,3.5
36,0.9121503857041546,0.9135722123936175,1.0174695635687403,0.8604291218038108,0.699357618786045,0.7670035388554041,3.6
37,0.9059336725642568,0.9129465192314457,1.007472476864095,0.8227312286950873,0.7165944456739535,0.7960044502969461,3.7
38,0.9013347864111686,0.9189361995905483,1.0005414088916647,0.8069877973255751,0.7499443344427276,0.8327737665906505,3.8000000000000003
39,0.8980928128916383,0.9294593767547019,0.9966718013742673,0.8120091834311894,0.7943865754139936,0.8725558366989044,3.9000000000000004
40,0.897058209687633,0.9427985634141949,0.9963987113433408,0.8340290142214328,0.8455524290090469,0.910168274616976,4.0
41,0.8990447074365312,0.958120790204349,0.9994534024455866,0.8665013401368568,0.8989239901084438,0.9420085325982197,4.1000000000000005
42,0.9040325022645279,0.9751071912779035,1.0045203790930204,0.902073517364437,0.9498542370701024,0.9677034698776626,4.2
43,0.9114777524589754,0.9933248350841474,1.0105933859250844,0.9352751032247446,0.9941880903115279,0.9896710122728705,4.3
44,0.9210314146313788,1.011968211878969,1.0181507326229382,0.9637728674803021,1.0290460941630135,1.0105808914074155,4.4
45,0.9323866657413604,1.0299152423411668,1.0282452331805279,0.9876534311225553,1.0534319033658377,1.0309744886026497,4.5
46,0.9441923547135529,1.0458145612780863,1.040186041318327,1.0077723338166138,1.0682663772244179,1.0488744647393864,4.6000000000000005
47,0.9536704286438904,1.0582324469778135,1.0506445229037271,1.0243827483081953,1.075612057280224,1.0609650953085759,4.7
