,Li-Li,Li-Si,Li-Pd,Si-Si,Si-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.228712197350947e-06,0.0,2.690593497792456e-07,0.0,0.0,0.0,0.8
9,2.6297247046988304e-05,3.5750446475858234e-07,3.422841521417477e-06,0.0,0.0,0.0,0.9
10,0.0001496151230588739,4.776008139987871e-06,2.786748166963628e-05,1.0629505176464023e-07,1.3818356729403233e-06,0.0,1.0
11,0.00067257234982767,3.522217298020612e-05,0.00016052896328537755,2.7919427975731402e-06,1.7501348988856762e-05,0.0,1.1
12,0.002433517724866786,0.00019834838259430812,0.0007403439671351019,3.537286934225089e-05,0.00014133432523147292,0.0,1.2000000000000002
13,0.007258413707747621,0.0008982338359177762,0.002824950738369762,0.0002571006850063276,0.0008188411417198537,0.0,1.3
14,0.018281091746136378,0.0033789593757721855,0.00908218522649238,0.0013752566258994122,0.0037663639995120764,5.692495334172467e-07,1.4000000000000001
15,0.03990497377610611,0.010804090436238506,0.024870646319353738,0.005896506099837568,0.014297204258091027,5.534863051970782e-06,1.5
16,0.07745367726975189,0.029700583038569355,0.05867859047726045,0.020808855650792,0.045501081881545107,4.6522505492203406e-05,1.6
17,0.13641097450615997,0.07082123528887445,0.12082840880467273,0.061060647356515174,0.12227912779483743,0.00028303747118857387,1.7000000000000002
18,0.22090777665429895,0.14752697397259087,0.22016500829150837,0.15001901817902968,0.279058616904541,0.0013491429882378817,1.8
19,0.3317174744023266,0.2705111692781034,0.3599225185543824,0.3109577534729094,0.5441943890010963,0.00535589298028437,1.9000000000000001
20,0.4648214932130078,0.44072849515436896,0.5344914987270951,0.5487674087811157,0.9138747098097122,0.017882166823614005,2.0
21,0.6110757747681449,0.6452927647786472,0.7286798769729872,0.8339228617259856,1.3346827578337204,0.05041910670612734,2.1
22,0.7572481772786382,0.8598114785249308,0.9207973881788271,1.1069295173669358,1.7164873631996833,0.12052466109440577,2.2
23,0.8890087918982887,1.056052485770265,1.0891639528178487,1.3066497737744895,1.9739898600193693,0.24599079719472766,2.3000000000000003
24,0.9950526318698499,1.2108071789229944,1.218391021094087,1.4017081195439223,2.0671296281109073,0.4332615009198073,2.4000000000000004
25,1.0698486814348798,1.3119182758723165,1.3014229410602622,1.4000496042844846,2.0109437718148415,0.6673009561777083,2.5
26,1.1138672178637068,1.3593967271441432,1.3377166398459188,1.3337911570980907,1.8542051301647833,0.9117930464254294,2.6
27,1.1320073696474937,1.3622677116583584,1.3310915074647653,1.2373566480693114,1.6502065003446797,1.1212845168347905,2.7
28,1.131031224203719,1.3337203278163625,1.2892250748348448,1.1354000223585485,1.4401473158264932,1.2586345287231344,2.8000000000000003
29,1.1168042224276578,1.2870108842982848,1.223799398626803,1.042179331411156,1.2507709247220715,1.3085525747838969,2.9000000000000004
30,1.0930427662734685,1.233113060708803,1.1490772163366043,0.9649783766332573,1.0969502841388905,1.280709408105817,3.0
31,1.062462508510648,1.1798169588103427,1.0784345090975926,0.9063197138253172,0.9836847371282886,1.20162520515071,3.1
32,1.028971187441339,1.1316682019868016,1.0208090469333944,0.8653527038673309,0.9083281201931409,1.1011577914583257,3.2
33,0.9981175173671385,1.0904217323372047,0.9790047798637499,0.8398539188326478,0.8638378904187974,1.0024174065049871,3.3000000000000003
34,0.974639070113548,1.0559551703541157,0.9506261355086698,0.8278465430406202,0.8417648159224977,0.9195160066618949,3.4000000000000004
35,0.9594598448134871,1.027525530289639,0.9314117683591155,0.8275972897509069,0.834238174120972,0.8598565654380624,3.5
36,0.94956949951984,1.0046846379884564,0.9187711488327635,0.8368103509115282,0.8352048197381899,0.8259904359491802,3.6
37,0.9410350428540132,0.9873539866461521,0.9125994446024998,0.8525110110151155,0.841010262753662,0.8163916937778174,3.7
38,0.9321391943132379,0.9754488203848416,0.9132209989731612,0.8718034573655397,0.8503956606635684,0.8266537215965678,3.8000000000000003
39,0.923800690687536,0.968809874484269,0.9195545396405251,0.8926204469242072,0.8640829377495667,0.8510738596163306,3.9000000000000004
40,0.9176129471291282,0.9674770204695458,0.9298095256100599,0.913802816272898,0.8836380115248039,0.8839046700433018,4.0
41,0.9141389285247711,0.9716095480558609,0.9433860222824091,0.9347148106724548,0.9095585222393884,0.9204368794414551,4.1000000000000005
42,0.9130796428363045,0.9808450972204634,0.961002458206956,0.9549037561246163,0.9398056279702656,0.9573560530167307,4.2
43,0.9146038170461072,0.993840491828227,0.982492701287006,0.9737422411235729,0.9703032057094382,0.9916763864743562,4.3
44,0.9199721139773452,1.0085702521364261,1.0052508583369422,0.9900110192382473,0.99709994921394,1.0198731635973217,4.4
45,0.9299707981377842,1.0230787541047355,1.0256040242669564,1.0020830813047883,1.0181170256914749,1.0387203623529415,4.5
46,0.9427320615087901,1.0360223953648056,1.0413258463396322,1.0090011245884687,1.0330217828671717,1.0468999536367858,4.6000000000000005
47,0.954460822084374,1.0465506271824687,1.0523606036481927,1.0112834491130214,1.0419749628867285,1.0457385786199815,4.7
