,Li-Li,Li-Si,Li-Os,Si-Si,Si-Os,Os-Os,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.0419227477473725e-06,0.0,0.0,0.0,0.0,0.0,0.5
6,1.0387760068669098e-05,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.550189551945305e-05,0.0,2.608665842508237e-07,0.0,0.0,0.0,0.7000000000000001
8,0.00032153574531228164,2.2927727131420044e-07,3.0767274383231786e-06,0.0,0.0,0.0,0.8
9,0.001278900171589754,3.1198501878312737e-06,2.3295879532402675e-05,0.0,0.0,0.0,0.9
10,0.004233294487514311,2.6973613049947223e-05,0.0001283080083506225,1.8115735017418305e-07,3.623147003483661e-07,0.0,1.0
11,0.01189577805554822,0.0001625891918300324,0.000568583641215285,2.644604099806693e-06,4.720143282445731e-06,0.0,1.1
12,0.028961839792197182,0.0007760454776212927,0.0020954140665634235,2.1850796471276294e-05,4.578695296879978e-05,0.0,1.2000000000000002
13,0.0622112782696856,0.003060519229462629,0.006523026473912277,0.00013702052130036308,0.00031082646848326184,1.0647615683707087e-06,1.3
14,0.1196463759910731,0.010146481900293554,0.01738253240029084,0.0006811683952452574,0.0016388511897149896,1.7857473649573127e-05,1.4000000000000001
15,0.20824273819082523,0.028589685628904224,0.04021823171590628,0.0027966293139035044,0.007055876889100393,0.00016357221932843525,1.5
16,0.3306670838417348,0.06917012828796737,0.08209725804477683,0.009719477766825229,0.02542539253438588,0.000972548009030936,1.6
17,0.4828350862522188,0.1452653169320302,0.1504087591574575,0.028849995688087982,0.07738174729244053,0.0045246357025960846,1.7000000000000002
18,0.6543995256324638,0.2678975297123374,0.2513337411715602,0.07340831191317701,0.1996140470785527,0.017167716018095917,1.8
19,0.831757473840192,0.4389821384827306,0.38798678755549515,0.16060169081968934,0.4377191892421126,0.05376304307046978,1.9000000000000001
20,1.0007662732402218,0.6465522984513742,0.5579035825000855,0.3034666363901428,0.8190301023708746,0.14001903197056453,2.0
21,1.1477728584764944,0.8657555546476204,0.7503358738101932,0.49886454679240577,1.314665176477826,0.30570602603074465,2.1
22,1.2605387231445202,1.0663624594437944,0.9453287669450102,0.7210165278024653,1.8240546673496751,0.5653870375743401,2.2
23,1.3303416113182593,1.2230533078591073,1.117139206981127,0.9288797032126426,2.2111315118655988,0.8975618966069078,2.3000000000000003
24,1.3543893277799905,1.3227509074287158,1.2424694932594857,1.084281168112733,2.3758441305975015,1.2431582127564411,2.4000000000000004
25,1.3371847137520525,1.36593579523619,1.3096061992419012,1.1679140856109387,2.3042989522532977,1.5313161616353996,2.5
26,1.2899766959151846,1.3630543987654489,1.322127657070767,1.1832225809002077,2.060239980361453,1.71370948660437,2.6
27,1.2274927166664837,1.3289352389864395,1.2942887329714263,1.1492363072208955,1.7373955064559974,1.779748845618597,2.7
28,1.162661030697472,1.2777662752055474,1.2421854316237408,1.0902373660826175,1.4166058963628978,1.74563235223853,2.8000000000000003
29,1.102603270192366,1.2201458244406278,1.1780066761482368,1.0280537239849787,1.1480930006630727,1.6353382678602992,2.9000000000000004
30,1.0489439412726445,1.1624465135172077,1.110176526090031,0.9777516978007453,0.9520589587448628,1.4723895321625435,3.0
31,1.0012503652900124,1.107877265089176,1.045551270887428,0.9459700102582299,0.8264651416501786,1.28194890795918,3.1
32,0.9598418558058254,1.0582671249875073,0.9896192327499913,0.9319510424822129,0.7567830749183216,1.0916872596496447,3.2
33,0.9259827619654704,1.0153287361181025,0.9455472749081953,0.9307577078006497,0.7252056629406964,0.9266852810140102,3.3000000000000003
34,0.900498615278242,0.9805972794828673,0.9144118109260825,0.9369330465305342,0.7170544534805721,0.8029049985022865,3.4000000000000004
35,0.8829457695058969,0.9546811071638975,0.8961358657297583,0.9467833660075765,0.7231336128714644,0.7247446320051407,3.5
36,0.8721456814041857,0.9372940224553307,0.8897835485834005,0.9585390173545957,0.7388206691325409,0.687706138530117,3.6
37,0.8670880334223235,0.9282658529928433,0.8936658687719731,0.971202346201241,0.762091814551314,0.6833311977356564,3.7
38,0.8670560491598001,0.9280157633471824,0.9059773981897247,0.9836196642822261,0.7918888771594396,0.7032271345547471,3.8000000000000003
39,0.8711733731314262,0.9366137612899595,0.9254444571363953,0.994670118144218,0.8268795393938225,0.7408240602226809,3.9000000000000004
40,0.8784846031510616,0.9526040068146177,0.9511297494092141,1.0040489179493877,0.8648287788161693,0.7909973308458289,4.0
41,0.8884505439707463,0.9730470039764976,0.9813873374832222,1.012380472532771,0.9032133574526132,0.848554602950017,4.1000000000000005
42,0.9006179680638762,0.9945830619276753,1.0131225489847941,1.0201415542414938,0.9405128328216853,0.9072591890245671,4.2
43,0.9138156098802089,1.014494879709,1.0425612523572387,1.0265741273975002,0.9764687723875516,0.9605889136331979,4.3
44,0.9266179097092544,1.0311826054615325,1.0670029228340219,1.0300630509053426,1.0108354980517031,1.0038525860385135,4.4
45,0.9385304509389804,1.0439189375479174,1.085614548112723,1.0295100756084088,1.0421636874795153,1.0358377898352278,4.5
46,0.9497542538459763,1.0523060851237198,1.0985151798365553,1.025007857740031,1.0679267205949727,1.0582061136203065,4.6000000000000005
47,0.9598552778926807,1.0562336710310667,1.1056543182983452,1.0173645921444898,1.085451578926809,1.0727601637982274,4.7
48,0.9676683302064358,1.0563716884907741,1.1069321419806708,1.0074712642976917,1.0926603771699384,1.0789175752899491,4.800000000000001
49,0.9724926892938377,1.0542705141309936,1.1028943713414787,0.9960861151620439,1.0886638795764332,1.0740229737779052,4.9
50,0.9747135281590048,1.0514618486015466,1.0946396842529666,0.9838209106587426,1.0744753074746507,1.0565948599051191,5.0
51,0.9752182335674654,1.0484434415018804,1.083238114422091,0.9712883356343243,1.0533025199941046,1.0292793897650967,5.1000000000000005
52,0.9744921583112889,1.0448435750429101,1.069741498484428,0.9595117610675675,1.029774420239981,0.9982788332564181,5.2
53,0.9723766553853815,1.0404455214945936,1.0554519292384388,0.9501034789502156,1.0083805044586835,0.9699921380019169,5.300000000000001
54,0.9687388936371528,1.0354952666796324,1.0414616300296762,0.9446015166853098,0.9919965098289756,0.9483329696688528,5.4
55,0.9642277554745969,1.03003237606837,1.0280491237699259,0.9434737461007237,0.9812218539300251,0.9343682632210102,5.5
56,0.9599888660448619,1.0236477381742843,1.0151476058181348,0.9459060954397852,0.9748347742008969,0.9271688176265228,5.6000000000000005
57,0.9565575863228482,1.0163136898983665,1.0034142864814015,0.9506785427479938,0.9711149333176355,0.9247202039654684,5.7
58,0.9535616091091806,1.0091291499761146,0.9943359191542583,0.957200086831444,0.9691803613657072,0.9248623460228045,5.800000000000001
