,Li-Li,Li-Si,Li-Ir,Si-Si,Si-Ir,Ir-Ir,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.7767446994955381e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.4188484176817353e-05,1.3013266842008335e-07,5.205306736803334e-07,0.0,0.0,0.0,0.8
9,8.134225056839883e-05,1.5402109650542545e-06,5.469204487576021e-06,0.0,0.0,0.0,0.9
10,0.0003693710393724728,1.2212546210654402e-05,3.899344415883034e-05,4.1128349525359673e-07,1.0282087381339918e-07,0.0,1.0
11,0.0013554398475916292,7.397812059969946e-05,0.0002032609986422292,4.250706866884309e-06,3.162102370124305e-06,0.0,1.1
12,0.004142303426527113,0.00035473056403572203,0.0008573519147549694,3.3760614240894213e-05,3.939092564188679e-05,0.0,1.2000000000000002
13,0.010819428522306064,0.0014290639764846834,0.003007297861585071,0.0002094258966920629,0.0003017422425861901,0.0,1.3
14,0.02484262227928506,0.004899271293495365,0.008890811325522326,0.0010198563532943245,0.0016961991195974745,1.1012880368773992e-06,1.4000000000000001
15,0.05132302138313805,0.014455355628879656,0.022469003668157586,0.004136668568527977,0.007615072435419169,1.524214560542105e-05,1.5
16,0.09693040529434434,0.036998730931401755,0.04936848916154298,0.01421309063443191,0.028233614931195784,0.0001248917463972524,1.6
17,0.168780570902811,0.08282582432847813,0.09624804388159824,0.041477680435008824,0.08762112062203639,0.0007132344235911492,1.7000000000000002
18,0.2722031229055896,0.1635491969653749,0.17013922136336235,0.10290938587857337,0.22904652553997526,0.003216207038625901,1.8
19,0.4078574672306439,0.28724711926421764,0.27755294724468677,0.21777211026519533,0.5068894823898624,0.01192000468191288,1.9000000000000001
20,0.5690102271507809,0.4523287232111953,0.42190208914687344,0.3958530686645615,0.954767108697773,0.036736957492727915,2.0
21,0.7407926973164786,0.6439047033688541,0.5989426835665919,0.624880270221652,1.540320021002875,0.09486390855653697,2.1
22,0.9038874110652086,0.836602700722588,0.793634359504863,0.8687879295468546,2.1451699286411556,0.20699801444013963,2.2
23,1.0419358996133659,1.0036068749884368,0.9826543303834218,1.0812588555872837,2.6047919075701453,0.3860887381382581,2.3000000000000003
24,1.1469002179323844,1.126524587812369,1.141944514922364,1.2258757920650964,2.792233684099024,0.6248847835056145,2.4000000000000004
25,1.2180059165265402,1.200053170795855,1.25375306596859,1.2898449635388705,2.6824838358293683,0.8936125464567458,2.5
26,1.257350040422992,1.22990914957435,1.3093871840383229,1.2849189353959751,2.350774290855742,1.1503991256325345,2.6
27,1.2680622588467085,1.2271638093411854,1.309457249262469,1.2375618210539379,1.9187612144183037,1.3544874634996682,2.7
28,1.2554708326220392,1.2032059733600287,1.2639860132913472,1.175249304199083,1.496440383414183,1.4746531364781255,2.8000000000000003
29,1.227284339412918,1.167384732000184,1.190616188227444,1.1165741741804003,1.1515448752735866,1.4963572737024036,2.9000000000000004
30,1.1913395836109546,1.1266413007615856,1.1091177105776386,1.0690778696629881,0.9077638954851,1.429248155870028,3.0
31,1.1532344040345148,1.085927696108449,1.0347047763416388,1.032856399211357,0.7584324607926134,1.3060720294801549,3.1
32,1.1158940986942338,1.048744351843095,0.9746122971198737,1.0053944661436267,0.6826106808063515,1.1679332808389806,3.2
33,1.0807195052008558,1.0171385391198355,0.9296720785440333,0.9846601639920689,0.6565574048296592,1.0462766128365755,3.3000000000000003
34,1.0490290689577402,0.9912877214328812,0.8985087294042831,0.9697491847566103,0.659923183537593,0.9552395936304947,3.4000000000000004
35,1.0223215190714037,0.9699489997596193,0.8805431832070619,0.9600913612143811,0.678737697429052,0.8957492148382121,3.5
36,1.0012354322170207,0.9520332517325686,0.8761305830159395,0.9549439437910107,0.7059354693842663,0.8631683906067493,3.6
37,0.9850368722478715,0.9379776193641234,0.8847458832194984,0.9537754814285553,0.7392743802496577,0.8522268528555492,3.7
38,0.9727539613190768,0.9296048171190783,0.9033819727057979,0.9566620836022567,0.7779825409612383,0.8585792944276149,3.8000000000000003
39,0.9642232432737189,0.9284314929693964,0.9268717254308765,0.9638348670447285,0.8205065363825408,0.8785164420525499,3.9000000000000004
40,0.9596204937170439,0.9340344588961931,0.9502029200021245,0.9748000624331055,0.8642982143865134,0.9082357382740645,4.0
41,0.9588072965949271,0.9442404559448763,0.9711288565978244,0.9880781037283025,0.9067874185386819,0.9434616525942506,4.1000000000000005
42,0.9614664073767835,0.9568270153584693,0.9908333996287649,1.0018382644518682,0.9463242459062455,0.9791774677379703,4.2
43,0.9670474968888976,0.9707079982411676,1.012001168193798,1.0145357272891273,0.9823082143997125,1.009480240775839,4.3
44,0.9742463197798853,0.9856449705061252,1.03587263121537,1.024915961121142,1.0144330225242377,1.0284962855987374,4.4
45,0.9811371291392209,1.0013100637620829,1.060477710486437,1.0317727180340324,1.0417341382772873,1.0327478821829739,4.5
46,0.9861560769902119,1.0166040456184546,1.0813869140885979,1.0340532269589118,1.062334289210411,1.0231416793252903,4.6000000000000005
47,0.9887241963457135,1.0296845817568367,1.0944824524644048,1.0312626847428863,1.074180012223576,1.004318346262602,4.7
