,Li-Li,Li-Si,Li-Te,Si-Si,Si-Te,Te-Te,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,1.2854931604169965e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.1741890505390486e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.219157364577526e-06,1.4763085514163943e-07,0.0,0.0,0.0,0.0,0.8
9,4.317525912601764e-05,1.6165408662153758e-06,0.0,0.0,0.0,0.0,0.9
10,0.00018478025567167117,1.2185421024487054e-05,0.0,6.998796095603647e-07,0.0,0.0,1.0
11,0.0006689722432932429,7.322358056088666e-05,8.375290618561706e-07,2.1523751842537857e-05,0.0,0.0,1.1
12,0.0020784956444475575,0.0003544583266884479,1.1508335346985404e-05,0.0002051993968267685,5.669024837438955e-07,0.0,1.2000000000000002
13,0.0056280861389140764,0.0014467383960473658,9.150495517297316e-05,0.0013016232625573496,9.35283846119461e-06,0.0,1.3
14,0.013485510607453515,0.005074244607286713,0.000521124153615257,0.006309592898244522,6.221529512673921e-05,0.0,1.4000000000000001
15,0.029069178723569254,0.015416265182859556,0.0023667683919311095,0.024808852394741815,0.0003193306575702686,0.0,1.5
16,0.05720404109855521,0.040743186662352604,0.00886878380989207,0.08063437994619943,0.001310149583603968,0.0,1.6
17,0.10375784622310963,0.09409633389111544,0.0278734678197991,0.21850339681582798,0.004381579424654141,0.0,1.7000000000000002
18,0.17413221080564342,0.19109026602500193,0.07425570164256506,0.4974010948005847,0.012169856231409962,2.683562053225541e-06,1.8
19,0.27062883672090177,0.3438994001841415,0.16929497002089042,0.9587095774137814,0.028620433836225492,2.3720174832246462e-05,1.9000000000000001
20,0.3901245540308041,0.5531781564480944,0.3336284416705703,1.5789063139275699,0.05813571208378902,0.00013521909693986237,2.0
21,0.5238475037892439,0.8023010171129359,0.5745033024754856,2.245696775939224,0.10383159396078925,0.0006059999411167534,2.1
22,0.6596180676247645,1.0588367002213654,0.8748267560469383,2.7918382163217914,0.1651646745741609,0.002174446328151498,2.2
23,0.7853379534872831,1.2846798126564178,1.193749824815371,3.0725378993319317,0.23609037921861725,0.006341972485484241,2.3000000000000003
24,0.8921877168346541,1.449986239257402,1.4811512573276542,3.0330146214691838,0.3061338277997383,0.015288626988106641,2.4000000000000004
25,0.9762991793632388,1.5426086927020695,1.6967982057726845,2.725184454978019,0.3653281167679235,0.031173378741095794,2.5
26,1.038148689665325,1.5682846589742097,1.821497724295384,2.2717424702223297,0.4095346800476861,0.0554074263233486,2.6
27,1.080227152926378,1.543563059991225,1.856251422164291,1.8045488422400773,0.4413959541745857,0.08891145408805909,2.7
28,1.1048778897131972,1.4870228056726402,1.8153863647850397,1.4137798292711583,0.4668077728945691,0.13309122936233336,2.8000000000000003
29,1.1138701363296317,1.413850514866825,1.720110693184071,1.1320094438118211,0.4910455837250538,0.18997935873110763,2.9000000000000004
30,1.1094396359681253,1.3353302429542782,1.593601576638847,0.9496273392170155,0.5174121171738656,0.26082243688885287,3.0
31,1.0951775027293917,1.2603503420773248,1.4569083541288108,0.8400295554714433,0.5474098964569707,0.34409510177327574,3.1
32,1.0755351315723236,1.1951825161348286,1.3262334388054164,0.777810554766685,0.5805020848690682,0.43419657228487857,3.2
33,1.0543077369168452,1.141799644660813,1.2118150167689488,0.7459630422592561,0.6144788916976183,0.5219294152226701,3.3000000000000003
34,1.0335720260656802,1.0980569324133125,1.117739293802229,0.7349409005136046,0.6480206968789712,0.5977102199940563,3.4000000000000004
35,1.014048032093781,1.0606628438719656,1.042946650248792,0.738527058455143,0.6830488716955058,0.6563478683850135,3.5
36,0.9962520581126175,1.0278791094592425,0.9839620451684172,0.7511611321279124,0.7229956418324379,0.6998037516289454,3.6
37,0.9811167719178042,0.9996489229955727,0.937885674832755,0.7680153179145923,0.7685975943011317,0.7359747927919597,3.7
38,0.9697480868017606,0.9766522852770192,0.9032369638828924,0.7862438141097384,0.8167569402937338,0.7753517370693456,3.8000000000000003
39,0.9629767351318516,0.9600371521859175,0.8788624121451847,0.8053993159006324,0.8637286675387668,0.8271496385547463,3.9000000000000004
40,0.9610942946705553,0.950994495149768,0.863243204741625,0.8261836122068769,0.9081248330412461,0.8946716692366006,4.0
41,0.963610741263536,0.9494523183454376,0.85490226958587,0.8485019021170905,0.9504007401031221,0.9721340968843243,4.1000000000000005
42,0.9691627048747955,0.9534897399622319,0.8528171386107409,0.870674543767196,0.9905151764418644,1.0470203501971487,4.2
43,0.9760607140397703,0.9606270259404127,0.8563949432870701,0.8902664036795959,1.0269294892834957,1.1069686411104542,4.3
44,0.9832122314757096,0.9694354024451645,0.8652804726629157,0.9052119448951974,1.057616605567905,1.1452683213528347,4.4
45,0.9903747762542321,0.9795270986674656,0.8788385680327254,0.9143245244248478,1.0813824039111986,1.1618257773562635,4.5
46,0.9974031256200383,0.9903997565516771,0.8953635122347816,0.9174879806417026,1.0984679133510762,1.1614659162426162,4.6000000000000005
47,1.003615151976311,1.0009951183061234,0.9120160218177195,0.915595398918108,1.1107595779261117,1.1516882974823293,4.7
48,1.0082980119567124,1.0102862986320629,0.9260131845485104,0.9101112202788889,1.121368634005726,1.139547814858964,4.800000000000001
