,Sr-Sr,Sr-Li,Sr-Si,Li-Li,Li-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,3.203675527974635e-06,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,2.2751093537359644e-05,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.00012312880711032315,0.0,0.0,0.8
9,0.0,3.6212249335814793e-07,0.0,0.0005218898037401303,1.629551220111666e-06,0.0,0.9
10,0.0,2.6843396013707614e-06,0.0,0.0017662392937739311,1.3371545497285771e-05,3.230043227793357e-07,1.0
11,0.0,1.4677900029025387e-05,0.0,0.004869181312546973,8.34624182998907e-05,6.59968132070945e-06,1.1
12,0.0,6.452220895786345e-05,0.0,0.011207041904168411,0.0004073045398783173,7.41404409217315e-05,1.2000000000000002
13,0.0,0.0002289283204295701,1.1865464918424578e-07,0.022244436638643738,0.0016309057187595187,0.0004917046880864843,1.3
14,0.0,0.0006798452003069181,1.422403607888415e-06,0.03953521096863108,0.005521410849617226,0.0024827070061909204,1.4000000000000001
15,0.0,0.001754620446941492,1.1126702639355551e-05,0.0652541980814239,0.016162531290205107,0.0101357930850392,1.5
16,0.0,0.004101884054905177,6.482099329155185e-05,0.10291613892912314,0.04151406730233153,0.03414199713839964,1.6
17,3.3489088185761527e-07,0.00894796443941245,0.0003095487773775872,0.15767628392987065,0.09428822781615623,0.09572157575710913,1.7000000000000002
18,5.899268211694774e-06,0.018362035631320467,0.001240789103619597,0.23533076764432082,0.19010074744171496,0.22530386159077023,1.8
19,4.1634730190589784e-05,0.03528784193278306,0.004269836846586518,0.33880416779356104,0.3414203745895055,0.44966072984197825,1.9000000000000001
20,0.0002166347661391393,0.06328641677651277,0.012789214435536262,0.46358119895875355,0.5492039916942765,0.7698648889481737,2.0
21,0.000902550961861063,0.10624173333407635,0.03361957073038639,0.5973153376717676,0.797561323031074,1.1456789244985672,2.1
22,0.0030592113416112983,0.1680045804967312,0.07798466338931356,0.7259201785647668,1.0560023943033174,1.503143664054505,2.2
23,0.008572243502903953,0.2512903533935299,0.16033032798468813,0.8402123373829309,1.2888408793963764,1.764936807864512,2.3000000000000003
24,0.020221281628267918,0.35574789419521036,0.29364922983083086,0.9367823935679886,1.4669577344101148,1.884209399066709,2.4000000000000004
25,0.0411224864917659,0.4767460365613316,0.48236929456730127,1.0153569914902683,1.576356712572552,1.8606338882731637,2.5
26,0.07409078484423898,0.6065824000677357,0.7167278981905443,1.077353267299506,1.6196653953828348,1.7314780385577642,2.6
27,0.12144638875979427,0.737094526633267,0.9726735669025403,1.1249677057515193,1.6103726361567654,1.547836529117951,2.7
28,0.1848679903236976,0.8610581346352546,1.2181183926880403,1.1594876253907151,1.5642963011751212,1.3535695752828052,2.8000000000000003
29,0.2647788761587475,0.9720396107292953,1.422576229671253,1.1805122606282439,1.494265873460849,1.1766754816737812,2.9000000000000004
30,0.36005470867417194,1.0649642343850247,1.5655773697613373,1.1865569874653696,1.4099010209164005,1.0304053445846073,3.0
31,0.4688877008773611,1.1380432326883423,1.6403801115692893,1.1763108564538756,1.3194762404533045,0.9178045996821875,3.1
32,0.5894204988932388,1.1931470066828567,1.6524083562121934,1.150692344335827,1.230598171064041,0.8364715723377164,3.2
33,0.7185195977394607,1.232828449277168,1.614607300570074,1.1144393652488358,1.1493868978849284,0.7820025888427536,3.3000000000000003
34,0.8503033083808335,1.2575731073679688,1.5427343320873295,1.0748020273961754,1.0797009315315012,0.7494521901813457,3.4000000000000004
35,0.9768704175548157,1.2670343230617165,1.45232603067932,1.038057167920709,1.0234471209509732,0.7336958324109117,3.5
36,1.0901356941323312,1.2627437710125295,1.3570319734316143,1.0069734127608134,0.9813857612214509,0.7302437277277688,3.6
37,1.1827120560914233,1.2479293656734822,1.2672903672595084,0.9807651090464499,0.9531221011632998,0.7364305177399758,3.7
38,1.2487336052684863,1.2253638129146134,1.1892906422442475,0.9572184436048631,0.9365496711485272,0.7514326045599976,3.8000000000000003
39,1.2853061789374318,1.1968335259005451,1.1249101720154078,0.9357779439309204,0.9283243293697893,0.7745004836250075,3.9000000000000004
40,1.2926389115960066,1.1642516163068903,1.0728668201658818,0.9189127300809375,0.9255527963745437,0.8032274704578797,4.0
41,1.2730119295716598,1.1298455702809582,1.030625227333963,0.9100550767797027,0.9269759404715608,0.8337783488273404,4.1000000000000005
42,1.2311494634377933,1.0953191990455096,0.9962255422043143,0.9102248236034066,0.9323932731960196,0.8625836439827324,4.2
43,1.1755580071917309,1.061925088282236,0.9690861866894526,0.9170082202371165,0.9411221815471054,0.8876460415852198,4.3
44,1.1174938430048411,1.0314839570157261,0.9494999290898657,0.9264558249321495,0.9513137760625019,0.9085274050719242,4.4
45,1.0672987253619495,1.0062366596669148,0.9376274488924907,0.9354860540627341,0.9607324993753632,0.9254495426205191,4.5
46,1.0312195647711977,0.9873310725624649,0.9329250675809736,0.9427274006096604,0.967824764051661,0.938540403594473,4.6000000000000005
47,1.0102504653738344,0.9742862553221829,0.9342501505407719,0.9479584948250009,0.972092856746236,0.9478616503711416,4.7
48,1.000310225687078,0.9664860051350329,0.9403739440973276,0.9514412125191346,0.974142474213422,0.9537664630226899,4.800000000000001
49,0.9942520555510942,0.9644889886026857,0.9503942556330758,0.9538250787308357,0.9755679202546821,0.9569203826476824,4.9
50,0.9861700840463472,0.9689409076980089,0.963610482197799,0.9560236711802091,0.9781245273478761,0.9581576657346806,5.0
51,0.9749811459568304,0.9785006705476315,0.9788776518152976,0.9585527596246332,0.9824782438768707,0.9584448088815722,5.1000000000000005
52,0.9637476328603589,0.9898682542335943,0.9939434869293328,0.9608570558450649,0.9877167025031546,0.9587182117231552,5.2
53,0.9558942528879872,0.9999787100376081,1.0057334766890091,0.9616586824535253,0.9920511859726021,0.9595834386920689,5.300000000000001
54,0.9525973355945255,1.0074454748939807,1.0122020967140903,0.9604074555227016,0.9941593037284264,0.961365970898267,5.4
55,0.953225714707202,1.0119104721944272,1.0143913341416473,0.9584706420805467,0.994177939557149,0.964569501509486,5.5
56,0.9569585177873606,1.013105768788235,1.0158820205748484,0.9584719440753448,0.9933921048338386,0.9700077769671372,5.6000000000000005
57,0.963146036363635,1.0111375059543626,1.019312642072686,0.9621503212532755,0.9929618778980318,0.9780934329288539,5.7
58,0.9702431266771442,1.0070743572595393,1.0236876290523904,0.9685271342550686,0.9933267337838074,0.9879369581957532,5.800000000000001
59,0.9756991282544814,1.0026835005283536,1.0257316479173801,0.9740581526227415,0.9947128431407284,0.9974163076620856,5.9
