,Sr-Sr,Sr-Li,Sr-Si,Li-Li,Li-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,4.0622804386359895e-07,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,3.356679120949081e-06,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,2.016684053574771e-05,0.0,0.0,0.8
9,0.0,0.0,0.0,9.64620924816343e-05,9.039979609334848e-07,0.0,0.9
10,0.0,0.0,0.0,0.0003770093535283723,9.004990649225176e-06,8.639398502307443e-07,1.0
11,0.0,0.0,0.0,0.0012493782043980525,6.469122879800872e-05,1.8039867470920496e-05,1.1
12,0.0,3.7322201529968164e-07,0.0,0.0036073050914016713,0.00034591540759032875,0.0001780883594346489,1.2000000000000002
13,0.0,4.8033768426986295e-06,0.0,0.009273447904167374,0.0015037436739662837,0.0011273318086302663,1.3
14,0.0,3.151293871716054e-05,1.1566797994824841e-06,0.021550736399912528,0.005469313032129403,0.005473183696768813,1.4000000000000001
15,0.0,0.00016249708643949667,1.2833927190651206e-05,0.04558941204336477,0.016915493710990576,0.02157528807395004,1.5
16,0.0,0.0006762688832699507,8.252773885855996e-05,0.08800789752278362,0.04497601521883457,0.0702061423169278,1.6
17,0.0,0.002335109389930327,0.00042324323266048746,0.1552068819463772,0.10374529271867435,0.1899355016086251,1.7000000000000002
18,0.0,0.00684764470995638,0.0017506536281659594,0.2505055803507318,0.209558774903473,0.4299649168041599,1.8
19,0.0,0.01742900598151663,0.00603857998452965,0.37156219748575575,0.37442153085758645,0.8206731355655249,1.9000000000000001
20,1.142516373366372e-05,0.039193432730427004,0.017796310242600664,0.5101624361120042,0.5980308606005392,1.3332241246406429,2.0
21,0.00011177924929642918,0.07892083389615774,0.045527855554614464,0.654723413345882,0.8629775769210654,1.8649367143487765,2.1
22,0.0006612417511260105,0.14354110374732795,0.10245935246309047,0.7935087945351729,1.1366219006689642,2.277512609747313,2.2
23,0.003013771290896017,0.23749952363324855,0.20496305268579976,0.9169065054792179,1.3796070852875455,2.466980390299331,2.3000000000000003
24,0.010988199991476263,0.3603036101192348,0.36799814888219073,1.018731118547734,1.5579850661800123,2.4118641010768185,2.4000000000000004
25,0.03229397241797807,0.5056857991379226,0.5988983770656962,1.096517351492909,1.6542515081682374,2.169252744493788,2.5
26,0.07704166689169195,0.6626162840565901,0.8911556318121583,1.150640415797894,1.671754125902252,1.8338199467144978,2.6
27,0.15059859739750134,0.8177441607576924,1.218785184210087,1.1830772049366358,1.6293746397942614,1.4931301721737409,2.7
28,0.2448387914868183,0.9584375899480614,1.5361131711519054,1.1966143535424905,1.5504173751368044,1.201873225278316,2.8000000000000003
29,0.3391978353702537,1.075092955034604,1.7912189234258769,1.1944281067873654,1.4539792215259928,0.979334762407853,2.9000000000000004
30,0.41603420448853723,1.1621498400175785,1.9500607919323352,1.1799193029542825,1.352798018439902,0.8213128159022871,3.0
31,0.4747445477768166,1.2186403581791412,2.012213481367511,1.156873046075961,1.254916715841737,0.7145751619980123,3.1
32,0.5262015647682794,1.2483114742580885,2.0042975707619286,1.1294160233052861,1.1654055359224218,0.6466200604622542,3.2
33,0.5743321373401171,1.258035408579734,1.9580109901718221,1.1011409795480587,1.0873131199863173,0.6091032915821312,3.3000000000000003
34,0.6095222110088098,1.254276146820024,1.8907670678751332,1.074051399875232,1.0224514756148384,0.5969506503048292,3.4000000000000004
35,0.6204944217622198,1.2401402413681217,1.8020415326632566,1.0486895189856582,0.9718591221993046,0.6059763748955485,3.5
36,0.6066911717639268,1.2158373656803365,1.6856425551482477,1.0253978631137999,0.9355033572475328,0.6308286398152303,3.6
37,0.5774884445778464,1.1817277856831432,1.5453518385616178,1.0051215207031488,0.9117590513430001,0.6646599818230011,3.7
38,0.5438955846522888,1.1403801792387038,1.399240680634602,0.9889280272803828,0.897938854022624,0.7008692306679958,3.8000000000000003
39,0.5126970667110959,1.0961169661829768,1.269782109095376,0.9771550367071032,0.8918732967722997,0.7356676823030627,3.9000000000000004
40,0.48487712378479275,1.0534990136952078,1.1704514943334934,0.9692797077102727,0.8926744230324927,0.7691977131944194,4.0
41,0.4565906334075939,1.0163505031850328,1.1007108314573866,0.9644784775080141,0.8996133005265979,0.8035333283672426,4.1000000000000005
42,0.4228044008887476,0.9874168644481508,1.0515727224542706,0.9620004788713914,0.9107008144034743,0.8384732827856731,4.2
43,0.3825341791855718,0.9682267112625422,1.014403043088513,0.9610803002563374,0.9229038351847395,0.8697265849505826,4.3
44,0.34165215789199255,0.958781377451481,0.985656934733338,0.9611215134917225,0.9338212164665257,0.8923760697849721,4.4
45,0.31091060580089197,0.957280716316517,0.9666203572611448,0.962298208197461,0.9430308806260082,0.9053616341694594,4.5
46,0.30201540853268966,0.960793658760927,0.9608458916961282,0.9654448967215329,0.9518385365522554,0.9111619803175633,4.6000000000000005
47,0.324380196582047,0.9669462482545281,0.9704141215972536,0.9708716986272615,0.9617740222867183,0.9119718465702172,4.7
48,0.3813687396635211,0.9750167116541405,0.9923327574144178,0.9776023526658884,0.9732392526028056,0.9082409702988608,4.800000000000001
49,0.4656518114173516,0.9852789418504144,1.0179614161706096,0.9841896861686505,0.9852471435273749,0.9006206359037311,4.9
50,0.5589497053176082,0.9976121797785112,1.0364463065599703,0.9899801374004945,0.9960553428821146,0.8910725151450407,5.0
51,0.6405822721584761,1.0111047928756747,1.0394230013447665,0.9951566665618704,1.0041257675759607,0.8814425758595154,5.1000000000000005
52,0.6992572580384844,1.024738443192937,1.024103583655815,0.999775733380262,1.008945445473981,0.8725591613848961,5.2
53,0.737644850748759,1.0379045685027686,0.9941564178847385,1.0032762259433434,1.0112060851715237,0.8655091065496874,5.300000000000001
54,0.7677697970013978,1.0501087669775335,0.9582698336518044,1.0049866671947298,1.0121952231102358,0.8625943116592327,5.4
55,0.8035105639666413,1.0603654820268353,0.9262274542769079,1.004845263357083,1.012984112213494,0.8661028768622371,5.5
56,0.8542978741751579,1.0672660608771607,0.9045396894462285,1.0034513679805952,1.014099929615517,0.8764222014268847,5.6000000000000005
57,0.920667135547515,1.0699867014645037,0.8946329547918515,1.0014149167034867,1.0156391634167634,0.8916420205986759,5.7
58,0.9934733860562505,1.0690271662747863,0.8939014778989414,0.9987607309109843,1.0173670378817468,0.9085596170321049,5.800000000000001
59,1.0579505480854592,1.0656243656856301,0.8978946871570084,0.9951958829672486,1.01885440426223,0.923701121393507,5.9
60,1.099890341535395,1.0606400746707279,0.9027277297036229,0.9909783892014662,1.0198472787335702,0.9338022907870892,6.0
