,Si-Si,Si-O,O-O,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,6.497492672612511e-07,0.2
3,0.0,0.0,2.217212515325022e-05,0.30000000000000004
4,0.0,0.0,0.00020930983513238872,0.4
5,0.0,1.1534010661442327e-06,0.0012200194644821057,0.5
6,0.0,4.4218693136655286e-05,0.00552187655095566,0.6000000000000001
7,0.0,0.00047657681145288436,0.020106217559691386,0.7000000000000001
8,0.0,0.0030441543009056497,0.059269850097771505,0.8
9,0.0,0.01468528304422921,0.14194837379787514,0.9
10,0.0,0.057066371616094444,0.2773114757785848,1.0
11,0.0,0.18083215320837112,0.4441961630468097,1.1
12,2.9238717026756303e-07,0.46967161398314605,0.5874457038734705,1.2000000000000002
13,5.619456806198519e-06,1.0045500474731703,0.6478882192574882,1.3
14,4.670041717764679e-05,1.7792454591651874,0.6054403918828795,1.4000000000000001
15,0.0002701853371096063,2.628197925530608,0.49318764127649084,1.5
16,0.001234960152533845,3.2675547817313357,0.3704186052852883,1.6
17,0.004624140308037738,3.460776431320599,0.2854454739676096,1.7000000000000002
18,0.014411702397791387,3.173067310872752,0.26000940350474044,1.8
19,0.03789953842225053,2.5733167148262677,0.2961283108961382,1.9000000000000001
20,0.08522493313520531,1.9004237907688317,0.3876224121837232,2.0
21,0.16633518839234304,1.3286981596055174,0.5249399628580846,2.1
22,0.28638333500866814,0.9235221144637211,0.6947238914746252,2.2
23,0.44279323961490347,0.6726198667412345,0.8795466463243348,2.3000000000000003
24,0.6268745652555665,0.5347919507965071,1.059736642861059,2.4000000000000004
25,0.8292370212083529,0.4707408166594694,1.215955513978334,2.5
26,1.0438323756738563,0.4529932495718276,1.331650114827355,2.6
27,1.2653136744516338,0.46489389712786,1.3957056327412771,2.7
28,1.4806701718957622,0.4968824110655125,1.405217581245248,2.8000000000000003
29,1.6633429493164313,0.543123633311196,1.3667428411657296,2.9000000000000004
30,1.7781305482730851,0.599450504067622,1.2943016963389071,3.0
31,1.796589472481824,0.6626892498883589,1.2049104212774044,3.1
32,1.712864903606281,0.730590257322699,1.1143574798813627,3.2
33,1.5485173698179902,0.8012954613350626,1.034553732286149,3.3000000000000003
34,1.3435653639759033,0.8725801522683596,0.9720056552921913,3.4000000000000004
35,1.1409106012911123,0.9419316140983784,0.9275566065999984,3.5
36,0.9729740494016266,1.0072457549038707,0.8981473702563157,3.6
37,0.8546540947776997,1.0667688888295583,0.8797993632354053,3.7
38,0.7835945531723312,1.118141854001108,0.8697239370390158,3.8000000000000003
39,0.747374204745971,1.1580805352453256,0.866550842750868,3.9000000000000004
40,0.7330020094632899,1.1834844201375474,0.8695475806915054,4.0
41,0.7323342690268305,1.1926722658468014,0.8780871858851683,4.1000000000000005
42,0.7420743992264809,1.1855437749542297,0.8916249530478698,4.2
43,0.76174610166143,1.163341659210635,0.9096913860405453,4.3
44,0.7916120166259673,1.1289156636641666,0.9316362821401097,4.4
45,0.8302595547313453,1.0869118174599626,0.956275420189216,4.5
46,0.8730635789744141,1.0429391577505727,0.9818086519180041,4.6000000000000005
47,0.9135459611496347,1.0019734517648942,1.0061663848483549,4.7
48,0.9469018532224909,0.9671967038364615,1.0274872299072078,4.800000000000001
49,0.9724572175534796,0.940067230654956,1.0443748775988628,4.9
50,0.9931027279991442,0.921215972111597,1.0559193085641656,5.0
51,1.0124190251401788,0.910983160796073,1.0616543977276582,5.1000000000000005
52,1.0314523214196583,0.9090478914396226,1.061521916771158,5.2
53,1.0474758115115805,0.9139304568109458,1.0558940658207319,5.300000000000001
54,1.0561381249830153,0.9233419185063054,1.0456835377641287,5.4
55,1.0551168622517524,0.9352270869866108,1.0324517914156284,5.5
56,1.0454247054399848,0.948484988590077,1.0182821974378353,5.6000000000000005
57,1.0296370378289468,0.9627656675674586,1.0052147590672058,5.7
58,1.010034552038606,0.9777541938526592,0.994457280877961,5.800000000000001
59,0.9886491978880594,0.9927232248376767,0.9860235953134185,5.9
60,0.9680534476392318,1.006602859978173,0.979244535203876,6.0
61,0.9511103139160998,1.0182855600815273,0.973708136928181,6.1000000000000005
62,0.9398954065232944,1.026961773277789,0.9697088468460224,6.2
63,0.9351552098946313,1.0323743638053877,0.9678747452609848,6.300000000000001
64,0.9365827286777348,1.0347693468546335,0.9685335461649616,6.4
65,0.942944583462533,1.034526170074173,0.9714952523543805,6.5
66,0.9518209836139011,1.0318938457286466,0.9762726613967435,6.6000000000000005
67,0.9599461557687198,1.0271215368510784,0.982301882811325,6.7
68,0.964804509693218,1.020692073211663,0.9889692522773018,6.800000000000001
69,0.9663187848029754,1.013272062566636,0.9956073939771953,6.9
70,0.9667514980910821,1.0054572553612746,1.0015748439316663,7.0
71,0.9687281925474496,0.9976301553971872,1.0063772892261313,7.1000000000000005
72,0.9732782056606536,0.9900533288452166,1.0097400888053265,7.2
73,0.9795366365068187,0.9830463147970674,1.0115876775469455,7.300000000000001
74,0.9858656000895178,0.9770886912509215,1.0119840178386543,7.4
75,0.9910320768303947,0.9728493390695466,1.0110911784127552,7.5
76,0.9945833342368757,0.9710777999614916,1.0091314567197829,7.6000000000000005
77,0.9963933696212283,0.9722886567778088,1.0063579372758593,7.7
78,0.9958875922695013,0.9764608748939423,1.0030601882784742,7.800000000000001
79,0.9918960688760123,0.9829989832693266,0.9995294587077358,7.9
80,0.9836171377155477,0.9908608282659914,0.9959530179945781,8.0
81,0.9716995594577671,0.9987026755187962,0.9923328323824835,8.1
82,0.9580551935523813,1.005156463369053,0.9885486939335972,8.200000000000001
83,0.9447321859671124,1.0092657370267266,0.9845707685496704,8.3
84,0.933379714054647,1.0107889232923875,0.9807055639583285,8.4
85,0.9254783684874746,1.010077631180955,0.9776403216561534,8.5
86,0.9223244462100385,1.007648111190277,0.9761438610310729,8.6
87,0.9245427765830906,1.0039277798978605,0.9766343886659139,8.700000000000001
88,0.9317026524797957,0.9994009751959052,0.9790064529244562,8.8
89,0.9422515297926496,0.9947782788993226,0.9827983325311512,8.9
90,0.9538874165943956,0.99074111043981,0.9874768500910773,9.0
91,0.9646455680812034,0.9874843177475054,0.9926505923447875,9.1
92,0.9740084305729739,0.9846624699128207,0.9981035175420448,9.200000000000001
93,0.9826835534392924,0.9818308983413143,1.0035966419852218,9.3
94,0.9912232123931561,0.9788075893114202,1.0086351712150774,9.4
95,0.999039985629512,0.9756106499697125,1.0125551055375135,9.5
96,1.004570565901368,0.9723015692079527,1.0149187016053327,9.600000000000001
97,1.0062398268717452,0.9690405623585306,1.015778171468465,9.700000000000001
98,1.0037391924547228,0.966152823738843,1.015572956303172,9.8
99,0.9989011739691943,0.9640032712676141,1.0148975774642943,9.9
100,0.9951096105312639,0.9628602688886208,1.0143528548253886,10.0
