,Li-Li,Li-V,V-V,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,4.6514321554194503e-07,0.0,0.4
5,0.0,4.4202874400660305e-06,0.0,0.5
6,3.037669979049436e-07,3.111281837143636e-05,0.0,0.6000000000000001
7,3.0392688763192815e-06,0.00016296449568934665,1.3396124607608022e-06,0.7000000000000001
8,2.0042976402420727e-05,0.0006901752399298139,1.6977126898345348e-05,0.8
9,0.00010116331981561027,0.002439310778175682,0.0001460806148590027,0.9
10,0.000414752101416995,0.00729226051219275,0.0008430904252511312,1.0
11,0.0014227084330607968,0.01858114207536167,0.003849333953368952,1.1
12,0.004158519337101662,0.04069743183839442,0.01449900725831256,1.2000000000000002
13,0.010555998476983148,0.07745645532414618,0.0454187451546301,1.3
14,0.023698862613270415,0.13009426361664403,0.11945654532769868,1.4000000000000001
15,0.04785029219752191,0.19672383941936183,0.26673493975872065,1.5
16,0.08808440375484482,0.27400945819799294,0.5127399135895663,1.6
17,0.1492521821925299,0.3595711612061872,0.8620455454239571,1.7000000000000002
18,0.23422730951639892,0.45295512030811136,1.2868215716172842,1.8
19,0.3421537597896686,0.5545236285598274,1.7270778975822798,1.9000000000000001
20,0.4678394134886279,0.6636015017383478,2.1081895580680854,2.0
21,0.6027393080350141,0.7776284481400091,2.3751450148728632,2.1
22,0.7369957464327086,0.8922899065746918,2.5232702541464125,2.2
23,0.8616827966849365,1.0013933588070572,2.5958498803654813,2.3000000000000003
24,0.9703517728163752,1.0970562865806617,2.6469282371403335,2.4000000000000004
25,1.0593150758309504,1.171753095118267,2.7018409274025292,2.5
26,1.1271056452446446,1.221540589724797,2.7474709549239207,2.6
27,1.1738164891511973,1.247740689120354,2.7545319791835494,2.7
28,1.2004827151339177,1.255378130025202,2.7066585215441497,2.8000000000000003
29,1.208722888500908,1.2494445693782108,2.610309207097678,2.9000000000000004
30,1.2010001129667933,1.2323800129462383,2.482706057300111,3.0
31,1.180948468421106,1.2051314895534344,2.3365267098001703,3.1
32,1.1528285706343184,1.1699447549795396,2.177842221997956,3.2
33,1.1205193444548944,1.1309967118806903,2.013591316053193,3.3000000000000003
34,1.087169500331392,1.0922225565933648,1.8551371993180867,3.4000000000000004
35,1.0554054485470357,1.0553605268362887,1.7144209203977387,3.5
36,1.0272568815680898,1.020454305248132,1.598541800313212,3.6
37,1.0038734303263908,0.9878920648305703,1.50706312266399,3.7
38,0.9855271950912622,0.9595873899888737,1.433273910500452,3.8000000000000003
39,0.9718118137741714,0.9381152428476424,1.3689737183867885,3.9000000000000004
40,0.9618730394723968,0.9248654130769856,1.31004894908477,4.0
41,0.9548565550365865,0.9192281310927669,1.2583578165870064,4.1000000000000005
42,0.9504592495696331,0.9195281620918315,1.2186933852568111,4.2
43,0.9489729845998421,0.9243335788363081,1.1942671684145152,4.3
44,0.9506431479655273,0.9326806649042217,1.1840586905062787,4.4
45,0.9550505023320489,0.9435405706878763,1.1829832966447207,4.5
46,0.9612071103287898,0.9557164753938769,1.184608847673806,4.6000000000000005
47,0.9680862854443355,0.9682292933066751,1.1847770724935465,4.7
48,0.9750236801825104,0.9804136504796618,1.1829577291639972,4.800000000000001
49,0.9818355817312083,0.9917868699104809,1.1805852320863364,4.9
50,0.9886442142774239,1.0021904173436162,1.1784638286511355,5.0
51,0.9954055832820801,1.0118323003011145,1.1748902012221647,5.1000000000000005
52,1.0015160338909899,1.0206211035049801,1.1657201461102131,5.2
53,1.006055203374648,1.027539117002153,1.1473481452713072,5.300000000000001
54,1.0085282567333673,1.0311897188905508,1.1202265066730215,5.4
55,1.0092526494072331,1.03111947564548,1.0887510081385232,5.5
56,1.0090717380869962,1.0283756640693846,1.0574985661363354,5.6000000000000005
57,1.008880719470732,1.0246859713409036,1.028006340626175,5.7
58,1.009180405360059,1.021202657657488,0.9991317848730634,5.800000000000001
59,1.009619702935291,1.017983269084735,0.970133118202833,5.9
60,1.0090772135502248,1.0144053570697371,0.9429720559058585,6.0
61,1.006653661499946,1.010034071336744,0.9214578282767147,6.1000000000000005
62,1.0025890904397337,1.0051860609723138,0.9084896690701723,6.2
63,0.9979946397581316,1.0005640033561056,0.9043633544521769,6.300000000000001
64,0.9939589466302696,0.9963973149063243,0.9067345416461785,6.4
65,0.9911735295396424,0.9923560088757513,0.91134064114495,6.5
66,0.9899848248900737,0.9883966625023031,0.9137096118970192,6.6000000000000005
67,0.9902050480082782,0.9852761751374859,0.9115901816874805,6.7
68,0.990999240088183,0.9839920359369906,0.9058196266675973,6.800000000000001
69,0.9914810597303891,0.984896889580848,0.8985967702464606,6.9
70,0.99148441368915,0.9874698890392088,0.8914996519779674,7.0
71,0.9915233990611253,0.990836303654083,0.8852397163847749,7.1000000000000005
72,0.9921202229513328,0.994341142078935,0.8801693492695427,7.2
73,0.9934289776908284,0.9976171171608931,0.8760400715366058,7.300000000000001
74,0.995309344407438,1.0003992673875728,0.8716250826024607,7.4
75,0.9974391141471356,1.0025303908794043,0.8654481832131091,7.5
76,0.9994304349477556,1.004026475081,0.8570655336253018,7.6000000000000005
77,1.0010117547929696,1.0050094099763212,0.8471266413399027,7.7
78,1.0020618542275117,1.0056937476555312,0.8360978637301447,7.800000000000001
79,1.0025098230661207,1.0063840494718161,0.8238494044900161,7.9
80,1.0023779240556483,1.0072358474256748,0.8110368721407493,8.0
81,1.001852443237199,1.0080389422818734,0.8000311030301761,8.1
82,1.001101339063571,1.0084273880069048,0.7933113214165076,8.200000000000001
83,1.0000710861270756,1.00830113789964,0.7908541101867482,8.3
84,0.9986216860147592,1.0079652468594429,0.7896984882834761,8.4
85,0.9968116951053376,1.007914599222731,0.7864725788355229,8.5
86,0.9949650078609273,1.0084678379208978,0.7804713494525758,8.6
87,0.993491294410612,1.0095106394152606,0.7742099452894553,8.700000000000001
88,0.9926263426224633,1.0105431598588095,0.7710188200647832,8.8
89,0.9922789198373229,1.0110241804212745,0.7721458275472408,8.9
90,0.9921613226906324,1.0107885828974532,0.7759063039357378,9.0
91,0.9921336365935847,1.010163307930651,0.7790774876879392,9.1
92,0.9923492581469527,1.0095635430918175,0.7791353992850432,9.200000000000001
93,0.9930010528649934,1.0089927863563715,0.7758992825897251,9.3
94,0.9940034531098324,1.0081237028141616,0.7715835789976065,9.4
95,0.994982648721228,1.0068250057662032,0.7691366759812222,9.5
96,0.9955909715959003,1.0053521940303807,0.7700818523944996,9.600000000000001
97,0.9958525611462044,1.0040173321503774,0.7736457386376527,9.700000000000001
98,0.9961218001387416,1.0029328515395552,0.777792200518136,9.8
99,0.9966096308551516,1.0021220290211106,0.7808942291604813,9.9
100,0.9970576756335423,1.001667543060315,0.782416062026323,10.0
