,Si-Si,Si-As,As-As,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,2.1455420855732726e-07,8.045782820899775e-08,0.0,1.0
11,5.105924029751816e-06,2.041091562665248e-06,0.0,1.1
12,4.930738883228589e-05,2.2458800131197847e-05,1.9551252254786452e-06,1.2000000000000002
13,0.0003125663717335041,0.0001558522635243288,2.4453168962608964e-05,1.3
14,0.0015370675523042805,0.0008147251648974196,0.0001682110474893353,1.4000000000000001
15,0.0061534162016329075,0.0034491685829902445,0.0008691603419639874,1.5
16,0.0204798734676932,0.012120244560420806,0.0036009115003473916,1.6
17,0.05733796377202716,0.035756938905870964,0.012274265722886635,1.7000000000000002
18,0.13635013777846033,0.08940412049442481,0.034901179571688465,1.8
19,0.2780418919583343,0.19124547091384056,0.08386047569979625,1.9000000000000001
20,0.49103029772211876,0.3535805742739618,0.1725655122199069,2.0
21,0.7590951045444169,0.5712345979549003,0.3084394497722832,2.1
22,1.0396595748102717,0.8159264414259638,0.48589895057707055,2.2
23,1.2790742635386183,1.0437037076326712,0.6845835771720165,2.3000000000000003
24,1.436032057606811,1.2135105219599651,0.8750250999927711,2.4000000000000004
25,1.4970804843158314,1.3051186933544456,1.029053057548079,2.5
26,1.4758726586168813,1.323997593877049,1.1294002704704194,2.6
27,1.4010096667992664,1.291963598690228,1.1738897143171445,2.7
28,1.302523730170478,1.2338252810534036,1.1731244969421024,2.8000000000000003
29,1.203323802773553,1.1692153554880689,1.1443495103011105,2.9000000000000004
30,1.116644467974907,1.1102763043601012,1.1052358594292415,3.0
31,1.0476484970243705,1.0622348283077625,1.069690289758444,3.1
32,0.9965381906018207,1.02559058555077,1.0455943204867528,3.2
33,0.9612324665212185,0.9990886999026424,1.0339696403457537,3.3000000000000003
34,0.938979036086865,0.9815942932328742,1.0303485694240528,3.4000000000000004
35,0.9270483526327926,0.9720048426365386,1.0286413350228238,3.5
36,0.922883109656997,0.9685804794167211,1.024692529690847,3.6
37,0.9240599668535161,0.9691837753776876,1.0167122054476412,3.7
38,0.9283624824631165,0.9720922724889454,1.0039217129048024,3.8000000000000003
39,0.9342285188152664,0.9761540378122638,0.9866130234287694,3.9000000000000004
40,0.9412170415674511,0.9802307905103821,0.9675867037270454,4.0
41,0.9496803065581211,0.9831462014094116,0.9517676434596104,4.1000000000000005
42,0.9597144903489832,0.984542622559232,0.9429046895694885,4.2
43,0.9705289866116453,0.9853748320294995,0.9409777558295527,4.3
44,0.9808350814633878,0.9869958758787857,0.9432834096567028,4.4
45,0.9895710010297071,0.9899687605013573,0.9470296241984943,4.5
46,0.9961994487576884,0.9942054603725787,0.9501601538561615,4.6000000000000005
47,1.0006535456662653,0.9998465822977143,0.951063135976624,4.7
48,1.0032322750859222,1.0072568664635955,0.9493269828429112,4.800000000000001
49,1.0044156352499378,1.0161972510360169,0.9469215112170757,4.9
50,1.0046453451098014,1.0253877076502473,0.947373833580013,5.0
51,1.004303254177025,1.0329211377387961,0.9527459981114653,5.1000000000000005
52,1.003799134770285,1.0372208919234482,0.9615265241339004,5.2
53,1.0035001424140406,1.0379462171190992,0.9701428510640211,5.300000000000001
54,1.00349558978118,1.0360485855283217,0.9763225177009128,5.4
55,1.0034703361189066,1.0328809167122013,0.9801396774802614,5.5
56,1.0028484353042155,1.0293627548051125,0.9821055328216656,5.6000000000000005
57,1.0011187315210441,1.0259906263311713,0.9816609181436383,5.7
58,0.9981152183203525,1.0232169953653618,0.9782571414374692,5.800000000000001
59,0.9940831383797585,1.0214406048936089,0.9730898701784764,5.9
60,0.9895474703319596,1.0206614884694154,0.968604501118695,6.0
61,0.9850984562558531,1.0203402545293523,0.9662309671925717,6.1000000000000005
62,0.9812054553382902,1.0196264686843084,0.9651867495460363,6.2
63,0.9781944953949266,1.0178030648999665,0.9635414550617784,6.300000000000001
64,0.976444516076526,1.0148028442502262,0.9601147885987753,6.4
65,0.9764540369420187,1.0115155379992458,0.9553036253436549,6.5
66,0.978472748033347,1.0093610969809999,0.9504860130379816,6.6000000000000005
67,0.9820975456144412,1.009161270600999,0.9471069253473267,6.7
68,0.9864213355121113,1.0104044809994728,0.9463090802566051,6.800000000000001
69,0.990603882845531,1.011813806619852,0.9488989703169107,6.9
70,0.9941984730338322,1.0125585862406925,0.9550772063470405,7.0
71,0.9970286898552596,1.0126927461914323,0.963939603749146,7.1000000000000005
72,0.9989785924814101,1.012555751802444,0.9733299393191642,7.2
73,0.999998473518749,1.012137761078147,0.9805069112168681,7.300000000000001
74,1.000239618424165,1.01116310388698,0.9834398263476849,7.4
75,1.0001042305245045,1.0096041104749107,0.981817690574863,7.5
76,1.000090281383494,1.0079185788665375,0.9769740265800866,7.6000000000000005
77,1.0004153298992853,1.006781782937931,0.9709077394458734,7.7
78,1.0006924168474816,1.0066227215102193,0.9653217585511257,7.800000000000001
79,1.0001794046954413,1.00737654936298,0.961345047463135,7.9
80,0.9985882160465217,1.0086331473727994,0.9597266945440532,8.0
81,0.9965081085414037,1.0100239396944155,0.9608884450302954,8.1
82,0.9948369463968767,1.0114142800463064,0.9646413057999328,8.200000000000001
83,0.9939485262535938,1.0126985729178823,0.9699024088462644,8.3
