,Si-Si,Si-Te,Te-Te,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,1.0
11,7.589973087036443e-06,0.0,0.0,1.1
12,7.917596137662317e-05,3.805528172805772e-07,0.0,1.2000000000000002
13,0.0005028926446630488,1.2261407083091416e-05,0.0,1.3
14,0.002461499192351843,0.00010667253443988144,3.494516228471782e-07,1.4000000000000001
15,0.009696768166890645,0.0006405247816164959,5.284126898193823e-06,1.5
16,0.031463372002074316,0.0029926662688477064,4.344402593316678e-05,1.6
17,0.08535043402042611,0.01137841699381789,0.000257859358303331,1.7000000000000002
18,0.1963664102917854,0.035841630318419276,0.001206671357255848,1.8
19,0.3884533921241857,0.09473741213514073,0.004653789054428515,1.9000000000000001
20,0.6692647389169053,0.21255537576965716,0.015059890499627906,2.0
21,1.0159942278697338,0.40941873809926294,0.04128546908949134,2.1
22,1.3738086593481538,0.6848806317726492,0.09666504415722979,2.2
23,1.6731155959944284,1.007081600007373,0.1949676957993907,2.3000000000000003
24,1.8582181804183147,1.3190426478264476,0.34212004581850425,2.4000000000000004
25,1.909028222529743,1.561840064931027,0.5284082563119707,2.5
26,1.8425224573675423,1.6996827765612081,0.7279463855962923,2.6
27,1.6975656492056603,1.7302983554860865,0.9076943198867405,2.7
28,1.516638957619774,1.6773817565363864,1.0410820089387278,2.8000000000000003
29,1.333938551807664,1.5748430952322694,1.1180086571197494,2.9000000000000004
30,1.17132782413883,1.4535245393332272,1.1456820710946194,3.0
31,1.0396058331602749,1.334659062221785,1.1411250617366642,3.1
32,0.9414292739582261,1.2295683045022354,1.121730176777231,3.2
33,0.8738563355843909,1.142959314511805,1.0997434466530267,3.3000000000000003
34,0.8310878239486145,1.0762033648186424,1.08133326194272,3.4000000000000004
35,0.8074261283487816,1.0284143050233967,1.0678701062462368,3.5
36,0.7988425162913323,0.996353128714598,1.0580073430549066,3.6
37,0.8020541750856104,0.975367353690605,1.050026540645626,3.7
38,0.8124871921660657,0.9613127902080632,1.0432156470442577,3.8000000000000003
39,0.823832450769504,0.9516917607530722,1.0374020898423728,3.9000000000000004
40,0.8306457266506762,0.9455082502481729,1.0317187372064327,4.0
41,0.8319852591675037,0.9428398768118136,1.0244690129805722,4.1000000000000005
42,0.8322975167626725,0.944443346380958,1.0144258358367595,4.2
43,0.8382237550485565,0.9507612765070199,1.0022496732731065,4.3
44,0.8538591558976147,0.9606215217985635,0.9905398803128567,4.4
45,0.8780172057210955,0.9710285025317504,0.9822061140273223,4.5
46,0.9052199972819324,0.9786667421102717,0.9784617901539999,4.6000000000000005
47,0.9296807859308529,0.9819295043515306,0.9782322205534397,4.7
48,0.9490711670841849,0.9817427758472018,0.9792479340334538,4.800000000000001
49,0.964518737495719,0.9807116421983871,0.9794630859775365,4.9
50,0.9773358281330772,0.9814547090680263,0.9778441961793155,5.0
51,0.9871564827723064,0.9852032244141155,0.9746723243200794,5.1000000000000005
52,0.993322771543224,0.9913349779415692,0.9715010033354883,5.2
53,0.9959556473200202,0.99813287880644,0.9706035855320095,5.300000000000001
54,0.9948809145255143,1.004206767505823,0.974002866798216,5.4
55,0.9893172824465221,1.0092287765055306,0.9824646839093283,5.5
56,0.9795124831266057,1.0134988897888413,0.9947801354201852,5.6000000000000005
57,0.9676752409513811,1.0173107792955836,1.00788310451266,5.7
58,0.9566485103369855,1.020701295827019,1.0182296602302416,5.800000000000001
59,0.9479614982947919,1.0233017768148644,1.0237577467498742,5.9
60,0.9412448244956814,1.0243710382667577,1.0248075231220488,6.0
61,0.9354243191301711,1.0233897073576654,1.0232375945738004,6.1000000000000005
62,0.9305849497134333,1.0207931957965628,1.0207847935585697,6.2
63,0.9285125638458913,1.0179711866965313,1.0182172496946833,6.300000000000001
64,0.9309400179201449,1.0162600676576863,1.015483522495397,6.4
65,0.9372128300403898,1.0158471766923274,1.0120887694237535,6.5
66,0.944209435479184,1.0158378981101932,1.007452234356912,6.6000000000000005
67,0.9487223941662307,1.0153500118656922,1.0015029478385833,6.7
68,0.9497688116689302,1.0141387263329875,0.9951142388485575,6.800000000000001
69,0.948736918901962,1.0122867521919072,0.9896762988183998,6.9
70,0.947891354435433,1.0099234356374092,0.9860949382158176,7.0
71,0.9491462951187996,1.007389572543501,0.9842716095534633,7.1000000000000005
72,0.9537130120289946,1.005320259993699,0.9834700022927002,7.2
73,0.9619255649274951,1.0044084385507097,0.9830391730285429,7.300000000000001
74,0.9728099143325777,1.0050166843431454,0.9828083201522441,7.4
75,0.983926521627533,1.0068427489335727,0.9829965241633082,7.5
76,0.9920026027467815,1.0089118762293257,0.983890054335973,7.6000000000000005
77,0.994212353467128,1.0100313210136243,0.9855823381245501,7.7
78,0.989564537368187,1.0094543656219148,0.9879245808427973,7.800000000000001
79,0.9797378343944938,1.0074158733502456,0.9906198409834692,7.9
80,0.9684073626546391,1.0051250845910404,0.9932766967338318,8.0
81,0.959045473092833,1.00386764024684,0.9953832674765103,8.1
82,0.9530282817585898,1.003721607604267,0.9963776338771311,8.200000000000001
83,0.9497048356851335,1.0033784007835131,0.996029715386843,8.3
84,0.9477531163651193,1.0016052298999818,0.9949833025942275,8.4
