,Li-Li,Li-Si,Li-Ir,Si-Si,Si-Ir,Ir-Ir,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,3.578423643724055e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,3.567616343478748e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.5273635492269976e-05,0.0,2.6877937590638466e-07,0.0,0.0,0.0,0.7000000000000001
8,0.00013035154763482555,1.1811593667761041e-07,3.051936997014462e-06,0.0,0.0,0.0,0.8
9,0.000551943555992642,2.5488997047423723e-06,2.208137899222351e-05,0.0,0.0,0.0,0.9
10,0.0019445103852678044,2.1576160320439922e-05,0.00012069024025239576,1.8665234437943373e-07,0.0,0.0,1.0
11,0.005816891895638822,0.0001308484598860543,0.0005345701843926921,1.7196914911442666e-06,3.5179572054229016e-06,0.0,1.1
12,0.014995516211594452,0.0006272823696306992,0.001978346920479147,1.8831894993670273e-05,4.531584565383129e-05,0.0,1.2000000000000002
13,0.03385335422929793,0.0024717137775979218,0.006246072915415653,0.0001300512507929911,0.000339064803885028,1.3713233464611462e-07,1.3
14,0.06808350714379274,0.008196828207144298,0.01704461289964225,0.0006839176257664229,0.0018581764245396487,2.3936042302453928e-06,1.4000000000000001
15,0.1240439450401371,0.023212506810961396,0.04068656010464419,0.0029386512184830693,0.008125753315397052,3.3181269046103795e-05,1.5
16,0.2077726837384237,0.05679947294278489,0.08594702552589156,0.0105089133210167,0.029284941471486307,0.0002580196350926669,1.6
17,0.3234411103356266,0.12128818311139021,0.16263638037202924,0.03148776288243913,0.08821665351830352,0.0014163274841686895,1.7000000000000002
18,0.4708725720106222,0.22807735371933785,0.2791147475424543,0.07960117741366382,0.22396063974308433,0.006201686595119015,1.8
19,0.6425400384967714,0.38118092709585144,0.43935088660802635,0.1712840354206437,0.4824564146619559,0.022280775708262684,1.9000000000000001
20,0.8224636407482774,0.5719634347286485,0.6397578424333578,0.3171425319184555,0.8877589948175332,0.06611856158974524,2.0
21,0.989681010644872,0.7793342032675098,0.8663320084248812,0.5114911778617334,1.4053806619486402,0.16308427623410263,2.1
22,1.1254138705943149,0.9761938989780616,1.0942435619337556,0.7280631397421657,1.9300354590154536,0.3371602690414867,2.2
23,1.2190253026781415,1.1381347714046897,1.2926148122715568,0.9279697713095358,2.322663520015996,0.591094233413726,2.3000000000000003
24,1.269007367586853,1.2494673984752702,1.4343003807339243,1.0770712533915798,2.480017917826692,0.8923147261578618,2.4000000000000004
25,1.2803929565985586,1.3051773685762598,1.5056358228014737,1.1609337448688666,2.3857227741824634,1.1814905167965795,2.5
26,1.2620417924055998,1.310448737252477,1.5096521662887687,1.186559083508604,2.1067663744963343,1.3999659051465392,2.6
27,1.2244379827955727,1.2784122092040013,1.4612455552904275,1.1722771112122943,1.7471256283172634,1.513966756215836,2.7
28,1.1768217148638125,1.22553105051851,1.37944753167616,1.1368124044751484,1.398038036415984,1.5209301715567494,2.8000000000000003
29,1.124934842663687,1.1661008537172157,1.2823117396224362,1.0945072385861991,1.1127913733923285,1.441812050204195,2.9000000000000004
30,1.0717535547643258,1.1089898271640546,1.1847303694658506,1.054853750770058,0.9075640288336796,1.309421877517318,3.0
31,1.0200618187590855,1.0579196078740145,1.0972410330993572,1.0226857548365273,0.7751918878446371,1.1581772949777838,3.1
32,0.9734837765718173,1.0140647708884203,1.0257661578076347,0.9987755163677412,0.6994243793637701,1.0163641237557204,3.2
33,0.935253336280292,0.9786833403327763,0.9725017631190822,0.9817421502713297,0.6639538866654573,0.9015884745608015,3.3000000000000003
34,0.9067773115260191,0.953781118853861,0.9369435911373143,0.9703390017434654,0.6558973380093694,0.8208650791116634,3.4000000000000004
35,0.8875636386308965,0.9406518194631355,0.9168241765312805,0.9642445810055381,0.6659146723688084,0.774413869646551,3.5
36,0.8763839323381575,0.9385281570228612,0.9094444186209201,0.9634521891455301,0.687370059008509,0.7589684236577853,3.6
37,0.872427905662155,0.9450469662719948,0.9127215933139381,0.9676301178580432,0.7157975591964177,0.7682981879294525,3.7
38,0.8753079364065376,0.9574573588822963,0.9249932491611994,0.9757002171866871,0.7485957090140819,0.793676472702544,3.8000000000000003
39,0.8839565639577058,0.9731167219201846,0.9441047862722141,0.9855507474434795,0.7846051465982061,0.8273078816343968,3.9000000000000004
40,0.8959492211378016,0.9898299307541302,0.967032493011032,0.9946828811233865,0.8236240425393592,0.8660255070180506,4.0
41,0.9085022800018417,1.0065648667273415,0.9905030823157794,1.001677493704761,0.865724650789183,0.9103316982503522,4.1000000000000005
42,0.9201930401418728,1.0235145176811933,1.0120356744846442,1.0068765371793997,0.9102211781109317,0.9594793413279402,4.2
43,0.931379970558326,1.0407415908738307,1.0304234650506119,1.0114867028739132,0.9548499178398843,1.008431594908224,4.3
44,0.9429065103553815,1.0567232573766185,1.0453472983248095,1.0160707805173677,0.996027081882009,1.0496071040727495,4.4
45,0.954672491161274,1.0686898007631453,1.0568113910754315,1.01973884342451,1.0301259811855732,1.0766184082696817,4.5
46,0.9655907230534594,1.0746425149343943,1.0650096693650448,1.0204936456993041,1.054740919021156,1.0865597432901142,4.6000000000000005
47,0.9745339721978966,1.0749137986793915,1.070325338341099,1.016240913516866,1.0691575077183681,1.080341935626323,4.7
