,Zn-Zn,r
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,0.0,0.8
9,0.0,0.9
10,0.0,1.0
11,2.8842352287041323e-06,1.1
12,3.767948785767833e-05,1.2000000000000002
13,0.0002457247818201577,1.3
14,0.001239460928511436,1.4000000000000001
15,0.005002463594157371,1.5
16,0.01654567922026478,1.6
17,0.0455608997687106,1.7000000000000002
18,0.10616930570708151,1.8
19,0.21283480459686574,1.9000000000000001
20,0.3727509646450963,2.0
21,0.5779860376404483,2.1
22,0.8029134291899391,2.2
23,1.0117727718819058,2.3000000000000003
24,1.1737145426619962,2.4000000000000004
25,1.2740703053766023,2.5
26,1.3140032923379203,2.6
27,1.3033907584652418,2.7
28,1.2552658314828655,2.8000000000000003
29,1.1830229542407622,2.9000000000000004
30,1.0990810593602984,3.0
31,1.0154109072358295,3.1
32,0.943864721091785,3.2
33,0.8933689875187536,3.3000000000000003
34,0.8661232904992906,3.4000000000000004
35,0.8572024807363481,3.5
36,0.8582736290951197,3.6
37,0.8624198638867048,3.7
38,0.8672532088465552,3.8000000000000003
39,0.8749954495532499,3.9000000000000004
40,0.8894223674484397,4.0
41,0.911639674015584,4.1000000000000005
42,0.9381257458007586,4.2
43,0.9625963656974628,4.3
44,0.9798626047490727,4.4
45,0.9887660838196499,4.5
46,0.9920602760318632,4.6000000000000005
47,0.993352782945677,4.7
48,0.9940798441276621,4.800000000000001
49,0.9933907040896435,4.9
50,0.990214365661557,5.0
51,0.9848765921162936,5.1000000000000005
52,0.9791150005183568,5.2
53,0.9749896442595413,5.300000000000001
54,0.9734563737169029,5.4
55,0.9734247173584992,5.5
56,0.972388387855039,5.6000000000000005
57,0.9684804028492257,5.7
58,0.9621093535928951,5.800000000000001
59,0.9554549233240959,5.9
60,0.9503355821739393,6.0
61,0.9467905340011491,6.1000000000000005
62,0.9437840044305813,6.2
63,0.9408020709018567,6.300000000000001
64,0.9385187256122122,6.4
65,0.9381483456585133,6.5
66,0.9401676026530985,6.6000000000000005
67,0.9435567966726006,6.7
68,0.9466107246563031,6.800000000000001
69,0.9485872162086376,6.9
70,0.9499937664169456,7.0
71,0.9510054937254485,7.1000000000000005
72,0.9504493468971577,7.2
73,0.9469959525871092,7.300000000000001
74,0.9409399968855672,7.4
75,0.9342823505138881,7.5
76,0.9293662094058429,7.6000000000000005
77,0.9277386118647173,7.7
78,0.9299539705630959,7.800000000000001
79,0.9357433227265313,7.9
80,0.9440327267085076,8.0
81,0.9530149879804807,8.1
82,0.9606691951079401,8.200000000000001
83,0.9654442504331071,8.3
84,0.9666788662007111,8.4
85,0.9648861860946949,8.5
86,0.9619882123005248,8.6
87,0.9606303654732345,8.700000000000001
88,0.9622137979875448,8.8
89,0.9655046495281709,8.9
90,0.9679383817097912,9.0
91,0.9684158539582539,9.1
92,0.9681648165873667,9.200000000000001
93,0.9688154300655758,9.3
94,0.9704156193732567,9.4
95,0.9717017457608672,9.5
96,0.9718135415396478,9.600000000000001
97,0.9711071767464393,9.700000000000001
98,0.970414147450104,9.8
99,0.9701208765880743,9.9
100,0.970088110712163,10.0
