,Li-Li,Li-Si,Li-Rh,Si-Si,Si-Rh,Rh-Rh,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.1450411312237345e-06,0.0,0.0,0.0,0.0,0.0,0.5
6,9.441217848750305e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,5.509490618659703e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00025196914235481977,3.779530296422092e-07,0.0,0.0,0.0,0.0,0.8
9,0.0009351277313655653,3.1341548688409713e-06,1.0043872898450401e-06,0.0,0.0,0.0,0.9
10,0.00288301056922217,1.9868666167836203e-05,1.1725673451448257e-05,0.0,1.493147771426011e-06,0.0,1.0
11,0.007575426821909543,0.00010240592502328667,8.291674456161258e-05,2.322858139703181e-06,2.465644305010192e-05,0.0,1.1
12,0.017432994624121633,0.0004389198685828363,0.00044165416497920134,2.5467575167287555e-05,0.00020075829611549813,4.837798779420279e-07,1.2000000000000002
13,0.036020375450857976,0.0016200951152270213,0.0018876930545668196,0.0001743526193779658,0.0011641907956580352,6.226259350763139e-06,1.3
14,0.06802851195070529,0.005263543389928388,0.006699645645063195,0.0008941962899093651,0.0053171496547728975,4.577896310550807e-05,1.4000000000000001
15,0.11860634488443365,0.015198627264999104,0.020040785121907646,0.0036887100882390263,0.019919521163017036,0.00025388375259204516,1.5
16,0.1918564639064659,0.03894943070395157,0.0511432832311077,0.012564553036168487,0.06216567692945728,0.0011319577336807623,1.6
17,0.28924751207273447,0.0882847634668018,0.11265509595992708,0.03580466239649976,0.16310156197310197,0.004196102813123655,1.7000000000000002
18,0.40874080876163676,0.17685333080048662,0.21682476646169824,0.08621372413881365,0.36256337198668986,0.013170583284116858,1.8
19,0.544506182423818,0.3142574844606349,0.36946523197184,0.17714578032336703,0.68831928612917,0.03547245727059446,1.9000000000000001
20,0.6868613085003301,0.49911539139467437,0.56500145806797,0.31398526662870696,1.125948612807254,0.08275058157408724,2.0
21,0.8234697284518491,0.7157579189508658,0.78562929145,0.48620933566383967,1.6033822168351581,0.16852946362350596,2.1
22,0.9425354881026827,0.9375530813694708,1.0053034530780134,0.6676964326695328,2.012097327504335,0.3019489189862536,2.2
23,1.0363584366979652,1.1356037136592692,1.1971362681224542,0.827096222624656,2.2575332683418017,0.48017319017352217,2.3000000000000003
24,1.1025769251691901,1.2879183970194374,1.3409769011229409,0.9411169981856088,2.3028746924709416,0.685386082079043,2.4000000000000004
25,1.1425527346404871,1.3840657451835248,1.4273474876986092,1.0020375550550797,2.1761779285294542,0.890072218002801,2.5
26,1.158748333281259,1.424516533691056,1.4569151950310568,1.016802393582192,1.9435244427681306,1.0670667553685678,2.6
27,1.1536123691016837,1.4177760098341576,1.4380797890477515,1.0005534887052485,1.673983791509161,1.1973868891559938,2.7
28,1.1309080053670812,1.3771801338955443,1.384489990381975,0.9691999019067792,1.4177510582274744,1.2731703439033584,2.8000000000000003
29,1.097156180690425,1.3168440804841772,1.3118591564529714,0.934877820110472,1.2012895545187854,1.2971748763686324,2.9000000000000004
30,1.0600922874391459,1.2479732787187094,1.2337970827398548,0.9050172310038022,1.032359943927931,1.2796454009683809,3.0
31,1.024981989276258,1.1781334495819167,1.1585605667076988,0.8831775908549679,0.907598153710621,1.2334722301354795,3.1
32,0.9928819924904424,1.112832367504878,1.089129251545257,0.8705780279756338,0.8191625158731733,1.1705951999591953,3.2
33,0.962630614769723,1.0564225846112296,1.0263008119495831,0.8679518608467076,0.759413337040682,1.1012036027862988,3.3000000000000003
34,0.9340529754094941,1.011575827834847,0.971580230486105,0.8760495136667955,0.7232159953663244,1.0341013887465382,3.4000000000000004
35,0.9093692606681485,0.9789314325657038,0.9275231387274239,0.8940615455954596,0.7077631766755101,0.9766590791364542,3.5
36,0.8920299671529038,0.9575703685849165,0.8964389120338266,0.9183281522758585,0.7106611733327504,0.9345365850571425,3.6
37,0.8842024075416551,0.9457804161150772,0.8793713148163218,0.9439066622491338,0.728205523455706,0.9112912422541175,3.7
38,0.8850353206661751,0.9418174240402304,0.8758024201412123,0.9677928904427722,0.755554397765142,0.9075547333656253,3.8000000000000003
39,0.8915026069599807,0.944351219166153,0.8837254551446388,0.990185054576361,0.7883482768090551,0.9204815788130302,3.9000000000000004
40,0.9010407117451994,0.9521711077641768,0.9001591318355261,1.0126561469799558,0.8239000206635573,0.9444323191697429,4.0
41,0.9130975324913683,0.963710005733667,0.9221254430962043,1.0356630095481907,0.861089366008061,0.9725578788876481,4.1000000000000005
42,0.9280386680755046,0.9774005028125838,0.9472581249930851,1.057645951662876,0.8994938054105687,0.9983172584606694,4.2
43,0.9452284796244487,0.9923917408801027,0.9733954842100105,1.0757063746874098,0.9384319794950837,1.0167457463352634,4.3
44,0.9628191647825126,1.0082875392046982,0.9981282359337624,1.0869187710100892,0.9762933767647679,1.0256831534281619,4.4
45,0.9791002330302644,1.0240544434018248,1.0193698710621983,1.0896148051241945,1.0105336652558248,1.0263625445407123,4.5
46,0.9933121969511987,1.0375897376340808,1.0361739818545253,1.0839792643069688,1.038505235284852,1.0223609068229065,4.6000000000000005
47,1.0050651617094675,1.0466162031879522,1.048579522064754,1.071675747309305,1.0585926326491668,1.0170770605783284,4.7
