,Li-Li,Li-W,W-W,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.6386946908845303e-06,0.0,0.0,0.5
6,1.633745621881524e-05,0.0,0.0,0.6000000000000001
7,0.00010281363788138925,0.0,0.0,0.7000000000000001
8,0.0004985913884907277,0.0,0.0,0.8
9,0.001956846055708659,1.1978347870219963e-07,0.0,0.9
10,0.006344050265265795,1.582415688612988e-06,0.0,1.0
11,0.01732325365371686,1.0726297712873797e-05,0.0,1.1
12,0.040573224919032126,5.9109964252817735e-05,4.759895984928658e-07,1.2000000000000002
13,0.08314477567459605,0.00026315893221209993,7.02872023195273e-06,1.3
14,0.15214158118068777,0.0009892541814848436,5.923693273414846e-05,1.4000000000000001
15,0.25347665310968404,0.003209037786369258,0.00036280389221902374,1.5
16,0.3911426921011585,0.009148145193347869,0.0017520019732421045,1.6
17,0.5662810914942268,0.023127655777267615,0.006977604323160964,1.7000000000000002
18,0.7751449997206334,0.05205775089634078,0.023390735149407496,1.8
19,1.0069566830746122,0.10459367825259307,0.06662537868020679,1.9000000000000001
20,1.2444497355217916,0.18835989401833872,0.16229519150814442,2.0
21,1.4675521328318664,0.30613836581241405,0.3401803978755252,2.1
22,1.6574999149167797,0.4530662253102844,0.6179865563046353,2.2
23,1.8000057876901974,0.6164089995746287,0.9817742388362856,2.3000000000000003
24,1.8882072637740546,0.7780263474606504,1.3791754536788865,2.4000000000000004
25,1.9242200068075563,0.9187984518249034,1.7358762575517706,2.5
26,1.9170223570086042,1.0236709818704943,1.9867837290335848,2.6
27,1.878078637500894,1.085254834591616,2.100632786833355,2.7
28,1.8182678106234922,1.104402259137099,2.0841374938297967,2.8000000000000003
29,1.7464644476106033,1.088133343634915,1.9690375243476577,2.9000000000000004
30,1.6682338833680057,1.046648908646451,1.7945517611706294,3.0
31,1.585979513091274,0.9907776905717318,1.5949747087524986,3.1
32,1.5017376770629423,0.9301811559056788,1.3952311232609849,3.2
33,1.4196370596614323,0.8722668659306515,1.2118748484548498,3.3000000000000003
34,1.344833040269202,0.8218670375668202,1.0552372257724394,3.4000000000000004
35,1.2806644499675235,0.7815264817187291,0.9305140203899781,3.5
36,1.2278345320724486,0.7520313566906213,0.8384641356123181,3.6
37,1.185811744732702,0.7330223738422539,0.776696821350784,3.7
38,1.154145038916153,0.7237880720989206,0.7414799213292482,3.8000000000000003
39,1.1325211091308838,0.7240490854221704,0.7294062262709803,3.9000000000000004
40,1.1199657374745535,0.7340332544114405,0.7380898786761779,4.0
41,1.1143254640976306,0.7536121492911968,0.7653601079519978,4.1000000000000005
42,1.112922613614505,0.7814348606250644,0.8077916257807625,4.2
43,1.1137105435981536,0.8150413798224291,0.8603073519811942,4.3
44,1.1155878487309927,0.8516766423602231,0.9174214487880596,4.4
45,1.117912935158118,0.8889856612785085,0.974787535739158,4.5
46,1.120086299960444,0.9252547855304558,1.0295346665944822,4.6000000000000005
47,1.1213996583514165,0.9592547379498411,1.0794196349652263,4.7
48,1.1208185749233923,0.9898592580318613,1.121954857243771,4.800000000000001
49,1.1168726314903077,1.015814397098239,1.1543358812707953,4.9
50,1.1082097378745341,1.0359270088982742,1.1742439263560187,5.0
51,1.0947039134882264,1.0494373401524961,1.1809999953555153,5.1000000000000005
52,1.0779402972374006,1.0561445723007474,1.176012792443095,5.2
53,1.0601887735896176,1.0562717771452994,1.1617963483605303,5.300000000000001
54,1.0428471478810393,1.0504462540872965,1.14037108885371,5.4
55,1.0261324763081843,1.0399491810822714,1.1126937610776753,5.5
56,1.0100828469778877,1.0268266952928538,1.0795401586470186,5.6000000000000005
57,0.9952282241387528,1.0134483122108546,1.0426072400827417,5.7
58,0.9820932858154964,1.0017685027192065,1.0046648888859335,5.800000000000001
59,0.9704187264184911,0.9928768531365995,0.9688200570073533,5.9
60,0.9591586809567608,0.9870965150875616,0.9377105038502167,6.0
61,0.947311416443109,0.9844116315516047,0.9131863867563677,6.1000000000000005
62,0.9348879779002588,0.9848206694495223,0.8962934748172233,6.2
63,0.9231213439642386,0.9883342625148652,0.8872363951633377,6.300000000000001
64,0.9134941006464365,0.9947264130532381,0.8854992272866475,6.4
65,0.9064089844561354,1.003470577375858,0.8902036181199274,6.5
66,0.9009850250471692,1.0140050787040198,0.9002691325040912,6.6000000000000005
67,0.8961703421186428,1.025931993352875,0.9142880024448283,6.7
68,0.8917655400814253,1.0388438279243204,0.9307203604115816,6.800000000000001
69,0.8881922587618346,1.0520680206914959,0.9483886131855068,6.9
70,0.8855709513507636,1.0647222774767466,0.966441797464992,7.0
71,0.8833488464361482,1.0759518771414422,0.9837372389651735,7.1000000000000005
72,0.880776636903491,1.0850327065999967,0.9986087367152489,7.2
73,0.8775904819681907,1.0913729623929675,1.009502750003724,7.300000000000001
74,0.8743025319911977,1.0946421133773099,1.0158035704232222,7.4
75,0.8718471297878635,1.095016769416724,1.0179574576171564,7.5
76,0.8707902698706174,1.0932420924884545,1.0168037431573598,7.6000000000000005
77,0.8708464193067138,1.0902725367395276,1.0128513452785362,7.7
78,0.87117618946316,1.0867396791100445,1.0061962832152964,7.800000000000001
79,0.8710144729148791,1.082765900543758,0.9969931286658967,7.9
80,0.8699457474122185,1.078284073424173,0.9858763359547343,8.0
81,0.8678508579325631,1.0734340372877205,0.9739597282563542,8.1
82,0.8648809044870738,1.0685972296164263,0.9624532813318448,8.200000000000001
