,Li-Li,Li-Zr,Zr-Zr,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,5.49252155057979e-07,0.0,0.0,0.5
6,5.002343559760076e-06,0.0,0.0,0.6000000000000001
7,3.322900651156369e-05,0.0,0.0,0.7000000000000001
8,0.00016643949396892243,9.064806074687348e-08,0.0,0.8
9,0.0006852548522432714,1.3137748048352396e-06,0.0,0.9
10,0.0023695379456416207,8.430517334911232e-06,0.0,1.0
11,0.007030070459593558,4.311025895495814e-05,0.0,1.1
12,0.01822169722352783,0.00017891396769073231,2.9007379438999515e-07,1.2000000000000002
13,0.041945872015610924,0.0006168832319678054,6.522175235707307e-06,1.3
14,0.0870268428829513,0.001821186392882278,5.245936376179661e-05,1.4000000000000001
15,0.16455854698408434,0.004748612193526025,0.00029752203040000254,1.5
16,0.2855273141017274,0.011211475406805723,0.0013363926352633663,1.6
17,0.45601624413670694,0.024272224471877983,0.004908653348674724,1.7000000000000002
18,0.6713898933423762,0.0482468402725234,0.014992091916290489,1.8
19,0.9136127577929984,0.08791104469867846,0.038705356447069884,1.9000000000000001
20,1.1558285029144364,0.1471728016926804,0.08593888559359779,2.0
21,1.3728690896541136,0.2280249332811883,0.16708982191696767,2.1
22,1.550252360232388,0.33005160893733954,0.28942164300737017,2.2
23,1.6852261495523453,0.45000375506766416,0.453388827809809,2.3000000000000003
24,1.780845451071469,0.5813587099023756,0.6506949686504403,2.4000000000000004
25,1.839587680878134,0.7147211403802927,0.8659592854129178,2.5
26,1.8619675507284146,0.8395872316135958,1.0819868589872423,2.6
27,1.8498012124862562,0.946536310274026,1.2849450052494906,2.7
28,1.8088311127673313,1.0286029493397062,1.4651298478200068,2.8000000000000003
29,1.7473088000799173,1.0818880778310496,1.6137020119368606,2.9000000000000004
30,1.673241691660295,1.106100076105718,1.7204944953350858,3.0
31,1.593843895170149,1.1046761005301315,1.7765605288385675,3.1
32,1.516100899236228,1.0836280685427155,1.7790379727129995,3.2
33,1.4453571427423002,1.0495701720386676,1.73285609670591,3.3000000000000003
34,1.3826693369502214,1.0083287524286377,1.6478373095385055,3.4000000000000004
35,1.324993897658545,0.9645779977437464,1.535108667862649,3.5
36,1.2692240908407502,0.92182618988214,1.4060054208850858,3.6
37,1.2159782955530112,0.8825085654320564,1.2720995860561919,3.7
38,1.1695261907216037,0.8484035022974007,1.143893041344009,3.8000000000000003
39,1.134433503947435,0.8210534120217916,1.0288904177880067,3.9000000000000004
40,1.112266978944794,0.8017107954564762,0.9313235390391469,4.0
41,1.1009142649265387,0.7911011991021086,0.8534402421247157,4.1000000000000005
42,1.0961579624517674,0.7894252861454487,0.7963958299580534,4.2
43,1.0935465953559942,0.796309171297003,0.7601188787720156,4.3
44,1.0896172684223426,0.8103497856711441,0.7431542062060623,4.4
45,1.0826433511608056,0.8289246501038743,0.7430623816195716,4.5
46,1.072820802759909,0.8493174910815314,0.7570666723247198,4.6000000000000005
47,1.0616722688438947,0.8705106931073476,0.7825473784722932,4.7
48,1.051221605075639,0.8935840144893966,0.8172216889136126,4.800000000000001
49,1.0431419564714142,0.9200720703076999,0.8589119793646587,4.9
50,1.0377084748938317,0.9499578128943732,0.9050685001730862,5.0
51,1.0334979050835251,0.9810882033715289,0.9525657834174296,5.1000000000000005
52,1.0288053439642009,1.0101552725605334,0.9981133134368158,5.2
53,1.023292580421128,1.0342337224906273,1.0390124368412037,5.300000000000001
54,1.0177000550401385,1.051804891020873,1.0736027343705339,5.4
55,1.0122709905207243,1.0628384508567037,1.101038220290874,5.5
56,1.0063188377434882,1.0682210173414706,1.1206109149029901,5.6000000000000005
57,0.9991482656743208,1.0691272013863322,1.1313061744204114,5.7
58,0.9906203627223198,1.0667576355994313,1.1322733844877153,5.800000000000001
59,0.9809639173122362,1.0624294603486804,1.123994209177962,5.9
60,0.9707250218934079,1.0574527766914281,1.108810350821271,6.0
61,0.9607202697434242,1.052528328446055,1.089819087189161,6.1000000000000005
62,0.9513695405555478,1.0473693172245857,1.0690811621267233,6.2
63,0.9421974539379673,1.0411824505539928,1.0470827375758043,6.300000000000001
64,0.9324609256891498,1.033607747826108,1.0238389008331767,6.4
65,0.9221657879249604,1.0253064218055423,1.0001045599674032,6.5
66,0.912165943924839,1.017786762725701,0.9773659349745046,6.6000000000000005
67,0.9033447242668765,1.0126086038778817,0.9569153909630366,6.7
68,0.8959128319875189,1.0105716750569849,0.9392111130859349,6.800000000000001
69,0.8896071670677091,1.0114402604677837,0.9241767668340096,6.9
70,0.8845662436814289,1.0142507781832846,0.9120466963633841,7.0
71,0.8816148574484253,1.0179312401252394,0.9038686158408932,7.1000000000000005
72,0.8812435422441935,1.0218831690138002,0.9010103421716329,7.2
73,0.8825365712883969,1.0261140589076059,0.9039724735730839,7.300000000000001
74,0.8836396803860813,1.0307994809672258,0.9117472924920296,7.4
75,0.8833397797836267,1.0357841558497767,0.9224806839132289,7.5
76,0.8820215881519832,1.040658927462783,0.9345842986067823,7.6000000000000005
77,0.8811550807161632,1.0453449507541699,0.9471103738984002,7.7
78,0.8819743048421178,1.0503544751710485,0.9594446306191714,7.800000000000001
79,0.8846211524297574,1.0562180461959463,0.9711206687459693,7.9
80,0.8883559920324122,1.0626964287473366,0.9819440255656461,8.0
81,0.8922607179731193,1.0687709540300712,0.9919740591648851,8.1
82,0.8956223199904286,1.0734184624695113,1.0011776747228873,8.200000000000001
