,Zr-Zr,Zr-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,4.0232490802082116e-07,1.0
11,0.0,0.0,6.505198907479024e-06,1.1
12,0.0,4.277216678396356e-07,5.602912066831269e-05,1.2000000000000002
13,3.3253385254782165e-07,5.560211067726694e-06,0.0003390367942725054,1.3
14,3.07736477104254e-06,4.516173591962956e-05,0.0016093403051483774,1.4000000000000001
15,1.9434195452682075e-05,0.0002681238659403709,0.006279361649953377,1.5
16,9.501536878677671e-05,0.001267257135614279,0.02048744301894607,1.6
17,0.00037935431485226464,0.00497454277010057,0.05646643342038544,1.7000000000000002
18,0.0012720648141333014,0.016505346540278944,0.13255574446526355,1.8
19,0.0036610106458015504,0.04678923503184251,0.2673523832402204,1.9000000000000001
20,0.009262263600945706,0.11425805870992564,0.4677729970139324,2.0
21,0.021026597310993912,0.2422459067548024,0.7177629099956471,2.1
22,0.04349595386695993,0.4495874390218363,0.9777830305140701,2.2
23,0.08277505954608615,0.7367522019935305,1.1988709116061511,2.3000000000000003
24,0.1456110307099809,1.0758790573853907,1.343381227313274,2.4000000000000004
25,0.23739800532819894,1.4139548231441605,1.399081526956011,2.5
26,0.3594286997438121,1.69063232736167,1.3791405530878376,2.6
27,0.5061044684380136,1.8611760178375323,1.311081428643368,2.7
28,0.6637867678334306,1.9110896339494197,1.2234585729712824,2.8000000000000003
29,0.813991671809336,1.855768045384262,1.1372055653677595,2.9000000000000004
30,0.9410156714145431,1.7286277548447306,1.0633609273215527,3.0
31,1.0382141092483435,1.56631749862894,1.0052702933004805,3.1
32,1.1070340847941509,1.3982880606520054,0.9622807341541866,3.2
33,1.1510607633172356,1.2431998185328534,0.9324421302036847,3.3000000000000003
34,1.1724973682519946,1.110450713873444,0.9135145846850545,3.4000000000000004
35,1.1734446165047867,1.0035632668364167,0.9032358884709809,3.5
36,1.1578300025370487,0.922767919839036,0.8996424000396627,3.6
37,1.1309421041826744,0.8660834011534773,0.9013812613059643,3.7
38,1.097778687094525,0.8301126957592504,0.9075884824082879,3.8000000000000003
39,1.0621753528144493,0.8113403169945768,0.9173220307188525,3.9000000000000004
40,1.0269355911235472,0.8069926215987075,0.9291641962662701,4.0
41,0.9943457587692789,0.8147576820054947,0.9416237434671191,4.1000000000000005
42,0.9667608577921837,0.8321205559083504,0.9539776002766741,4.2
43,0.9471891031370065,0.8561510321311371,0.9663828310975703,4.3
44,0.9390657608067653,0.8837969214920436,0.9789291457585491,4.4
45,0.9445099946313862,0.9124287906509705,0.9909338042717742,4.5
46,0.9624491475565152,0.9401757549918685,1.001475849561137,4.6000000000000005
47,0.988929671178043,0.9657000381536034,1.0103256004153014,4.7
48,1.0193701147661727,0.9877137453535128,1.0179370532115046,4.800000000000001
49,1.050095522669214,1.0048917433493976,1.024722896494288,4.9
50,1.0779002979372048,1.0163807370470415,1.0306457336602473,5.0
51,1.0991277535871786,1.0223967684152628,1.0353539843068942,5.1000000000000005
52,1.1101293837534936,1.0241900742797774,1.038450246819439,5.2
53,1.1090563573174588,1.023261519915876,1.0396966241798455,5.300000000000001
54,1.097105746136622,1.0207006148788973,1.0390891779693012,5.4
55,1.0776520063428707,1.017278758789409,1.0366480497813693,5.5
56,1.0540713768481047,1.0137664110515643,1.0321854709472653,5.6000000000000005
57,1.0286157108068488,1.0108092066068968,1.02560885190791,5.7
58,1.0031065903875795,1.0086108073071551,1.0174657559016838,5.800000000000001
59,0.9796947323296801,1.007012560276237,1.00880724158866,5.9
60,0.9602913332703793,1.0059456054394607,1.000447920594031,6.0
61,0.945691657552462,1.005704739245912,0.992653389041683,6.1000000000000005
62,0.935697399009096,1.0066059372187621,0.9855813736879387,6.2
63,0.9299063603132376,1.0083723637622484,0.979701773227742,6.300000000000001
64,0.9280835308070627,1.0101854246951967,0.9755890314271779,6.4
65,0.9297209892454729,1.0115331921483506,0.9734537826786366,6.5
66,0.9333837984756048,1.0126466620190917,0.9730379614931898,6.6000000000000005
67,0.9370306830291288,1.0138266314051585,0.9739390911420843,6.7
68,0.9395826104970665,1.0146961498954445,0.975877844813531,6.800000000000001
69,0.9420358392463437,1.0144836535640602,0.9786213679307151,6.9
70,0.9463913859999756,1.0129080208458667,0.9818467563288308,7.0
71,0.9534038761980433,1.0105382393509086,0.9852466119488227,7.1000000000000005
72,0.9617489259978297,1.0083474188040507,0.9887172608192514,7.2
73,0.9692012726752501,1.007120356172877,0.9923194886073444,7.300000000000001
74,0.9741722611876812,1.0072783897299424,0.9960504205052985,7.4
75,0.9762980968709631,1.0088989005480578,0.9997694068224692,7.5
76,0.9761591663125171,1.0115955261107183,1.0032945198485945,7.6000000000000005
77,0.9746602804295009,1.0146028405112253,1.0063533176511004,7.7
78,0.9726129407467904,1.017250351897615,1.0084487000998754,7.800000000000001
79,0.9708837922534099,1.019299421576478,1.009008096245072,7.9
80,0.9707772092194739,1.0207547301837352,1.007823178973608,8.0
81,0.9739534183485216,1.0214289021148837,1.0053514552816214,8.1
82,0.9815323857171763,1.0207639945769769,1.0025484234485613,8.200000000000001
83,0.9928031776399389,1.0181725060977393,1.000322948720563,8.3
84,1.0048097364120685,1.0136544397360852,0.9990658289370028,8.4
