,Li-Li,Li-I,I-I,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.1086316881258349e-07,0.0,0.0,0.5
6,1.0096922759741926e-06,0.0,0.0,0.6000000000000001
7,6.373988326838166e-06,0.0,0.0,0.7000000000000001
8,3.3179307363029094e-05,0.0,0.0,0.8
9,0.0001404236311785724,1.4586754304839055e-07,0.0,0.9
10,0.0005057180491370977,1.3415066039398253e-06,0.0,1.0
11,0.0015891983102979362,9.127368480292376e-06,0.0,1.1
12,0.004397970577223963,5.072473336993998e-05,0.0,1.2000000000000002
13,0.010776040691119723,0.00023537323874598943,0.0,1.3
14,0.02351267468424066,0.0009380756177790631,0.0,1.4000000000000001
15,0.046162904086976375,0.0032758098346701192,0.0,1.5
16,0.08272950092012926,0.010090786918560428,0.0,1.6
17,0.13724110713885126,0.027394088559673107,0.0,1.7000000000000002
18,0.21280900892588148,0.06539529910548444,0.0,1.8
19,0.3101481852894088,0.13730839001221568,2.0817639477029568e-06,1.9000000000000001
20,0.42653351736886325,0.25460477039697454,1.6962319363738764e-05,2.0
21,0.5560768192592181,0.42005492128790756,9.599035994132659e-05,2.1
22,0.6911241038130248,0.6228566643801116,0.00042731288043677644,2.2
23,0.8238470058384338,0.8397097634016635,0.0015331724925895726,2.3000000000000003
24,0.9469638972048277,1.0414998166791174,0.004520968965123342,2.4000000000000004
25,1.0535190713704092,1.201827982504392,0.011236447291510474,2.5
26,1.1375469985677096,1.3042026704050598,0.024283202007402152,2.6
27,1.1965335515940672,1.346195254952008,0.04719049648824326,2.7
28,1.2327136869297157,1.338547196254675,0.08480679971851496,2.8000000000000003
29,1.2504538906095497,1.2987279193202976,0.14308097141279777,2.9000000000000004
30,1.2525781875694915,1.2430656421889388,0.22737708043401633,3.0
31,1.2403667976920696,1.1826175321790073,0.33991434701388173,3.1
32,1.21640896193504,1.1234572321478171,0.47778307448086166,3.2
33,1.1855147262286077,1.0687051074096636,0.6321278033909742,3.3000000000000003
34,1.152318931983409,1.020366358010928,0.7887160587896358,3.4000000000000004
35,1.1189784107395437,0.9800765889727403,0.9309948561461759,3.5
36,1.0857215072490407,0.9485557141728593,1.046086344812184,3.6
37,1.0531136266732022,0.9250967623903946,1.1308478806664908,3.7
38,1.0231450771224333,0.9084911722823434,1.1926880945226714,3.8000000000000003
39,0.9982236499172256,0.8983078106386929,1.242998645017802,3.9000000000000004
40,0.9796637792701309,0.8946235743322972,1.2880708798269487,4.0
41,0.9672638292215986,0.8967215730675716,1.3254625810104428,4.1000000000000005
42,0.9599015561824773,0.9028020813644028,1.3484463393279145,4.2
43,0.9562292423124694,0.9110252321443368,1.3528003600247616,4.3
44,0.9550945488014466,0.9204293492551687,1.3388081636356657,4.4
45,0.9558265590095152,0.9309834860440703,1.3088272170129625,4.5
46,0.9582734157354456,0.9432443545884047,1.26651922835851,4.6000000000000005
47,0.9624136694549453,0.9578189439690747,1.2187788279334864,4.7
48,0.9678660403719966,0.9746090559174339,1.174986417588117,4.800000000000001
49,0.9738450755157557,0.9923389550967056,1.1419093219482626,4.9
50,0.9795931794760802,1.0088627487975037,1.1193940108017193,5.0
51,0.9847112224766053,1.0219674923515825,1.1010489830834467,5.1000000000000005
52,0.9890607621179002,1.030229592196567,1.0788643387416708,5.2
53,0.992591258122713,1.0336067906991493,1.0477996597439712,5.300000000000001
54,0.9953244148446742,1.0334245107553839,1.0075689297041241,5.4
55,0.997278539834382,1.0316561567746336,0.962002084094882,5.5
56,0.9983526493062694,1.0299479679302757,0.9175045735991971,5.6000000000000005
57,0.9985200261574346,1.028913899666594,0.8809460749755335,5.7
58,0.9981576501249626,1.0281749283599158,0.8569835602018476,5.800000000000001
59,0.9978938594664966,1.0271597423306518,0.846460843118948,5.9
60,0.9980376195464369,1.0257937121919427,0.8472455329117775,6.0
61,0.9983752088899361,1.024343114707424,0.856025449605063,6.1000000000000005
62,0.9985498120029124,1.022912675779097,0.868842709345826,6.2
63,0.9984229879083106,1.0213214080222537,0.8811404589254243,6.300000000000001
64,0.9980843617787875,1.0192617932872314,0.8894405791364908,6.4
65,0.9977070519442217,1.0165126025541167,0.8936090250744466,6.5
66,0.9973800049958298,1.0132661712434305,0.8966835184184677,6.6000000000000005
67,0.9969115018634112,1.0102195449319527,0.9022938326645321,6.7
68,0.9958733157823432,1.0079990910535501,0.9126384375616945,6.800000000000001
69,0.994079492882827,1.0065368979431848,0.9282507422981047,6.9
70,0.992012219539967,1.0053101306149692,0.9482638509311226,7.0
71,0.9905619195141652,1.0040477284062126,0.9701926453257711,7.1000000000000005
72,0.9902836640634193,1.0029802991965289,0.9898387775763163,7.2
73,0.990986919509834,1.0026149231422417,1.0023844000859932,7.300000000000001
74,0.9920242968972038,1.0035669307353405,1.004793266074487,7.4
75,0.9927888624232529,1.006331708276355,0.9979935747772596,7.5
76,0.992851532618198,1.0107216014711558,0.986787507869576,7.6000000000000005
77,0.9919313092633917,1.015486118400651,0.9774343948556734,7.7
78,0.9901294347149778,1.0188559571993794,0.9746511528727063,7.800000000000001
79,0.9881525801327236,1.0197076873122928,0.9797137301142412,7.9
80,0.9869504378849343,1.0182005391110016,0.9905277473936094,8.0
81,0.9869837771562417,1.0153678403666868,1.003439570944187,8.1
82,0.9879337543745979,1.012346906066411,1.015099427296302,8.200000000000001
83,0.9890916383614508,1.01003068700149,1.0229756859583679,8.3
