,Zn-Zn,Zn-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,5.07162194828976e-07,4.2263516235748004e-07,1.014324389657952e-06,1.0
11,5.633596578802519e-06,5.259426148968623e-06,1.2076404859049595e-05,1.1
12,4.401565806088752e-05,4.6615737934404656e-05,9.385577442736467e-05,1.2000000000000002
13,0.00025102539651015266,0.00028419916633365725,0.0005422733231441321,1.3
14,0.0011506402168297842,0.0013636077918050256,0.002483885639062673,1.4000000000000001
15,0.004389104894578807,0.005393506520951526,0.00946272682165692,1.5
16,0.014163002063302663,0.01786446287068699,0.030383889543219748,1.6
17,0.03900600909442799,0.04994687515840721,0.0828879296228743,1.7000000000000002
18,0.09234963437295766,0.11874530049649822,0.19322727960184244,1.8
19,0.18943451344868137,0.24221888616293874,0.38733682687006044,1.9000000000000001
20,0.3398084644451834,0.4285655482588875,0.6727082025967746,2.0
21,0.5388999198315124,0.6660298066560558,1.0211946209717326,2.1
22,0.7650630810516089,0.9216558638118441,1.3685042803035339,2.2
23,0.9856755554314255,1.1521105405507628,1.6376615739857154,2.3000000000000003
24,1.1689292866052834,1.3206514481889502,1.7750523340818545,2.4000000000000004
25,1.2940507441472948,1.4099520824769163,1.774525301588771,2.5
26,1.3554504597699415,1.4242594882494146,1.6721636206531523,2.6
27,1.3611051469383117,1.382309835191352,1.5188334594910502,2.7
28,1.3272927714232488,1.3076231564086578,1.3546409002090956,2.8000000000000003
29,1.2719640202420224,1.2214951359641018,1.2014770682783373,2.9000000000000004
30,1.2096101032866844,1.1396129589023676,1.069372684112598,3.0
31,1.1494616617460018,1.0710019090494216,0.9635863952702377,3.1
32,1.0961226745486208,1.0185183542430887,0.8866610226990203,3.2
33,1.0508151340444158,0.9806601719026056,0.8382515520655734,3.3000000000000003
34,1.0128044665720368,0.953987685558172,0.81536637473835,3.4000000000000004
35,0.9811148776464632,0.9352247818171538,0.8128057755033885,3.5
36,0.9557671077491698,0.9224686109883192,0.8238266738284787,3.6
37,0.9375961516761515,0.915183225408484,0.8419348059189075,3.7
38,0.9270490884137486,0.913266828233169,0.862994999128602,3.8000000000000003
39,0.9234242721003941,0.9164171476617867,0.8856687101149352,3.9000000000000004
40,0.9253026181512923,0.9243079302836867,0.9100466343624055,4.0
41,0.9314174759824474,0.9367018502027762,0.9362312298569997,4.1000000000000005
42,0.9408752080081776,0.9529242193455993,0.9635429570890566,4.2
43,0.9527482321254483,0.9713787880346322,0.9899498125858985,4.3
44,0.9658169908225558,0.9898228476585568,1.0124254183275219,4.4
45,0.9787907231443094,1.006104388841116,1.0288427490187646,4.5
46,0.9907070092511703,1.018689657194406,1.0393070165695226,4.6000000000000005
47,1.0011080391656233,1.0267708769129134,1.0448814654579988,4.7
48,1.0098828549688716,1.0302401138570272,1.045420526018368,4.800000000000001
49,1.016946466110664,1.0298381628984832,1.039806058294546,4.9
50,1.0220092987944784,1.027153519954835,1.0283703778352367,5.0
51,1.024570336688952,1.0239423894477586,1.0142745948664078,5.1000000000000005
52,1.0242636171361874,1.0211554664072633,1.0019987905084777,5.2
53,1.0213568969486246,1.0187239383879907,0.9943640742443477,5.300000000000001
54,1.0167798242497457,1.0162387763742156,0.9909777429705214,5.4
55,1.011521609747404,1.0136070575502334,0.9893825226361703,5.5
56,1.0061123052230134,1.011071794279788,0.9871478205415188,5.6000000000000005
57,1.0007210752598275,1.008909101319892,0.9828717385524793,5.7
58,0.9955438469485868,1.0072677322944734,0.9764718980000359,5.800000000000001
59,0.990995280318302,1.0061887302257644,0.969473722220032,5.9
60,0.9875876754249968,1.0056203906158518,0.9642729310529473,6.0
61,0.9856363774347937,1.0053566148660429,0.9620926905327298,6.1000000000000005
62,0.9850384377340607,1.0050098454977094,0.961841297753236,6.2
63,0.9853401691681563,1.0042300119356116,0.9614807436488548,6.300000000000001
64,0.9860284547136494,1.003102662477731,0.9601933766966859,6.4
65,0.9867236600277075,1.002257549947758,0.9587526648765021,6.5
66,0.9871905017229814,1.0024053439526972,0.9581046124633863,6.6000000000000005
67,0.9873296272350374,1.0037452032468517,0.9582770768479236,6.7
68,0.9872362943537178,1.0058704883390557,0.9585439461157603,6.800000000000001
69,0.9871963399825697,1.0082541336472761,0.9580059242801138,6.9
70,0.9875282062477663,1.0107514544988363,0.9560811791079344,7.0
71,0.9883071719972334,1.0134798625773516,0.953086533899895,7.1000000000000005
72,0.9892563948101997,1.0161536635955393,0.9503169355571635,7.2
73,0.990116862127501,1.0177798496741493,0.9491023506725506,7.300000000000001
74,0.9911134897265035,1.0173383470932074,0.9498242719258635,7.4
75,0.9927989852766371,1.014835369836171,0.9520510372092144,7.5
76,0.9954410868104601,1.0115369291245802,0.9552603141818055,7.6000000000000005
77,0.9987798297636387,1.0090708801890398,0.9590943441260029,7.7
78,1.0022485454497847,1.008257990504747,0.9631554774575486,7.800000000000001
79,1.0051076222804467,1.0086387925028995,0.9668246191824454,7.9
80,1.0065637436073362,1.0089326028180587,0.9692830441261343,8.0
81,1.0062461203368411,1.0080304229813408,0.970017739646821,8.1
82,1.0046176776580409,1.0058391977212393,0.9696114210190034,8.200000000000001
83,1.0026151496529998,1.003330250014471,0.9695794930299192,8.3
84,1.0008552346167632,1.001802826452868,0.9708180094092873,8.4
85,0.999321810336327,1.0020819148363755,0.9724412610035937,8.5
86,0.9977168673358512,1.0041856042269082,0.9726000709280085,8.6
87,0.995882568588545,1.007404425425778,0.970161620982041,8.700000000000001
88,0.9938972187195362,1.0106357242217006,0.9653210700438417,8.8
89,0.9919648086150518,1.0129207978593937,0.959204015788173,8.9
90,0.9903128158381422,1.0139437022584972,0.9533863758650308,9.0
91,0.9891333050865252,1.0140338469044738,0.9492527234595708,9.1
92,0.9885129403997018,1.0136181297140545,0.9471332833576008,9.200000000000001
93,0.988357841161845,1.0127739886753924,0.9461188384335807,9.3
94,0.9883920192989766,1.0114214922749825,0.945004146566449,9.4
95,0.9883234276057548,1.0097867093138948,0.9433984071209651,9.5
96,0.988105127587189,1.0084613056707126,0.9417662395685068,9.600000000000001
97,0.9879866643370198,1.0080439066342548,0.9405251536352182,9.700000000000001
98,0.9882291499687085,1.0087495390950052,0.9394945481542082,9.8
99,0.9887688180062355,1.0101539896731542,0.938402125502727,9.9
100,0.9892194229550192,1.011285934695278,0.9375618961823718,10.0
