,Li-Li,Li-Si,Li-Au,Si-Si,Si-Au,Au-Au,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,2.417312470443756e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.5762857377082062e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.930416928504553e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,3.884236031913141e-05,1.6394229903355574e-07,1.6394229903355574e-07,0.0,0.0,0.0,0.9
10,0.00013945094827392865,3.4087578026477836e-06,3.993687733767507e-06,1.754789793359171e-06,2.924649655598618e-07,0.0,1.0
11,0.0004250248913578333,3.1185485722063685e-05,3.8937047980521896e-05,1.931734679581533e-05,4.26951512718505e-06,0.0,1.1
12,0.0011479719090523063,0.00019039787046004752,0.0002451555328214379,0.0001554179654315677,4.4515441622254706e-05,0.0,1.2000000000000002
13,0.002851764942198554,0.0009184679397029206,0.0011987921542094082,0.0009088986027940033,0.00031433045353909336,0.0,1.3
14,0.006670213287980838,0.003621797123617284,0.0047729859522046905,0.004214389427760715,0.001678561713313662,1.1746939939015936e-06,1.4000000000000001
15,0.014789140009883755,0.01193225788044474,0.015791024675714763,0.016191239533124607,0.007251667704848129,1.5899849563917867e-05,1.5
16,0.030912256073862564,0.03330250780592971,0.04396044591424845,0.05229600994691015,0.02607156808628959,0.0001344172378826752,1.6
17,0.06034801722006829,0.0796912930063739,0.10421935097366541,0.142622278951696,0.078586882080355,0.000776826773650006,1.7000000000000002
18,0.10911452181576334,0.16535259750643364,0.21311337843616251,0.32943650388822654,0.1994191115763978,0.00353137457632715,1.8
19,0.18189296421909698,0.3007252072108054,0.38109009630915713,0.647086227014544,0.42789808667886614,0.013171398724992081,1.9000000000000001
20,0.2797100890313931,0.4846614125379795,0.6045949979676382,1.0873817206424468,0.7811315895838759,0.04072047633114203,2.0
21,0.39892999875737034,0.7005616145078148,0.8634614826659093,1.5762722565220328,1.2231705496175755,0.10491463851551582,2.1
22,0.5320284146479315,0.9207936093320616,1.1257909738657774,1.9919649696916144,1.6605815678233138,0.2265813555907129,2.2
23,0.6690627538111537,1.116986512395174,1.3574155120641413,2.223249473725561,1.9809545359771594,0.41349277457218236,2.3000000000000003
24,0.7990475167223625,1.2686861975807182,1.5313346879582177,2.227588472327251,2.1110879235308793,0.6449649978663542,2.4000000000000004
25,0.911610503983139,1.3661083915143672,1.634223156556647,2.0457278185145573,2.050026945824073,0.8734344998221142,2.5
26,0.999247687750757,1.4092348563770807,1.6681465268832052,1.7667868736905772,1.8557992098495262,1.0483345011916647,2.6
27,1.0592024152377437,1.4061762162888323,1.646178274971097,1.4769786351904588,1.6050571523631132,1.1441453569331255,2.7
28,1.0934486859948054,1.3705127228504765,1.5845060341481443,1.2292324873256355,1.3590377401002003,1.168381291347203,2.8000000000000003
29,1.1063590680648885,1.3171355769070114,1.4972155484869207,1.0427807297984,1.1519192867020476,1.1456424844313886,2.9000000000000004
30,1.1022435107813842,1.2581902998239036,1.3962409226297006,0.9164311953226151,0.9957915917860848,1.0969436382993192,3.0
31,1.085532909235655,1.2008566822116689,1.2925516502471242,0.839544985951067,0.8898771447335564,1.0335029317088937,3.1
32,1.062412987014753,1.147509327699198,1.1952263191339165,0.7982753501383439,0.8271099775422001,0.9638026642042027,3.2
33,1.0400502320021656,1.0979651432960198,1.1099672852042457,0.7802193391235978,0.7975735058758522,0.8991710918041198,3.3000000000000003
34,1.0233607711469197,1.0521748021905863,1.0392400889191264,0.7769091202581425,0.7906561687680865,0.851018993552354,3.4000000000000004
35,1.013181038318219,1.0113209250502835,0.9835117598447386,0.7827626549212222,0.7970320895347024,0.8254207767943595,3.5
36,1.0074702926335726,0.9772152787598863,0.9421020763773116,0.793234950898693,0.8103686212717257,0.8213153320672192,3.6
37,1.0036426096547146,0.9514120042007063,0.9134953009946806,0.805081702631991,0.8277312568855435,0.8328742916187286,3.7
38,0.9999868650166192,0.934785884163293,0.8958914651688772,0.8175698253320594,0.8480353539348701,0.8534116801661926,3.8000000000000003
39,0.9959025086956412,0.9274275168907188,0.88794671579046,0.8320826149213031,0.8699881404373861,0.8778219066747353,3.9000000000000004
40,0.9914717896532808,0.9285272285337801,0.8887022297266943,0.8501695240812293,0.8920430210609348,0.9023131198294625,4.0
41,0.9870432675376495,0.9361336293059296,0.89673171301699,0.8718343007765644,0.9139555854332534,0.9233475879445764,4.1000000000000005
42,0.9833143404786302,0.9473589809574066,0.9099072152563944,0.8950863730387901,0.9368510542641424,0.9380749029318188,4.2
43,0.9815062659543626,0.9594644653065708,0.9261971620039636,0.9170195256246395,0.9610547640361308,0.9457205575341826,4.3
44,0.9829606865128655,0.9707489658783259,0.9442417502025502,0.9356868262562344,0.9847414911881229,0.9483265487818408,4.4
45,0.9882144044986028,0.9801387485866122,0.9629432286546302,0.9511042952276516,1.0050464284989047,0.9504427900519357,4.5
46,0.9962641243187179,0.986617324309037,0.980933889220734,0.9640818502347759,1.0197091996843883,0.9575200959070569,4.6000000000000005
47,1.0047389827981565,0.9898410536843635,0.9967248612498694,0.9744503331795962,1.027740219606718,0.9726811502012602,4.7
