,Fe-Fe,Fe-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,4.1349416572266654e-07,3.445784714355554e-07,0.0,0.9
10,7.859892867279155e-06,5.259017671410163e-06,0.0,1.0
11,6.788728028918982e-05,4.9092955992745765e-05,1.0666342268149176e-06,1.1
12,0.0003915448956339776,0.00032246745605393713,1.7444756969073467e-05,1.2000000000000002
13,0.0017873954803489113,0.001650668600118202,0.0001410861291596506,1.3
14,0.006655429020590397,0.006900439216212159,0.000800966996826245,1.4000000000000001
15,0.02051239051668472,0.02416835704243953,0.0035885042591105136,1.5
16,0.05292932651767675,0.07152814179643843,0.013161078961588711,1.6
17,0.11577908039057708,0.17962916046047095,0.040030289482866854,1.7000000000000002
18,0.2177082500513047,0.3842068781871051,0.10186647327736591,1.8
19,0.35719119224414575,0.7033335968948354,0.21885288419278076,1.9000000000000001
20,0.518967542681085,1.1096805177778186,0.4012284730716336,2.0
21,0.6774171633077938,1.5239272421070715,0.6359198117715302,2.1
22,0.8063163078063851,1.846085877547649,0.8851488972375988,2.2
23,0.8898845619825055,2.0064095062293035,1.1020476944175293,2.3000000000000003
24,0.9279402468025648,1.9961065698889913,1.2523121738048606,2.4000000000000004
25,0.9320439771074344,1.8583366783178523,1.3258263219144137,2.5
26,0.9168830953380718,1.655900120973787,1.3334608250760085,2.6
27,0.8936869706382382,1.4429190931757852,1.2965596636063015,2.7
28,0.8686892917610574,1.252559964194826,1.2375083959713513,2.8000000000000003
29,0.8451579933327664,1.0976693291212392,1.1739107946770226,2.9000000000000004
30,0.8255822339225244,0.977897686856292,1.1158501358226223,3.0
31,0.8116505632795643,0.8883008266819328,1.0664197719869613,3.1
32,0.8032865023200005,0.8251344995090583,1.0252533743728443,3.2
33,0.7995650149914232,0.7868383771709642,0.9922831786850949,3.3000000000000003
34,0.8008775104470697,0.771997470713959,0.968584504510476,3.4000000000000004
35,0.8094514500981801,0.777660266444043,0.9545498033927647,3.5
36,0.8279619879039017,0.7994088867015351,0.9485220677463442,3.6
37,0.8581237876330126,0.8322557357042125,0.947662980977304,3.7
38,0.8993499609126911,0.871329912114475,0.9497105592029473,3.8000000000000003
39,0.9470648190134725,0.912309003068709,0.9536748024060098,3.9000000000000004
40,0.9926423793778467,0.9516379642536734,0.9593127217587796,4.0
41,1.0270913915738602,0.9864157348638193,0.9665042789755292,4.1000000000000005
42,1.0462520763767467,1.0143235563816866,0.975225284305208,4.2
43,1.0527214274480783,1.0339927505140099,0.9856363581008056,4.3
44,1.0529684704487832,1.045474584716199,0.9975551326689377,4.4
45,1.0526041117358083,1.0502033924115926,1.0096847595780274,4.5
46,1.0532659637756037,1.0502064532583537,1.0196722159886025,4.6000000000000005
47,1.052408645734458,1.0470287438598465,1.0252166641060678,4.7
48,1.0457653364718462,1.0413888130260578,1.025309970708321,4.800000000000001
49,1.0309470708274406,1.0338829443062207,1.020745188306397,4.9
50,1.0097217205488478,1.025632930619078,1.013670575694477,5.0
51,0.9873292512786832,1.0178303382246365,1.006494703481369,5.1000000000000005
52,0.9694314246114484,1.0107814593843278,1.0008936645101199,5.2
53,0.959220903755321,1.0038728611157153,0.9975035488244387,5.300000000000001
54,0.9567795209075023,0.9966571952586016,0.9961569104783586,5.4
55,0.9602177598829447,0.9897255621901463,0.9962717215953277,5.5
56,0.9667288144625735,0.9843532725372998,0.9971760346497323,5.6000000000000005
57,0.9733150622290011,0.9815344998087079,0.9982549331673944,5.7
58,0.977930416579055,0.9815706628047696,0.9990169591506424,5.800000000000001
59,0.9805188931447405,0.9842140201555069,0.9991983180346294,5.9
60,0.9826370903761377,0.9887614724626328,0.9987698380499775,6.0
61,0.9856252215646623,0.9941755255562217,0.9978005196540255,6.1000000000000005
62,0.9891957341056509,0.9994959996809089,0.9963807829024625,6.2
63,0.9920886734885639,1.0041253433371118,0.9947264178736706,6.300000000000001
64,0.9936635078009769,1.0076902613001608,0.9933185554745027,6.4
65,0.9941328578805323,1.0099452895831673,0.992805118899574,6.5
66,0.9936700168347378,1.0109159354053028,0.9935374669253264,6.6000000000000005
67,0.9922926119200348,1.0107880590472205,0.9951537262078204,6.7
68,0.990614296779742,1.0095466474244845,0.9968234185666432,6.800000000000001
69,0.9898391790596109,1.0070554622340546,0.9980141107317657,6.9
70,0.9906866737641786,1.0036181114660547,0.9988674202311243,7.0
71,0.9926750836785214,1.0002208584901462,0.9997248559754845,7.1000000000000005
72,0.9947212014656532,0.9980153267876797,1.0004972964624514,7.2
73,0.9964327090116559,0.9975287553214169,1.0007506763681475,7.300000000000001
74,0.9986239798709984,0.9983973406454623,1.0003908407575812,7.4
75,1.0023419382028143,0.9998265555514227,1.0000121469522447,7.5
76,1.0073710165512793,1.0011738676080646,1.0003381280464911,7.6000000000000005
77,1.0117563199210386,1.0020552205633875,1.0013267394610452,7.7
78,1.0129215335287285,1.0022029417760603,1.002044689544073,7.800000000000001
79,1.0094927268535414,1.001543581956954,1.0015446112207536,7.9
80,1.0022052351087938,1.0003591903014513,0.9997625764234422,8.0
81,0.9931371987536884,0.9990943790520458,0.9975425875825195,8.1
82,0.9843171992462338,0.9979407045392442,0.9959826009021453,8.200000000000001
83,0.9770574574792348,0.9967477641149816,0.9957919635949872,8.3
