,Li-Li,Li-Mn,Li-Si,Mn-Mn,Mn-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,5.697979699215276e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,7.154687244015941e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,5.285061530736385e-05,1.069953965741535e-07,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00028568578133433966,1.2619311643895557e-06,1.8807784554050416e-07,9.403892277025208e-08,0.0,0.0,0.8
9,0.0012355632002707243,9.05508586331804e-06,1.726227097038028e-06,6.194372062940505e-06,8.330091428783574e-08,0.0,0.9
10,0.004417139286343148,5.215320255300551e-05,1.736347405186293e-05,6.395336049223977e-05,2.846563315322682e-06,2.972094349282041e-07,1.0
11,0.013240393772589086,0.0002414266139843111,0.00011094849800813378,0.0004135611569240639,3.298303589874048e-05,5.939261857299548e-06,1.1
12,0.033673630162674696,0.0009404959535753034,0.0005633425070705479,0.002046002452068766,0.00023195417584472895,4.7007433835411686e-05,1.2000000000000002
13,0.07370745863585015,0.00314742996992458,0.0023597594273421867,0.00817392397943684,0.0012273865114060048,0.00027464726102885623,1.3
14,0.14129854098616762,0.009143199225536558,0.008300582827806923,0.026963901821798406,0.005237430109228061,0.0012572372526879322,1.4000000000000001
15,0.2421856200153899,0.02318570612570476,0.02474766686098635,0.0743827434364222,0.018515480262090798,0.0047366290085894885,1.5
16,0.3790589161067258,0.05163879928406364,0.06310089154692952,0.17351838722695936,0.05493739477130579,0.014924421564849227,1.6
17,0.5511391704877251,0.1018801359331054,0.13908203755360538,0.34617437676832663,0.13811992194901115,0.03985996021029086,1.7000000000000002
18,0.7518964173895645,0.18009079610702775,0.26800789675397413,0.5977012663543272,0.29690427298021826,0.09124064896980258,1.8
19,0.9661670446013974,0.288783387044901,0.45659352841426765,0.9047552745617586,0.5507994035151067,0.18091669808097022,1.9000000000000001
20,1.1712756128184432,0.42479556440860855,0.6950659705953338,1.2180525048422526,0.8905659314902308,0.3140769974159709,2.0
21,1.3438143881813571,0.5782768533518837,0.9554334342166164,1.481759006565294,1.2683545152987348,0.4826911858550453,2.1
22,1.467713115753198,0.7337770431828556,1.1992947978049506,1.6566714222990087,1.6097372292368581,0.6644656566138903,2.2
23,1.5383846406361399,0.8741098959688783,1.3918391336749478,1.7316845756113928,1.844216240174888,0.8297186320253261,2.3000000000000003
24,1.5619756990957612,0.9852450589147949,1.513221336997483,1.7194362394671576,1.9352173457357607,0.952776049371073,2.4000000000000004
25,1.551245497129327,1.0592839880013465,1.560952450170476,1.6439331167508697,1.8907216509867302,1.0208678786271361,2.5
26,1.5191276021098976,1.094776192167282,1.545045001136592,1.5299262260436632,1.7508606456753364,1.035749546287773,2.6
27,1.4729113256519542,1.0959004197595938,1.4818773415668134,1.3980412728071239,1.5645759110131572,1.0094074465219869,2.7
28,1.4141041669852057,1.0712063476998148,1.389990881178879,1.2640643341866806,1.371310233311721,0.9585780025908112,2.8000000000000003
29,1.3438332195883473,1.0311730064717552,1.2871636971171023,1.1394386816796218,1.195142139025419,0.9006017578304624,2.9000000000000004
30,1.266693499303465,0.9851041107503363,1.1876397579921107,1.0317171063395714,1.0478374565996194,0.8499845775300343,3.0
31,1.189270052917047,0.9396324034356565,1.100119385131679,0.945197771021646,0.9337851605086313,0.8154893633877969,3.1
32,1.1174322890816797,0.8994593022027466,1.0278222408397923,0.8817213010861934,0.8531739220860459,0.7993203007360945,3.2
33,1.0559588561118747,0.8681509799818797,0.9705046770089848,0.8411007383356146,0.8034873362974189,0.7989516603089429,3.3000000000000003
34,1.0084438799772315,0.847740162661177,0.9268381365647524,0.8213825882201322,0.7803753497603966,0.8099989591191461,3.4000000000000004
35,0.9757906246573494,0.8384909531226864,0.8957103320370269,0.8196393394260104,0.7786488186291252,0.8287139405087428,3.5
36,0.9551876565979825,0.8397460531138333,0.8763654351901624,0.8329717647244341,0.793422513875419,0.8532603326366301,3.6
37,0.9416465640992676,0.8507823862694084,0.8683664334088965,0.8586189479283626,0.8206757430723826,0.8829709374286763,3.7
38,0.9312607557229965,0.8707861821528486,0.8715211950239086,0.8932835757121252,0.8567953198944946,0.9162999206587003,3.8000000000000003
39,0.9235049272774695,0.8984208317323664,0.8852964223652722,0.9329688149630913,0.8979139504574406,0.9504471151748264,3.9000000000000004
40,0.9206605276813258,0.9315723954778997,0.908083084561509,0.9736939134698439,0.9401213226280863,0.9835837319147631,4.0
41,0.9250232255514319,0.9673836846963709,0.937198706564139,1.0120901334983419,0.9803303373466377,1.0161966711996024,4.1000000000000005
42,0.9363068117622232,1.0026290890112852,0.9693082924448888,1.0452057578293183,1.0164779870921599,1.0489686861865473,4.2
43,0.9511348557276643,1.0343128730314544,1.0005142968462475,1.0701237666397396,1.0467418683159442,1.0800799769030205,4.3
44,0.964617830518026,1.0601517164965288,1.0266548065361345,1.0843627594329537,1.0690182227068494,1.105569584713021,4.4
45,0.9728332939888719,1.0787550826146395,1.044596913572281,1.086995827817319,1.0815375972370609,1.1217115192519391,4.5
46,0.9749558832694054,1.0895867520038314,1.0535873700112242,1.0793252103728357,1.0838769013070197,1.1262343784065856,4.6000000000000005
47,0.9737106257448843,1.0929031923672283,1.0551557619044785,1.0642264112426298,1.0772598530640238,1.118288372977226,4.7
