,Li-Li,Li-Al,Al-Al,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,3.040126178757295e-07,0.0,0.0,0.5
6,2.244544620144232e-06,0.0,0.0,0.6000000000000001
7,1.3375270050254004e-05,0.0,0.0,0.7000000000000001
8,6.173127849576215e-05,0.0,0.0,0.8
9,0.0002341606759939418,3.5555800983389813e-07,0.0,0.9
10,0.0007513693945324449,5.59573544638249e-06,0.0,1.0
11,0.002098937261069584,4.177871451073121e-05,7.59049047770981e-07,1.1
12,0.005229407245220604,0.0002292080973296447,9.05987213765324e-06,1.2000000000000002
13,0.011833699653266055,0.0010091467824361912,6.871498597179487e-05,1.3
14,0.024663486283788363,0.0036630638425375352,0.0003851220153263176,1.4000000000000001
15,0.04782443258028107,0.01117651005050309,0.0017502947906209972,1.5
16,0.08679721027386439,0.02915526633928046,0.00662386293341975,1.6
17,0.14755758299346097,0.06610677017902532,0.021287530791426836,1.7000000000000002
18,0.23423348214988357,0.13228474660163936,0.05882214110303998,1.8
19,0.34609317533021683,0.23667907759782403,0.14092400603642882,1.9000000000000001
20,0.4762874317958863,0.3826911143908033,0.29468192393971776,2.0
21,0.6140412098832114,0.5645180303105068,0.5409469366326685,2.1
22,0.7488795586824178,0.7667579018346614,0.8771221206151018,2.2
23,0.8735697917819545,0.967889069520767,1.2656760182764537,2.3000000000000003
24,0.9839875305159101,1.1455321831004937,1.6404115654024727,2.4000000000000004
25,1.0770510300672678,1.2812434006265112,1.9300934939855208,2.5
26,1.1493970996370133,1.3643844081749648,2.085532791372026,2.6
27,1.1983141951082656,1.3948186244409604,2.0951862622366524,2.7
28,1.2236302085110928,1.3826195916417157,1.9834164695497885,2.8000000000000003
29,1.2281401636886609,1.3435808737299284,1.79541878494376,2.9000000000000004
30,1.216212340985851,1.292728008728129,1.5785883575357258,3.0
31,1.192366020681845,1.2398340632654514,1.3694008161222193,3.1
32,1.1608985071110014,1.1889384291982363,1.1890552844655213,3.2
33,1.1257601072111258,1.1407992551044934,1.0460295269144781,3.3000000000000003
34,1.0901686824175298,1.0955010150443585,0.9415245835497661,3.4000000000000004
35,1.056496157985906,1.053347434130843,0.8734941945365536,3.5
36,1.0264697921213974,1.014803616866027,0.8375450635822971,3.6
37,1.0011458946001033,0.9808113571762711,0.826457540289044,3.7
38,0.9807621566089757,0.9527966467469174,0.8304891740955425,3.8000000000000003
39,0.9648995843763668,0.9317603858664713,0.8393074634366265,3.9000000000000004
40,0.9529115509380163,0.9177399825013554,0.8453706711534746,4.0
41,0.9443617621650439,0.9104216659996401,0.8464863027933749,4.1000000000000005
42,0.9393002443279069,0.9097584452119012,0.845069029845638,4.2
43,0.9380736476405156,0.9158023484796616,0.844979137874123,4.3
44,0.940737658112006,0.9281486613184582,0.8492281923741474,4.4
45,0.9467386770805014,0.9454022305293174,0.8595808431630021,4.5
46,0.9551156075580072,0.9651078443297497,0.8762714704633984,4.6000000000000005
47,0.9647746013413185,0.984551665368207,0.8972567357781984,4.7
48,0.974668117772249,1.001786389878503,0.9186054339633116,4.800000000000001
49,0.9839905325149362,1.015847396868429,0.9367509491472825,4.9
50,0.9922771080676804,1.0264893443383742,0.9505687457304919,5.0
51,0.9993078453805205,1.0342019034440157,0.9612355898173486,5.1000000000000005
52,1.0050537251818659,1.0399439015941827,0.9703993674319146,5.2
53,1.0096499252095334,1.0442124822066823,0.978627613936227,5.300000000000001
54,1.0132030847857443,1.0465698693832743,0.9850973954942078,5.4
55,1.015613956345896,1.0463054895407156,0.9881057739202911,5.5
56,1.0166103869317678,1.0432315463984243,0.9859084084428201,5.6000000000000005
57,1.0157851845381765,1.0377265659706545,0.9776744888994504,5.7
58,1.0127858788092055,1.030386448652129,0.9641333810985454,5.800000000000001
59,1.0079678399854715,1.0218418294916904,0.9480063328656155,5.9
60,1.0027568946677714,1.0128704601700556,0.9342261488220779,6.0
61,0.9987295907727066,1.004546621546739,0.928160804026651,6.1000000000000005
62,0.9962900342999583,0.9980375918613913,0.931543176380516,6.2
63,0.9946450846148766,0.9940196059807704,0.940413248327575,6.300000000000001
64,0.9929012916637643,0.9923569013947877,0.9484575013598251,6.4
65,0.9907849184108737,0.9924110970284025,0.9521210813908021,6.5
66,0.988610417118708,0.993538322421769,0.9518603655810222,6.6000000000000005
67,0.9870348894122966,0.9952282719088077,0.9497886471177566,6.7
68,0.9866954875737736,0.9970473718297229,0.9475264030875395,6.800000000000001
69,0.9877553632591954,0.9987886513911838,0.9456736569829385,6.9
70,0.9898327888114123,1.0006116842798685,0.9439107350488919,7.0
71,0.9923298520176443,1.0027964038893706,0.9413059024722583,7.1000000000000005
72,0.9946463535227957,1.0053399485035417,0.9369508252952944,7.2
73,0.9962156892279723,1.00787806742083,0.9306497259220022,7.300000000000001
74,0.9967084664602683,1.0099380123406534,0.9234067199378972,7.4
75,0.9962787313334789,1.0111749978077311,0.9175761776584425,7.5
76,0.9954191479411791,1.0114377103461671,0.9162037637503888,7.6000000000000005
77,0.9945548309859001,1.0107620679984666,0.9211597568121745,7.7
78,0.9938844984237002,1.0093826325421216,0.9312735157138584,7.800000000000001
79,0.9934943097000781,1.0076923239538318,0.9427554647363962,7.9
80,0.9934279117348235,1.0061159608441563,0.9521172756932537,8.0
81,0.993643036863952,1.0049381703410813,0.9582694292902635,8.1
82,0.9940184582230926,1.0042156502520432,0.9615506155300559,8.200000000000001
83,0.9944577804328927,1.0038650270509737,0.9619387609314539,8.3
84,0.9949635389987349,1.0038001133366756,0.9592656448967668,8.4
85,0.995608601981991,1.0039358379003709,0.9544334119202836,8.5
86,0.996446971561865,1.0041383886535538,0.9493094885901006,8.6
87,0.9974229219908526,1.004345252914354,0.9455822589137232,8.700000000000001
88,0.9983861440757871,1.0047069642858297,0.9441670699531798,8.8
89,0.9992205585907179,1.0054010885877473,0.9452806126195893,8.9
90,0.9998818970317173,1.0062882324589713,0.9483616665047909,9.0
91,1.0002507425336877,1.0069774923467858,0.9518561981910899,9.1
92,1.000071112211317,1.0072324578083645,0.9535826335067749,9.200000000000001
93,0.9992173977184987,1.007050121025136,0.9519947313162221,9.3
94,0.997962752994283,1.0063649177371639,0.9475917543733577,9.4
95,0.9967635215801999,1.0050136190425079,0.942799070693591,9.5
96,0.9957481582930443,1.0030738063648643,0.9398183936258205,9.600000000000001
97,0.9945791531446332,1.0010085582708905,0.9387390883514954,9.700000000000001
98,0.9929247951329832,0.9993651361070717,0.9382071434005363,9.8
99,0.9910281910195321,0.9983946419107118,0.9374068540775584,9.9
100,0.9897076071354366,0.9979992641081442,0.9366949024079839,10.0
