,Li-Li,Li-V,V-V,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.0452577337834115e-06,0.0,0.0,0.5
6,1.2223545504170545e-05,0.0,0.0,0.6000000000000001
7,8.21761952991453e-05,6.542539148496168e-08,0.0,0.7000000000000001
8,0.0004136639087251486,1.001654998598517e-06,4.025194983938072e-07,0.8
9,0.001682425960989605,7.69902936082185e-06,7.769365912351583e-06,0.9
10,0.005641547977983111,4.36891245278875e-05,6.532300596256091e-05,1.0
11,0.01583079043706802,0.00019981165131371278,0.00037803181680215334,1.1
12,0.03790055431080618,0.0007623420803132076,0.0017242295040377836,1.2000000000000002
13,0.07910796333622525,0.0024789273775361557,0.006435041717858777,1.3
14,0.1473985361148531,0.007005437209074222,0.01994558916175684,1.4000000000000001
15,0.25036597357283596,0.017511002047122335,0.05199330967340023,1.5
16,0.39326891487348004,0.03923961680441059,0.11556468984824986,1.6
17,0.5755275256399235,0.07948430271594095,0.2225626163270809,1.7000000000000002
18,0.7879000992273709,0.14615892287399795,0.37811754372746215,1.8
19,1.0133387548289607,0.24468066857308637,0.5772747605647399,1.9000000000000001
20,1.231228393276969,0.37448474155986683,0.8056516618102895,2.0
21,1.4219889724321337,0.5276041788410932,1.0424685752489065,2.1
22,1.5700429116391448,0.6904194473469574,1.2641137270186236,2.2
23,1.6655459705000906,0.84715837855119,1.4479763818925753,2.3000000000000003
24,1.7056609132104639,0.9831580672505724,1.5765461557889766,2.4000000000000004
25,1.694576385939808,1.0872374379963803,1.6408777956194167,2.5
26,1.6416767413097206,1.153238814929977,1.6421086388379522,2.6
27,1.5595650048178133,1.1806731842402227,1.5901827091988625,2.7
28,1.4627582716206655,1.1744567643195638,1.5002614938827397,2.8000000000000003
29,1.365246726565946,1.143496951677241,1.3886424960407118,2.9000000000000004
30,1.276720234686527,1.0979479291159164,1.269873236582888,3.0
31,1.200483484710856,1.0463515273181347,1.1552181401751556,3.1
32,1.1352130651507648,0.994642415281868,1.0520343590036916,3.2
33,1.078720013606315,0.9471534386587745,0.9644201371708583,3.3000000000000003
34,1.0304628892248346,0.9077002640168373,0.8949640866604779,3.4000000000000004
35,0.9914432506425098,0.8793819156093238,0.8457451691180258,3.5
36,0.9627470731039909,0.8637301226738031,0.8175188659658842,3.6
37,0.9445487851049842,0.8604030026276966,0.8086991819748336,3.7
38,0.9358970376300675,0.8676602901172573,0.8158557926542686,3.8000000000000003
39,0.9346743679215633,0.8831270583334415,0.835155849814516,3.9000000000000004
40,0.9380936416010692,0.9044272512513627,0.8631724070494384,4.0
41,0.9439800082400689,0.9294441357058826,0.8966945045636846,4.1000000000000005
42,0.951385071567412,0.9561906977951518,0.9323851251963883,4.2
43,0.9596244153515403,0.9827041278900941,0.9670101192621505,4.3
44,0.967298247613845,1.0073204509600517,0.9980875125481775,4.4
45,0.972848444862828,1.0290298559919253,1.024236578399635,4.5
46,0.975702951471381,1.0473876826422148,1.0448584722741663,4.6000000000000005
47,0.9762477560063256,1.0620732489773503,1.0594868425568615,4.7
48,0.9748390333750078,1.0726802373337934,1.067433260046313,4.800000000000001
49,0.9715040073282569,1.0788765217341458,1.068106118821406,4.9
50,0.9666515619721063,1.080597592648388,1.0617696171912405,5.0
51,0.9613265583099729,1.0781324500914677,1.0499082338190053,5.1000000000000005
52,0.9564131997283469,1.0721601507510368,1.0346406728334285,5.2
53,0.9519543402364536,1.063650489526065,1.0178011585934839,5.300000000000001
54,0.9474009036835955,1.0536512870653199,1.0006811973259153,5.4
55,0.9422630467582611,1.0431448818628022,0.9843608369917275,5.5
56,0.9366756834576115,1.0330450766220953,0.9698594951078229,5.6000000000000005
57,0.9315558316465491,1.0242462400323793,0.9579603906827755,5.7
58,0.9279046927619962,1.017563674572735,0.9491120483765363,5.800000000000001
59,0.925757123350483,1.0134816082959464,0.9435222090719589,5.9
60,0.9242837072139557,1.0119361922544023,0.9411842683963395,6.0
61,0.9230164285337767,1.0124719550373946,0.9417881911531272,6.1000000000000005
62,0.9223457610601389,1.0146294364149568,0.9447565044010636,6.2
63,0.9225730048754305,1.018085784894034,0.9493989920917273,6.300000000000001
64,0.9231455053497287,1.022442364786616,0.9550418987640943,6.4
65,0.9232840298148521,1.0271284184802476,0.9611792792934213,6.5
66,0.9229641133998278,1.0317298211085555,0.9675886810110608,6.6000000000000005
67,0.9227974768589376,1.0362789590579686,0.9742058913804839,6.7
68,0.9231574199965336,1.0409470897259587,0.9808971687107249,6.800000000000001
69,0.9239509254765901,1.045476049306501,0.9873833418956752,6.9
70,0.9252490470551494,1.0491485178617292,0.9932135082971714,7.0
71,0.9276435334567815,1.0513557324014116,0.9977328710291741,7.1000000000000005
72,0.9316688230986,1.052028288227204,1.000299429774217,7.2
73,0.9368715384494153,1.0514331878374288,1.000723151591325,7.300000000000001
74,0.9416296648287744,1.0496746471362068,0.9994293925156816,7.4
75,0.9441990149803079,1.046611432242969,0.9971281869520335,7.5
76,0.9441770352524064,1.0422800668493315,0.9943548238591372,7.6000000000000005
77,0.9428933307847922,1.0371822937009867,0.9912939194814289,7.7
78,0.9422730580238097,1.0320430383073937,0.9878993208545117,7.800000000000001
79,0.9432369887031341,1.027415028731188,0.9840879277550874,7.9
80,0.9450315141742764,1.0235717327538938,0.9798922571261259,8.0
81,0.9460696754799367,1.0205833053789857,0.9755482081504846,8.1
82,0.9455933286521251,1.0183125393410113,0.9714567867851314,8.200000000000001
