,Li-Li,Li-W,W-W,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,1.6419115773232846e-07,0.0,0.0,0.4
5,1.2105633656617929e-06,0.0,0.0,0.5
6,7.797106315491475e-06,0.0,0.0,0.6000000000000001
7,3.9149828359642646e-05,0.0,0.0,0.7000000000000001
8,0.00016323211450423067,1.039022170024891e-07,0.0,0.8
9,0.0005842061742442255,6.775275632745195e-07,0.0,0.9
10,0.0018333170393132396,3.6870556121460443e-06,0.0,1.0
11,0.005086765011942684,1.7351255316001224e-05,1.3262643101037944e-06,1.1
12,0.012532858658446354,6.879427682690822e-05,1.523157414121396e-05,1.2000000000000002
13,0.02757139093033033,0.00024854326562163227,0.00011616113636999517,1.3
14,0.05466713286838073,0.0008391540767922835,0.0007099736838049012,1.4000000000000001
15,0.0988484049797117,0.002647070014180155,0.0034869713652842535,1.5
16,0.16485101325293483,0.007621523946395874,0.014293584920294668,1.6
17,0.2558225023790621,0.01961677724846684,0.04999956485407142,1.7000000000000002
18,0.3718473270748472,0.04472402720424315,0.15015402309560053,1.8
19,0.5091405932354132,0.09036502591696331,0.38696983779907906,1.9000000000000001
20,0.6603327343800692,0.16281931487394172,0.8556413233444845,2.0
21,0.8153011052600503,0.2641420515910866,1.6272567101824087,2.1
22,0.962232850819711,0.3903477846125288,2.678349172177439,2.2
23,1.089543142386075,0.5316989438603781,3.853687358377743,2.3000000000000003
24,1.188535963980292,0.6742649004097923,4.911559377331917,2.4000000000000004
25,1.2552822788116753,0.8022627605244483,5.629696024575085,2.5
26,1.2908068334645102,0.9018392126089201,5.895405524937706,2.6
27,1.3000103299155688,0.9653966390386579,5.728316043130674,2.7
28,1.2897168791874736,0.9933620802889999,5.243802439270074,2.8000000000000003
29,1.266388650364159,0.9920135812994487,4.5925937657071,2.9000000000000004
30,1.2348598287850034,0.969767672419531,3.9077683386760165,3.0
31,1.198661781350825,0.934823316467872,3.2771311235156078,3.1
32,1.1607608009611219,0.8944941602527813,2.7413491087093145,3.2
33,1.1235226758057317,0.8548677156912431,2.3062062012963476,3.3000000000000003
34,1.0883233675403645,0.8200496136776662,1.9595024166866875,3.4000000000000004
35,1.0558327955436213,0.7917638240626288,1.687667635431872,3.5
36,1.0268172917180196,0.7700637054883477,1.4853144297436984,3.6
37,1.002453280181479,0.754542021187115,1.3525748397382937,3.7
38,0.9837640891446404,0.745027762777645,1.285428962430056,3.8000000000000003
39,0.9708921211756639,0.7417682494752805,1.2701324208744806,3.9000000000000004
40,0.9630728611593421,0.7454409173843236,1.286647995147228,4.0
41,0.959377710811209,0.7567438645992608,1.3168023417664354,4.1000000000000005
42,0.9593260319592244,0.7756980595593456,1.3505006713957473,4.2
43,0.962649974467649,0.801545036556783,1.385614359993811,4.3
44,0.9686996607702187,0.8331968311583857,1.421853353726981,4.4
45,0.9763883204290745,0.8691503469348302,1.4549405788411527,4.5
46,0.9846585726198251,0.9068841423565448,1.4776502139277683,4.6000000000000005
47,0.9927778681843997,0.9430012667105075,1.4855840701959235,4.7
48,1.0001412450390033,0.9744478874799911,1.4795540515877765,4.800000000000001
49,1.0059935546346916,0.9995941184119964,1.462057063729344,4.9
50,1.009656913945514,1.0181935092087238,1.4333859799664275,5.0
51,1.011115087836396,1.0307035131288067,1.3921961948216195,5.1000000000000005
52,1.0111667636257762,1.0380063066531113,1.3385403024076385,5.2
53,1.0108410731532167,1.041494489634054,1.2750104531017057,5.300000000000001
54,1.0106574713764196,1.042622102456077,1.2052712200014666,5.4
55,1.010416413848784,1.0421261946119107,1.1323890233494374,5.5
56,1.0095609847092393,1.0400422126963529,1.0588201814446048,5.6000000000000005
57,1.0076678336516103,1.0364143803939083,0.9874537314709482,5.7
58,1.004712631703697,1.0316294998940618,0.9218401252942123,5.800000000000001
59,1.0010754335330607,1.0263242759108582,0.8648279319844052,5.9
60,0.9973110887501773,1.0214170303988177,0.8169192438329257,6.0
61,0.9937986156908554,1.0180385739099294,0.776562390771596,6.1000000000000005
62,0.9906095768747734,1.0170345633402929,0.7423523142906688,6.2
63,0.9877470649308643,1.0185258086531557,0.7144459098241311,6.300000000000001
64,0.9853632880072422,1.021953112687896,0.693395225899076,6.4
65,0.9835975521932018,1.0264171646432063,0.6781020486435917,6.5
66,0.9823431311460642,1.0311155802617131,0.6655691575382515,6.6000000000000005
67,0.9814070377462704,1.0357579854576593,0.652831571073075,6.7
68,0.9808352798047282,1.0406016647674579,0.6391016818896212,6.800000000000001
69,0.9808964653003313,1.0460120282554153,0.62620104490774,6.9
70,0.9817885556271309,1.0520068466284611,0.6169082423101189,7.0
71,0.9834428459186723,1.0582071092966026,0.6126662517529994,7.1000000000000005
72,0.9854949364239393,1.0641688867828218,0.6125591075415316,7.2
73,0.9873756479497025,1.0697190373778471,0.6139577365433997,7.300000000000001
74,0.988582167859195,1.0748606927941367,0.6140292798540862,7.4
75,0.9890075364412991,1.0793196297562575,0.6112597673190046,7.5
76,0.9889679614261445,1.0824154001476554,0.6060594085231165,7.6000000000000005
77,0.9888738581693673,1.0836174291865188,0.6000203878272784,7.7
78,0.9889159402127986,1.083121590281892,0.5947571034645153,7.800000000000001
79,0.98903818701935,1.081603557341706,0.5915318180960666,7.9
80,0.9890942005430504,1.0794707081062571,0.5913316925149694,8.0
81,0.9890049289096066,1.0766429223941814,0.5943889628325117,8.1
82,0.9888470519340918,1.0730437273623483,0.5995109367063008,8.200000000000001
