,Li-Li,Li-P,P-P,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,9.86704664417332e-07,0.0,0.0,0.5
6,6.434122641851446e-06,0.0,0.0,0.6000000000000001
7,3.3416295748758796e-05,9.26406046036273e-08,0.0,0.7000000000000001
8,0.000136019686651129,6.855150322081816e-07,8.14224063899068e-08,0.8
9,0.0004408318379569501,4.752776886565662e-06,1.252191166272743e-06,0.9
10,0.0011616967695426256,2.7758929045556707e-05,1.717821355369661e-05,1.0
11,0.0025970354255857014,0.0001391028030230001,0.00013751954836913258,1.1
12,0.005258130741656235,0.0006031365117117312,0.0007862082036800225,1.2000000000000002
13,0.010333434823141517,0.002294911724029362,0.0035782442495016927,1.3
14,0.020335121445481476,0.007645390518045872,0.013399952912991042,1.4000000000000001
15,0.0392123084832888,0.022185300331106703,0.041770488859237245,1.5
16,0.07144963356312894,0.05597374325257031,0.1091160896026774,1.6
17,0.120427868632121,0.12316739744290461,0.24056637174794154,1.7000000000000002
18,0.1868868477354926,0.2379656685210851,0.4514070243602683,1.8
19,0.2685103322192308,0.4072943980646044,0.7281437076719142,1.9000000000000001
20,0.36115915455457487,0.6237082797694243,1.0215334241605574,2.0
21,0.46055466820520746,0.8634316080496961,1.2635694569612745,2.1
22,0.562545050876164,1.0923820929899943,1.4002570972264057,2.2
23,0.6623791312232332,1.2781119899289264,1.416696673144616,2.3000000000000003
24,0.7549892862015686,1.4011338855095157,1.338014902350916,2.4000000000000004
25,0.8360939257943333,1.4592008588828724,1.2101006460264692,2.5
26,0.9024662053435877,1.4633405847280532,1.0765995591637927,2.6
27,0.9516601332898996,1.4298649793179,0.9654370921573187,2.7
28,0.9826464972473103,1.3737512480934024,0.8874548674273951,2.8000000000000003
29,0.9970271021165638,1.3062154598579805,0.841877300531983,2.9000000000000004
30,0.9990296714998064,1.2356192276297866,0.8223699897023733,3.0
31,0.9935491614073185,1.168773766325956,0.8210285300070586,3.1
32,0.9839844533251316,1.1107643634675564,0.8307161351483823,3.2
33,0.9722136685004178,1.0641403186570568,0.8463901401496672,3.3000000000000003
34,0.9604697656209675,1.0290865903080204,0.8652584362644624,3.4000000000000004
35,0.9520117662546385,1.0046111048356787,0.8859607994058124,3.5
36,0.9490517102757646,0.9895389241294466,0.9075205820964166,3.6
37,0.950760171338026,0.9827036426334502,0.9285464330646316,3.7
38,0.9544228896723463,0.9826098505844383,0.9471126862681873,3.8000000000000003
39,0.9582508158700036,0.9871001885728435,0.9616568659573025,3.9000000000000004
40,0.9622809881012278,0.9934883691502111,0.9721801292599075,4.0
41,0.966907207460187,0.9992408697774384,0.9800962228486473,4.1000000000000005
42,0.971672761673762,1.0027704387091918,0.9866411704525462,4.2
43,0.9758541548229178,1.0036900642749291,0.9919576985898041,4.3
44,0.9796489065223305,1.0024410932488357,0.9958889446941712,4.4
45,0.9842776405035081,0.9998143913659252,0.9987844212766508,4.5
46,0.9910709042847519,0.996751162011168,1.0011034786998585,4.6000000000000005
47,1.0004539865467972,0.9941946191368474,1.0030126829979913,4.7
48,1.0112098071570423,0.992705596304855,1.004861039213299,4.800000000000001
49,1.0203383453606378,0.9921276401285144,1.00739183284384,4.9
50,1.0243807468739774,0.9917147999683866,1.0109482031865935,5.0
51,1.0219691407775677,0.9906709056233864,1.0148727268872644,5.1000000000000005
52,1.0152800689814467,0.988754638935086,1.0180596591927216,5.2
53,1.0084803393289954,0.9865729575187573,1.0198056447278578,5.300000000000001
54,1.0045159813111186,0.9851465150905424,1.0199486834020253,5.4
55,1.0034220703621972,0.9850052424233302,1.018474812940111,5.5
56,1.0032794543427874,0.9858325551703536,1.0153746430178656,5.6000000000000005
57,1.0021488401713576,0.9870763463592686,1.0110250589788703,5.7
58,0.9992283836687177,0.988631758860562,1.006522020465916,5.800000000000001
59,0.9949908683160437,0.9906745112205091,1.0032206109935895,5.9
60,0.9905039631494139,0.9930921228463158,1.0017593150143422,6.0
61,0.9862545434139353,0.9954427997188011,1.0017228603936232,6.1000000000000005
62,0.9818361993301133,0.9973418292451557,1.002309644961378,6.2
63,0.9771271445880619,0.9985585629828035,1.0030480917283235,6.300000000000001
64,0.9732979525517785,0.9989325962351125,1.0038024917021304,6.4
65,0.972077314279666,0.9986142152432473,1.004446839367599,6.5
66,0.974268058401843,0.998283798357378,1.0048498627629898,6.6000000000000005
67,0.9792202762891747,0.9987492353861251,1.0050173993724143,6.7
68,0.9853526615686004,1.0002642923195175,1.0049810189959723,6.800000000000001
69,0.9908825391362666,1.002337681693365,1.0046324959716548,6.9
70,0.9944807421587769,1.0041701637468525,1.0038549858098726,7.0
71,0.9957945481803464,1.0052084044960528,1.0027387932913692,7.1000000000000005
72,0.9955249256941335,1.0053830034568025,1.0015193546147056,7.2
73,0.994893936459002,1.0049951144937852,1.0002992474915968,7.300000000000001
74,0.9948389667790735,1.004406503974132,0.9989564723119645,7.4
75,0.9954548739159794,1.0037915461178633,0.9974042207523593,7.5
76,0.9960292444478162,1.0031250175904918,0.9958528010020653,7.6000000000000005
77,0.9957051407817993,1.0022977539672806,0.9947094694528626,7.7
78,0.9942624395640126,1.0012047381519058,0.9942570546877076,7.800000000000001
79,0.9921337777108747,0.9998801385364163,0.9944948749011276,7.9
80,0.9897015296256022,0.998655499302881,0.9952086419336932,8.0
81,0.9870621071360688,0.9980216103589349,0.9960260645800537,8.1
