,Si-Si,Si-Hg,Hg-Hg,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,5.654233324248885e-07,0.0,0.0,1.0
11,9.776679555461598e-06,0.0,0.0,1.1
12,9.212898817148187e-05,7.851306844528456e-07,0.0,1.2000000000000002
13,0.0005911608516340737,1.2063027762734577e-05,0.0,1.3
14,0.0029063078911333966,9.544651878335218e-05,9.733025013878248e-07,1.4000000000000001
15,0.011667263754494471,0.0005423943474402814,1.0799266523785434e-05,1.5
16,0.038931260204045456,0.0024491895775487172,7.230644063756467e-05,1.6
17,0.10875722194681425,0.009086583580162816,0.00038498409386438653,1.7000000000000002
18,0.2558381958079078,0.028165664926556276,0.0016527187069477584,1.8
19,0.5102772142994793,0.07369185199707641,0.005923862884943415,1.9000000000000001
20,0.8706246650697121,0.1641775537953073,0.018132366849461474,2.0
21,1.2849019544669653,0.31411977973707406,0.04784043678456782,2.1
22,1.6621525476083419,0.5207926026674417,0.1093882556693604,2.2
23,1.9131387884410895,0.7560035296014551,0.21735494076538692,2.3000000000000003
24,1.9921950276144245,0.9734112684179518,0.3767209738826123,2.4000000000000004
25,1.912754237326781,1.1302610052749755,0.573817707577464,2.5
26,1.7317936264913347,1.2076910281375075,0.7775346977638238,2.6
27,1.5181335944129024,1.2143071952706483,0.9530504398453695,2.7
28,1.324309369267043,1.1742090880787635,1.0785117815621512,2.8000000000000003
29,1.174752914865762,1.1128312868052224,1.1518454580498791,2.9000000000000004
30,1.0708524174182679,1.049521654680195,1.1836650767728534,3.0
31,1.0036597348529614,0.9958759399512483,1.1856722701286244,3.1
32,0.9635673836022028,0.9563248221375696,1.1666974626153293,3.2
33,0.9429297872705579,0.929906078402011,1.135615872573779,3.3000000000000003
34,0.9350733146184558,0.9130763167472339,1.101691488163218,3.4000000000000004
35,0.9342427090609876,0.902564211659659,1.071268891559414,3.5
36,0.9366127318276117,0.8968196528203667,1.0468209465573632,3.6
37,0.9402673526036421,0.8955254177319514,1.0292097840405048,3.7
38,0.9442174014037912,0.8983395452993405,1.0192809315804316,3.8000000000000003
39,0.9478379269022279,0.9046142127849605,1.0173829164156407,3.9000000000000004
40,0.9509064065014208,0.9142191027261077,1.0228602269722846,4.0
41,0.9535980831133726,0.9275817360481249,1.0352666325766318,4.1000000000000005
42,0.9562260912065143,0.9441376626944673,1.055699900735403,4.2
43,0.9589924761046241,0.9614438990770642,1.0844649676534561,4.3
44,0.9619581511567067,0.9767132629957322,1.1159045915924124,4.4
45,0.9650500529924065,0.9888048181974854,1.1377661741804888,4.5
46,0.9679439876246381,0.9980739273883802,1.1388692830885898,4.6000000000000005
47,0.9700988188449645,1.0048337551620568,1.118239234206694,4.7
48,0.9710683009913786,1.0087879794225851,1.0860948782977407,4.800000000000001
49,0.9707938586215212,1.0098087022653304,1.0562703869465373,4.9
50,0.9696359980177407,1.0085952484310832,1.0375644536241768,5.0
51,0.9682588543332427,1.0064985162470887,1.0298717262262875,5.1000000000000005
52,0.9674830914766179,1.0050624102194141,1.026044974852097,5.2
53,0.9679270360043297,1.0057226087283067,1.018198262727105,5.300000000000001
54,0.9694423445087902,1.0094445904715112,1.00442182867423,5.4
55,0.9709707398302707,1.0161143940252233,0.9897106695975825,5.5
56,0.9712935552195677,1.0240730307893473,0.9794463132196272,5.6000000000000005
57,0.9700020486870987,1.0306335448918005,0.9721592116847064,5.7
58,0.9676014946315519,1.0337155030111063,0.9599594312414654,5.800000000000001
59,0.9648466299980136,1.0333695343331737,0.9368131283725295,5.9
60,0.9623245930054076,1.0317662837461983,0.9057975070183492,6.0
61,0.9606080947131926,1.031671990909657,0.8775178030839715,6.1000000000000005
62,0.9603047697770853,1.0346835585488254,0.8616963518728175,6.2
63,0.9616072622531813,1.0403059577413507,0.8604404558363875,6.300000000000001
64,0.9639003869443038,1.0462086706294187,0.8683527317567008,6.4
65,0.9661418190496206,1.0495068256109887,0.8777500830053118,6.5
66,0.967729672648929,1.0484636916483467,0.8840604185705497,6.6000000000000005
67,0.968882172798993,1.0435498274505506,0.8874509115042842,6.7
68,0.9702110299239395,1.036908158720128,0.8902110953652241,6.800000000000001
69,0.9721030965376692,1.030632495386971,0.8936555868503555,6.9
70,0.9744455312381822,1.0256046580614882,0.8982986662372552,7.0
71,0.9766683468533888,1.0218652864268445,0.9055805552768972,7.1000000000000005
72,0.9780868623992419,1.0194384482319476,0.9169229287699759,7.2
73,0.9785126977602081,1.0182517507503566,0.9308153408705979,7.300000000000001
74,0.9785610256198645,1.017600489642652,0.9428493333698049,7.4
75,0.9791678290029797,1.0164341697980923,0.9495329090350724,7.5
76,0.9808062414640555,1.0143149040814525,0.9512685145721269,7.6000000000000005
77,0.9832960344786037,1.011674823955469,0.951714604581397,7.7
78,0.9862255712353896,1.0090627321316652,0.9552071718829659,7.800000000000001
79,0.9892768929255431,1.0066794453710872,0.9642615918734337,7.9
80,0.9921858842366924,1.0048537386545269,0.9779008969378458,8.0
81,0.994673236987074,1.0044105723219006,0.9917133608202405,8.1
82,0.9964806887315966,1.0061965842143596,1.0003183708200032,8.200000000000001
83,0.9973313550387103,1.0104760891168438,1.000958921304237,8.3
84,0.9968774576803374,1.0167682145348909,0.9952362723509925,8.4
