,Li-Li,Li-Ca,Li-Si,Ca-Ca,Ca-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,5.747799551466186e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.24873332687472e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.6259647030196013e-05,0.0,2.2003295157956496e-07,0.0,0.0,0.0,0.8
9,0.0001266542153150593,1.9490808167601598e-07,2.019519322790745e-06,0.0,0.0,0.0,0.9
10,0.0005037720905377044,1.6186667383193879e-06,1.440258240434765e-05,0.0,0.0,1.0431191778586784e-06,1.0
11,0.0017083159788870241,1.1062316423220574e-05,8.298460489372876e-05,0.0,0.0,1.2419231595435008e-05,1.1
12,0.0050495286170258126,5.666991519705374e-05,0.0003907962907918447,0.0,0.0,9.792837668339844e-05,1.2000000000000002
13,0.013169436015804104,0.00023857579175306303,0.0015657577217079231,0.0,8.94102152450296e-07,0.0005683828921030754,1.3
14,0.03044138451487809,0.0008504630576472237,0.005427981162119979,2.3276213059656456e-07,7.808756521296995e-06,0.002620453714964034,1.4000000000000001
15,0.06254822422052217,0.0026097012439148686,0.01637034069047557,3.0085333971670887e-06,5.752371219445512e-05,0.010006727604557354,1.5
16,0.11491112182701144,0.006975766870585415,0.04299133992837427,1.958026091669993e-05,0.0003129919412809315,0.0321599479398683,1.6
17,0.1907048615836415,0.016440240570315123,0.09852733167202284,9.838752365003305e-05,0.0013859670729204727,0.08753906485484121,1.7000000000000002
18,0.28979769521226256,0.03458206234135309,0.19813807680204124,0.0004004465511081463,0.005166392734526718,0.20262648382569437,1.8
19,0.40900588938930954,0.06575577124426145,0.35267774413803593,0.0013463876578334384,0.016425605745778584,0.4006387003801476,1.9000000000000001
20,0.5427619498258189,0.11430680242165249,0.5616432870357441,0.0038265779255750713,0.044853033286255665,0.6810051882105892,2.0
21,0.6833086769009888,0.18338666821001323,0.8094693096607946,0.009447919837541084,0.10587412679129292,1.004343751166494,2.1
22,0.820941132207823,0.27389090968475316,1.0676754681661191,0.020836499785942313,0.21785825399825592,1.3014222350531681,2.2
23,0.9454806033215661,0.38417497090932284,1.3022190589211777,0.04192615673989146,0.39504938368928055,1.5058811879418612,2.3000000000000003
24,1.0491049528632164,0.5103439045519809,1.4831946173128085,0.0777565371413503,0.6389237814901618,1.585931688688316,2.4000000000000004
25,1.1285132119834755,0.6464942626054707,1.593133737713944,0.13315254971876572,0.9325771658038124,1.5509601606733947,2.5
26,1.1841006591062169,0.7851878187938549,1.630583734783165,0.21074153917778257,1.2418528169392482,1.4348862676467637,2.6
27,1.2171227613882802,0.9186351934570381,1.607671784019306,0.3099627990505872,1.5241230657454357,1.2764350360139238,2.7
28,1.2286274789538203,1.039717277218986,1.5433692734222861,0.42772184217957443,1.7416652601260618,1.1087422274268168,2.8000000000000003
29,1.221074141895892,1.1419884737659483,1.4563128549716244,0.5592546516177729,1.8729961103170256,0.9556600251800448,2.9000000000000004
30,1.1991959219061294,1.2197077144486332,1.3606778255833742,0.6980115795957356,1.9162143904673206,0.8302141421071972,3.0
31,1.1682838499044188,1.2692441154594096,1.2656735874325689,0.8355257246166826,1.8839423368559327,0.7357791012343077,3.1
32,1.1324230373274642,1.2909482715161347,1.1765844489055897,0.9623660846027285,1.795420404691934,0.6702540499917763,3.2
33,1.0948005844227184,1.2894194862126693,1.0957167566527761,1.0697276950707104,1.6714088631221466,0.630070940934686,3.3000000000000003
34,1.0586647895580836,1.2717791809041639,1.0237793808240498,1.1510896212900081,1.5319884783335258,0.6114738346317751,3.4000000000000004
35,1.0269135580863749,1.2452711629659787,0.9620107387915271,1.2039982109646972,1.394180115257301,0.6099769792889023,3.5
36,1.0005132921535769,1.2153305219372046,0.9130932407352776,1.2312030624703643,1.2691092260730013,0.6206149320980375,3.6
37,0.9779296031826967,1.1847522954973733,0.8795319421376789,1.2394128140189182,1.1612351776872665,0.6397641758318079,3.7
38,0.956898764366009,1.1542030792196059,0.8615349484967088,1.235471580801238,1.070545612107607,0.6663509611103868,3.8000000000000003
39,0.9367471076796059,1.123561060494009,0.856830042642617,1.2227875272293447,0.9957399669105621,0.700434748045167,3.9000000000000004
40,0.9186978978655925,1.0931438962142628,0.8620881039301762,1.2014666130061409,0.9360299971723978,0.7407148982972536,4.0
41,0.9044983945930315,1.0641061849442108,0.8743224301747875,1.1719175491495086,0.8909446999518229,0.7840818819442571,4.1000000000000005
42,0.895668518289773,1.037839799580427,0.8914241919975973,1.1374483485060904,0.8593337216862122,0.8271603561909383,4.2
43,0.8934668074643465,1.015255045154227,0.9118015302796294,1.1025632198927577,0.8393722094465292,0.8673839844312302,4.3
44,0.8980252666865072,0.9969797731979136,0.93358187567503,1.0694484486772455,0.8298129461535061,0.9029585495887177,4.4
45,0.9072105840144512,0.9841441670358502,0.9540395739596885,1.0373670522363292,0.8304922836543228,0.93302424657345,4.5
46,0.9173487398686331,0.978418747731683,0.9699574402154496,1.0055377392688118,0.8407731320896159,0.9581948958821166,4.6000000000000005
47,0.9255613443831019,0.980722425160512,0.979323812227807,0.9758696164542967,0.857654187232726,0.9804756122734314,4.7
