,Li-Li,Li-In,In-In,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,1.162248534691972e-06,0.0,0.0,0.7000000000000001
8,1.0132581220580358e-05,0.0,0.0,0.8
9,6.057023828488622e-05,0.0,0.0,0.9
10,0.00028389967835717604,5.044481487378352e-07,0.0,1.0
11,0.001076127733260336,5.462594526626913e-06,0.0,1.1
12,0.0033845710386440704,3.92931599835966e-05,0.0,1.2000000000000002
13,0.0090199364748279,0.00020952621832351936,0.0,1.3
14,0.02078874494238507,0.0009085117097192938,1.148140662499171e-06,1.4000000000000001
15,0.04218196811396349,0.0032847982574234964,1.2677388781847e-05,1.5
16,0.07652592229434955,0.010086405624531043,8.832559371017689e-05,1.6
17,0.12588169459299844,0.026665318604450663,0.00046195646381440037,1.7000000000000002
18,0.19057530027407282,0.06146498762799644,0.0019544999588706493,1.8
19,0.26979162675434576,0.1250305957642402,0.006871619813865097,1.9000000000000001
20,0.3621160788086144,0.22697078296922105,0.020410789148626058,2.0
21,0.46469987675637797,0.37143152150194403,0.05191412872115206,2.1
22,0.5723435324732846,0.5530123039212967,0.1144518848672836,2.2
23,0.6788227388899833,0.7558153226653886,0.22124697796956522,2.3000000000000003
24,0.7794922429862343,0.9572162206074184,0.37910394799262015,2.4000000000000004
25,0.8715710067132685,1.1349953575161378,0.5817409333388184,2.5
26,0.9516664704623325,1.273890873440287,0.8076538303603991,2.6
27,1.0144604618692072,1.3681113142980625,1.0256236644393992,2.7
28,1.0553601414993703,1.4196679019903544,1.2058936314472335,2.8000000000000003
29,1.0744861136551216,1.4349612430590435,1.3302351248136588,2.9000000000000004
30,1.0771232061099554,1.4217785615845298,1.395085961820817,3.0
31,1.0700030432890348,1.3874039425404474,1.4081013390627746,3.1
32,1.0576858287255524,1.3380784888242068,1.3825975809204694,3.2
33,1.0421235630447787,1.2796898120238025,1.3328928657018453,3.3000000000000003
34,1.0242441517127288,1.2184808932965083,1.2710354549265637,3.4000000000000004
35,1.005014458822088,1.1602620913946287,1.2053952443196472,3.5
36,0.9854490545493744,1.1085946792641574,1.141299687626089,3.6
37,0.9664158335429383,1.0640561379320526,1.0821987920757943,3.7
38,0.9486022068591966,1.025599476087442,1.0300976526819339,3.8000000000000003
39,0.9326078890547832,0.9926776183150531,0.9858098642928177,3.9000000000000004
40,0.9194696881826264,0.9660532621331561,0.949594025534218,4.0
41,0.9108265234923979,0.9467670857962289,0.921779557220456,4.1000000000000005
42,0.9073803401387478,0.9346840407928194,0.9028546826707361,4.2
43,0.9072700276440249,0.9283576964475898,0.8930238045468475,4.3
44,0.9076781981449115,0.9263279103063214,0.8917639117447446,4.4
45,0.9082596240958128,0.928265071464173,0.8978653030598083,4.5
46,0.9114313028066835,0.9346453857177008,0.9096804542038123,4.6000000000000005
47,0.9191107901499731,0.9454263888048667,0.925115055416075,4.7
48,0.9305497849810513,0.9592840477073632,0.941710433429196,4.800000000000001
49,0.9435717450900268,0.9741863592493246,0.9573401544742985,4.9
50,0.9567332709199888,0.9886090763121353,0.9709826779149725,5.0
51,0.9696814871546086,1.0020495334344484,0.982608467402545,5.1000000000000005
52,0.9819338777581825,1.0143320929207238,0.9922659356524496,5.2
53,0.991870453320618,1.024638962288538,0.9996134030022065,5.300000000000001
54,0.9974080401878741,1.0315826392657839,1.0045899619149634,5.4
55,0.9981317964564942,1.0342641966696688,1.0081656396799223,5.5
56,0.9964689979525426,1.0330917092641145,1.0118234062863698,5.6000000000000005
57,0.9958232837971899,1.0295425543232417,1.0162820256489684,5.7
58,0.9973984327334133,1.0251620602118638,1.0209437713946181,5.800000000000001
59,0.9993736454534723,1.0207531861899453,1.0244655772202915,5.9
60,0.9991437829984464,1.0164507053827476,1.025635581661898,6.0
61,0.9958435493627591,1.012355633364301,1.0238411378883012,6.1000000000000005
62,0.990725072101017,1.008760493730769,1.019110860494805,6.2
63,0.9856415346463305,1.0057618131469175,1.0120872988128198,6.300000000000001
64,0.9814696143938685,1.003041359395128,1.0039989327724563,6.4
65,0.9778440416324781,1.0002454098555207,0.9963968852864536,6.5
66,0.974056131457053,0.9974271843622725,0.99071623513455,6.6000000000000005
67,0.9699255572571939,0.9950167043914689,0.9879684855254881,6.7
68,0.9659533470351478,0.99346990934127,0.9884732530224283,6.800000000000001
69,0.9631209857427974,0.9930555953605773,0.9914481619684584,6.9
70,0.9625132835856804,0.9939167078156834,0.9950025468365006,7.0
71,0.9645162724034382,0.9960889536444909,0.9971867877211763,7.1000000000000005
72,0.9681736758602084,0.9992797022330273,0.9973680681460358,7.2
73,0.9717220935967859,1.00273845299613,0.9964224227194414,7.300000000000001
74,0.9739777360976618,1.0055806181585782,0.9955404331625736,7.4
75,0.9749788238760981,1.0072198840867412,0.9951089216495831,7.5
76,0.975383140590935,1.007440483123481,0.9947088635519814,7.6000000000000005
77,0.9757040772050307,1.006356467190904,0.993756163563848,7.7
78,0.9762921217753044,1.004555885554957,0.9920097202986263,7.800000000000001
79,0.9775573885409575,1.0030148815834177,0.9898200216763714,7.9
80,0.9796695080863911,1.0025614037651602,0.9880065033782371,8.0
81,0.9821318435932495,1.0034736119613277,0.9872252150059136,8.1
82,0.9840442994126402,1.0055309798548553,0.9873750665837056,8.200000000000001
83,0.9847972082890531,1.0081298427944256,0.9877619628382234,8.3
84,0.9843801288291579,1.0103538883125314,0.9877819241249726,8.4
85,0.9833081921981139,1.0113592296826932,0.9873096099616575,8.5
86,0.9824708108610336,1.0108739627801506,0.9865992244728056,8.6
87,0.9826833353517974,1.0091774010504901,0.9861084115522003,8.700000000000001
88,0.983905948980721,1.0066564807718335,0.9864150742338907,8.8
89,0.9850911038085345,1.0036577711307382,0.9879757605795045,8.9
90,0.9852254406303194,1.0007144776114663,0.9907131322027679,9.0
91,0.9843493186862855,0.99851943095016,0.9939050478781701,9.1
92,0.9831755042757835,0.9974717807601909,0.9966133975295857,9.200000000000001
93,0.982103072671359,0.9973605997329352,0.9982943950802575,9.3
94,0.9811318757814456,0.9975985535054627,0.9990428489844334,9.4
95,0.9803578646934381,0.9977740271622699,0.9993465862954016,9.5
96,0.9800488694146228,0.9980047104694342,0.9996303615217685,9.600000000000001
97,0.9804706678077573,0.9987544864043338,0.9999746932114844,9.700000000000001
98,0.9817954380527578,1.0002629356146486,1.0002298214618903,9.8
99,0.9837343303708903,1.00211945371859,1.0003101870089801,9.9
100,0.9852473182325605,1.0034211367799268,1.000294944468212,10.0
