,Si-Si,Si-N,N-N,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,5.754635213963285e-06,0.2
3,0.0,0.0,9.507128747336961e-05,0.30000000000000004
4,0.0,0.0,0.0006505377177329603,0.4
5,0.0,0.0,0.0032697192338208324,0.5
6,0.0,7.193294017454105e-06,0.013074304888525831,0.6000000000000001
7,0.0,0.00010189490565615337,0.04202995867510379,0.7000000000000001
8,0.0,0.0007845931977468669,0.10907135498674547,0.8
9,0.0,0.004249350389664701,0.22950476494438105,0.9
10,0.0,0.018269655538616668,0.39378354004822846,1.0
11,2.231714487409583e-06,0.06415081149431008,0.5550811953159245,1.1
12,2.951465805692264e-05,0.1854807091658216,0.6493009245223619,1.2000000000000002
13,0.00020644054506585655,0.44381025197786433,0.6389714698255293,1.3
14,0.0010758579036270369,0.883370126211461,0.5392648775835124,1.4000000000000001
15,0.00448793104989007,1.472018040730228,0.40129685683337346,1.5
16,0.01537078565118286,2.07057492019845,0.2745876111009027,1.6
17,0.04379882838389694,2.4850819172051053,0.1845397252329235,1.7000000000000002
18,0.1051300069427373,2.5807066831423713,0.1346357381165522,1.8
19,0.2153439369506059,2.361587896403729,0.11946888287264043,1.9000000000000001
20,0.3817922327898173,1.9501639537227309,0.13462990044089126,2.0
21,0.5947364163915105,1.4989604340365967,0.1797586286618678,2.1
22,0.8267007671532186,1.115636846108589,0.25701526128929136,2.2
23,1.0416000909927319,0.8423713079737534,0.36762932175764584,2.3000000000000003
24,1.2084217054842554,0.674373806179841,0.5080304824803731,2.4000000000000004
25,1.3115067708982464,0.5867189908974918,0.6674519559084344,2.5
26,1.3526612468211268,0.5530431474639284,0.8292742475326101,2.6
27,1.3460463891914811,0.5537444348234397,0.9759370117213552,2.7
28,1.310313990728229,0.5766973640061803,1.094276724589474,2.8000000000000003
29,1.2619036375805994,0.6143968833089265,1.1780018546361195,2.9000000000000004
30,1.2111192158946151,0.661242733707618,1.2263452706766087,3.0
31,1.1613291406247688,0.7128256822288215,1.2411906404416873,3.1
32,1.111110610054636,0.7662350432350379,1.226382108208279,3.2
33,1.0579958303514692,0.8196787194644652,1.1893046455092788,3.3000000000000003
34,1.0018108383709792,0.8713494661671368,1.1406338535669707,3.4000000000000004
35,0.9461112324269593,0.9190769045691192,1.0906718110616367,3.5
36,0.8970473916515291,0.9614315085399433,1.0460967944819062,3.6
37,0.8603234366459803,0.9986502779937859,1.0099980281852554,3.7
38,0.8387046011633253,1.031640539932383,0.9833118649642517,3.8000000000000003
39,0.8317260189636005,1.060136955629373,0.9654669006673097,3.9000000000000004
40,0.8367850001306539,1.0824560895972586,0.9547042529249642,4.0
41,0.8503047207799672,1.096887315269123,0.948894311167324,4.1000000000000005
42,0.8688029770603009,1.1027067800098733,0.9464045053497174,4.2
43,0.8898133078733803,1.1001525423672547,0.946361599259101,4.3
44,0.9120002533818948,1.0904384328898156,0.9482977155670348,4.4
45,0.9344322622314765,1.0760470701755065,0.9516022524721144,4.5
46,0.9559061356771644,1.0602784194185026,0.9553228068370989,4.6000000000000005
47,0.9750308959529976,1.0458393475573284,0.9586255103487153,4.7
48,0.9908752402229507,1.0337059782226388,0.9615358398864938,4.800000000000001
49,1.0033443009470882,1.0232886906143828,0.9649907264445309,4.9
50,1.0127428415034425,1.013586204729069,0.9699791140381117,5.0
51,1.019164134430966,1.0043287497557816,0.9767057713135509,5.1000000000000005
52,1.0226784913661437,0.9963422910414024,0.9844931124889719,5.2
53,1.0239453108513403,0.9908700168603904,0.9921819898956571,5.300000000000001
54,1.0239475816691923,0.9884355396621228,0.9985958580690887,5.4
55,1.0228978743171198,0.9884635711806321,1.0029946004358774,5.5
56,1.0197710171799226,0.9899431296523317,1.0054813146522323,5.6000000000000005
57,1.0131964995702725,0.9920458768229583,1.0068801875974631,5.7
58,1.0028014531971245,0.994139218880132,1.0076891672694068,5.800000000000001
59,0.9898215674793628,0.9958169011479889,1.0071411581461869,5.9
60,0.9768095006765322,0.997067563285049,1.003985785168951,6.0
61,0.9668750606823712,0.9981109446306863,0.9983944091588289,6.1000000000000005
62,0.9624713198528037,0.9990961478116448,0.9924204184819224,6.2
63,0.9640360943940337,1.0000697296525491,0.9882681528039026,6.300000000000001
64,0.9696561253538587,1.000924332893347,0.9865966105941881,6.4
65,0.9762853457227146,1.0012204716837063,0.9867456107196724,6.5
66,0.9814254525285618,1.0004893355405786,0.9880006667124959,6.6000000000000005
67,0.9841118195614897,0.9990241118968208,0.9900744115732446,6.7
68,0.9849907773015264,0.9980199063931067,0.992540029225783,6.800000000000001
69,0.98543906965438,0.9985068870641517,0.9943496426937937,6.9
70,0.9860826478425889,1.0002934671505457,0.9942640730926244,7.0
71,0.9862510678694458,1.0022314146549556,0.9918658654915439,7.1000000000000005
72,0.9851074847267449,1.003354056309779,0.988060535069345,7.2
73,0.9829267558827616,1.0035408875794065,0.9844425524584818,7.300000000000001
74,0.9808788026003511,1.0032618931660529,0.9822369642572323,7.4
75,0.9797750981779149,1.0030336714561037,0.9818918191731129,7.5
76,0.9792807280449655,1.0031860828411847,0.9832974881040815,7.6000000000000005
77,0.9784006658661266,1.003932115238333,0.9859872472833525,7.7
78,0.9767472989315336,1.005426024063639,0.9892734277839762,7.800000000000001
79,0.9752177133367171,1.0076831695381718,0.9925373072108116,7.9
80,0.9751659148340553,1.010448514586629,0.9954338929650659,8.0
81,0.9769282582304295,1.0131343866211622,0.9977770963284993,8.1
82,0.9794668153479115,1.0149003162582924,0.9994327749143923,8.200000000000001
