,Li-Li,Li-Mn,Mn-Mn,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,3.4035951832146775e-07,0.0,0.0,0.4
5,4.829517149203852e-06,0.0,0.0,0.5
6,3.429255336074777e-05,6.251501356924918e-08,0.0,0.6000000000000001
7,0.00018517734143641887,5.710216645843611e-07,0.0,0.7000000000000001
8,0.0008073140398090582,4.379975387743685e-06,5.743566871674769e-07,0.8
9,0.002913455910432621,2.5570965248916143e-05,9.172184927174337e-06,0.9
10,0.008907132665763848,0.00012176040728953216,7.721206006457599e-05,1.0
11,0.02346751718534694,0.0004940628596294818,0.00045917032280891465,1.1
12,0.054053505685949375,0.0017307474141058476,0.002149172107024917,1.2000000000000002
13,0.1101143427863113,0.005289653184918805,0.0082706064118246,1.3
14,0.20036184868824752,0.014214529520603127,0.026615445094948054,1.4000000000000001
15,0.3289844563398718,0.033862789004640285,0.0723489201709144,1.5
16,0.493327012571158,0.07206481423380096,0.16759974290035062,1.6
17,0.6845340371127205,0.13792043143220442,0.33397218680379187,1.7000000000000002
18,0.889717269339214,0.23873233949054468,0.5784902037766411,1.8
19,1.0937492726050653,0.37584070703598366,0.8814017074893894,1.9000000000000001
20,1.280996320897863,0.541618603244375,1.1969324679569202,2.0
21,1.4378770597706232,0.7197808057476839,1.4696645384016138,2.1
22,1.5552238976619779,0.8891627111079242,1.656627185887269,2.2
23,1.6286313570655542,1.0292876642391269,1.7411220003704526,2.3000000000000003
24,1.6568989291033747,1.12567836510485,1.7321396290125377,2.4000000000000004
25,1.6412657594195355,1.1731353993350626,1.6540786856830187,2.5
26,1.5871935907821448,1.175777365766527,1.535281065804246,2.6
27,1.5059059287010557,1.144163515302144,1.400281424366125,2.7
28,1.4120252021958715,1.0912877829357108,1.2664544744045199,2.8000000000000003
29,1.3185467955951493,1.0293078869682795,1.144286328675837,2.9000000000000004
30,1.2335969273776712,0.9678819574616392,1.0396505082808165,3.0
31,1.160725858572984,0.9138118692077101,0.9557863434055549,3.1
32,1.1007436569864102,0.8712445081670767,0.8939551152071931,3.2
33,1.0529845653049041,0.8420444365652437,0.8537933728427954,3.3000000000000003
34,1.0160149002834804,0.8262633422256588,0.8341617538177848,3.4000000000000004
35,0.988456222678236,0.8226912803363624,0.8336698642063958,3.5
36,0.9695869153502615,0.8294930513787581,0.8501484084726717,3.6
37,0.9591713073620253,0.8448183785474568,0.8798673019446637,3.7
38,0.9569702005870376,0.8671234869442153,0.9177134919425016,3.8000000000000003
39,0.9625301333353767,0.8950640077639906,0.9583388967310703,3.9000000000000004
40,0.9747280136109957,0.9271117969456467,0.9972524978336023,4.0
41,0.9909494026220228,0.9611329708176215,1.0311372539500765,4.1000000000000005
42,1.0072161779695228,0.9941964519936541,1.057668516408546,4.2
43,1.0198488869550817,1.0229764151968055,1.075365183576487,4.3
44,1.0270639039804943,1.0447463512297845,1.0835283392169588,4.4
45,1.0287607253571773,1.0582938035312268,1.08224389197991,4.5
46,1.0253817695715348,1.0641001047544518,1.0725485696584034,4.6000000000000005
47,1.0177958197190329,1.0638099028622496,1.0565575245867944,4.7
48,1.0078051240523422,1.059451902947924,1.0371377662352947,4.800000000000001
49,0.9975672184370613,1.0527961020211276,1.0171241875169106,4.9
50,0.9881585449090039,1.0450983848161224,0.9985653400427423,5.0
51,0.978927834260085,1.0371927823364733,0.982501307441612,5.1000000000000005
52,0.9684402284015778,1.0296168346163703,0.9693868780613303,5.2
53,0.9563491586291757,1.0226821963891826,0.9596855427555377,5.300000000000001
54,0.9443329122866376,1.0167303519235038,0.9538755738921051,5.4
55,0.9346303371688977,1.0123919876854697,0.9517916780231256,5.5
56,0.9276802547531807,1.0103264683815352,0.9522460661118962,5.6000000000000005
57,0.9220444889791869,1.0106270417771603,0.9536505577897114,5.7
58,0.9166710791453154,1.0127436128964395,0.955110965039842,5.800000000000001
59,0.9122780860128603,1.0161116454981258,0.95687478290086,5.9
60,0.9102497083587524,1.0206919345201357,0.9597117573817586,6.0
61,0.9109435096675004,1.0267456314518189,0.9639187053908259,6.1000000000000005
62,0.9134952369584034,1.0341748380145497,0.9689607107344153,6.2
63,0.9167845840653673,1.0422309488333668,0.9739460904064373,6.300000000000001
64,0.9201878957789601,1.0498515800686083,0.9782339976672875,6.4
65,0.9236047716345152,1.0561613628675943,0.9815571929469309,6.5
66,0.9269598393047638,1.060648647313206,0.9837810628976951,6.6000000000000005
67,0.929784444572816,1.0630950201268097,0.9847980376324018,6.7
68,0.9314649632565697,1.063556118211424,0.9846970098712238,6.800000000000001
69,0.9317710149198726,1.0623294506401781,0.9838127639331095,6.9
70,0.9308673309537631,1.059753124575343,0.9824370595868334,7.0
71,0.9290510808972196,1.056058684707597,0.9805510264227236,7.1000000000000005
72,0.9268625662817301,1.051505308323673,0.9779579496627705,7.2
73,0.9252664484449018,1.0465905931207904,0.9746417040490134,7.300000000000001
74,0.925248600055308,1.0419833721341303,0.9709410402202718,7.4
75,0.927075371609607,1.0381683345008252,0.967421912596309,7.5
76,0.9299573152965309,1.035196464596618,0.9646090748637196,7.6000000000000005
77,0.9324883113918042,1.0328301753601297,0.9628062800579583,7.7
78,0.9335650043622705,1.0309056086533566,0.9621103725809489,7.800000000000001
79,0.9330874741111093,1.0294874978311837,0.962485015040514,7.9
80,0.9319002812326186,1.0287165657350537,0.9637609410269754,8.0
81,0.9311999857970232,1.0286586590328888,0.9656507231261061,8.1
