,Li-Li,Li-Nb,Li-Si,Nb-Nb,Nb-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,1.3131497010779662e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.3138408859289973e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,8.840289102141438e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00045123928731647344,3.339671385094482e-07,1.113223795031494e-06,0.0,0.0,0.0,0.9
10,0.0018772877046286183,4.858753275388527e-06,1.4209907974973478e-05,0.0,0.0,0.0,1.0
11,0.006524403337407867,3.593880488655786e-05,0.00010732138946240286,0.0,2.673587341529931e-07,1.0694349366119724e-06,1.1
12,0.019287387334534195,0.0001990961979963733,0.0005837760803884157,1.1260258686743563e-06,2.5477021375623475e-06,1.823385046935193e-05,1.2000000000000002
13,0.049261435335742905,0.0008783485809991016,0.002545497140587131,1.099024907298799e-05,2.3071617093783096e-05,0.0001418155794599929,1.3
14,0.11005470599863794,0.00320376314868724,0.009152804117607504,7.170987088561135e-05,0.0001563249800328766,0.0007864734566268441,1.4000000000000001
15,0.21724694248431434,0.009821653771967163,0.027529813263117386,0.00035933681733703207,0.0008232053531039213,0.0034402220886916063,1.5
16,0.382003576722627,0.025652216250627996,0.07001808130036977,0.0014644994405658585,0.003577548107335027,0.012315271531835328,1.6
17,0.6028248645967685,0.05776350068976964,0.15236860178380926,0.0049959258400934506,0.013097989997334466,0.0364528888768945,1.7000000000000002
18,0.8611172108105971,0.11349268213108449,0.28757326100187786,0.014543985852871439,0.04062012576365958,0.09012361166515831,1.8
19,1.125689704098498,0.19706805094002955,0.47787347636991434,0.036804224228601044,0.1070718836568827,0.18822079894256774,1.9000000000000001
20,1.363607315929604,0.30675717296324967,0.7101490568091783,0.0823768359008249,0.2411986381013873,0.33661547157115385,2.0
21,1.5490343953037966,0.4349289381118637,0.9577925623919267,0.1655012099962152,0.4681077681351294,0.5237300956272084,2.1
22,1.6666490848975255,0.5711085191065124,1.1882035716824484,0.30162792114652603,0.7907890685801647,0.7208230154076457,2.2
23,1.7135244110867738,0.705337842169009,1.3731449893725658,0.5013885927568942,1.1766179417240443,0.8910542920456512,2.3000000000000003
24,1.7004231270933534,0.8294330178076176,1.497430196795098,0.7611940336720867,1.5615794065238444,1.001897303586587,2.4000000000000004
25,1.6477287608964573,0.9366806649071249,1.5603038970758512,1.0556291650553284,1.87317708200434,1.03725887113127,2.5
26,1.5755024697681383,1.0218754248024133,1.5692025594703443,1.3403183042729878,2.058815217019871,1.0051031523635803,2.6
27,1.4956835348797384,1.0819846009146805,1.5335244769375034,1.5682417632963703,2.102646637914798,0.9330506948425129,2.7
28,1.4133120731061235,1.1164092471415958,1.463811835161603,1.7101808807208385,2.023346207069874,0.8522600772998609,2.8000000000000003
29,1.333142924624828,1.1266821004182392,1.3729452750629976,1.7644956847016329,1.8587964466759244,0.7830072846916711,2.9000000000000004
30,1.262098417858015,1.1162585371237255,1.2750830418694532,1.749931058099696,1.649430666204409,0.7325798288777651,3.0
31,1.2046865281327532,1.0903977705583656,1.1827873385798409,1.6892822231837372,1.4279489903529554,0.7012132554463496,3.1
32,1.1584923959331876,1.0553503033279994,1.103917597584333,1.597753787784316,1.2167441759234863,0.6866403243613844,3.2
33,1.116643494945244,1.0168176222413927,1.0402090977841962,1.482561829811772,1.0303928107372602,0.6853767004336936,3.3000000000000003
34,1.0747077337333684,0.9789000147028104,0.9894988277609168,1.348982084601868,0.8788886625991923,0.6942971863162382,3.4000000000000004
35,1.0343383805060025,0.9442988357664759,0.9495595269547737,1.2050734312744975,0.7683916949465296,0.7127865710741998,3.5
36,1.0005356269173529,0.915122585144678,0.9194157433653919,1.0622712143348987,0.6999062171224089,0.7424079399261658,3.6
37,0.976314141546785,0.8932720263171724,0.898429628138601,0.9330928850395329,0.6687559056772294,0.7834550830458903,3.7
38,0.9603580598956766,0.8801588341345528,0.8860236702882182,0.8277724078437404,0.6664896876426017,0.832188423281525,3.8000000000000003
39,0.9492223211005425,0.8760899581284,0.8819206665284074,0.7518444901167252,0.683970548563035,0.8821664110698975,3.9000000000000004
40,0.9404866498369859,0.879933931969788,0.885684802311912,0.7061955990030032,0.7136490926144143,0.9285732393148652,4.0
41,0.933594425618117,0.8897202728035318,0.8964495626625943,0.6888631564329355,0.7505268786914769,0.9707570093089192,4.1000000000000005
42,0.929204180412908,0.903908174177335,0.9134166499106517,0.6966018556730035,0.7921977968409657,1.0102532298991966,4.2
43,0.9286312990329354,0.921943758568105,0.935965900194179,0.7253639699910552,0.8378010374521869,1.0470014398822798,4.3
44,0.9327667512983137,0.9435300569457797,0.9628204799686996,0.7702070724671239,0.8861841661538667,1.0784949498657492,4.4
45,0.9405281168249461,0.9678474706350402,0.9915671294841308,0.8252267679288642,0.9348200193116506,1.1023711760500094,4.5
46,0.9490973420629389,0.9936131803285778,1.0193727445304002,0.883911719570703,0.980521833804534,1.1184502993245569,4.6000000000000005
47,0.9565110248930331,1.0192291439785193,1.0438630092407133,0.9401040982119262,1.0209783788260882,1.1277043093070818,4.7
48,0.9634503690367533,1.0426830838141827,1.0631679821618727,0.9891569159869131,1.0553576545664711,1.1305209803885339,4.800000000000001
49,0.971655364749447,1.062018204933919,1.0758099208763123,1.0285286495816919,1.0834386307785067,1.1270115009435644,4.9
50,0.9809336862498532,1.0761791132642593,1.0812670164848606,1.0577594095706606,1.1043649882953164,1.1180156217665422,5.0
51,0.9885787568877605,1.0850508919644233,1.0805925081705843,1.0781388921465709,1.1165049469534194,1.104687729336705,5.1000000000000005
52,0.9915450888298202,1.0888679554614618,1.0759529462173911,1.0918717337037984,1.1187153119294206,1.0877344426483508,5.2
53,0.9883853470147428,1.0880515932557293,1.0692118204504186,1.100677398381491,1.111537152776679,1.0678874806900875,5.300000000000001
54,0.9795892112839558,1.0833828854002823,1.0609852262679016,1.1047332005328587,1.0968258881722694,1.0468951682417684,5.4
55,0.9673643049027065,1.0758439682688787,1.0511229241886655,1.1029343487433978,1.076431458569994,1.0273882397132876,5.5
56,0.9550359511248607,1.0663131016118053,1.0397623971541543,1.0941547360009996,1.0518080261994076,1.0114191593674033,5.6000000000000005
57,0.945434146515411,1.055516691098383,1.0276284425781805,1.0783882623941983,1.0248550652046446,0.9989683272976971,5.7
58,0.9393492667061297,1.044147793159453,1.0156450899760714,1.0570840430103083,0.9984127126289493,0.9879251611274366,5.800000000000001
59,0.9354842571379784,1.0329201676409052,1.0045699121674905,1.0326655431512306,0.9754108448878692,0.975668243882211,5.9
