,Li-Li,Li-Bi,Bi-Bi,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,2.7218839334954567e-07,0.0,0.0,0.5
6,2.0095843331350044e-06,0.0,0.0,0.6000000000000001
7,1.1157363793702699e-05,0.0,0.0,0.7000000000000001
8,4.85889972016757e-05,0.0,0.0,0.8
9,0.00017229424029142502,0.0,0.0,0.9
10,0.0005089740249237007,0.0,0.0,1.0
11,0.0013043396881732966,2.229909067399671e-07,0.0,1.1
12,0.0030392979913711703,6.384691054983826e-06,0.0,1.2000000000000002
13,0.006707047534044645,5.696852400745243e-05,0.0,1.3
14,0.014237642314768395,0.00035073360972836794,0.0,1.4000000000000001
15,0.028841451573564138,0.0016805355284150113,0.0,1.5
16,0.05495581976645207,0.006569691091077379,0.0,1.6
17,0.09770754738343557,0.021393818626882468,3.6063873365241407e-06,1.7000000000000002
18,0.16195505633742158,0.05880385471098367,3.685383077345077e-05,1.8
19,0.25081598002780187,0.13799051025254455,0.00023074549922579246,1.9000000000000001
20,0.3637747103995218,0.2794813053440991,0.0010993789633598349,2.0
21,0.49531429948224015,0.4939788070366968,0.0042146496788163625,2.1
22,0.6353046226927817,0.7708209047219138,0.013179944389477522,2.2
23,0.77131529023459,1.0753893066343843,0.034014452850442495,2.3000000000000003
24,0.8918547469220599,1.3600878582755855,0.07324462453025338,2.4000000000000004
25,0.9891607651640807,1.5831498589237396,0.13331702353715025,2.5
26,1.0602719742486901,1.7232120168602738,0.20839359108231637,2.6
27,1.1061605002430428,1.7814192884345732,0.28541025283324895,2.7
28,1.1302030728735877,1.7728140639594363,0.3514176375037649,2.8000000000000003
29,1.1370657351749351,1.7158412148900888,0.40150658990021393,2.9000000000000004
30,1.1316843468992825,1.6270149915160805,0.439776051289219,3.0
31,1.1182450873671597,1.520365201377809,0.4722980079143331,3.1
32,1.0998327068784404,1.4075776963377522,0.49972712656546436,3.2
33,1.07876741140674,1.2975369551891491,0.5178259862744026,3.3000000000000003
34,1.056842192370814,1.1966534525818477,0.5250645573177536,3.4000000000000004
35,1.035282558683283,1.1098327723950403,0.5284871082474257,3.5
36,1.0150172197880298,1.0404250193596918,0.5407632664381007,3.6
37,0.9972395754450396,0.9891293426123982,0.5702406240086207,3.7
38,0.9833204172225866,0.9536193261793078,0.6135849986208023,3.8000000000000003
39,0.9739368444276403,0.929852160505565,0.6590432012823035,3.9000000000000004
40,0.9686715452899546,0.9140769905120913,0.6975390884597845,4.0
41,0.9666665542629136,0.9040938718244722,0.7305336257820487,4.1000000000000005
42,0.9672484296011045,0.8991354925245724,0.7678749003570307,4.2
43,0.9697795252664082,0.898911552439604,0.81906478422006,4.3
44,0.9734487467784017,0.9028869432785587,0.8849396216021354,4.4
45,0.9776700874452016,0.9102159042053144,0.9547805435653154,4.5
46,0.9824538080442347,0.9198405622365698,1.0120313324280898,4.6000000000000005
47,0.9879551706216512,0.9304751680001936,1.046163205797905,4.7
48,0.9937161983009775,0.9408961921552829,1.059995572295691,4.800000000000001
49,0.9987499351086737,0.9505460550331248,1.0648038654601424,4.9
50,1.00248416217303,0.9596432622439528,1.0695746238343589,5.0
51,1.0053972152139006,0.9683909677610089,1.0758471739322077,5.1000000000000005
52,1.0084486907936199,0.9761979604870947,1.0809790627479392,5.2
53,1.0118113580454149,0.9820947023797201,1.084172764938437,5.300000000000001
54,1.0143734640766389,0.985967399767051,1.0881766797470986,5.4
55,1.0146675945901147,0.9888852918823143,1.0949066207617464,5.5
56,1.0121694257574667,0.991876565937722,1.1018061791453235,5.6000000000000005
57,1.0076239898344874,0.9946885182960241,1.1050019852464483,5.7
58,1.0023366883028524,0.9961678537784476,1.104366179652211,5.800000000000001
59,0.9974090111865341,0.9957719481827227,1.1025873096399328,5.9
60,0.9935222430265856,0.9943074874666354,1.1005761758703374,6.0
61,0.9910675968181148,0.993133329170511,1.0965785604328733,6.1000000000000005
62,0.9902086012314344,0.9930584418818513,1.0891222584716103,6.2
63,0.9908607502124678,0.9941074993436678,1.0786309077627434,6.300000000000001
64,0.9927149689295186,0.9958707269467904,1.0663121850796435,6.4
65,0.9952281859567614,0.9977381616237136,1.0529893651632618,6.5
66,0.9976405104644455,0.999123268415016,1.0394289695490295,6.6000000000000005
67,0.9992324896665958,0.9998854947431045,1.026945570033917,6.7
68,0.9997172313790514,1.0005227030554797,1.0167782313605622,6.800000000000001
69,0.9993840693259471,1.0017315372459654,1.0086144207220642,6.9
70,0.9988339589210027,1.0036651577629419,1.0004806219696676,7.0
71,0.9985049519421282,1.0056654553028683,0.9909285944296202,7.1000000000000005
72,0.9983677824664574,1.0067546242840193,0.9811422754238549,7.2
73,0.998049039250862,1.0063650186908686,0.9743417224866596,7.300000000000001
74,0.9971772102151923,1.0046932156830717,0.9731987884121888,7.4
75,0.9955741390747245,1.0025746146563195,0.977453180971756,7.5
76,0.9932565950921398,1.0010347290170771,0.9832718096226779,7.6000000000000005
77,0.9904376388247549,1.000824828273176,0.9854118176892291,7.7
78,0.9874753721851516,1.0022098135336421,0.9811571617703426,7.800000000000001
79,0.98473521709343,1.0049412403394604,0.9722211553334141,7.9
80,0.982539631689804,1.0082894105394118,0.962287995763329,8.0
81,0.9812394282063868,1.0113091275604909,0.9530870067055586,8.1
82,0.9812110840762123,1.0133676541040808,0.9437419844372829,8.200000000000001
83,0.9826705762768676,1.0143866073178092,0.9339262709218283,8.3
