,Li-Li,Li-Si,Li-Br,Si-Si,Si-Br,Br-Br,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.7852410775630035e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,1.7028836690617061e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.110120768960588e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,5.6867310761509824e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00023775769725996025,1.565946758346787e-06,6.263787033387147e-07,0.0,0.0,0.0,0.9
10,0.0008405446745239548,1.3982577339598523e-05,1.0789074272146396e-05,1.6761430117119308e-06,0.0,0.0,1.0
11,0.002563254721850625,9.048974142678907e-05,8.075924002878543e-05,2.2964625084379212e-05,0.0,0.0,1.1
12,0.006858771408697464,0.000456277659859477,0.0004492549960386487,0.00016249417790606153,1.3576758394866643e-06,0.0,1.2000000000000002
13,0.016279632754610116,0.0018733841053733644,0.001983822223104589,0.0009123533492241817,1.1316062590544243e-05,0.0,1.3
14,0.034538045776329636,0.006477362330876736,0.007203462781138017,0.0040412714275165455,6.6630431386635e-05,0.0,1.4000000000000001
15,0.0659478269515845,0.01921179231665481,0.021883882566344146,0.014852077529128552,0.0002990437169269429,0.0,1.5
16,0.11428688790214993,0.04949458582229056,0.05642377151308235,0.04607939953438172,0.0010808845521680028,0.0,1.6
17,0.18172396075143715,0.11165605404699537,0.12508619318768108,0.12166970070680187,0.0031828759646197104,0.0,1.7000000000000002
18,0.26849697076453044,0.2219521089437565,0.24145115754420832,0.2744644426885195,0.007721721141048729,3.213433939613406e-06,1.8
19,0.37311973256972325,0.39143812940240574,0.4108424153708176,0.5304023774873761,0.015649993416769682,4.1812890065541736e-05,1.9000000000000001
20,0.49222523427331644,0.6177712345411017,0.6240003968306645,0.8819775448800625,0.027003235060108505,0.00025628375731406096,2.0
21,0.6199872258199947,0.8815353643239675,0.8569804644171841,1.2722500590602819,0.040804592002207735,0.0012277891220369812,2.1
22,0.7482840007545188,1.1504668024810338,1.0780189006140022,1.6120753823771792,0.05622533175694206,0.004686922719387657,2.2
23,0.8683158690301797,1.3895270108177298,1.2570635494406317,1.8230543839881428,0.07398973494912627,0.014433240533975386,2.3000000000000003
24,0.9727937545178412,1.571001857179029,1.3737870038582545,1.8719060897302604,0.09614783094712674,0.03628180466222456,2.4000000000000004
25,1.057248183967104,1.6799512856319192,1.4226530661663452,1.7749881073019738,0.12424377563341743,0.07563088983646127,2.5
26,1.1199564512913898,1.7148381115238303,1.4133063657527298,1.5814502082874786,0.15821363892159157,0.13379046230408703,2.6
27,1.161132533318061,1.6857081572540933,1.3644482438381025,1.350631284967032,0.19760393244632976,0.20713804331498756,2.7
28,1.1822476865815394,1.6109617954252935,1.2947058663280768,1.1309903523038598,0.2434633907431975,0.2908944615181845,2.8000000000000003
29,1.185864303550344,1.5122004031804572,1.217580137736333,0.9475873568401899,0.29779473545005564,0.38313308028412396,2.9000000000000004
30,1.1756864827005316,1.4078946945731636,1.1421246475789084,0.8044812432261921,0.3605206418756837,0.48387519474236107,3.0
31,1.156127507412197,1.3089074601807056,1.0747793552650329,0.696787450628228,0.4278912995302766,0.5904345362617583,3.1
32,1.131264492043605,1.2186298777481728,1.0195460423972904,0.6196069109402152,0.494869639287883,0.694803724716061,3.2
33,1.1040776894694413,1.1370761640800429,0.97789019321473,0.5695957094081475,0.5587129801748097,0.7872908493314967,3.3000000000000003
34,1.0765222560273682,1.0651152589897648,0.9493917726817687,0.5439015852848772,0.6199215521832611,0.8631307400570548,3.4000000000000004
35,1.0498657043304598,1.0053563044953715,0.9321500323610861,0.539589404926669,0.6806689977321303,0.9241911168030124,3.5
36,1.0249302747507543,0.959822656322649,0.9227600884674494,0.5533620547324045,0.7428426496361967,0.9731994069282875,3.6
37,1.002504379604576,0.9278217601358381,0.9172051129872524,0.5817826036442317,0.8071588566219534,1.0079931271545808,3.7
38,0.9836937139932802,0.906520239585018,0.9129712404874405,0.6214272363179899,0.8734054490125985,1.0232635662534817,3.8000000000000003
39,0.969555538388122,0.893311624807578,0.910526488716553,0.6681689468279948,0.9400388558515348,1.0175881928934731,3.9000000000000004
40,0.9603141428610827,0.8875188938101596,0.9123248944197331,0.7180312290193459,1.0024551535018587,0.9974917131610918,4.0
41,0.9552705428488557,0.8899411324419714,0.9199446102183234,0.7699790364797712,1.0533951729275077,0.9741939357106609,4.1000000000000005
42,0.9536071106959031,0.9006585953761362,0.9322145825006107,0.8257378864159552,1.088392008253262,0.957169085555169,4.2
43,0.9549725022685869,0.9172800582739441,0.94611966152875,0.8853145633956575,1.111256145920845,0.9510988935901914,4.3
44,0.9591332024550357,0.935663452458654,0.9591424144673889,0.9444581064567936,1.1313784364164665,0.9569592403872341,4.4
45,0.9654414264695438,0.9524465026109438,0.970721707348574,0.9975837687463684,1.1549197716577915,0.9722320228034859,4.5
46,0.9730121815954009,0.9667029036544569,0.9820357877216814,1.0415034884664636,1.1804685869468898,0.9888378110774066,4.6000000000000005
47,0.9812228292119226,0.9793169797355141,0.9945639897437906,1.0755667826947286,1.2021933403120604,0.9944078477427126,4.7
48,0.9895497822767558,0.9911689068396035,1.0085014595786883,1.0997965713683713,1.2140426638275423,0.9807098892698116,4.800000000000001
