,Li-Li,Li-Si,Li-Tc,Si-Si,Si-Tc,Tc-Tc,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,3.9920284570907195e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,5.356814484897384e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.4474366661970163e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00017736861460232434,0.0,0.0,0.0,0.0,0.0,0.8
9,0.0007278120800980168,1.5173852111121648e-06,1.1672193931632035e-07,0.0,0.0,0.0,0.9
10,0.0024719423865521076,1.322621330862922e-05,2.635158234901239e-06,0.0,2.0822617569392955e-07,2.0822617569392955e-07,1.0
11,0.007089271716979256,8.365405787493306e-05,1.991667773556271e-05,2.803266520422431e-06,3.7873028788509668e-06,3.2266495747664803e-06,1.1
12,0.017531558204619876,0.00041289204567360204,0.00011573792870502844,3.0423344492221848e-05,3.909814927765821e-05,2.9033028804648694e-05,1.2000000000000002
13,0.03811527655165071,0.0016647122315919848,0.0005297920882414141,0.00020383899792788128,0.00027078296646783595,0.00018801149827196993,1.3
14,0.07409388988245799,0.0056488346734947055,0.002001320250567051,0.001034782742015129,0.0014244973297162906,0.0009510005165596343,1.4000000000000001
15,0.1306577447631761,0.016475791978684397,0.006381190005091214,0.004224720980732582,0.006090574421227917,0.003954179111564942,1.5
16,0.2117910398103532,0.04191763588234538,0.01745779347791634,0.01424474100374718,0.021690161931774327,0.013822101401550142,1.6
17,0.3194833810068359,0.09389991766785014,0.04156161196320096,0.04021992565482579,0.06502059598478495,0.041032482472820216,1.7000000000000002
18,0.45306743253457893,0.18631328152900567,0.087114663135179,0.09614108808196868,0.16513763898958567,0.10405679548472022,1.8
19,0.6080507665227388,0.3291967482422277,0.16245410754406575,0.19661603011523607,0.3575595218455252,0.22666254607327585,1.9000000000000001
20,0.7749776956385235,0.5214330565789153,0.2723094724850727,0.3478494104016631,0.6648216386438472,0.4268553518449465,2.0
21,0.9399025794717325,0.746820282056277,0.414593563900185,0.5391086185880369,1.0707317961150995,0.7008025249748303,2.1
22,1.0873942025765806,0.9769986958037388,0.5794527838569014,0.7427064031953099,1.5095241666800265,1.013912606642622,2.2
23,1.2050668330004168,1.180035788152551,0.7514111016656245,0.9244360825796102,1.8867172365925184,1.3104044078766264,2.3000000000000003
24,1.2870579117621548,1.330341860446848,0.9133326453220842,1.0569755867079238,2.1223270406848744,1.5380220410775371,2.4000000000000004
25,1.334068659145396,1.4157297812065344,1.0497384801249126,1.1277306284685282,2.1854032927094216,1.669927423381692,2.5
26,1.3501461802610728,1.4390302783669855,1.1488537074309317,1.139776577201742,2.097684043510408,1.7083978575243464,2.6
27,1.3393946957851475,1.41390477329785,1.2049272968114833,1.1083740572260932,1.91184992385946,1.672541836760525,2.7
28,1.3057897445581337,1.3578324129976203,1.2202732187957024,1.054150610196019,1.684630175891831,1.584736834318992,2.8000000000000003
29,1.2555474411390375,1.2864980697612978,1.2039169266086958,0.995162550783351,1.4590830613289618,1.4654188397868915,2.9000000000000004
30,1.1981850940131167,1.2112872435123538,1.16696811860178,0.9424783981248048,1.2593062073320542,1.333075137783004,3.0
31,1.1434738756508722,1.139071336429851,1.1189415989096465,0.9010834166773181,1.0942068266337688,1.2031073018924732,3.1
32,1.0966798912076972,1.0733183100367114,1.067000649960775,0.8725895576688473,0.9645335261511546,1.0858113883119385,3.2
33,1.0571677325394813,1.0158032765300673,1.0161083946553295,0.8563371817079638,0.8683682023691052,0.9866581469201534,3.3000000000000003
34,1.0214999798280207,0.9679840650161579,0.9692252726118661,0.8500145353179331,0.8033457253010398,0.908353292613334,3.4000000000000004
35,0.9872305813061752,0.9313714431111546,0.9285988568637797,0.8515932649653678,0.7664882384687286,0.8521220594721419,3.5
36,0.9544820749404616,0.9069292761523721,0.8970515435967364,0.8607579907293804,0.7536408040490284,0.8176844800035866,3.6
37,0.9257153088526999,0.8943385927168552,0.8771996031598864,0.8777864257673901,0.7598572821064861,0.8030592330614883,3.7
38,0.9045965252427661,0.8921345448004218,0.8698065266286857,0.9016635179686164,0.7803850595648988,0.8050099169418187,3.8000000000000003
39,0.8940004015766032,0.8986036083771576,0.8737995216512227,0.9299998610722948,0.8109696135973723,0.8199770143770845,3.9000000000000004
40,0.8940908522190549,0.9122343276226826,0.8874268595437905,0.9602382946186906,0.8474475804334961,0.844740456558622,4.0
41,0.9023460155843567,0.9311546015038126,0.908679535933273,0.9902535559615665,0.8857699810431867,0.8765009980060215,4.1000000000000005
42,0.9155879761449495,0.9526625883113523,0.9352528220559612,1.0181598695698098,0.9228758258139971,0.9127143107304313,4.2
43,0.9315349084058631,0.9738548354509371,0.9649732288255133,1.042260473727754,0.9573562359135368,0.9508770290338333,4.3
44,0.9482466168401176,0.9927793748923525,0.9960186898433524,1.061329748169876,0.9888851691465373,0.9879913293702653,4.4
45,0.9631058953818163,1.0088396375058206,1.0264701470337965,1.074611671521176,1.0169048177287308,1.0200171844600532,4.5
46,0.9735921391539385,1.0222366208341713,1.05407506149436,1.0813201432939992,1.0399834824810978,1.042531145862922,4.6000000000000005
47,0.979159459543594,1.033161201686758,1.076723208216305,1.080444618868961,1.056456135128143,1.0528487386615766,4.7
48,0.9816390095970674,1.041437094925105,1.0930172150290185,1.0714464644737962,1.0655481654857226,1.0517355305420828,4.800000000000001
49,0.9835297851975277,1.0467012870237535,1.1024004411937371,1.055362143558962,1.0676967869402871,1.0428076477926822,4.9
50,0.9861298105108599,1.048758264871366,1.1050245313834777,1.0352549114116285,1.0638764947714323,1.0300365754792342,5.0
51,0.9891379245448775,1.0477457141934823,1.1016166052377165,1.0151845531639663,1.0549738232542707,1.015668961056706,5.1000000000000005
52,0.9913930058019671,1.0440619946041065,1.0932311845531566,0.9981345691537292,1.0420368747692867,1.000272276165251,5.2
53,0.991695595117561,1.038253636321279,1.080983645329329,0.984849045540845,1.0267642934640877,0.9841301586252911,5.300000000000001
54,0.9893158298305591,1.031021636045033,1.0662221923436934,0.9747440064133032,1.0112879067651286,0.9679774330612919,5.4
55,0.9842414645641235,1.0231773560396713,1.0508677243068019,0.9674623849509915,0.9974218303831509,0.952601171712034,5.5
56,0.9771617172619823,1.015433818885368,1.0370454789762207,0.9631229865306037,0.9862537775203543,0.938609597855944,5.6000000000000005
57,0.9692023951099333,1.0082950987151251,1.026119756426662,0.9615184853585099,0.9783003780162952,0.9268417829288803,5.7
58,0.961520347706632,1.0022209052926292,1.0182534380685746,0.9618782913942585,0.9737489759283143,0.9184037384053209,5.800000000000001
