,Li-Li,Li-Nb,Li-Si,Nb-Nb,Nb-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,2.049741234662001e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,2.397026536505624e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.7243707555198907e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,9.263097389266638e-05,0.0,1.3531494869448365e-07,0.0,0.0,0.0,0.8
9,0.00040252042804155756,1.1986376078127272e-07,1.7214106301823856e-06,0.0,0.0,0.0,0.9
10,0.0014601035515388343,1.4231029932443793e-06,1.3694328030370709e-05,0.0,0.0,4.276620600714545e-07,1.0
11,0.00449549901142661,1.0455380982647457e-05,8.324742551935876e-05,3.838296605627459e-07,1.9191483028137294e-07,5.8593442228556715e-06,1.1
12,0.011946386771436585,5.776199591357243e-05,0.0004030038861309746,5.966946476126154e-06,3.6762857753788347e-06,4.9773574810835194e-05,1.2000000000000002
13,0.027820310750012695,0.00025660841664165506,0.0016327727185046345,5.226605653390097e-05,3.2064636644462615e-05,0.000296422267827791,1.3
14,0.05757373034092512,0.0009540456882866998,0.0056337984129979524,0.0003217155193624649,0.00021663897581628214,0.0013942336586441877,1.4000000000000001
15,0.10719550637987699,0.0030173617570049224,0.01675004360113908,0.00155269625362957,0.0011254176552300576,0.005403098301359244,1.5
16,0.18147024090120548,0.00824106055800097,0.04321325149999013,0.006172886898409628,0.004791894263159516,0.017531135435830836,1.6
17,0.28212092087749663,0.019718639195893357,0.09741405929476711,0.020589232467684862,0.017180759943035848,0.048059818941965864,1.7000000000000002
18,0.4070421817793431,0.04191517694072816,0.1933270152557599,0.058220245404741924,0.052344089990179546,0.11214590663064135,1.8
19,0.5509901126803235,0.08026613520391672,0.34063595714851425,0.14089354447132946,0.13607989123126787,0.2246805258729577,1.9000000000000001
20,0.7065506831497341,0.14021981225238592,0.5377242641646893,0.2946044200381113,0.3031453797750885,0.3904068622786201,2.0
21,0.8643458296133082,0.2257947775736442,0.7677267236524752,0.5377709879577559,0.5822598997091437,0.5953156179878152,2.1
22,1.0131639316219516,0.33780772284153976,1.0010826307491731,0.8663557817284743,0.9727111724465141,0.8071837833650509,2.2
23,1.1411985620623066,0.47215512175460805,1.2044285432026849,1.245864011745311,1.4288620127606328,0.9869897703374969,2.3000000000000003
24,1.2385964499377173,0.6189777993818599,1.3516143783762289,1.6189586807312037,1.8683008845650875,1.1043896077724937,2.4000000000000004
25,1.3003831871383946,0.7640314760403083,1.431350528497497,1.9273933976098965,2.2025409293397367,1.1484101788617544,2.5
26,1.3281047315774661,0.8925557833100407,1.4482191581860375,2.134513935169781,2.3723806854747256,1.128879056692097,2.6
27,1.3287880756965005,0.9933916501831522,1.4174524790727188,2.232920924266073,2.3675980052920185,1.0689916752075161,2.7
28,1.3115702112973866,1.060843171414138,1.3568969549689827,2.2358226734740554,2.2220540917016556,0.9934595372696483,2.8000000000000003
29,1.2841171238800817,1.0945915938044068,1.281030007859975,2.1639758869726564,1.9915906724767598,0.9194512360656483,2.9000000000000004
30,1.2509708065020135,1.0990842329766184,1.199737753152352,2.0378281782041157,1.7309114449055352,0.855210569287137,3.0
31,1.2141825694306931,1.0821261881891613,1.1200217968858093,1.8754463188835193,1.4804425944976896,0.8042785892426367,3.1
32,1.1748761212196237,1.0522659477007985,1.0472654785266664,1.6933746139464245,1.263449117763703,0.7690010267442762,3.2
33,1.1343361299051549,1.0164030853895778,0.9851848778835005,1.5075872942892001,1.088917292484215,0.7501588609740901,3.3000000000000003
34,1.0943179855554555,0.9790128823607009,0.935445561921058,1.332470226357469,0.9566076897159912,0.7457036433828504,3.4000000000000004
35,1.056938237767695,0.9426991865221122,0.8979621996485041,1.1787179326271637,0.8621691372822355,0.7522027414706107,3.5
36,1.0242865947719395,0.9092163932540563,0.8720239552319087,1.0525845836318222,0.8008586875935158,0.7675350888351958,3.6
37,0.997817063838451,0.8804610544848291,0.8571300297529109,0.95638442142317,0.7688473421480198,0.7914370905346284,3.7
38,0.9779873976968978,0.8588085625369177,0.8524904445989678,0.888597903342201,0.762240662237169,0.8236398242482518,3.8000000000000003
39,0.9644715996655855,0.8463949464179992,0.8562877251487956,0.8443259410430871,0.7756563526910493,0.8620573507577881,3.9000000000000004
40,0.9566902223104476,0.8439688326648271,0.8662634177593512,0.8179119562717899,0.8024375521482285,0.9029002994096899,4.0
41,0.9542019281880644,0.8506350319315256,0.880799906967891,0.8065197431194258,0.8363535868200641,0.9427012977666449,4.1000000000000005
42,0.9567358246239,0.8647572307231454,0.8988428659378906,0.8109547506148775,0.8729565457455729,0.9804506638491738,4.2
43,0.9638151464964019,0.8848811511290415,0.9191634677054984,0.8324140218475734,0.9097270926529086,1.0174617225732414,4.3
44,0.9741805794469145,0.9097551391719473,0.9403242818761893,0.8683861166755901,0.9456593133515735,1.0546739146308062,4.4
45,0.9856486339386181,0.9377526249235878,0.9611663029613393,0.9119125319903592,0.9808049833393894,1.0901865438287988,4.5
46,0.9959205893087943,0.9665760919328026,0.9808760810141909,0.9547930516642161,1.015359892628399,1.1196459865329886,4.6000000000000005
47,1.0038610315589132,0.993619526762663,0.998726071690776,0.9916318583816285,1.0483189652429852,1.1388324399080803,4.7
48,1.0098662093675919,1.0165984886831902,1.0139358233968407,1.0213715598987456,1.077001170354997,1.1458590882256623,4.800000000000001
49,1.0146820049936598,1.033896709634356,1.0256077453827837,1.0458545544630877,1.0982542258427386,1.1413640282444715,4.9
50,1.017967336454188,1.044678427597993,1.0326927584184282,1.0671876147528294,1.1101271715038803,1.1272361520826075,5.0
51,1.0185233664755378,1.0491163698092727,1.0343567582085593,1.0855141023680308,1.112389978052605,1.1054443973785948,5.1000000000000005
52,1.0160089480185965,1.0484806146252126,1.0308010798708949,1.0981157369048542,1.1059634331523782,1.0778671845831593,5.2
53,1.011909821015979,1.0446818574077057,1.0237573965590303,1.100468384171875,1.0926203736812086,1.0468886443855878,5.300000000000001
54,1.0084116320153012,1.03957388165412,1.015796700251863,1.08919593359006,1.0751275241408242,1.0158315636517332,5.4
55,1.0064649599949114,1.0344433190776894,1.0088285279176308,1.0653022149434268,1.056598374628761,0.9885356122249525,5.5
56,1.0052418142107402,1.0296931523179083,1.003281858843842,1.0346720079899572,1.0389923090497981,0.9680614137180501,5.6000000000000005
57,1.0033453011693858,1.0248928468646716,0.9987283653233243,1.0043494152625156,1.022525549768424,0.9552089631754445,5.7
58,1.0001842058512411,1.0194679149048058,0.9950162406175547,0.9778452786267262,1.0067344734469938,0.9482845605220107,5.800000000000001
