,Li-Li,Li-Y,Li-Si,Y-Y,Y-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,5.085667596705941e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.417398936060142e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.446136397433009e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00022754811731771874,0.0,1.2071861492526906e-06,0.0,0.0,0.0,0.9
10,0.0009409338545340262,4.6147724488627994e-07,1.2178963476116574e-05,0.0,0.0,6.153029931817066e-07,1.0
11,0.003199106038908957,4.251746711385411e-06,7.814082781896563e-05,0.0,0.0,8.43018910258876e-06,1.1
12,0.00908717449748662,2.7496149264428155e-05,0.0003936241292752673,0.0,1.245988561192956e-07,6.588067269092998e-05,1.2000000000000002
13,0.02195420922469649,0.0001366509089023491,0.0016194181086961073,0.0,1.829620122695152e-06,0.0003820991483467253,1.3
14,0.046080871302915924,0.0005500978073211784,0.005576697957181455,4.1189704502246464e-07,1.5392532891277967e-05,0.001753174068328699,1.4000000000000001
15,0.08604058317648645,0.0018535395080759044,0.016475622501929077,3.4396232148461908e-06,9.72713589102395e-05,0.006649212751674515,1.5
16,0.14616759210760483,0.005314134028573109,0.04248990097856804,2.045860324064127e-05,0.00048923559336718,0.02120866444040683,1.6
17,0.23000364957246794,0.013171430342024329,0.09674483400093777,9.849743258776205e-05,0.0020496640134521032,0.057365158719258395,1.7000000000000002
18,0.3393127129605984,0.028677481404904732,0.19551959588936016,0.00038858687836649,0.007306952565389265,0.132426248811755,1.8
19,0.47295933906066595,0.05583640493663173,0.35159192322042837,0.0013008493382919881,0.02244981097443306,0.2627366356816484,1.9000000000000001
20,0.6258476470185506,0.09909900930197513,0.5644425255570682,0.003803845861752852,0.05990462941840076,0.45191943365192666,2.0
21,0.7876418744623883,0.1631607948274474,0.8144299618320421,0.009905547842477918,0.1396648164744192,0.6813577406858722,2.1
22,0.9426096710667419,0.2522977158444188,1.0672960453831057,0.0231332271424991,0.28615003496589314,0.9121075539144674,2.2
23,1.0735814078922898,0.36870675701486866,1.2868207866503518,0.04845490093091084,0.5183943748086178,1.0988412875551152,2.3000000000000003
24,1.1693894698989644,0.51065900982663,1.447170085025994,0.0911341790385834,0.8360525215474819,1.2071938552004993,2.4000000000000004
25,1.2294262219863128,0.6716740531226025,1.5387037893004205,0.15514114468720114,1.2094011925939325,1.2255614198101563,2.5
26,1.260778942945493,0.8407645302793063,1.5664470095751917,0.24261415093778896,1.582261388814101,1.1671016628937547,2.6
27,1.271518601876364,1.0036085417389036,1.5436026940354473,0.3544283056986766,1.8899039581447687,1.0618246146837478,2.7
28,1.2665698944888828,1.1455365797084884,1.4845689979618601,0.4895628013005139,2.083534179087104,0.943512393198612,2.8000000000000003
29,1.2478047037463738,1.255849640993403,1.401737524772226,0.6421722900517763,2.147186397617496,0.8386463124413157,2.9000000000000004
30,1.2162438306700576,1.3304381390949795,1.3061099819135003,0.7998665335587629,2.097492146201641,0.7610843560524436,3.0
31,1.1744671560972755,1.370913184868383,1.2082189557177823,0.9473529738370443,1.9692160427266852,0.7120216646431404,3.1
32,1.1273220376529183,1.3820009101812387,1.117258723789644,1.0732645322374932,1.798581332744067,0.6841685503762525,3.2
33,1.0799367014866135,1.3694315374641655,1.0394248528121837,1.1731568952697902,1.6139083068691946,0.668677639016113,3.3000000000000003
34,1.03536257911257,1.33879721084457,0.9771438519496412,1.2463600716352317,1.4342417932299623,0.6610711006040569,3.4000000000000004
35,0.9945934656400066,1.2953981196297009,0.9298632078498471,1.2921724559672163,1.27145473821244,0.6620312122349822,3.5
36,0.9581049253967703,1.244807170618925,0.8958296560866239,1.3102186148948178,1.1320474048853117,0.6734262403464529,3.6
37,0.92689943949162,1.1927589981944544,0.8736391462130579,1.30274406361739,1.0179730667911437,0.6947089314863122,3.7
38,0.9026238092115583,1.143675584480822,0.8624137941853783,1.2745942235535523,0.9278339362342832,0.7231264678891596,3.8000000000000003
39,0.8868522141255368,1.0994183555620602,0.8608394203605912,1.2312789687399324,0.8590439312791157,0.7558862895515862,3.9000000000000004
40,0.8794937798769574,1.0598717060897171,0.8666362335813156,1.1780895218015366,0.8095558698057179,0.791143130721524,4.0
41,0.8777256130974234,1.0246493213809045,0.877298566188181,1.1205173323597448,0.7778854219478913,0.827609002451584,4.1000000000000005
42,0.8774636277828894,0.9942713573816174,0.8911180133390304,1.0643327991103884,0.7621527628466584,0.8643119622362604,4.2
43,0.8766583963310705,0.970148398631927,0.9072530870629388,1.01507860460403,0.7596836227827782,0.9007750042098916,4.3
44,0.8768003275263455,0.9539251707671449,0.925107982070156,0.9771939971845341,0.7674261639083407,0.9367779921005999,4.4
45,0.8808050750815127,0.9467406470006566,0.9438784954797151,0.9527081576385893,0.7825132900946182,0.9714604335844017,4.5
46,0.8899166069985176,0.9485062056669831,0.9625496572287084,0.9405613587616225,0.8026522530558247,1.0028427721145656,4.6000000000000005
47,0.9030383626224407,0.9574542235031086,0.9802222425960536,0.9374713126713594,0.8263426897364139,1.0288377459763247,4.7
48,0.9179964192521871,0.9705210101768305,0.9963988336787862,0.9395112831496482,0.8527108803969089,1.0490439109867533,4.800000000000001
