,Li-Li,Li-Si,Li-B,Si-Si,Si-B,B-B,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.7688105685034418e-07,0.0,0.0,0.0,0.0,1.591929511653098e-06,0.5
6,1.3059241663487595e-06,0.0,4.5754436644451264e-07,0.0,0.0,5.5677576675812086e-05,0.6000000000000001
7,8.446305417311637e-06,0.0,4.976423960291252e-06,0.0,8.967869582312453e-07,0.0005824506316071659,0.7000000000000001
8,4.258365658783832e-05,8.757685138977003e-08,3.655424520626369e-05,0.0,2.5289846552625947e-05,0.003677086377515572,0.8
9,0.00017891407044408436,1.4244167984372342e-06,0.00020168964809646052,0.0,0.0002444476764358601,0.017670852989070843,0.9
10,0.0006466840905488467,1.1163313287848973e-05,0.0009036372886135544,4.151791473292801e-07,0.0015091057528544443,0.06846025620853105,1.0
11,0.0020540113579895327,7.049280301523334e-05,0.003384812074349277,8.110387441250391e-06,0.007167306868682116,0.21679551510810682,1.1
12,0.0057832941723095525,0.0003516882114368004,0.010802778711533442,7.437162879444203e-05,0.02756890339967362,0.5645061941440843,1.2000000000000002
13,0.014487825910427852,0.0014632691818410118,0.029698835427687628,0.00046978795588518204,0.08715652028081115,1.2155790875562362,1.3
14,0.03242790436419865,0.00518890858079175,0.07088205085757848,0.0022755584917428556,0.22822801737520862,2.1790241860901336,1.4000000000000001
15,0.06530571242557277,0.015863262330820565,0.14781849965403493,0.008994621496350406,0.49873837815576266,3.2782061052579783,1.5
16,0.11938498913997608,0.04200347192617123,0.2711844690383836,0.029528837137876508,0.9174104111873094,4.1815729148804825,1.6
17,0.19981524883327448,0.09667257686395522,0.4412221469162418,0.08110088027239638,1.4354014477564707,4.581670234559844,1.7000000000000002
18,0.3083450745301959,0.19437552072501513,0.6431402975581221,0.18750184798852348,1.9347768901498887,4.384666848117892,1.8
19,0.44129121866752274,0.34410312839391805,0.8501948147712435,0.36766639570367293,2.2814354955586205,3.743736342870595,1.9000000000000001
20,0.5892958070643486,0.5420345405385645,1.0331681929242997,0.6176249500231362,2.3962048893627332,2.9279626151265874,2.0
21,0.7395402704526352,0.7693683667290092,1.1698832340692782,0.9006617216321725,2.2874857729636755,2.1634759180511685,2.1
22,0.8790781285906782,0.9974144545566165,1.2501913011813839,1.1588445846591506,2.0284690387699373,1.562146659600303,2.2
23,0.9973188100942878,1.196525331650025,1.2765687410673807,1.339745598014316,1.7097651039739772,1.1408694937671826,2.3000000000000003
24,1.087282544384091,1.3439686844538605,1.2614144675033654,1.4179700130449162,1.403986739121192,0.8720751770416293,2.4000000000000004
25,1.146214129873065,1.4287955909735839,1.221299216499532,1.3994702812592625,1.1541118005357787,0.7204123291868794,2.5
26,1.175523984850688,1.4534677756227834,1.1705009091811862,1.3123697031826682,0.97739078023055,0.6558525144515608,2.6
27,1.1798009827856084,1.4312171172437087,1.1179806639464889,1.1931372038349044,0.8730186367402686,0.6528985671543726,2.7
28,1.165491483069347,1.3795747937785339,1.0688797816211062,1.0745521017065198,0.8280494525978233,0.6881241300402072,2.8000000000000003
29,1.1396267131904692,1.3141121619138716,1.02721084737893,0.978690651763744,0.8228643609923905,0.7413059071877047,2.9000000000000004
30,1.1083107487775636,1.2458928311270643,0.996399881826523,0.9146490685719766,0.8379594593583027,0.7973357022689531,3.0
31,1.0752943167943962,1.181762507044844,0.9778983962797397,0.8797662085048304,0.8594617610768197,0.8456337925585575,3.1
32,1.0418940570524333,1.125060652085136,0.9702586470266265,0.8642965202111953,0.8801122940268569,0.8782660408955351,3.2
33,1.0086141863356968,1.0764749470519044,0.9699974949011468,0.8581406734107431,0.897003814776081,0.8904293567797543,3.3000000000000003
34,0.9770618464148769,1.0356321944559181,0.973748772475728,0.85555016836844,0.909483408327709,0.8828098736419273,3.4000000000000004
35,0.9503639032919106,1.002677744412515,0.9800253341492097,0.8551935161822689,0.9180366885600039,0.861835621117734,3.5
36,0.9317314222495684,0.9784839725217164,0.9891921059541217,0.8572556138744849,0.923414407060256,0.8362671956766948,3.6
37,0.9223297320807102,0.9635065884690043,1.001856915221131,0.8613579494837619,0.926246336592133,0.8131383915258182,3.7
38,0.920505439419965,0.9567699865829044,1.0171890827205032,0.866897604489387,0.9273058094217308,0.796128353419225,3.8000000000000003
39,0.9234112470590793,0.9561886502376166,1.032636874222355,0.8739282871822944,0.9277143822451701,0.7856702166395754,3.9000000000000004
40,0.9292902869360632,0.9597302004243357,1.045383003247806,0.8826441441989321,0.9288051092150003,0.7795734635057421,4.0
41,0.9378651594627473,0.9660974019310279,1.0540744762349774,0.8925701467462417,0.9318017987882335,0.7749468161936957,4.1000000000000005
42,0.9490224669003647,0.9745744343140611,1.058937456076533,0.9030749934961401,0.9372095100958385,0.7710340266432734,4.2
43,0.9618121169559908,0.9847144625153594,1.0604390135906636,0.9142825795535678,0.944272772561298,0.7695117766068195,4.3
44,0.974690098181471,0.9961916187223804,1.0584608818588894,0.9266306487002598,0.9513761456064654,0.7714895966970188,4.4
45,0.9862159091528985,1.0085299679036765,1.0529010417100575,0.939694268388864,0.9573166344569495,0.7757625931580606,4.5
46,0.9954702006944401,1.0206726507650865,1.0445498780119413,0.9520730082407736,0.9620493243042434,0.7808167544992809,4.6000000000000005
47,1.0021711806568392,1.0308985841770861,1.0350120614499105,0.9624323214781172,0.9661863102131633,0.7870381648082626,4.7
48,1.0066273542341004,1.037448584629323,1.025844388172164,0.9703945546858119,0.9703121264163199,0.7958795023420802,4.800000000000001
49,1.009444647462148,1.0395616892685664,1.0179368568776372,0.9766561602996265,0.9750563203823138,0.8076011951033729,4.9
50,1.011073706355392,1.0380204662765102,1.0116798231739246,0.9824793920861499,0.9811143800953982,0.8201676024050867,5.0
51,1.0115292035428183,1.034537183361051,1.0073418013873268,0.9887478519199198,0.9884870672443891,0.8301948872751226,5.1000000000000005
52,1.0105340600003565,1.0305221942027227,1.0049045952583744,0.9951943014497734,0.9958649505153754,0.8357237364227565,5.2
53,1.0079380009442471,1.0263883097005038,1.0036325527712298,1.0007603057332644,1.0013080190595425,0.8385670416103428,5.300000000000001
54,1.0041166595233406,1.021746238391572,1.0022503658536943,1.0047712205179165,1.0035450434958968,0.8430833329219248,5.4
55,1.0000285054263711,1.0159877919921834,0.9998585567970956,1.0073706825897566,1.0024755876761757,0.8521816053797977,5.5
56,0.9967336357639955,1.0088921569190707,0.9966559623133632,1.0088147512507017,0.9987975492975256,0.865093473736363,5.6000000000000005
57,0.9946747464549794,1.0011116349385696,0.9938098848969862,1.0088605123500416,0.9937807126290404,0.8787965734643496,5.7
